qid,role,intent,grade,systems,question
AC-020,Access-control administrators,capability,honest-capability-answer,access_control|policy_governance|statutory_compliance,"Do issued credentials, secure stock, returned items, quarantined items and witnessed destruction records reconcile?"
AC-021,Access-control administrators,capability,honest-capability-answer,access_control|it_network|space_inventory,"Which active permission group currently controls this opening, and through which direct or inherited paths?"
AC-022,Access-control administrators,sensor_data,answered-with-data,access_control|accessibility|security_incident|sensor_telemetry|space_inventory,"Will the proposed destination permission also supply every approved upstream door, gate and lift-floor dependency?"
AC-023,Access-control administrators,capability,document-quoted,access_control|asset_register|project_handover|space_inventory,"After building works, does the PACS record for this opening still match the current door asset, zone boundary and approved use?"
AC-024,Access-control administrators,capability,document-quoted,access_control|cmms_work|fire_life_safety|policy_governance|project_handover|sensor_telemetry|statutory_compliance,"What documented fail-safe or fail-secure, power-loss, fire-interface and manual-override arrangement applies to this opening?"
AC-025,Access-control administrators,capability,deflected,access_control|asset_register|it_network|policy_governance|security_incident,"Which time profiles, global modes, nested groups or controller rules can override this opening's ordinary permission decision?"
AC-026,Access-control administrators,capability,honest-capability-answer,access_control|policy_governance|project_handover|security_incident,"What interlock, mantrap or anti-passback dependencies must be considered before changing this entitlement?"
AC-027,Access-control administrators,spatial_query,answered-with-data,access_control|accessibility|contract_warranty|security_incident,"Which lift car, landing and destination-floor permissions are required for the approved route to this destination?"
AC-028,Access-control administrators,capability,honest-capability-answer,access_control|accessibility|policy_governance|security_incident,Can access to the shared entrance be separated from the restricted internal zone without granting unnecessary building-wide rights?
AC-029,Access-control administrators,planner,answered-with-data,access_control|fire_life_safety|policy_governance|project_handover|sensor_telemetry|space_inventory,"Is the fire-alarm or emergency-release interface for this opening correctly mapped, and what current competent test evidence supports it?"
AC-030,Access-control administrators,capability,answered-with-data,access_control|fire_life_safety|it_network|policy_governance|security_incident,"What is the verified impact boundary of changing this access level across people, groups, schedules, doors and controllers?"
AC-031,Access-control administrators,events,answered-with-data,access_control|hr_identity|policy_governance|project_handover,Which recurring time profile fits this approved out-of-hours duty without creating all-night or all-week access?
AC-032,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|it_network|policy_governance|security_incident,"Is this one-off permission limited to the exact openings and authorised start and end times, including controller propagation margins?"
AC-033,Access-control administrators,capability,document-quoted,access_control|hr_identity|policy_governance|security_incident|space_inventory,"What minimum visitor route, door set and credential validity window match the sponsor-approved visit?"
AC-034,Access-control administrators,metadata,answered-with-data,access_control|cmms_work|contract_warranty|hr_identity|permit_control|security_incident|training_competency,"Does this contractor's temporary access align with the permit, work zone, working hours, escort condition and site rules?"
AC-035,Access-control administrators,capability,honest-capability-answer,access_control|booking|space_inventory,Can this event be supported through temporary entrance permissions while excluding back-of-house and unrelated restricted areas?
AC-036,Access-control administrators,asset_state,answered-with-data,access_control|contract_warranty|hr_identity|policy_governance|security_incident,"Which active or future schedules require owner action for the upcoming closure, holiday or exceptional opening?"
AC-037,Access-control administrators,sensor_data,answered-with-data,access_control|it_network|permit_control|policy_governance|security_incident,"Will clock drift, time-zone settings or a daylight-saving transition change any active or scheduled access window?"
AC-038,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident|training_competency,"Is this temporary-access extension still supported by a current sponsor and purpose, and what is the shortest justified end time?"
AC-039,Access-control administrators,capability,document-quoted,access_control|contract_warranty|hr_identity|policy_governance,"How should this multi-day permission represent different doors, hours or escort conditions on each day?"
AC-040,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|project_handover|security_incident,"Does every temporary entitlement have an enforceable hard expiry across direct, inherited and nested group paths?"
AC-041,Access-control administrators,capability,document-quoted,access_control|it_network|security_incident|sensor_telemetry,"Which readers, door interfaces or controllers are unhealthy or offline now, and which controlled openings are inside the impact boundary?"
AC-042,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident,Why is this credential accepted at comparable doors but denied at this reader during the same authorised interval?
AC-043,Access-control administrators,control,answered-with-data,access_control|policy_governance|security_incident|sensor_telemetry,"Do repeated forced-open or held-open alarms better support a hardware, contact-alignment, configuration or expected-use explanation?"
AC-044,Access-control administrators,asset_state,deflected,access_control|it_network|security_incident|sensor_telemetry,"Is this intermittently connected controller losing events, delaying acknowledgements or enforcing stale local configuration?"
AC-045,Access-control administrators,capability,honest-capability-answer,access_control|asset_register|hr_identity|project_handover,"Has identity-directory synchronisation degraded, and which queued requests or lifecycle actions may depend on stale identity data?"
AC-046,Access-control administrators,capability,deflected,asset_register|contract_warranty|hr_identity|security_incident|training_competency,"How stale are the HR, student, visitor, contractor and training feeds used by current access decisions?"
AC-047,Access-control administrators,capability,document-quoted,access_control|it_network,"Can reader, controller and integration events be aligned to a trustworthy common timeline for this fault investigation?"
AC-048,Access-control administrators,capability,honest-capability-answer,access_control|it_network|security_incident,"After the outage, which controllers recovered fully, which events arrived late, and which local permissions remain unverified?"
AC-049,Access-control administrators,capability,honest-capability-answer,access_control|policy_governance|project_handover|security_incident|sensor_telemetry,Are these denials consistent with anti-passback or area-state logic whose recorded state is incomplete or inconsistent?
AC-050,Access-control administrators,capability,honest-capability-answer,access_control|statutory_compliance,"Did the latest firmware or configuration deployment pass approved tests at every affected reader, interface and controller?"
AC-051,Access-control administrators,privacy_refusal,deflected,access_control|hr_identity|policy_governance,"Which identities, templates, groups, zones and exceptions are due for review, and who is accountable for each decision?"
AC-052,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident|training_competency,"Which active entitlements conflict with current role, sponsor, training, area-owner or end-date evidence?"
AC-053,Access-control administrators,metadata,honest-capability-answer,access_control|hr_identity|policy_governance,"Which accounts can administer the PACS, what exact scope can each change, and when was that privilege last approved?"
AC-054,Access-control administrators,capability,document-quoted,access_control|hr_identity|policy_governance|security_incident,"Which temporary, break-glass, project or emergency exceptions remain active beyond their approved end?"
AC-055,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident,"Which active credentials are tied to ended affiliations, unresolved identity records or no accountable sponsor?"
AC-056,Access-control administrators,capability,answered-with-data,access_control|it_network|policy_governance|security_incident|space_inventory,"Which permission groups or zones are orphaned because no current owner, purpose or mapped opening can be evidenced?"
AC-057,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance,"Which entitlement combinations invoke separation-of-duties, dual-approval or mutually exclusive access rules?"
AC-058,Access-control administrators,capability,honest-capability-answer,access_control|project_handover,"Is the administrative change chain complete from request and approval through implementation, acknowledgement and rollback evidence?"
AC-059,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident,"For this role change, does the proposed package remove obsolete access as reliably as it adds justified access?"
AC-060,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance,Can I prepare a least-privilege evidence pack for this authorised review without exposing detailed movement records?
AC-061,Access-control administrators,capability,honest-capability-answer,access_control,"For this lost, stolen or suspected-compromised credential, where is suspension confirmed and where is enforcement still uncertain?"
AC-062,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity,What collateral access impact would each authorised suspension option have on unrelated duties and dependencies?
AC-063,Access-control administrators,capability,document-quoted,access_control|hr_identity|policy_governance|security_incident,Has this urgent leaver or affiliation-end instruction propagated to every online and offline access-control component?
AC-064,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|security_incident,"What authority, prior-state evidence and independent checks are required before considering restoration after an erroneous suspension?"
AC-065,Access-control administrators,capability,honest-capability-answer,access_control|it_network|security_incident,"Which revocation instructions remain queued for offline controllers, and which openings may still enforce stale access?"
AC-066,Access-control administrators,control,answered-with-data,access_control|fire_life_safety|policy_governance|project_handover|sensor_telemetry|space_inventory,"For this lockdown, controlled-unlock or emergency-mode request, who has authority and what contemporaneous evidence must be captured?"
AC-067,Access-control administrators,general_knowledge,honest-capability-answer,access_control,Which PACS changes made through a suspected compromised administrator account require independent revalidation or rollback planning?
AC-068,Access-control administrators,capability,honest-capability-answer,access_control|security_incident,"If this credential batch is defective or mis-encoded, which tokens and commissioned readers fall within the technical impact boundary?"
AC-069,Access-control administrators,capability,honest-capability-answer,access_control|accessibility|policy_governance|security_incident|space_inventory,"While ordinary access is suspended, is there a current owner-approved escorted route for essential work?"
AC-070,Access-control administrators,asset_state,answered-with-data,access_control|hr_identity|policy_governance|security_incident,"Before incident closure, which credentials, groups, schedules, controllers, integrations and evidence gaps still require validation?"
AC-071,Access-control administrators,privacy_refusal,deflected,access_control|policy_governance|security_incident,"For this stated purpose, who may view person-level access events, which fields and interval are permitted, and who approved access?"
AC-072,Access-control administrators,capability,honest-capability-answer,access_control|policy_governance|security_incident,"Which credential, administrative and door-event records are due for deletion, continued retention or legal hold now?"
AC-073,Access-control administrators,capability,document-quoted,access_control|asset_register|policy_governance|security_incident,"Which access-control records fall within this data-rights request, and how must third-party and security-sensitive content be protected?"
AC-074,Access-control administrators,capability,deflected,access_control|policy_governance,Which service measures can be reported with valid denominators and uncertainty without exposing identities or movement patterns?
AC-075,Access-control administrators,capability,document-quoted,contract_warranty|policy_governance|security_incident,"What lawful authority, approvals, minimisation and secure-transfer controls are required before external disclosure of access-control records?"
AC-076,Access-control administrators,capability,document-quoted,access_control|accessibility|contract_warranty|finance_cost|policy_governance|security_incident|sensor_telemetry,"Which privacy, accessibility, security and governance gates must be passed before adopting mobile or other identity-linked access technology?"
AC-077,Access-control administrators,capability,answered-with-data,access_control|permit_control|policy_governance|security_incident|sensor_telemetry|space_inventory|statutory_compliance,"How complete, current, mapped and healthy is the evidence estate across openings, controllers, credentials, identity feeds and administrative logs?"
AC-078,Access-control administrators,capability,document-quoted,access_control|policy_governance,"Are access requests, credential tasks and fault cases meeting agreed service targets, and where is avoidable delay accumulating?"
AC-079,Access-control administrators,capability,document-quoted,access_control|hr_identity|permit_control|security_incident,How can this denial be explained accurately without revealing protected security configuration or another person's data?
AC-080,Access-control administrators,metadata,answered-with-data,access_control|fire_life_safety|it_network|policy_governance|project_handover|security_incident|space_inventory,"What approvals, design records, tests, ownership, privacy controls and handover evidence are required before onboarding this opening or integration?"
AD-001,Architects and building designers,capability,honest-capability-answer,hr_identity|sensor_telemetry|survey_condition,"Which brief items can we freeze now, which remain measurable targets, and which assumptions need a named client decision before the next stage gate?"
AD-002,Architects and building designers,capability,honest-capability-answer,hr_identity|sensor_telemetry|survey_condition|user_reports,"Who is materially affected by the design, whose evidence has changed the brief, and which missing voices require further consultation before we proceed?"
AD-003,Architects and building designers,capability,document-quoted,bms_plant|hr_identity|meter_energy|policy_governance|survey_condition,"Which conflicts between user experience, operations, maintenance, security, cost and programme require an explicit client trade-off rather than a design-team assumption?"
AD-004,Architects and building designers,sensor_data,answered-with-data,booking|fire_life_safety|policy_governance|sensor_telemetry|space_inventory|survey_condition|timetable,"What approved occupancy, coincident-arrival and dwell-time scenarios should size each room, threshold and shared amenity?"
AD-005,Architects and building designers,capability,document-quoted,access_control|cleaning_waste|it_network|policy_governance|project_handover|survey_condition,"Which end-to-end user, teaching, research, cleaning, delivery, maintenance and emergency workflows must the plan support, and where are their critical hand-offs?"
AD-006,Architects and building designers,capability,honest-capability-answer,bms_plant|hr_identity|meter_energy|project_handover|survey_condition|timetable,"Which operating modes must the building support, and what layout, access or service-state changes are needed between them?"
AD-007,Architects and building designers,capability,honest-capability-answer,policy_governance|sensor_telemetry|survey_condition,"Which privacy, dignity and confidentiality requirements should determine sightlines, acoustic separation, access transitions and data-enabled features?"
AD-008,Architects and building designers,capability,honest-capability-answer,access_control|hr_identity|policy_governance|survey_condition,"Where should public, shared, controlled and restricted zones begin and end, and what must happen at each inclusive threshold?"
AD-009,Architects and building designers,recommend,deflected,asset_register|hr_identity|meter_energy|policy_governance|sensor_telemetry|survey_condition,"Which credible growth, technology and organisational scenarios should the design absorb without major structural or services work?"
AD-010,Architects and building designers,capability,honest-capability-answer,contract_warranty|hr_identity|project_handover|sensor_telemetry|survey_condition|user_reports,"Which design-intent criteria, baselines, tolerances and acceptance methods must be agreed before options are tested and specified?"
AD-011,Architects and building designers,capability,honest-capability-answer,it_network|project_handover|space_inventory|survey_condition,"Which geometry and attributes in the current base model are survey-verified, to what tolerance, and which remain inferred?"
AD-012,Architects and building designers,capability,honest-capability-answer,meter_energy|survey_condition,"What verified levels, slopes, floor-to-floor heights, build-ups and clear headrooms constrain the proposal?"
AD-013,Architects and building designers,capability,honest-capability-answer,meter_energy|sensor_telemetry|survey_condition,"Which structural elements and load paths are confirmed, and what engineer-led investigation is needed before we place openings, fixings or new loads?"
AD-014,Architects and building designers,capability,document-quoted,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|statutory_compliance|survey_condition,"Where do existing mechanical, electrical, public-health and data services actually run, what spare capacity exists, and which access zones must remain clear?"
AD-015,Architects and building designers,sensor_data,answered-with-data,cmms_work|contract_warranty|meter_energy|sensor_telemetry|survey_condition|weather_external,"Which fabric defects, moisture routes or movement conditions could compromise new finishes, partitions or junctions?"
AD-016,Architects and building designers,capability,document-quoted,fire_life_safety|sensor_telemetry|survey_condition,"What is the currently verified arrangement of fire compartments, doorsets, penetrations and escape interfaces within the work area?"
AD-017,Architects and building designers,capability,honest-capability-answer,asset_register|meter_energy|permit_control|survey_condition,"Where are utility entries, meters and isolation boundaries, and is verified service headroom sufficient for the proposed demand?"
AD-018,Architects and building designers,capability,honest-capability-answer,sensor_telemetry|statutory_compliance|survey_condition,"What hazardous materials or contaminated conditions may be disturbed, and what specialist evidence is required before scope or method is fixed?"
AD-019,Architects and building designers,general_knowledge,honest-capability-answer,policy_governance|sensor_telemetry|survey_condition|weather_external,"Which current planning, conservation, title, boundary, easement or neighbour constraints materially limit the design options?"
AD-020,Architects and building designers,metadata,answered-with-data,sensor_telemetry|survey_condition,"Which existing-condition assumptions still lack decision-grade evidence, and what targeted survey or opening-up should be commissioned before design lock-in?"
AD-021,Architects and building designers,deliberate,deflected,booking|survey_condition,"Which room dimensions, furniture arrangements, storage and service positions best support the intended tasks at realistic occupancy?"
AD-022,Architects and building designers,capability,honest-capability-answer,sensor_telemetry|survey_condition,"Which adjacencies are mandatory, preferred or incompatible, and what authorised workflow evidence justifies each ranking?"
AD-023,Architects and building designers,events,answered-with-data,accessibility|fire_life_safety|survey_condition|timetable,"At which locations will ordinary peaks, changeovers or events create queues, counterflows or waiting that spill into circulation?"
AD-024,Architects and building designers,sensor_data,honest-capability-answer,access_control|asset_register|cmms_work|fire_life_safety|sensor_telemetry|survey_condition,"Which stair, lift and lobby arrangement best serves routine peaks, inclusive access, deliveries and credible outage conditions?"
AD-025,Architects and building designers,recommend,answered-with-data,it_network|survey_condition,"At which route decisions do first-time users hesitate or choose incorrectly, and what spatial or information change would remove that ambiguity?"
AD-026,Architects and building designers,capability,document-quoted,booking|cleaning_waste|contract_warranty|policy_governance|project_handover|sensor_telemetry|survey_condition,"Which delivery, waste, cleaning and maintenance routes avoid conflict with public movement, sensitive activities and protected finishes?"
AD-027,Architects and building designers,sensor_data,honest-capability-answer,meter_energy|sensor_telemetry|survey_condition|timetable|user_reports,"Which zoning and construction strategy best separates quiet, collaborative, noisy and confidential activities across operating modes?"
AD-028,Architects and building designers,capability,document-quoted,fire_life_safety|project_handover|sensor_telemetry|survey_condition,"Which spaces should reconfigure, how quickly, and what acoustic, service, accessibility, security and escape constraints must remain intact?"
AD-029,Architects and building designers,capability,document-quoted,cleaning_waste|cmms_work|contract_warranty|sensor_telemetry|survey_condition,"Where should shared toilets, lockers, kitchens, print points and informal settings be located and sized relative to verified demand?"
AD-030,Architects and building designers,sensor_data,answered-with-data,fire_life_safety|policy_governance|sensor_telemetry|survey_condition,"Which fallback layouts and routes keep the plan workable when an entrance, corridor, lift or shared space is temporarily unavailable?"
AD-031,Architects and building designers,spatial_query,answered-with-data,access_control|sensor_telemetry|survey_condition,"Does every required journey form a continuous step-free route from arrival to destinations, amenities, assistance and departure?"
AD-032,Architects and building designers,capability,document-quoted,access_control|fire_life_safety|project_handover|sensor_telemetry|survey_condition,"Which door leaf, threshold, force, ironmongery and hold-open choices provide inclusive use without creating security or fire-door conflicts?"
AD-033,Architects and building designers,sensor_data,answered-with-data,access_control|contract_warranty|policy_governance|security_incident|sensor_telemetry|survey_condition,"Which lift location, cabin, controls, waiting space, reliability and fallback arrangement best serves people and activities that depend on it?"
AD-034,Architects and building designers,capability,document-quoted,cleaning_waste|sensor_telemetry|survey_condition,"Are accessible toilets, changing facilities and related amenities located, sized and equipped for the agreed users and operating modes?"
AD-035,Architects and building designers,recommend,answered-with-data,fire_life_safety|policy_governance|sensor_telemetry|survey_condition|training_competency,"Which visual, audible and tactile information must be provided so first-time users can find, perceive and understand each critical decision point?"
AD-036,Architects and building designers,deliberate,answered-with-data,meter_energy|sensor_telemetry|survey_condition|user_reports,"Where could glare, noise, crowding, flicker, temperature or visual complexity create avoidable sensory load, and what calmer alternative is available?"
AD-037,Architects and building designers,deliberate,deflected,cleaning_waste|sensor_telemetry|survey_condition,"Where are resting places and seating choices needed so route distances, waiting and recovery demands remain manageable?"
AD-038,Architects and building designers,capability,document-quoted,contract_warranty|sensor_telemetry|survey_condition,"Which controls, sockets, handles, switches, screens and service points need different height, force, feedback or approach space for inclusive use?"
AD-039,Architects and building designers,asset_state,answered-with-data,access_control|sensor_telemetry|survey_condition|timetable,"Does inclusive access remain equitable during out-of-hours use, examinations, events, maintenance, lift outages and partial closures?"
AD-040,Architects and building designers,capability,deflected,accessibility|sensor_telemetry|survey_condition|user_reports,"Which barriers reported by affected users remain open, who owns each response, and what evidence is needed before an issue can be closed?"
AD-041,Architects and building designers,report,answered-with-data,meter_energy|sensor_telemetry|survey_condition|weather_external,"How much useful daylight reaches each occupied workplane through the day and year, and where is electric lighting still required?"
AD-042,Architects and building designers,sensor_data,answered-with-data,sensor_telemetry|survey_condition,"Which windows, orientations, surfaces or task positions create direct sun, reflected glare or excessive contrast, and which control strategy works without blocking useful daylight?"
AD-043,Architects and building designers,capability,document-quoted,meter_energy|sensor_telemetry|survey_condition,"Which luminaire layout, distribution, colour quality, flicker performance and control zoning best supports each task and user group?"
AD-044,Architects and building designers,capability,answered-with-data,meter_energy|sensor_telemetry|statutory_compliance|survey_condition|user_reports,"Which adjacency, construction and junction options provide the required airborne and structure-borne sound separation, including confidentiality?"
AD-045,Architects and building designers,recommend,answered-with-data,accessibility|sensor_telemetry|survey_condition|training_competency,"Which room volume, absorption, background noise and electroacoustic arrangement best supports speech, collaboration, concentration and assisted listening?"
AD-046,Architects and building designers,sensor_data,answered-with-data,meter_energy|sensor_telemetry|survey_condition|weather_external,At which facades and opening conditions does external noise conflict with internal use or natural ventilation?
AD-047,Architects and building designers,analytics,answered-with-data,bms_plant|cmms_work|sensor_telemetry|survey_condition,Which ventilation strategy and air-distribution arrangement maintains acceptable indoor-air evidence across realistic occupancy and operating modes?
AD-048,Architects and building designers,sensor_data,answered-with-data,sensor_telemetry|survey_condition|user_reports|weather_external,"Where are overheating, underheating and draught risks most credible, and which passive, system and user-control measures address them?"
AD-049,Architects and building designers,capability,honest-capability-answer,sensor_telemetry|survey_condition|weather_external,"Which junctions and operating conditions create condensation, mould or material-deterioration risk, and how should the detail change?"
AD-050,Architects and building designers,sensor_data,answered-with-data,hr_identity|risk_insurance|sensor_telemetry|survey_condition|sustainability,"Which coordinated facade, lighting, acoustic and ventilation option best meets the signed priorities, and what residual penalties must the client accept?"
AD-051,Architects and building designers,capability,document-quoted,asset_register|contract_warranty|sensor_telemetry|survey_condition,"Which proposed loads, openings, supports, fixings and facade interventions are structurally feasible, and which remain conditional on engineer-led verification?"
AD-052,Architects and building designers,sensor_data,answered-with-data,bms_plant|it_network|meter_energy|sensor_telemetry|survey_condition,"Which electrical, heating, cooling, ventilation, water and data capacities and connection routes are adequate for the proposal, and where is an upgrade decision needed?"
AD-053,Architects and building designers,capability,honest-capability-answer,finance_cost|survey_condition,"Can each major plant item, equipment unit and facade component be installed, commissioned, removed and replaced through a credible route?"
AD-054,Architects and building designers,capability,document-quoted,project_handover|sensor_telemetry|survey_condition,"Where are architecture, structure, services, fire stopping, ceilings, furniture and installation tolerances competing for the same space?"
AD-055,Architects and building designers,capability,deflected,access_control|bms_plant|it_network|survey_condition,"Which building-system control and data interfaces are genuinely necessary, who owns them, and how should each fail without unsafe or unmaintainable dependency?"
AD-056,Architects and building designers,capability,honest-capability-answer,contract_warranty|permit_control|policy_governance|survey_condition,"Can maintainers safely find, reach, isolate, test, remove and replace every serviceable component without dismantling unrelated work?"
AD-057,Architects and building designers,sensor_data,answered-with-data,contract_warranty|fire_life_safety|sensor_telemetry|statutory_compliance|survey_condition,"How should each penetration and junction preserve fire, acoustic, air, moisture and security performance, and what installation evidence is required?"
AD-058,Architects and building designers,capability,honest-capability-answer,asset_register|permit_control|sensor_telemetry|survey_condition,"Which water-supply, drainage, containment and isolation details minimise the consequence of leaks, blockages or uncontrolled discharge?"
AD-059,Architects and building designers,capability,answered-with-data,bms_plant|contract_warranty|meter_energy|project_handover|survey_condition|training_competency,"Which commissioning tests, seasonal checks, training and asset information must be specified so the building can be operated as designed?"
AD-060,Architects and building designers,capability,document-quoted,contract_warranty|permit_control|sensor_telemetry|survey_condition,"Which phasing and temporary-work strategy keeps routes, services, environmental conditions and life-safety boundaries workable in an occupied building?"
AD-061,Architects and building designers,metadata,answered-with-data,survey_condition|sustainability,"Which existing fabric, components and finishes should be retained or reused, and what condition or performance evidence is needed before that decision is fixed?"
AD-062,Architects and building designers,sensor_data,answered-with-data,cleaning_waste|contract_warranty|sensor_telemetry|survey_condition,"Which material options best withstand the expected traffic, cleaning, moisture, impact and maintenance regime without disproportionate replacement?"
AD-063,Architects and building designers,sensor_data,honest-capability-answer,asset_register|cleaning_waste|contract_warranty|sensor_telemetry|survey_condition|sustainability,"What is the whole-element embodied-carbon difference between retaining, restoring, reusing and replacing each major component under consistent assumptions?"
AD-064,Architects and building designers,sensor_data,answered-with-data,finance_cost|meter_energy|project_handover|sensor_telemetry|survey_condition|sustainability|weather_external,"How does each design option change operational energy and carbon under realistic weather, occupancy, operating hours and control behaviour?"
AD-065,Architects and building designers,capability,honest-capability-answer,contract_warranty|project_handover|survey_condition,"Which assemblies can be disassembled, maintained and reused without destructive access, bonded contamination or loss of evidence?"
AD-066,Architects and building designers,capability,document-quoted,access_control|asset_register|cleaning_waste|hr_identity|policy_governance|project_handover|survey_condition,"Which structural grid, partition, service-zone and connection strategy preserves credible future uses with the least waste and downtime?"
AD-067,Architects and building designers,general_knowledge,honest-capability-answer,sensor_telemetry|survey_condition|weather_external,"How will hotter summers, intense rain, wind and repeated wetting or freeze-thaw exposure affect the selected materials and details over their intended life?"
AD-068,Architects and building designers,sensor_data,honest-capability-answer,contract_warranty|finance_cost|policy_governance|sensor_telemetry|statutory_compliance|survey_condition|sustainability,"Which products have decision-grade evidence for responsible sourcing, health, emissions, provenance and intended-use suitability?"
AD-069,Architects and building designers,sensor_data,answered-with-data,cmms_work|finance_cost|meter_energy|sensor_telemetry|survey_condition|sustainability,"Which option provides the best whole-life value after maintenance access, replacement cycles, downtime, energy, carbon and residual risk are included?"
AD-070,Architects and building designers,capability,honest-capability-answer,asset_register|contract_warranty|policy_governance|project_handover|survey_condition,"What material and component information must be handed over so future teams can locate, inspect, maintain, replace, reuse and recover each item?"
AD-071,Architects and building designers,analytics,answered-with-data,booking|hr_identity|policy_governance|sensor_telemetry|survey_condition|timetable,"How does observed occupancy compare with the design assumptions for each space, peak, operating mode and shared-resource dependency?"
AD-072,Architects and building designers,capability,honest-capability-answer,hr_identity|policy_governance|survey_condition|user_reports,"How do observed route lengths, waits and hand-offs compare with the workflow and adjacency assumptions used in the design?"
AD-073,Architects and building designers,capability,document-quoted,accessibility|sensor_telemetry|survey_condition|user_reports,"Which accessibility barriers remain after occupation, including those introduced by furniture, operations, outages, security changes or temporary routes?"
AD-074,Architects and building designers,sensor_data,answered-with-data,hr_identity|sensor_telemetry|survey_condition|user_reports|weather_external,"Do observed daylight, electric lighting, acoustics, air quality and thermal conditions support the intended activities across seasons and operating modes?"
AD-075,Architects and building designers,sensor_data,answered-with-data,booking|finance_cost|hr_identity|meter_energy|survey_condition|sustainability|weather_external,"Did the project achieve its intended energy and water outcomes after weather, occupancy, operating hours, controls and later changes are normalised?"
AD-076,Architects and building designers,metadata,answered-with-data,bms_plant|cmms_work|contract_warranty|policy_governance|sensor_telemetry|survey_condition,"Which defects, access constraints and maintenance tasks occur more often, take longer or cost more than the design and handover evidence anticipated?"
