ID,Question,Category,Register,Stakeholder_Role,Surface_Cognitive_Complexity,Latent_Architectural_Complexity,Required_Data_Sources,Answer_Type,Notes,Source,Section,Priority,Complexity_L,Readiness_R,Readiness_Label,Sensors_Required,Authoritative_Sources,Analysis_Required,Answer_Boundary,Source_Doc
Q034,What will the environment be like on the fifth floor on Monday?,Prediction & forward-looking,Naive,,,,pillar:predict,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q035,"If we open the building an hour earlier all week, what happens to energy use?",Prediction & forward-looking,Intermediate,,,,S1:new-modality,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q036,Will the lecture theatre get uncomfortable if we put 200 people in it at 2pm?,Prediction & forward-looking,Intermediate,,,,pillar:predict,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q037,Which piece of plant is most likely to fail in the next three months?,Prediction & forward-looking,Expert,,,,pillar:predict,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q038,Forecast next week's peak demand and tell me when to pre-cool.,Prediction & forward-looking,Expert,,,,none:actuation-decline;pillar:predict;S1:existing,decline+route-to-control,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q039,"If next summer is like the 2022 heatwave, which spaces become unusable?",Prediction & forward-looking,Expert,,,,pillar:predict,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q040,Is the cafe busy right now?,Occupancy & space utilisation,Naive,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q041,When is the best time to come in if I hate crowds?,Occupancy & space utilisation,Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q042,Which bookable rooms get booked and then not used?,Occupancy & space utilisation,Intermediate,,,,S2:booking,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q043,"Give me utilisation by space type for the last semester, with confidence intervals.",Occupancy & space utilisation,Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q044,Where's the manual for the thing on the roof?,"Documents, compliance & institutional knowledge",Naive,,,,S3:register,register-date/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q045,When was the fire alarm last tested and who signed it off?,"Documents, compliance & institutional knowledge",Intermediate,,,,S3:register,register-date/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q046,Show me the O&M documentation and warranty status for the chillers.,"Documents, compliance & institutional knowledge",Expert,,,,S3:register,register-date/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q047,"What's our legal obligation on indoor air quality in teaching spaces, and are we meeting it?","Documents, compliance & institutional knowledge",Expert,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q048,"If I had 50k to spend on this building, what should I fix first?",Cross-domain / open-ended reasoning,Intermediate,,,,compute:cost,computed value+method,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q049,Why do people keep complaining about the second floor when the data looks fine?,Cross-domain / open-ended reasoning,Expert,,,,pillar:detect,episode/diagnosis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q050,What should I be worried about that I haven't thought to ask you?,Cross-domain / open-ended reasoning,Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q051,Is the building safe to be in right now?,"Safety, security & emergency",Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q052,Where's the nearest fire exit from the third-floor kitchen?,"Safety, security & emergency",Naive,,,,compute:route,path+distance,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q053,Did anyone badge into the server room out of hours last month?,"Safety, security & emergency",Intermediate,,,,S2:access,event-list/aggregate,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q054,Which fire doors have been propped open for more than ten minutes this week?,"Safety, security & emergency",Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q055,Show me the evacuation route for someone using a wheelchair from level 4.,"Safety, security & emergency",Intermediate,,,,compute:route,path+distance,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q056,Are we leaking water anywhere?,Water & waste,Naive,,,,pillar:detect,episode/diagnosis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q057,How much water did the building use over the holidays when nobody was here?,Water & waste,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q058,Break down waste by stream and tell me if we're on track for our diversion target.,Water & waste,Expert,,,,S1:new-modality,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q059,Which toilets need cleaning most urgently based on footfall?,Cleaning & daily operations,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q060,The bins on floor 2 are always full by lunchtime - can you check that?,Cleaning & daily operations,Naive,,,,pillar:predict;S1:new-modality,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q061,Are the lights on in empty rooms right now?,Lighting & acoustics,Naive,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q062,Which rooms fail the daylight factor requirement in winter?,Lighting & acoustics,Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q063,"Where is it loud enough that people can't concentrate, and when?",Lighting & acoustics,Intermediate,,,,S1:existing;graph:metadata,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q064,We've got 300 visitors on Thursday - what should I change?,Events & scheduling,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q065,Can the building handle an all-day event in the atrium next month?,Events & scheduling,Intermediate,,,,pillar:predict,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q066,When can maintenance take AHU-2 offline with the least disruption?,Events & scheduling,Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q067,"Is the lift working, and if not, how do I get to the fifth floor?",Accessibility,Naive,,,,S1:new-modality;compute:route;docs:kb,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q068,Which routes through the building are step-free?,Accessibility,Naive,,,,compute:route,path+distance,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q069,Are any accessible facilities out of service right now?,Accessibility,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q070,How much did it cost to run this building last month?,Cost & finance,Naive,,,,compute:cost,computed value+method,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q071,What would we save by dropping the setpoint by one degree?,Cost & finance,Intermediate,,,,compute:cost,computed value+method,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q072,Is our energy contract still the right one given our load shape?,Cost & finance,Expert,,,,S1:new-modality,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q073,How do you know that?,System self-knowledge & explainability,Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q074,Which sensors did you use to answer my last question?,System self-knowledge & explainability,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q075,"How confident are you in that forecast, and what would change it?",System self-knowledge & explainability,Expert,,,,pillar:predict,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q076,What don't you have data on in this building?,System self-knowledge & explainability,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q077,When was this data last updated?,System self-knowledge & explainability,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q078,Is this building good or bad for the environment?,Carbon & retrofit,Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q079,What's our operational carbon this year versus target?,Carbon & retrofit,Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q080,"If we replaced the gas boilers with heat pumps, what happens to emissions and bills?",Carbon & retrofit,Expert,,,,compute:whatif,scenario estimate (declared assumptions),auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q081,Which retrofit gives the best carbon saving per pound spent?,Carbon & retrofit,Expert,,,,compute:cost,computed value+method,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q082,Are the solar panels working?,"Generation, storage & grid",Naive,,,,S1:new-modality,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q083,How much of today's electricity came from our own generation?,"Generation, storage & grid",Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q084,Should we charge the battery now or wait?,"Generation, storage & grid",Expert,,,,S1:new-modality;compute:cost,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q085,Is this building better or worse than the one next door?,Benchmarking & comparison,Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q086,How do we compare with similar buildings in the sector?,Benchmarking & comparison,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q087,Which floor is the worst performer and why?,Benchmarking & comparison,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q088,"What complaints have people raised about this floor, and were they justified?","Maintenance, tickets & complaints",Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q089,"How many open work orders are there, and which are overdue?","Maintenance, tickets & complaints",Intermediate,,,,S2:workorder,event-list/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q090,Do complaints cluster anywhere the data says everything is fine?,"Maintenance, tickets & complaints",Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q091,It's meant to be hot next week - will we cope?,Weather coupling,Naive,,,,pillar:predict;S1:existing,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q092,How much of our heating demand is explained by outside temperature alone?,Weather coupling,Expert,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q093,"Same as last time, but for the second floor.","Personalisation, memory & follow-up",Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q094,Remember I prefer cooler rooms - where should I book tomorrow?,"Personalisation, memory & follow-up",Naive,,,,S2:booking;pillar:predict,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q095,Send me this report every Monday morning.,"Personalisation, memory & follow-up",Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q096,Is everything okay?,"Ambiguous, underspecified & out-of-scope",Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q097,Fix the temperature in here.,"Ambiguous, underspecified & out-of-scope",Naive,,,,S2:workorder;S1:existing,event-list/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q098,Who is responsible for this mess?,"Ambiguous, underspecified & out-of-scope",Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q099,Just tell me the number.,"Ambiguous, underspecified & out-of-scope",Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q100,Can you turn the heating up in my office?,"Ambiguous, underspecified & out-of-scope",Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q101,My desk is right under a vent and I'm freezing - is the vent actually blowing too hard?,Comfort & place-finding,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q102,Which side of the building is warmer in the morning?,Comfort & place-finding,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q103,I keep getting headaches by 3pm - could it be the air in my area?,Comfort & place-finding,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q104,Is the air drier in winter in here? My eyes hurt.,Comfort & place-finding,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q105,What's the humidity at my desk compared to the recommended range?,Comfort & place-finding,Intermediate,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q106,Is there anywhere with natural light where I can work for an hour?,Comfort & place-finding,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q107,Which floor has the best air quality on average this week?,Comfort & place-finding,Intermediate,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q108,I'm pregnant and overheating - where's the coolest place to work today?,Comfort & place-finding,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q109,Does the third floor get stuffy after lunch every day or just sometimes?,Comfort & place-finding,Intermediate,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q110,Why does it always feel colder near the north stairwell?,Comfort & place-finding,Naive,Occupant,,,pillar:detect,episode/diagnosis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q111,Can I get a desk away from the printers? The noise drives me mad.,Comfort & place-finding,Naive,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q112,What was the temperature in my office at 9am this morning?,Current state / lookup,Naive,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q113,Is the meeting room I booked for 3pm going to be warm enough?,Prediction & forward-looking,Naive,Occupant,,,S2:booking;pillar:predict;S1:existing,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q114,Which quiet rooms are free in the next hour?,Comfort & place-finding,Naive,Occupant,,,S2:booking;S1:existing,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q115,I need to take a video call - where can I go that's quiet with a plain background?,Comfort & place-finding,Naive,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q116,Is anyone sitting in the window seats on floor 2 right now?,Occupancy & space utilisation,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q117,How noisy is the open plan area right now compared to normal?,Current state / lookup,Intermediate,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q118,When does the cleaning happen on our floor? The vacuum noise disrupts my calls.,Cleaning & daily operations,Naive,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q119,Which kitchen on this floor has a working coffee machine?,Wayfinding & entity resolution,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q120,Is the water from the tap in the second-floor kitchen drinkable?,Water & waste,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q121,Where's the nearest water refill station to Room 3.18?,Wayfinding & entity resolution,Naive,Occupant,,,compute:route,path+distance,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q122,The light above my desk flickers - has anyone else reported it?,"Maintenance, tickets & complaints",Naive,Occupant,,,S2:workorder,event-list/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q123,How do I report a broken chair without emailing five people?,"Maintenance, tickets & complaints",Naive,Occupant,,,S2:workorder,event-list/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q124,What happened to the ticket I raised about the draught last week?,"Maintenance, tickets & complaints",Naive,Occupant,,,S2:workorder,event-list/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q125,Is it just me or has the building been colder since Monday?,Retrospective analysis & reporting,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q126,Can I see the temperature history for my zone over the last month?,Retrospective analysis & reporting,Intermediate,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q127,Which days last week would have been best for working in the garden room?,Retrospective analysis & reporting,Intermediate,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q128,"Do the plants in the atrium actually improve the air, or is that a myth here?",Cross-domain / open-ended reasoning,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q129,"If I move my desk to the east wing, will I regret it in summer?",Prediction & forward-looking,Intermediate,Occupant,,,pillar:predict,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q130,What's the best floor for someone with pollen allergies during spring?,Cross-domain / open-ended reasoning,Intermediate,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q131,Are the standing desks in the library zone free right now?,Occupancy & space utilisation,Naive,Occupant,,,S2:booking,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q132,Which meeting rooms have windows that actually open?,Wayfinding & entity resolution,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q133,Is there a room with a whiteboard AND video conferencing free at 10?,Events & scheduling,Naive,Occupant,,,S2:booking,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q134,My team of 8 needs a room for a whole-day workshop next Tuesday - options?,Events & scheduling,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q135,Why did my booked room get so hot by the end of my two-hour meeting?,Anomaly detection & diagnosis,Naive,Occupant,,,S2:booking;S1:existing,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q136,Book me the same room I had last Thursday if it's free.,"Personalisation, memory & follow-up",Naive,Occupant,,,S2:booking,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q137,Which lockers are still available on the ground floor?,Current state / lookup,Naive,Occupant,,,S2:booking,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q138,Where can I dry my clothes if I get caught in the rain cycling in?,Wayfinding & entity resolution,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q139,"Are the showers busy at 8am, or should I come earlier?",Occupancy & space utilisation,Naive,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q140,"Is there a prayer or contemplation room, and is it free at midday?",Wayfinding & entity resolution,Naive,Occupant,,,S2:booking,event-list/value,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q141,"Where's the wellness or first-aid room, and do I need a key?",Wayfinding & entity resolution,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q142,Which floors have height-adjustable desks?,Wayfinding & entity resolution,Naive,Occupant,,,graph:metadata,graph answer,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q143,Can you tell me when the post room receives deliveries?,Events & scheduling,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q144,My package was delivered this morning - where do I collect it?,Wayfinding & entity resolution,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q145,What time does the building actually get warm on winter mornings?,Retrospective analysis & reporting,Naive,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q146,"Is the top floor really warmer than the ground floor, or does it just feel that way?",Benchmarking & comparison,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q147,Where do people usually sit when they want to focus?,Occupancy & space utilisation,Naive,Occupant,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q148,"Is the air conditioning making that dripping noise, or is it something else?",Anomaly detection & diagnosis,Naive,Occupant,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
