concept_id,lay_terms,brick_classes,recipe_kind,composite_of,example_questions,confidence
emergency_exit,emergency exit|evacuation route|fire exit|safe exit|exit,brick:Smoke_Detector,threshold,fire_safety,"are entry and exit patterns normal for this time of day? || Will a ""Door Sensor"" alert security if a fire exit is propped open? || What is the correlation between ""morning exit traffic"" and the ramp-up time required for the basement exhaust fans?",medium
water_usage,water use|water consumption|water usage|water waste|water efficiency,brick:Water_Flow_Sensor|brick:Water_Level_Sensor,aggregate,,can water usage patterns help identify inefficiencies in specific areas? || are there sudden spikes in water usage that need attention? || how does the building prioritize maintenance for energy or water efficiency?,medium
water_leak,water leak|leak|flooding|dripping|water running|pipe leak,brick:Water_Flow_Sensor|brick:Leak_Detector,threshold,water_usage,"Does the VOC sensor differentiate between ""cooking odors"" and dangerous gas leaks in the kitchen? || Can the Water Meter detect if a coffee machine or dishwasher has been left running or is leaking? || Are the moisture sensors placed specifically at the ""low points"" of the raised flooring to catch early condensation or pipe leaks?",medium
water_quality,water quality|drinking water|potable water|water safety,brick:Water_Quality_Sensor,threshold,,are there systems to ensure safe drinking water quality at all times? || Where is the nearest washroom or drinking water? || What is the purity of the drinking water?,medium
overall_comfort,comfortable|is it comfortable|comfort level|working conditions|pleasant environment,brick:Temperature_Sensor|brick:Humidity_Sensor|brick:CO2_Level_Sensor|brick:Illuminance_Sensor,range,,can i compare comfort levels between different workspaces? || is this environment comfortable for extended meeting or sessions? || can you tell me which areas feel the most comfortable right now overall?,high
equipment_working,working|functioning|operational|is it broken|not working|equipment fault,brick:Fault_Sensor,threshold,,are there any areas where temperature control is not working properly? || are there any lights that are flickering or not working properly? || are there any devices currently malfunctioning in this room?,medium
lift_status,lift|elevator|is the lift working|lift broken|elevator out of service,brick:Fault_Sensor,threshold,equipment_working,"What is the specific Standby Load of the elevator system when no one has entered the lobby for over 30 minutes? || Can the lifts ""learn"" that the cafeteria floor is the priority destination at exactly 12:05 PM? || How many liters of water are saved annually by the building promoting stair usage over lift usage for travel between just two floors?",high
hvac_performance,HVAC|heating system|cooling system|air conditioning|AC working|heating working,brick:HVAC_Zone|brick:AHU|brick:Zone_Air_Temperature_Sensor,threshold,equipment_working,"how is energy distributed across different systems like HVAC, lighting, and equipment? || are cooling systems evenly distributing air across all zones? || If we shift heavy HVAC tasks to 4:00 AM, how much cheaper is that electricity compared to the Peak Demand at noon?",high
space_availability,available room|find a desk|available space|free room|room available|desk available,brick:Occupancy_Sensor,threshold,busyness,free rooms? || can i get a real time map of available spaces across the building? || Desk available?,high
underutilized_space,under-utilized|empty room|unused space|underused|wasted space,brick:Occupancy_Sensor,threshold,busyness,is there any energy being wasted due to unused spaces? || are there any lights left on in empty rooms? || why are the lights still on in an empty room?,medium
outdoor_temperature,outside temperature|outdoor temperature|outside weather|external temperature,brick:Outside_Air_Temperature_Sensor,aggregate,,are there controls to reduce cooling when outdoor temperatures are lower? || Can the building anticipate temperture chages based on outside temperature? || Does AI constantly monitor outside weather to change inside temperatures?,high
inside_vs_outside,warmer inside|compare inside outside|temperature difference|inside vs outside,brick:Temperature_Sensor|brick:Outside_Air_Temperature_Sensor,correlate,,are there noticeable temperature differences between floors? || is there a way to check temperature differences between rooms? || what is the temperature difference between indoor and outdoor areas?,medium
focus_environment,suitable for study|good for focus|work environment|study environment|productive space,brick:Noise_Level_Sensor|brick:Illuminance_Sensor|brick:CO2_Level_Sensor,range,overall_comfort,Is the current PM2.5 level low enough for a healthy work environment today?,medium
meeting_room_condition,meeting room ready|conference room condition|meeting room comfortable|AV working,brick:Temperature_Sensor|brick:CO2_Level_Sensor,range,overall_comfort,,medium
sensor_anomaly,unusual reading|abnormal value|sensor fault|unexpected spike|outlier,brick:Temperature_Sensor|brick:CO2_Level_Sensor,threshold,,What does AI do if there are unexpected spikes or patterns of energy waste? || Track energy trends over time to spot unexpected spikes or patterns that might indicate waste.,medium
unexpected_open_window,window left open|open window|door left open,brick:Window_Position_Sensor|brick:Door_Position_Sensor,threshold,,"If a Window Sensor detects an open window, does the HVAC Status automatically switch to ""Off"" in that zone? || Who receives notifications about open windows, the tenants or the Building staff? || was the window left open ?",medium
temperature_trend,temperature trend|getting warmer|warming up|cooling down|temperature history,brick:Temperature_Sensor,trend,temperature_reading,,high
energy_trend,energy trend|energy over time|energy increasing|energy pattern|energy history,brick:Electrical_Energy_Sensor,trend,energy_consumption,energy trends? || are there alerts for unusual energy patterns or wastage? || Track energy trends over time to spot unexpected spikes or patterns that might indicate waste.,high
occupancy_trend,occupancy trend|busier over time|occupancy pattern|occupancy history|when peak occupancy,brick:Occupancy_Sensor,trend,busyness,are there smart schedules for heating and cooling based on occupancy patterns? || can you provide a summary of building occupancy trends today? || How do occupancy patterns influence the heating systems?,high
ashrae_compliance,ASHRAE|ASHRAE 55|thermal standard|comfort standard|ASHRAE compliance,brick:Temperature_Sensor|brick:Humidity_Sensor,range,thermal_comfort,is the open plan office meeting ergonomic comfort standards? || can i check if this room meets comfort standards for occupants?,medium
co2_compliance,WHO limit|CO2 standard|air quality standard|CO2 regulation|ventilation standard,brick:CO2_Level_Sensor,threshold,co2_level,,medium
room_booking,booked|booking|reserved|is room booked|room schedule|room calendar,,aggregate,,"are there any conference rooms that can be reserved for an hour? || How does the Occupancy sensor handle a ""Ghost Meeting"" (where a room is booked but the door sensor never opened)? || If the motion sensors detect zero movement but the AV equipment is still drawing power, can the room automatically shut down the screens and alert the booking system?",high
after_hours,after hours|outside working hours|overnight|weekend|outside business hours,brick:Occupancy_Sensor|brick:Electrical_Energy_Sensor,aggregate,,can the building automatically optimize energy use during weekends or holidays? || How much Standby Load do the vending machines draw when the building is closed on weekends? || How does the building’s Relative Humidity sensor help prevent mold growth when the Temperature fluctuates overnight?,medium
window_guidance,should windows be opened|open windows|natural ventilation recommendation,brick:Outside_Air_Temperature_Sensor|brick:CO2_Level_Sensor,correlate,,"Who receives notifications about open windows, the tenants or the Building staff? || does it open windows 0r is this soley based on fan/vent systems || What if people in the building felt that using the building's open windows, rather than the AC, on cooler days was sufficent. Is there a way to notify the smart systems that this is going on?",medium
setpoint_recommendation,setpoint|target temperature|recommended temperature|adjust temperature,brick:Temperature_Setpoint|brick:Temperature_Sensor,range,,"Can we set different Thermostat Setpoints for the gym versus the quiet library zone to match human metabolic rates? || Should the building's target temperature shift slightly based on what people are wearing (e.g., higher in summer, lower in winter) to save energy? || How does the Thermostat Setpoint change based on whether the Occupancy sensor detects people?",medium
energy_saving_tip,save energy|reduce energy|energy saving|lower energy use|efficiency improvement,brick:Electrical_Energy_Sensor,aggregate,energy_consumption,"are there any opportunities to reduce energy consumption in this space? || are there systems that could be optimized to reduce energy use right now? || If the Lux level is high near the windows, can the desks in the center of the room stay dimmer to save energy?",medium
wayfinding,how do I get to|directions to|find room|where is|route to|navigate to,,aggregate,,"Where is the 'ghost' energy being pulled from right now || Where is the quietest ""deep work"" zone based on current acoustic sensors? || can the system suggest a route to minimize exposure to high traffic areas?",high
congestion_hotspot,congestion|bottleneck|crowded corridor|busy area|flow problem,brick:Occupancy_Sensor|brick:Motion_Sensor,aggregate,busyness,is the parking area experiencing congestion at this moment? || How do you manage crowd flow in busy areas? || can you suggest the best route to avoid congestion,medium
solar_output,solar|solar panels|solar energy|PV output|photovoltaic|renewable energy,brick:Electrical_Power_Sensor,aggregate,energy_consumption,"On cloudy days, what is the exact percentage drop in solar efficiency compared to the building's peak demand? || are the solar panels producing optimal energy today? || solar active?",medium
green_certification,BREEAM|LEED|green building|sustainability rating|energy certificate,,aggregate,,How do you support green building standards? || how do you support green building standrds? || Is the building a green building?,low
future_temperature,will it warm up|temperature forecast|predict temperature|expected temperature|forecast temperature,brick:Temperature_Sensor,trend,temperature_reading,,high
future_energy,energy forecast|predict energy|expected energy use|future energy demand,brick:Electrical_Energy_Sensor,trend,energy_consumption,,medium
last_service,last serviced|maintenance history|when was it serviced|service record|last maintenance,,aggregate,,,medium
equipment_condition,equipment condition|equipment health|needs repair|equipment status,brick:Fault_Sensor,threshold,equipment_working,"oes the system use Equipment Health data to automatically generate a work order for a technician? || Can Vibration sensors on a rooftop fan detect a loose belt before the Equipment Health reaches a critical ""Fail"" state? || how do you monitor equipment health?",medium
data_privacy,what do you monitor|data collected|privacy|who sees my data|data about me,,aggregate,,How is my privacy and information used when cameras and sensors detect  or record me in the building? || How is my privacy protected when AI uses cameras to count people? || Can people inside the building opt out of video or audio security for privacy concerns?,medium
system_capability,can you|are you able to|what can you do|system capability|what do you measure,,aggregate,,can you guide me to a workspace with minimal noise and good lighting? || can you notify me if this room becomes too crowded? || can you suggest a workspace where i won't be interrupted often?,high
quiet_space,quiet|quiet spot|quiet place|quiet area|quiet room|quiet zone|somewhere quiet|quiet place to work|quiet spot to work|peaceful|low noise,brick:Noise_Level_Sensor|brick:Sound_Level_Sensor,threshold,acoustic_comfort,where can I find somewhere quiet to work? || which room is quietest right now?,high
outdoor_wind,wind|windy|is it windy|windy outside|strong wind|wind strong|how windy|how strong is the wind|wind speed|gusty,brick:Wind_Speed_Sensor,threshold,,is it windy outside? || how strong is the wind right now?,high
parking_availability,parking bays|parking spaces|free parking|car park spaces|parking availability|bays free|parking spots|spaces in the car park,ontosage:Parking_Occupancy_Sensor|brick:Occupancy_Count_Sensor,aggregate,,how many parking bays are free right now? || are there parking spaces available?,high
