fragment,mentions
scenario optimisation,3
intervention ranking,3
compliance,3
bottleneck analysis,3
dashboard/response,3
available temperature/co2/humidity streams where live,2
utilization calculation,2
airflow feed retrieval,2
general health/comfort thresholds,2
compare peak periods,2
building room topology,2
rank options,2
group by floor,2
rank affected areas,2
safe-limit lookup,2
suitability scoring,2
experiment design,2
datasheet/spec retrieval,2
control/feasibility intent,2
comfort/safety check,2
retrieve co2,2
live co2/temperature/humidity where available,2
rank loads,2
safety rule evaluation,2
floor/site plans,2
traffic retrieval,2
plug-load retrieval,2
current temp/co2/humidity streams where available,2
technician notification,2
rule lookup,2
glare-index calculation,2
read current temperature,2
compute ach,2
confidence interval,2
control decision,2
retrieve indoor temperature,2
send dimming command,2
capability decision,2
resolve hvac zone,2
control capability metadata,2
lift capability lookup,2
compare to standards,2
contact-status retrieval,2
resolve origin/destination,2
temperature/humidity retrieval,2
access-control/door-status feed,2
retrieve temp/co2/rh,2
threshold/status check,2
resolve door scope,2
health summary,2
window-state retrieval,2
latest co2 retrieval,2
general indoor-comfort threshold knowledge,2
latest humidity retrieval,2
hvac status/alarm retrieval,2
safety summary,2
voice capture,2
kg/kb query,2
audio-zone lookup,2
risk classification,2
current ontosage capability configuration,2
resilience summary,2
privacy check,2
explanatory response,2
postgres ticket,2
comfort-threshold selection,2
access-control status retrieval,2
suitability ranking,2
resolve/ask area,2
availability derivation,2
infer/ask location,2
latest open/closed state,2
causal analysis,2
co2 sensor metadata,2
control-rule check,2
privacy/compliance intent,2
floor/zone metadata,2
lift entity lookup,2
cleaning log retrieval,2
latest count retrieval,2
log action,2
risk summary,2
resolve preferred workspace,2
monitor loop,2
threshold detection,2
health thresholds,2
general glare comfort thresholds,2
location/default resolution,2
live lift status retrieval,2
compute duration,2
resolve corridor,2
risk assessment,2
asset discovery,2
rank lowest,2
general comfort humidity guidance,2
current humidity retrieval,2
filter for today,2
general ventilation/co2 thresholds,2
hvac/airflow retrieval,2
synthesize measures,2
user-provided start location,2
event retrieval,2
define ventilation metric,2
map/list response,2
general llm architectural knowledge,2
line-of-sight analysis,2
sla lookup,2
availability computation,2
general safety criteria,2
safety/compliance intent,2
telemetry/fault-log retrieval,2
route instructions,2
disambiguate metric,2
health scoring,2
aqi calculation,2
resolve target zone,2
select mitigation,2
check/ask current location,2
threshold assessment,2
outdoor aq api retrieval,2
self-test log retrieval,2
route/response,2
sensor ingestion,2
availability lookup,2
constraint check,2
general co2 safety guidance,2
conversation/user context,2
identify room,2
intervention planning,2
access-control feed,2
retrieve live telemetry,2
general health thresholds,2
privacy-safe response,2
control-plan generation,2
reception hours,2
resolve target area,2
compare with threshold,2
resolve this area,2
general air-quality threshold knowledge,2
system capability config,2
resolve 'this space',2
location lookup,2
current date,2
emergency/business-continuity plan file in inputs/,2
rank highest,2
resolve cafeteria,2
status intent,2
threshold monitor,2
user request,2
user notification endpoint,2
user-office mapping,2
typo/intent normalisation,2
optimisation planning,2
duration calculation,2
compare to dry-air threshold,2
location/zone resolution,2
current temp/co2/humidity retrieval,2
response/audit logging,2
resolve thermostat/zone,2
general comfort criteria,2
general privacy principles,2
freshness check,2
resolve/ask target room,2
constrained optimisation,2
causal diagnostics,2
floor/zone topology,2
locate user,2
all-floor temperature ingestion,2
list rooms,2
delta calculation,2
general air-quality guidance,2
response/map,2
compute open duration,2
rooftop/landscape plan in inputs/ folder,2
historical maps/photos,2
building metadata,2
feature grouping,2
conversation-memory lookup,2
confidence summary,2
visitor registry retrieval,2
multi-objective optimization,2
filter-spec lookup,2
uncertainty summary,2
lift lookup,2
manufacturer datasheet file (inputs/,2
manufacturer datasheet/protocol spec file (inputs/,2
building/system config,2
system current date,2
contact-state retrieval,2
roadmap retrieval,2
construction timeline retrieval,2
interval extraction,2
room enumeration,2
system capability metadata,2
construction spec retrieval,2
compliance/risk summary,2
compare with visual-comfort thresholds,2
descriptive synthesis,2
threshold extraction,2
locate zone,2
savings opportunity ranking,2
density calculation,2
door-status retrieval,2
user/location context,2
monitor savings,2
comfort assessment/optimisation,2
response/visual,2
control/notification loop,2
filter/rank rooms,2
severity synthesis,2
general visual-comfort standards,2
retrieve latest live reading,2
identify server room,2
availability rule,2
latest/average calculation,2
locate user/zone,2
feature engineering,2
live comfort retrieval,2
data quality checks,2
meter heartbeat/protocol logs,2
exception summary,2
send notification,2
already modelled points connected,2
general co2/ventilation guidance,2
fill-level retrieval,2
user/session location,2
criteria selection,2
read current temp,2
user-provided suggestion text,2
create suggestion record in postgres,2
consent/profile lookup,2
zone mapping,2
roof plan/3d shade geometry inputs/ file,2
capability/metadata check,2
resolve 'these',2
comfort assessment,2
group functions,2
user-provided or remembered origin,2
comfort-input retrieval,2
general rh comfort/safety ranges,2
monitor temperature,2
planning/site-history retrieval,2
store priority feedback,2
optional map visual,2
event summary,2
non-live floor,2
resolve boiler,2
system config,2
capability/discovery intent,2
bldg1 config,2
evidence summary,2
humidity-control metadata,2
contact lookup,2
confirm,2
audio controller api,2
media source api,2
system capability registry,2
monitor/rollback,2
smart coffee machine status/control feed (new iot data source,2
multi-intent decomposition,2
normalisation,2
latest status retrieval,2
resolve main entrance,2
option synthesis,2
resolve break room,2
occupied yes/no derivation,2
create subscription,2
hvac filtration/o&m specs (new inputs/ files,2
co2 point metadata,2
geocoding/postcode api,2
retrieve building location,2
rank max,2
user/session location from dialogue,2
risk intent,2
music content service/api,2
visitor sign-in feed,2
resolve referred systems,2
live temp/co2/humidity where relevant,2
rank sources,2
gap analysis,2
option ranking,2
align/normalise,2
lift meter retrieval,2
meter retrieval,2
chiller fault retrieval,2
retrofit cost/performance database,2
general llm standards knowledge,2
list offending plugs,2
compliance scoring,2
interpretation,2
retrofit cost/savings library,2
asset condition/fabric records,2
visuals,2
general h&s guidance,2
safety reports in postgres,2
general legionella control knowledge,2
filter fault/disabled,2
threshold interpretation,2
general llm h&s guidance,2
obligation mapping,2
compliance module,2
warden sweep reports,2
general h&s best practice,2
evidence completeness checks,2
panel status retrieval,2
general h&s evacuation procedure knowledge,2
hr/staff roster and visitor-management feed,2
compliance-rule lookup,2
greenery sensor/cv feed,1
greenery data ingestion,1
conservation asset mapping,1
control-response analysis,1
capability/control-sequence lookup,1
outdoor-temperature source check,1
capital-works/retrofit roadmap,1
retrieve available ieq data,1
standards/roadmap ingestion,1
compare with circadian criteria,1
existing temp/co2/humidity streams where relevant,1
cleaning-log retrieval,1
optimise reduction action,1
capability routing,1
general llm ventilation guidance,1
adequacy calculation,1
rank underused sections,1
live environmental streams for other floors if queried,1
command/ack log retrieval,1
user-input event logs,1
input/control log retrieval,1
user/current location,1
alarm/status retrieval,1
define humidity threshold,1
find break areas,1
health-risk summary,1
furniture/av/collaboration metadata (a,1
existing live temp/co2/humidity where available,1
monitor/response,1
identify shared spaces,1
score/rank matches,1
decay/removal-efficiency modelling,1
workspace/screen-orientation metadata,1
rank by glare,1
existing model points,1
general comfort rh guidance,1
general health/safety thresholds,1
safety/ieq sensor feeds,1
all-floor/safety feed retrieval,1
ranked findings,1
attention scoring,1
hvac heating telemetry,1
comfort metric calculation,1
airflow and cooling-system telemetry,1
inefficiency diagnosis,1
dba retrieval,1
count/group by location,1
retrieve access events,1
retrieve movement/position/access events,1
apply freshness/productivity thresholds,1
latest environmental retrieval,1
mode/status retrieval,1
filter by floor/time/type,1
count/list,1
connect modelled points,1
compute stability metrics,1
notify,1
compute comfort index,1
parse duration/time,1
window-status retrieval,1
tracking job,1
identify areas,1
interval detection,1
retrieve live readings/status,1
rank candidate spaces,1
general ventilation comfort thresholds,1
general humidity comfort thresholds,1
threshold rule,1
rank least use,1
resolve entrance and workspace candidates,1
list warmer rooms,1
natural-ventilation metadata,1
live environmental retrieval,1
ventilation/airflow estimation,1
signage display logs,1
general mold rh/duration guidance,1
formaldehyde/event/hvac data retrieval,1
decay/flush-time modelling,1
general metabolic-rate defaults,1
metabolic comfort profile selection,1
glare-index retrieval,1
coat/clothing detection feed (new sensor/cv feed,1
coat/clothing detection feed,1
air-speed and mean-radiant-temperature sensors,1
control feasibility intent,1
retrieve temp/humidity,1
retrieve live zone and demand data,1
pre-cooling optimiser,1
filter no-entry intervals,1
30 min,1
compute standby load stats,1
compare with noon peak cost,1
machine-to-circuit mappings,1
tuesday-night filter,1
rank likely machine left on,1
exhaust-fan command/status logs,1
closed-hours filtering,1
queue-status model,1
microwave location metadata,1
mobile app api endpoint,1
capability/integration check,1
queue inference,1
mobile api publish,1
logging completeness analysis,1
general sensor knowledge,1
capability/classification analysis,1
identity-to-access mapping,1
pue boundary metadata,1
pue formula selection,1
threshold config retrieval if absent,1
rack thermal/server telemetry,1
fan-speed telemetry/control logs,1
door/access event logs,1
ghost-meeting rule evaluation,1
fan/control-log ingestion,1
workstation/screen/window geometry file (inputs/ file,1
retrieve available co2/temp/humidity,1
feasibility model,1
control-loop dimming trial,1
rank units,1
infer unmet demand,1
identify users,1
compare to sluggishness thresholds,1
live temperature/co2/humidity context,1
electrical topology,1
health-score definition in capability yaml (inputs/ file,1
lobby display/cms exposure logs,1
health-score config file,1
feature/causal intent,1
define health score,1
comfort-button event stream,1
capture button event,1
monitor temperature response,1
select nearest temp sensors,1
compute difference,1
local regulatory thresholds/standards,1
standards retrieval,1
compliance evidence model,1
building hours config,1
passenger/load counts,1
lift call/destination logs,1
kb lookup cafeteria floor,1
priority command to lift controller,1
spl/chatter stream retrieval,1
speaker command,1
filter specification records,1
general co2/fatigue knowledge,1
glare-view optimisation,1
feasibility planning,1
control-l,1
window/façade insulation metadata,1
identify standby periods,1
rank contributors,1
causal factor analysis,1
lift/stair traffic retrieval,1
compliance intent/reporting,1
compute min/percentiles vs threshold,1
compliance response,1
path prediction,1
feedback check,1
basement/fan topology metadata if not already modelled,1
align morning windows,1
compute ramp-up times,1
evse/transformer retrieval,1
moisture retrieval,1
override evaluation,1
control-loop status,1
wind-speed retrieval,1
safety-threshold rule evaluation,1
demand data retrieval,1
cloudy-day classification,1
rolling 180s rule evaluation,1
non-office-hours filtering,1
differential-pressure/airflow feed,1
revolving-door geometry/specifications (new inputs/ file,1
revolving-door cycle counts,1
door geometry/spec files,1
per-cycle infiltration calculation,1
visitor check-in stream,1
kiosk/response delivery,1
obstruction feed retrieval,1
sensor and low-point import,1
duration/status filter,1
predictive assessment,1
ml classification,1
add to o,1
airflow optimization,1
technician roster/routing kb,1
health feed retrieval,1
standby threshold catalog input file (new inputs/ yaml,1
device standby thresholds/catalog,1
early-warning rule,1
barometric pressure feed,1
wind speed/direction feed,1
pressure/wind retrieval,1
fan-control threshold/rule data,1
pipe-zone localisation,1
shift-time check,1
current feed retrieval,1
smart-plug shed command,1
sensor/api retrieval,1
blinds command,1
control algorithm,1
dimmer command,1
live status/event retrieval,1
bacnet metadata/config query,1
airflow/pressure/hvac status,1
pm/aq retrieval,1
filtration controller status/sequence lookup,1
control-logic explanation,1
resolve boardroom,1
general mold-risk knowledge,1
closing-hours lookup,1
renovation-zone lookup,1
local or zone temperature feed,1
timed revert,1
apply rh health scoring,1
floor ranking,1
sunset api lookup,1
airflow and volume retrieval,1
choose safe fresh-air adjustment,1
indoor positioning/current-zone feed (new sensor/api,1
collaboration metadata ingestion,1
current location retrieval,1
filter/rank,1
deep-work zone metadata,1
current dba retrieval,1
multi-criteria rank,1
led dimming/control logs,1
rank zones,1
load kw retrieval,1
calculate percentage,1
filter/merv metadata,1
traffic/peak-hour retrieval,1
retrieve live and [new] co2 feeds,1
cleaning event retrieval,1
generate flush strategy,1
available temperature telemetry where live,1
retrieve available temperature telemetry,1
compare with tolerances,1
rack asset lookup,1
ambiguity detection,1
door event/status retrieval,1
general safe rh/static/corrosion thresholds,1
general glare/ugr/contrast thresholds,1
display-screen metadata,1
glare/contrast model,1
threshold/worst-case analysis,1
ventilation retrieval,1
furniture lookup,1
room/hvac-zone lookup,1
control-plan selection,1
fault intent,1
locate room/user context,1
user-provided location/context,1
hvac filtration/o&m specs as new files in inputs/,1
hvac filtration/o&m documents,1
ingest filtration docs from inputs/,1
filtration/odor-control specs (inputs/ file + kb,1
filtration/odor-control specs in inputs/ and kb,1
sequence-doc retrieval,1
profile/subscription lookup,1
co2 stream check,1
sequence-doc lookup,1
zone sensor/control mapping,1
profile lookup,1
retrieve existing environmental streams,1
usage-feed retrieval,1
store reminder,1
store reminder rule,1
validate constraints,1
monitor co2/temp,1
profile-store/control-interface check,1
seasonal rules,1
resolve unit/hvac zone,1
retrieve indoor history,1
allergen/symptom ingestion,1
format action list,1
threshold/coverage lookup,1
optional live reading check,1
empty-area detection,1
ask desired level if missing,1
fuse availability state,1
adaptive model update,1
app command path check,1
live temp/co2/humidity retrieval,1
safety event stream retrieval,1
parcel/mailroom/locker system feed,1
mobile-credential/access-control system feed,1
describe live data path/dashboard,1
optional building sensor stream if condition-based,1
cleaning equipment metadata,1
cleaning system status/control feed,1
cleaning api command,1
monitor status,1
ask target temperature/location if missing,1
general commissioning/m&v knowledge,1
identify green-tech assets,1
capability/trend intent,1
list allowed adjustments/request path,1
add meters,1
optimization,1
general rh comfort thresholds,1
air-purifier asset/control metadata,1
general m&v guidance,1
resolve 'this part',1
indoor circulation route graph (inputs/ file,1
indoor route graph,1
resolve start/end,1
filter next hour,1
join locations/assets,1
workstation/furniture data,1
resolve open plan office,1
retrieve temp/co2/humidity,1
user-provided car location,1
ask/resolve car location,1
map/route visual,1
retrieve current/recent readings,1
room/temperature-point lookup,1
retrieve temperature readings,1
model expected output/performance ratio,1
detect availability transition,1
usage event retrieval,1
meter-to-subsystem mappings,1
condensation/dew-point check,1
path cost scoring,1
continuity procedures,1
critical-load dependency data,1
resilience asset and procedure retrieval,1
airflow/control retrieval,1
load-meter retrieval,1
rank equipment,1
compare with control rules,1
general thermal-comfort humidity guidance,1
comfort-threshold calculation,1
general ventilation/stuffiness thresholds,1
ranked room list,1
general thermal-comfort guidance,1
live-stream coverage check,1
av/vc,1
score/rank places,1
door/access retrieval,1
obstruction detection,1
plug-point and availability lookup,1
resolve time window,1
variance ranking,1
today's malfunction summary,1
compute speed score and rank areas,1
join/filter,1
ranking/scoring,1
lift usage/ride counts,1
ingest specs/certifications,1
retrieve pressure/thermal/contact readings,1
airflow/static-pressure/rpm/vfd status feed,1
calculate sfp/efficiency vs curve,1
conversation/user-selected location,1
existing temp/humidity where live,1
general plant-health norms,1
resolve plant scope,1
safety-threshold rule/llm,1
general o2 safety threshold,1
resolve 'here' to room/zone,1
o2 reading retrieval,1
threshold/latest-event check,1
fan status/rpm retrieval,1
boiler status retrieval,1
active-state check,1
charging-state check,1
compare to comfort threshold,1
network health retrieval,1
kb lookup(coffee point,1
coffee/pos status read,1
kb lookup(food venues/events,1
menu/event/free-food retrieval,1
lock-state retrieval,1
compare with detection threshold,1
detection threshold from sensor spec/config,1
threshold/boolean detection,1
bin fill retrieval,1
threshold/compliance analysis,1
resolve/ask target zone,1
co2/humidity/temp retrieval,1
empty/not-empty inference,1
general co2 safety/comfort limits,1
capability/ethics check,1
speaker/pa/audio-zone system api (new control endpoint,1
asr,1
locate user/audio zone,1
music api lookup,1
audible confirmation/response,1
garden asset ingestion,1
compare stc/nic ratings,1
control/reservation workflow,1
reservation/control workflow,1
threat detection,1
feasibility summary,1
dialogue/user-supplied list,1
action intent,1
recipient lookup,1
food-quantity ingestion,1
resolve kitchen zone,1
safety/status retrieval,1
resolve lobby zone,1
lobby temp retrieval,1
access-control workflow retrieval,1
user-supplied meeting room/start/target,1
collect room/start time/target,1
consent check,1
vitals/event ingestion,1
emergency workflow,1
microphone/wake-word/stt/tts voice interface (audio feed,1
office microphone/audio streams,1
speech-to-text,1
text-to-speech,1
spoken response,1
ventilation/control plan,1
add classes,1
biometric feed check,1
grounds/site plan file (inputs/,1
grounds/site plan (inputs/ file,1
grounds/site asset lookup,1
resolve target window/location,1
position feedback,1
general safety/operational knowledge,1
scenario classification,1
audio-event/threat classifier,1
audio feed ingestion,1
audio-event classification,1
audio/video/access event retrieval,1
human-in-loop triage,1
general risk framing,1
gap synthesis,1
safety protocol intent,1
emergency-protocol intent,1
shutter asset query,1
gap scoring,1
capability/gap assessment,1
deployment lookup,1
capability/coverage check,1
completeness assessment,1
historical chat/audit logs,1
safety filter/event logs,1
audit-log retrieval,1
active data stream status,1
capability/self-assessment intent,1
retrieve component capabilities,1
query building data coverage,1
synthesize limitations,1
operational drill/test logs,1
ai scenario evaluation records,1
drill/testing intent,1
retrieve drill/test records,1
conflict-instruction intent,1
identify requester/target zone,1
intents/config metadata,1
compare floors,1
sequence/priority rule retrieval,1
conversation state,1
user contact/consent profile store,1
outbound messaging api,1
user contact retrieval,1
outbound channel registration,1
ui/avatar asset manifest in inputs/,1
acknowledgement/user identity store,1
rules retrieval,1
acknowledgement/access-log retrieval,1
"device-health, alarm and protocol logs",1
dependency/health/log retrieval,1
failure-impact analysis,1
control-endpoint/live-sensor check,1
capability response,1
audio stream retrieval,1
video feed retrieval,1
police response/outcome data feed or api,1
police response/outcome data,1
police liaison and incident data retrieval,1
meter/api/document retrieval,1
ontosage capability/config metadata,1
memory/config lookup,1
front-end/client availability config (inputs/ file,1
ontosage api/config,1
access-channel registry,1
front-end/client deployment config,1
local config/kg lookup,1
building.yaml active-building config,1
communication-channel log/dashboard check,1
new inputs/ttl/yaml,1
define eco-friendly criterion,1
dhw asset/spec lookup,1
classify systems,1
general ventilation criteria,1
control strategy docs in inputs/,1
usage retrieval,1
comfort index calculation,1
under-threshold filter/ranking,1
entity/location disambiguation,1
asset-location lookup,1
availability feed monitoring,1
retrieve full-building/environment/productivity feeds,1
emergency routing/traffic api,1
indoor access-time model,1
ventilation metadata/feed retrieval,1
rank nearby spaces,1
manufacturer/safety limit table,1
filter active/avoid zones,1
meter/alarm retrieval,1
distraction scoring/ranking,1
existing co2/temp/humidity as proxy where streaming,1
multi-system feed retrieval,1
rank assets,1
cooling-status retrieval,1
general electrical efficiency criteria,1
panel/feeder rating metadata,1
open-duration calculation,1
traffic api,1
hvac ventilation-state feed,1
traffic api feed,1
retrieve co2/temp/humidity,1
compute ventilation adequacy,1
compare to guidance,1
threshold/suitability scoring,1
airflow/ieq retrieval,1
general normal-condition thresholds,1
state-change detection,1
rank/list rooms,1
ask/assume group size and time,1
severity filter,1
list/map affected rooms,1
zero-use filter,1
general comfort/work criteria,1
access/space-use metadata,1
compute suitability score,1
choose comfort band,1
flag uncomfortable rooms,1
comfort threshold evaluation,1
procurement/catering records,1
general glare-comfort thresholds,1
blind/window-state feed,1
glare metric calculation,1
user-location feed,1
retrieve env readings,1
rule/threshold evaluation,1
general llm thresholds,1
fetch wind speed/gust,1
safe/refuge area annotations,1
user location,1
retrieve safe-area annotations and live hazards,1
resolve screen/room,1
threshold/inference,1
configured/general co2 thresholds,1
system-health heartbeat feed,1
infer system-health intent,1
alarm/heartbeat retrieval,1
broad-health intent,1
client qos/speed-test feed,1
compute small decrement,1
interpret 'softer',1
write dim/cct command,1
current co2/temperature/humidity streams where available,1
hvac ventilation telemetry,1
lift call/door/travel/controller logs,1
passenger-count and wait-time telemetry,1
inactivity threshold evaluation,1
hvac filter/control-sequence data,1
format by zone/mode,1
context/rule evaluation,1
o&m/as-built document retrieval,1
existing hvac asset metadata,1
roof/o&m document retrieval,1
cafe reservation platform api,1
user confirmation,1
create reservation,1
plug-load and control-log retrieval,1
idle-state analysis,1
identify lobby/start,1
ask/use destination,1
privacy/capability lookup,1
access-log schema query,1
av asset/support kb lookup,1
conflict detection,1
notifications,1
window/contact sensor status feed,1
identify window/zone if supplied,1
glare-index feed/model,1
glare/blind capability lookup,1
boiler status/control-point feed,1
general llm privacy/gdpr knowledge,1
general llm privacy-preserving ai knowledge,1
responsibility lookup,1
hvac/access/pa control endpoints,1
safety/hvac/access-control plan,1
redaction,1
alarm-routing retrieval,1
emergency-type mapping,1
"sensor metadata for temperature, co2, humidity points",1
optional kb lookup,1
identify user location if provided,1
equipment specs/ratings registry,1
premises and outdoor-area definitions,1
emergency procedure lookup,1
speed spec lookup,1
safety-capability lookup,1
co-alarm asset-register lookup,1
fixture specification lookup,1
resolve hvac zone/time,1
app/remote interface lookup,1
all-floors completeness check,1
resolve storage asset,1
resolve 'steps' as stairs and floor context,1
distance/proximity calculation,1
cafe menu/pricing dataset,1
cafe menu dataset/feed or capability yaml,1
menu lookup,1
format item list,1
compliance/status assessment,1
arrival event retrieval,1
resolve meeting room/floor,1
inputs/ asset file,1
commissioning/spec records,1
detection-latency estimate,1
utility account/meter metadata,1
normalize months,1
clause extraction,1
conditional answer,1
status/control retrieval,1
create request or send [new] deactivation command,1
approved finishes list if separate (inputs file + kb,1
compare paint and flooring clauses,1
per-room summary,1
identify room and target,1
derive ignored-state consequence,1
identify room and risk context,1
general llm privacy knowledge,1
parse sensor reference,1
compare captured data with privacy norms,1
redacted response,1
capability mapping,1
iam/audit-log check,1
access intent,1
door hardware lookup,1
retrieve temp series,1
segment unoccupied periods,1
stability stats,1
safety/air-quality intent,1
mobile-access capability lookup,1
link features to restrooms,1
filter by access/location,1
compute latency,1
filter public-accessible items,1
role/context inference,1
regular-hours lookup,1
map availability/rendering,1
optionally inputs/ yaml,1
filter employee-only,1
regulatory requirement checklist,1
compare required vs completed/pass status,1
identify room/zone or ask follow-up,1
explain local control/request path,1
construction timeline lookup,1
date-duration calculation,1
linked feature summary,1
design-document retrieval,1
mechanism synthesis,1
task-profile match,1
programme availability summary,1
mood/green-space ingestion,1
natural-ventilation design/control inputs,1
demand-response/control-sequence inputs,1
control-sequence/log check,1
resolve current section,1
utilisation calculation,1
rank/map underused spaces,1
asset-location metadata if absent,1
nearest temperature point query,1
floor/space metadata,1
availability feed retrieval,1
event rule subscription,1
site/access plan lookup,1
current access status retrieval,1
route/clearance check,1
candidate space retrieval,1
ventilation score/ranking,1
general electrical efficiency rules,1
control-status retrieval,1
ontosage/api latency metrics,1
latency/event retrieval,1
comfort sensor lookup where live data exists,1
rank suitable spots,1
current-time filter,1
dialogue-provided current location,1
route to nearest emergency exit,1
general video-call suitability heuristics,1
define suitability rubric,1
retrieve live env data,1
score/rank rooms,1
user/session location or specified room,1
define efficiency metric,1
normalize kw/m² and kw/person,1
compute floor averages/range/stddev,1
filter zero-use rooms,1
confirm current location,1
workspace query,1
format count/list,1
current room context,1
general safety threshold knowledge,1
traffic scoring,1
rank workspaces,1
apparent-coolness or temperature ranking,1
comfort data retrieval,1
general comfort rh thresholds,1
resolve defaults,1
resolve goal/defaults,1
respons,1
glare model,1
general co2 safety/comfort thresholds,1
current co2/rh retrieval,1
risk scoring/synthesis,1
general thermal-comfort thresholds,1
retrieve temperature/humidity trends,1
hvac telemetry/log retrieval,1
derive occupied/free status,1
live hazard/incident/alarm/accessibility status feeds,1
live hazard/status retrieval,1
safe-route optimisation,1
count free slots,1
on/off evaluation,1
fan-speed retrieval,1
map phrase to indoor conditions,1
list by floor/location,1
general llm hvac comfort knowledge,1
communications log retrieval,1
landscaping/grounds design and o&m files placed in inputs/,1
landscape design/o&m documents in inputs/,1
practice synthesis,1
low-demand detection,1
control-loop audit,1
general comfort standards,1
full ashrae-55 comfort inputs if exact compliance is required,1
retrieve latest temp/co2/humidity,1
compare with comfort thresholds,1
check reports,1
detect last off/active threshold crossing,1
ventilation/airflow retrieval,1
user/current location context,1
map/route rendering,1
resolve indoor/outdoor scope,1
outdoor feed retrieval,1
"heartbeat, fault and offline logs",1
vms health/status retrieval,1
identify cafeteria,1
structural element model and sensor mappings,1
resolve structures and time window,1
automation/control logs,1
savings attribution,1
alarm-event retrieval,1
threshold/warning check,1
