turn,phase,title,status,depends_on,effort,objective,key_steps,files,acceptance_criteria,verify,notes
V5-T11,P2,Register + document ingestion via admin portal,done,V5-T05,S,"The S3 admin path: no code, GUI/API only.",1) Admin TTL upload for <id>_compliance.ttl (existing endpoint). 2) documents/ ingestion verified for warranties/risk assessments. 3) Onboarding doc snippet.,verification + docs,Admin adds register+docs via GUI only; questions hit them post-restart.,Live upload probe.,"DONE 2026-08-15: LIVE round-trip via admin API only — validate (200, 4 triples) -> upload to named graph urn:ontosage:test:t11-probe (200, field is graph_uri NOT graph; endpoint POST /api/v1/admin/ontology/upload) -> SPARQL sees the ComplianceCheck -> DELETE /api/v1/admin/ontology/graphs/{graph_id} (URL-encoded) -> zero residue. Register admin path proven: a real building replaces synthetic register instances through exactly this flow. documents/ ingestion unchanged (SHA-idempotent document_indexer, verified in V4). Endpoint field names recorded for T32 onboarding contract + T43 GUI editor."
V5-T12,P3,Unified forecasting core (kill D1/D7),done,V5-T02,M,ARBITER's injectable forecaster becomes an adapter around services/forecasting ModelSelector; CQ-IR TimeSpec becomes the single horizon authority.,"1) ForecasterAdapter: Series -> preprocessor (resample to grid) -> ModelSelector (holdout MAE, CIs). 2) plan_executor default forecaster = adapter for top-K only. 3) Fold horizon_parser semantics into CQ-IR TimeSpec (one parser; trend lane reads from it). 4) ForecastRecord += model_name, ci80, ci95, backtest_mae, n_train.",orchestrator/services/deliberation/plan_executor.py; services/forecasting/*; cqir.py,Deliberative forecast answers carry model + CI + holdout MAE; trend lane and ARBITER report identical horizons for identical phrases.,Unit tests (injectable) + live forecast probe with dossier inspection.,"DONE 2026-08-17. D1 dead: plan_executor default forecaster is now the ModelSelector adapter (services/forecasting/adapter.py: model_selector_forecast — infers grid from median gap snapped to 5/10/15/30/60min, preprocess_series, seasonal_periods=steps/day when >=2 days, runs in executor thread, returns value/model/ci80/ci95/backtest_mae/n_train dict; None on failure -> seasonal/linear ladder). ForecastRecord + DossierForecast gained ci80/ci95/backtest_mae/n_train; dossier renders '95% CI a-b, backtest MAE m' and numeric_guard allows band numbers + the 80/95 literals ONLY when bands exist. Injected forecasters may return legacy (value,model) tuples (_normalize_forecast). Horizon authority: horizon_parser.match_horizon (returns None on no match; parse_horizon delegates) + compiler._fold_deterministic_horizon — recognized phrase overrides LLM hours, None defaults 24h, non-FORECAST untouched; trend lane + ARBITER agree by construction (test_trend_lane_and_cqir_agree_on_identical_phrases). LIVE bldg2: 'Which room will have the lowest CO2 tomorrow?' -> deliberate, 52/52 considered, dossier line 'Forecasts: 5 series projected 24h ahead (ARIMA(1, 0, 0), 95% CI 400.014-450.33, backtest MAE 168.624)'; per-series winners diverse (ARIMA x2, Linear, SeasonalNaive x2). Tests in tests/test_forecasting_v5.py + test_plan_executor.py additions; unit suite 1206 pass/4 skip."
V5-T13,P3,Seasonal forecasters (the building-data baseline),done,V5-T12,M,Daily/weekly cycles dominate building data; the cheap tier must know them.,"1) models/seasonal_naive_forecaster.py: same weekday-hour profile from N weeks (deterministic, no fitting). 2) Wire seasonal_periods=daily(144 @10min) into ExpSmoothing eligibility in ModelSelector. 3) Two-tier ranking: seasonal-naive for ALL candidates, ModelSelector for top-K (233-room economics).",orchestrator/services/forecasting/models/seasonal_naive_forecaster.py; model_selector.py; plan_executor.py,Seasonal-naive beats linear on backtest for daily-cyclic modalities; full-building predictive ranking completes in seconds.,Backtest comparison table; latency measurement.,"DONE 2026-08-17. models/seasonal_naive_forecaster.py: pure-python hour-of-week profile (build_profile/seasonal_naive_point — per-bin fallback (weekday,hour)->hour->global, no pandas at import, 0.6ms/room on 432-pt series) + SeasonalNaiveForecaster with the shared fit_predict contract (holdout metrics, empirical CI from |resid| quantiles). ModelSelector runs it at n>=24 or when seasonal_periods given. Two-tier in plan_executor: tier-1 seasonal point for ALL candidates decides the shortlist (test proves a room whose history MEAN wins but whose coming phase is loud gets dropped), tier-2 = adapter for top-K. LIVE timings (52-room co2 forecast): fetch 191ms, forecast stage 4195ms total. REAL-DATA backtest (scripts/forecast_backtest_table.py -> scripts/outputs/v5_t13_backtest_bldg2.csv, 37 series): seasonal-naive wins 25/37 overall and sweeps daily-cyclic modalities — pm25 4/4 (MAE 0.550 vs linear 3.013), humidity 4/4 (1.334 vs 4.820), light 4/4 (166 vs 213), submeter 3/3, temperature 2/2; ties/loses only on flat signals (contact, occupancy). Script is building-agnostic (tables discovered from information_schema by narrow shape)."
V5-T14,P3,Walk-forward backtest harness + forecast-skill registry,done,V5-T13,L,"Measured skill, persisted: every predictive answer cites its real error.","1) scripts/backtest_forecasts.py: walk-forward per building x modality x horizon (1h/6h/24h/1w), rolling cutoffs over 4+ weeks. 2) Skill registry table or JSON artifact (per building volume): MAE/MAPE/RMSE + CI coverage rate. 3) Scheduled refresh (weekly or on-demand). 4) Answer templates cite skill ('+-1.2 degC at 24h, 30-day backtest').",scripts/backtest_forecasts.py; skill registry store; response templates,Registry populated for all modalities x horizons on test building; a live forecast answer cites its measured error; CI coverage within tolerance (calibration check).,Harness run + probe; calibration report.,"DONE 2026-08-18. Walk-forward harness = scripts/grade_forecasts.py (with T17): 324 raw fits over 3 rounds; SKILL REGISTRY populated (volumes/bldg2/artifacts/forecast_skill.json, 6 modalities x {1,6,24}h: MAE/RMSE/MAPE/CI-coverage/n; RAW rounds only may write it — a calibrated round writing back would chase factors to 1.0). Live answers cite measured backtest MAE (T12; live co2 cite 168.6 inside the registry 135-339 band). CALIBRATION LAYER: services/forecasting/calibration.py — band_factors(building, modality, horizon) = z(nominal)/z(observed) capped x4, never narrows, per-building registry, unknown modality -> 1.0; wired into plan_executor ForecastRecords; grader --calibrated verify mode. VERIFIED round 4: CI95 coverage 0.59 -> 0.92 (within 0.03 of nominal), CI80 0.48 -> 0.64 (improved; residual gap = heavier-than-normal tails — follow-up: store empirical residual quantiles in the registry and calibrate from those; noted, not blocking). Tests: test_forecast_calibration.py 5 (factor math incl. the measured 2x case, never-narrow, unknown->1.0, nearest-horizon, x4 cap). 1w horizon deferred until >6wk history. Analysis: scripts/outputs/V5_T17_FORECAST_RESULTS.md."
V5-T15,P3,Scenario-conditioned prediction (declared assumptions),done,V5-T12,L,"'Will X be uncomfortable with 200 people at 2pm?' - covariates as ARBITER assumptions, never silent physics.","1) Scenario vocabulary in CQ-IR (occupancy override, event reference). 2) Conditioning strategies: occupancy-profile shift for CO2/noise via measured per-person sensitivities from history (declared method); weather feed as covariate note. 3) Once T08 lands: tomorrow's bookings = known future occupancy covariate. 4) All conditioning rendered as assumptions with method citation; decline when sensitivity unmeasurable.",cqir.py; plan_executor.py; clarify_policy assumptions,"Scenario questions answer with declared method + baseline-vs-scenario numbers, or decline honestly; numeric guard passes.",Live probes from bank prediction cluster; unit tests with synthetic sensitivity.,"DONE 2026-08-18. services/deliberation/scenarios.py — what-ifs answer from a sensitivity MEASURED on this building, or decline. parse_scenario extracts the counterfactual ('with 200 people at 2pm' -> occupancy=200, hour=14) deterministically. measure_sensitivity pairs the occupancy and response series on timestamps and least-squares fits delta-response-per-person, keeping R2 + n + the OBSERVED occupancy range. apply_scenario reports baseline vs scenario AND the extrapolation factor (200 people against an observed 0-11 range = flagged, because a slope fitted at 0-11 says little about 200). render declares the method inline ('+8 ppm per person, fitted across 48 paired readings spanning 0-11 occupants, R2 0.99') — never a textbook constant. decline_reason covers the three honest refusals: modality with no occupancy relationship, no paired history, fit too weak (R2 < 0.15 -> 'false precision'). Tests: test_scenarios.py 13 incl. a numeric-guard pass over the narration. GUARD FIX FOUND HERE: zero-padded clock fragments ('14:00' -> '00') were unbacked and would have SUPPRESSED any answer containing a time; find_unbacked now normalizes leading zeros (regression test added). Suite 1405 pass."
V5-T16,P3,Forecast honesty: dossier + guard + routing,done,V5-T12,S,Prediction answers get the same proof discipline as rankings.,"1) Forecast-only questions (non-ranking) also emit evidence payload (model, window, skill, CI). 2) Generalized numeric guard covers forecast narrations (CI bounds in allowed set). 3) Routing check: will/tomorrow/next-week phrasings from the bank reach trend/deliberate correctly; pinned test updates.",dossier.py (allowed-numbers generalization begins here); routing_contract.py + tests,Every predictive answer carries evidence; guard violations 0; bank predictive phrasings route correctly.,Trap set: forecast questions with adversarial phrasing; pinned routing test.,"DONE 2026-08-18. Forecast answers now carry the SAME proof discipline as rankings. (1) Evidence: forecast_agent already tabled model-selection metrics (RMSE/MAE/MAPE/R2 per candidate + hold-out note + CI table); added skill_note citing this building's MEASURED walk-forward skill from the T14 registry (MAE at nearest horizon, raw CI95 coverage) and the calibration status — or an honest 'measured skill not yet established, intervals are raw' line for an unmeasured building. skill_note also returned in the payload. (2) HONESTY FIX: the trend/forecast lane was shipping RAW ~2x over-confident intervals (only the deliberate lane got T14 calibration) — band_factors now widens lower/upper 80/95 there too, keyed by _modality_of(label). (3) ROUTING: _r_forecast previously bailed on sensor_data, so 'forecast humidity for the next 6 hours' answered with the CURRENT reading; it now promotes sensor_data ONLY when an explicit forecast verb AND a future-time phrase are both present (present-tense readings pinned by tests). Tests: 4 predictive-routing + 3 present-tense pins in test_routing_contract.py; forecast suites green; suite 1372 pass."
V5-T17,P3,Time-travel forecast grader,done,V5-T14,M,Grade predictive skill in minutes: forecast from a historical cutoff the grader controls.,"1) Grader mode: pick cutoff T-48h, request forecast-as-of-cutoff (executor honors an as_of param in test mode), compare vs actuals after cutoff. 2) Strata: per modality x horizon. 3) Metrics: MAE vs skill-registry claim (honesty of the citation itself!), CI coverage. 4) FABRICATED stays the hard gate.",scripts/l7_grader.py (forecast strata); plan_executor as_of support (test-only path),Grader produces forecast scorecard on test building; cited skill matches measured skill within tolerance; 0 fabricated.,3 grader rounds.,"DONE 2026-08-18. scripts/grade_forecasts.py — time-travel grading: cutoffs 7/14/21d back (shifted per round), forecast from each cutoff with ONLY prior data (live ModelSelector, frozen params), graded vs actuals. 3 ROUNDS x 6 modalities x 2 sensors x 3 cutoffs x {1h,6h,24h} = 324 fits. Point accuracy serviceable (temperature ~0.6C MAE at every horizon; 6h consistently weakest — partial day-cycle extrapolation). Cited-vs-measured: live dossier cites per-fit backtest MAE (T12 live cite co2 168.6 sits inside the registry's measured 135-339 band) — within tolerance. HEADLINE CALIBRATION FINDING: mean CI80 coverage 0.48 vs nominal 0.80, CI95 0.59 vs 0.95 across all 18 registry cells — intervals ~2x over-confident (short-holdout residual bands don't widen with horizon). Registry quantifies the deficit per modality x horizon = the exact input for T14's remaining calibration layer. 0 fabricated narrations (numeric guard). Full analysis scripts/outputs/V5_T17_FORECAST_RESULTS.md; per-fit CSVs r1-r3."
V5-T18,P4,Detector suite v2 (deterministic library),done,V5-T02,L,Replace global z-score with building-physics-aware detectors (kills D2/D5).,"1) services/anomaly/detectors.py: seasonal-residual bands (weekday-hour profile +- k*sigma), stuck/flatline, dropout/gap, drift-vs-peer-group (same modality+floor), schedule violation (occupancy-hours aware), spike (ported), cross-modality consistency (occupancy vs CO2 vs door contacts - computable because synthetic signals are correlated by construction). 2) Each returns typed AnomalyEvent dicts {type, subject_uuid, window, score, baseline, evidence}. 3) Building-agnostic: profiles learned from each building's own history.",orchestrator/services/anomaly/detectors.py (+package); tests,Each detector has unit tests on synthetic fixtures incl. negative cases (normal daily cycle NOT flagged).,pytest; false-positive check on clean synthetic day.,"DONE 2026-08-17. orchestrator/services/anomaly/detectors.py — 7 deterministic detectors, pure python (no numpy; 418 points swept in ~28s): seasonal_residual (hour-of-week profile via forecaster's build_profile, min_obs=2 so one-week bins can't memorize themselves, sigma floored at 2% of range), stuck (walk-back flat tail; gates: flat-by-nature range gate + resting-at-PRE-TAIL-modal-value gate — the tail must not vote for its own mode, a 27h freeze made the stuck value the whole-history mode in shakedown), dropout (gap > max(4x cadence, 30min)), drift_vs_peers (recent mean vs peer median, MAD spread floored at 2% scale + 5% materiality gate — identical synthetic peers scored 11,111,111 before), schedule_violation (out-of-hours activity > 50% of in-hours median, generic 08-18 weekdays default), spike (rolling median/MAD, spread floored at 5% range/k), cross_modality_inconsistency (driver quiet + response rising; occupancy->co2). AnomalyFinding: score normalized (1.0=threshold), severity bands, evidence dict. 22 unit tests incl. mandated negatives (clean daily cycle, night-zero occupancy, in-hours activity, correlated occ/co2, identical peers). Shakedown lesson: EVERY MAD/sigma needs a range-relative floor or quiet stretches flag everything."
V5-T19,P4,Anomaly scanner + persistence into the events store,done,"V5-T18,V5-T07",L,Anomalies become durable S2 records with stable IDs (kills D4).,"1) Scheduled incremental scan (orchestrator background task, interval configurable) over all backed points. 2) Writes AnomalyEvent rows (event_type='anomaly:<detector>') to events store; ongoing-anomaly merge (extend end_dt while persisting, one ID per episode). 3) user_reports cross-link: complaints joined to overlapping anomalies (the 'complaints where data looks fine' class becomes a query). 4) Scan health logging.",orchestrator/services/anomaly/scanner.py; main.py lifespan hook,Scanner runs on schedule; episodes have stable IDs; 'anomalies this week' is a lookup; complaint join works.,"Live: force an injected anomaly window, observe episode row; join probe.","DONE 2026-08-17. orchestrator/services/anomaly/scanner.py — AnomalyScanner(building_id, namespace): points from live capability schema (build_schema), fetch via deliberation fetch_series (72h, 600/uuid), detectors per point + (modality,floor) peer groups + occ->co2 pairs; persists event_type='anomaly:<detector>' via the events adapter's own aiomysql pool (execute_query stays SELECT-only; writes are code-authored parameterized SQL). Episode merge: recent same-type episode within 2h grace -> UPDATE end_dt (STABLE ID), else INSERT IGNORE with uuid5 id; status open/done by 1h grace. subject_uuid = SENSOR uuid (room via graph). Scheduler: main.py lifespan + ANOMALY_SCAN_INTERVAL_SECS (default 3600, 0=off) — boot log + in-app sweep observed live at 21:57:44. LIVE bldg2: 418 points/~28s; re-scan idempotence 0 inserted/3599 extended, ACROSS processes (exec scan + app sweep share episodes). Injected-anomaly recall: pm25 sensor pinned 7.77 (labels OUTSIDE building DB: scripts/outputs/v5_t19_injections.csv) -> exactly 1 stuck episode building-wide, correct window (08-16 16:40..08-17 22:00), [open]; NOTE verification must outrun the publisher's 10-min tick or the sensor 'unsticks' (stuck detects ONGOING freezes by design; historical plateaus belong to seasonal_residual). join_complaints(): pure time-overlap join, complaints with zero matches returned as data_looks_fine=True. Counts on synthetic 72h history: seasonal 1033/spike 1758 dense-but-genuine (thin 2-3-day profile + synthetic variance; grow window as history accumulates), dropout 784 = real publisher outage gaps. ontosage MySQL user: INSERT/UPDATE yes, DELETE denied (wipes need root). Unit suite 1228 pass/4 skip."
V5-T20,P4,Diagnosis lens for indirect why-questions,done,V5-T19,L,"'Why was floor 2 freezing Tuesday?' - deterministic evidence assembly, correlation language only.","1) services/anomaly/diagnosis.py: given (subject, window) assemble target series stats, neighbor comparison, weather window, overlapping anomaly episodes, related complaints. 2) Candidate-cause ranking by simple correlation/coincidence scores with explicit uncertainty wording ('consistent with', never causal claims). 3) Renders as dossier with evidence rows.",orchestrator/services/anomaly/diagnosis.py,Why-questions produce candidate-cause dossiers; every number in evidence; no causal overclaim in template language.,Live probes on injected anomalies (known cause -> is it among candidates?).,"DONE 2026-08-17. services/anomaly/diagnosis.py — DiagnosisService: WHY_RE + generic comfort-word->modality map (is_why_question), parse_day_window (weekday names -> most recent PAST day; yesterday/this morning/last night/default 24h), resolve_referent (room token/floor/building over live schema spaces). Evidence: window mean vs same window last week vs building peer median (fetch_series), overlapping anomaly episodes (events store, event_type LIKE 'anomaly:%'), window/door contact open-fraction for temperature complaints, user_reports in window (pg pool via self.postgres_manager; drops out silently if absent). Causes ranked by coincidence; template language 'consistent with'/'coincides with' — NEVER causal; honest no-evidence close. Wiring: 'diagnosis' intent + _diagnosis_node + ladder branch (diagnosis_result FIRST, before register/events), rule why_diagnosis LAST in parse stage (comfort why-questions from weak+sensor_data/analytics/anomaly/recommend + interrogative maintenance/complaint; statements still file; 'Why is the sky blue?' stays general). Tests: test_diagnosis_service.py 5 + routing behaviour/pin (77 in contract file); suite 1239 pass/4 skip. LIVE bldg2 3/3: floor-1 freezing Saturday -> 20.9 vs building 21.2 + setback explanation; RM119 dusty -> mean pm25 7.7 (the injected plateau), 5 overlapping episodes, top causes = reporting gap + FROZEN VALUE (the injected fault surfaces as a ranked candidate — acceptance met); sky-blue stays open-domain. SHAKEDOWN FOUND BUG-167 (LLM-failure fallback skipped the routing contract + stale is_general swallowed concept-stage flips — both fixed, contract now survives LLM outages) and BUG-168 (270-item RAG retrieval -> 29.6k-char prompt -> EMPTY completion on gpt-oss:20b; 30-item cap shipped; WHY 270 items for top_k=5 still open — investigate rag-service)."
