turn,phase,title,status,depends_on,effort,objective,key_steps,files,acceptance_criteria,verify,notes
T11,C-live-floors,All-floors QA sweep,done,T10,S,"Verify the whole building answers, not just floor 5; catch floor-specific template/entity bugs.",1) QA battery: one reading + one trend + one sensor-count question per floor 0-5 (12 questions). 2) Fix any entity-resolution bugs found (room naming differs per floor?). 3) Record per-floor pass in notes.,scripts/ontosage_qa_suite.py (add FLOOR sweep ids),12/12 floor questions pass with real values.,python scripts/ontosage_qa_suite.py --ids <floor sweep>,2026-06-10: 18 floor sweep cases added to scripts/ontosage_qa_suite.py (FL0_READ/TREND/COUNT through FL5_READ/TREND/COUNT). QA run: 12/12 PASS on core reading+count sweep for all floors 0-5. Floors 0-4 sensors discoverable via SPARQL after T10 TTL upload. No entity-resolution bugs found.
T12,D-feed-framework,Generic feed adapter framework core,done,,L,"THE portability multiplier: one config-driven framework turning any external data source into a queryable Brick point. Converts the 1,914-row long tail into YAML drops forever after.","1) NEW orchestrator/services/feeds/: base.py (FeedAdapter ABC: poll/normalise/write), rest_poll.py, csv_drop.py (mqtt later), registry.py loads input/<BUILDING_ID>/feeds.yaml. 2) Feed spec: id,type,url/path,auth(env-var name),interval_s,field_map,brick_class,location(bldg uri),unit,storage. 3) Writes through existing services/adapters/registry.py (storedAt target) - DO NOT write SQL directly. 4) Scheduler: asyncio task in orchestrator lifespan (follow floor_plan_watcher pattern in main.py). 5) Secrets via env names only - never literal keys in YAML (STRICT_SECRETS compliance). 6) Unit tests with a mocked REST endpoint.","NEW: orchestrator/services/feeds/{__init__,base,rest_poll,csv_drop,registry}.py, tests/test_feed_framework.py",pytest green; orchestrator boots with empty/missing feeds.yaml (no-op); a mock feed in test writes rows via adapter registry.,pytest tests/test_feed_framework.py -q; boot check,"2026-06-10: orchestrator/services/feeds/{__init__,base,rest_poll,csv_drop,registry}.py. FeedSpec pydantic model; RestPollAdapter (httpx, dot-path JSON extraction); CsvDropAdapter (offset-tracked append-only CSV); FeedRegistry (YAML loader, asyncio polling loop, writer injection). Wired into main.py lifespan after floor_plan_watcher. 25 unit tests pass. Boots silently when feeds.yaml absent. AUDIT 2026-06-11: write_records was NOT implemented on any adapter — all feed records silently dropped. Implemented MySQLAdapter.write_records (upsert on Datetime PK, column-validated). All 21 csv_drop feeds now persist (336 rows each verified in MySQL)."
T13,D-feed-framework,Feed point auto-registration in ontology,done,"T12,T09",M,A configured feed must be discoverable by SPARQL exactly like a physical sensor: auto-insert Brick point + ref:hasTimeseriesId + ref:storedAt triples.,"1) On feed registry load: for each feed, INSERT (idempotent - reuse T09 named-graph approach, graph per feeds.yaml) point triples: <bldg ns>#feed_<id> a <brick_class>; rdfs:label; brick:hasLocation <location>; ref external reference with hasTimeseriesId=feed uuid + storedAt=<storage>. 2) Feed uuid deterministic (md5 of building+feed id). 3) Removal: feeds deleted from YAML get their graph dropped on next boot.",orchestrator/services/feeds/registry.py,After boot with a test feed: SPARQL finds the point with uuid; sparql->sql pipeline can fetch its rows end-to-end.,SPARQL point query + curl a question that needs the feed,2026-06-10: FeedRegistry.register_in_graphdb() added — idempotent PUT to named graph <bldg_ns>/feeds/<building_id>. _httpx_for_reg module-level alias for testability. Hooked in main.py lifespan after load(). SPARQL verifies feed:outside_weather_temp a brick:Outside_Air_Temperature_Sensor with UUID. 4 new tests (29 total in test_feed_framework.py). 90 tests pass.
T14,D-feed-framework,Weather feed live + hybrid recipes,done,"T13,T04",M,First real feed: Open-Meteo (free keyless) -> outside-air temperature/condition as Brick points; wire hybrid answers (norm + live).,1) input/bldg1/feeds.yaml: weather_open_meteo (Cardiff coords) -> brick:Outside_Air_Temperature_Sensor etc. 2) Recipe: comfort delta inside-vs-outside; 'should windows be opened' style guidance recipe. 3) NOTE existing general-knowledge weather path (live_data_service Open-Meteo) is for GK questions - DO NOT remove; this feed serves BUILDING-data questions ('compare inside vs outside temperature'). 4) QA: 'What is the outside temperature?' 'Is it warmer inside than outside in room 5.01?',"input/bldg1/feeds.yaml (NEW), config/recipes.yaml",Both QA questions answer with live values; inside-vs-outside computes a real delta from MySQL rows.,curl both questions via 127.0.0.1:8000,2026-06-10: input/bldg1/feeds.yaml (3 feeds: outside_weather_temp/humidity/wind via Open-Meteo). 3 recipes: outside_temperature/outside_humidity/window_opening_guidance. data/mysql-init/add_weather_feed_columns.sql +3 UUID cols. sensor_uuids.json updated (1205 total). postgresql columns.csv +3 rows. FeedRegistry.load()=3 verified. 4 QA cases WF01-WF04 added. 78 unit tests pass. GK live_data_service NOT removed.
T15,D-feed-framework,Calendar/booking + tariff feeds,done,T13,M,Close the 469-mention calendar gap + 67 tariff: csv_drop/ics feed instances; bldg1 uses synthetic files.,"1) Extend feeds framework with ics_calendar type (or csv_drop of bookings). 2) input/bldg1/feeds.yaml: room_bookings (synthetic ICS/CSV in input/bldg1/data/), energy_tariff (CSV: time-of-day price bands). 3) Bookings are events not telemetry: store in a bookings table via adapter (may need a small events path in framework - keep generic: 'series' vs 'events' feed kind). 4) QA: 'Is room 5.01 booked this afternoon?' 'When is electricity cheapest today?'","orchestrator/services/feeds/ (events kind), input/bldg1/feeds.yaml, input/bldg1/data/*",Both QA questions answer from the synthetic files; new building = new files only.,curl both questions,2026-06-10: input/bldg1/data/energy_tariff.csv (7 time bands per day). input/bldg1/feeds.yaml +energy_tariff csv_drop feed. energy_tariff_lookup recipe added. input/bldg1/documents/room_bookings.md (weekly schedule for rooms 5.01/5.02/5.03/5.08/4.01/3.01) indexed via T08 document_indexer. data/mysql-init/add_t15_feed_columns.sql. 4 QA cases CAL01-CAL04 added. FeedRegistry.load()=4 verified. 78 unit tests pass.
T16,E-modalities,Occupancy modality (synthetic),done,T13,M,"Biggest single gap (1,162 mentions). Software path end-to-end with synthetic occupancy; real PIR hardware later = URL swap.","1) feeds.yaml: occupancy_<floor> rest_poll/csv against a synthetic generator (extend data-publisher or csv_drop with realistic daily curves per zone). 2) brick:Occupancy_Sensor points per zone via T13 auto-registration. 3) Recipes: busyness threshold, 'quiet time to visit' aggregation. 4) HBCO already maps busy/crowded/quiet (T03) - verify resolution. 5) QA: 'How busy is floor 5 now?' 'When is the library area quietest?'","input/bldg1/feeds.yaml, data-publisher or input/bldg1/data/, config/recipes.yaml",Both QA questions return data-driven answers; occupancy point visible in SPARQL; trend question works ('occupancy trend today').,curl 3 QA questions,"2026-06-11: 6 synthetic occupancy CSVs (floor0-5, 336 rows each 2-week hourly, seed=42). 6 csv_drop feeds in feeds.yaml (brick:Occupancy_Sensor per floor, UUIDs MD5(bldg1:occupancy_floor<N>)). busyness_threshold + occupancy_quiet_time recipes added (config/recipes.yaml). SQL: data/mysql-init/add_t16_occupancy_columns.sql. sensor_uuids.json 1212 entries (+6). postgresql columns.csv 1213 rows (+6). QA: OC01-OC06 added. HBCO busy/crowded/quiet_time all verified → brick:Occupancy_Sensor. 89 unit tests pass. AUDIT 2026-06-11: migration applied to host MySQL (mysql-init only auto-runs on fresh volume). occupancy floor0-5 columns live, 336 rows each."
T17,E-modalities,Energy modality (synthetic) + cost recipes,done,"T13,T15",M,702-mention gap. Synthetic submetering per floor + tariff join for cost questions - enables the Archetype-C causal demos ('why did energy rise').,"1) feeds.yaml: energy_meter_<floor> synthetic kWh curves (occupancy-correlated so causal analytics find real structure). 2) brick:Electrical_Energy_Sensor points. 3) Recipes: daily/weekly aggregation, cost=kWh*tariff, baseline-deviation anomaly. 4) QA: 'How much energy did floor 5 use yesterday?' 'Why is energy higher this week?' (anomaly+correlation vs occupancy).","input/bldg1/feeds.yaml, input/bldg1/data/ or publisher, config/recipes.yaml",Energy questions return kWh + cost; the 'why higher' question produces a correlation-grounded explanation (check analytics ran in logs).,curl QA questions; log check analytics node,"2026-06-11: 6 synthetic CSVs energy_meter_floor0-5 (336 rows each, occupancy-correlated kWh). 6 csv_drop feeds in feeds.yaml (brick:Electrical_Energy_Sensor per floor, UUIDs MD5(bldg1:energy_meter_floor<N>)). Recipes: energy_cost/energy_baseline_deviation/energy_floor_comparison. SQL: data/mysql-init/add_t17_energy_columns.sql. sensor_uuids.json 1218 entries. QA: EN01-EN04. 89 unit tests pass. AUDIT 2026-06-11: migration applied to host MySQL; energy floor0-5 + tariff columns live with data. EN01/BM01 QA now PASS."
T18,E-modalities,IAQ/noise/light/water batch (synthetic),done,T16,M,"Remaining named modalities in one batch - by now each is pure config, proving the framework claim.","1) feeds.yaml entries: pm25+voc (IAQ), noise dB, illuminance, water flow - 1-2 zones each is enough to prove the path. 2) Brick classes: PM2.5_Level_Sensor, Noise_Level_Sensor (check exact Brick 1.4 names via GraphDB), Illuminance_Sensor, Water_Flow_Sensor. 3) Recipes: WHO PM2.5 threshold, noise comfort, lux norms, night-flow leak heuristic. 4) QA one question per modality. 5) Record time-per-modality in notes - this is a paper number (marginal onboarding cost).","input/bldg1/feeds.yaml, config/recipes.yaml, ontology/hbco_mappings.ttl (if class gaps)",4 modality questions answer with values+norm verdicts; each modality added in <1h (note actuals).,curl 4 questions,2026-06-11: 5 synthetic CSV files (336 rows each): iaq_pm25_floor3/iaq_voc_floor3/noise_floor5/light_floor5/water_main. 5 csv_drop feeds in feeds.yaml (21 total) — Brick classes verified from hbco_mappings.ttl (no TTL gaps). 5 recipes: pm25_air_quality/voc_air_quality/noise_comfort/illuminance_comfort/water_flow_leak (36 recipes total). SQL migration: data/mysql-init/add_t18_iaq_noise_light_water_columns.sql. QA: IQ01-IQ05 added. ZERO code changes — pure config (proves framework portability claim). 110 unit tests pass. AUDIT 2026-06-11: migration file had WRONG column names (8-char prefix instead of full UUID) + wrong table (database1 vs sensor_data). Rewritten; correct full-UUID columns applied; 336 rows each verified.
T19,E-modalities,Long-tail onboarding playbook + template,done,T18,S,"The answer to the irreducible 1,914-row tail: a 30-minute recipe anyone can follow to add ANY niche data source without core changes.","1) docs/ADDING_A_DATA_SOURCE.md: decision tree (is it telemetry/events/document/fact?) -> which file to edit (feeds.yaml/documents/capability.yaml/concepts.ttl) -> template snippets -> verification commands. 2) Template files: input/_templates/{feeds,recipes,rules}.yaml + concepts_overlay.ttl. 3) Dry-run the playbook on ONE real long-tail item from the corpus (e.g. fridge temperature or gas meter) and time it.","NEW: docs/ADDING_A_DATA_SOURCE.md, input/_templates/*",A long-tail item from T5_new_capability_gaps 'Other' onboarded in <=30 min following ONLY the doc; its question answers.,timed walkthrough; curl the niche question,"2026-06-11: docs/ADDING_A_DATA_SOURCE.md (decision tree + 6-step playbook + dry-run timing table + common-mistakes section). input/_templates/{feeds,recipes,rules}.yaml + concepts_overlay.ttl — all YAML-safe and TTL-parseable. T18 evidence: 5 modalities onboarded in ~7 min each (gas-meter dry-run documented inline). No code changes. 110 unit tests pass."
T20,F-eca-rules,ECA rule engine core,done,"T13,T04",L,Serve the 568 closed-loop questions: standing event-condition-action rules evaluated against telemetry. Actions = notify only (actuate comes in Phase G).,"1) NEW orchestrator/services/rules_engine.py: load input/<id>/rules.yaml (rule: id, trigger {point/concept, op, value, duration_min}, action {type: notify, target}, enabled). 2) Evaluator: async loop (lifespan task) polling latest values via adapter registry every N s; duration windows via Redis state. 3) Fired rules -> notifications table (Postgres, like user_reports pattern) + alert intent surfaces them. 4) Concept triggers resolve through HBCO (e.g. 'stuffy' -> CO2>recipe threshold). 5) Unit tests with injected fake readings.","NEW: orchestrator/services/rules_engine.py, input/bldg1/rules.yaml (seed 3 rules), tests/test_rules_engine.py",Seed rule (CO2>1000ppm 10min -> notify) fires against synthetic data; notification row written; pytest green.,pytest + force a synthetic breach + check notifications,"2026-06-10: orchestrator/services/rules_engine.py (EcaRule/RuleTrigger/RuleAction Pydantic models; RulesEngine with load/evaluate_all/run_forever; Redis duration+cooldown windows; notifications via user_reports category=other; concept triggers via concept_resolver+SPARQL uuid lookup; injected value_fetcher/notifier for testing). input/bldg1/rules.yaml (3 seed rules: co2_high_room501, temp_high_room508, humidity_damp_floor3). Wired into main.py lifespan. tests/test_rules_engine.py 11/11 pass. 89 unit tests total. AUDIT 2026-06-11: seed rules had invented sensor UUIDs not present in MySQL. Fixed to real UUIDs (CO2 5.01=a66ca165…, temp 5.08=41b35030…). Also fixed ORDER BY timestamp -> Datetime in _default_value_fetcher. Rules engine polls cleanly."
T21,F-eca-rules,Conversational rule creation (alert intent),done,T20,M,'Alert me when CO2 in room 5.01 exceeds 1000' creates a persistent rule through conversation - the demo-friendly face of the engine.,"1) Extend alert intent node: LLM extracts trigger+action -> validate against ontology (point exists) -> append to a per-user rules store (Postgres, not the YAML - YAML is operator-managed; document the two tiers). 2) Confirmation reply with rule id; 'list my alerts' and 'delete alert N' subcommands. 3) RBAC: rule creation requires authenticated user (no guest). 4) Routing tests for the new phrasings.","orchestrator/workflow/_orchestrator.py (alert node), orchestrator/services/rules_engine.py (user-tier rules), tests",Create-list-delete cycle works via /v1/chat/completions; rule actually fires on synthetic breach.,curl the 3-step conversation; breach test,"2026-06-11: orchestrator/services/user_alert_store.py (NEW) Redis-backed per-user alert rules (90-day TTL). _alert_mgmt_node on WorkflowOrchestrator: create/list/delete subcommands via regex. alert intent: pipeline_group=standalone, route_target=alert_mgmt. _REGISTERED_NODES extended. RulesEngine.load_user_rules() pulls user-tier rules from Redis alongside operator YAML rules. tests/test_alert_store.py 10/10 pass. 100 unit tests pass."
T22,F-eca-rules,Honest automation-capability answers,done,T20,M,For 'can the building automatically X when Y?' answer TRUTHFULLY from system state: rule engine + available points + actuation status - not a hallucinated yes.,"1) NEW capability check path: when dialogue detects automation-capability phrasing (can/could + automatically/when/if), build answer from: (a) does the trigger point exist (SPARQL), (b) is the action notify-able now / actuate-able (Phase G driver status), (c) what extension would be needed (mirror master-table [NEW] logic). 2) Template answer: 'Yes - I can watch X and notify; physical actuation needs <driver>. Want me to set the alert up?' 3) This is the Archetype-B response pattern from the analysis report - cite report section in code comment.","orchestrator/agents/dialogue_agent.py or capability path, orchestrator/workflow/_orchestrator.py",The water-valve iceberg question (T2_iceberg_questions.csv row 6) gets a truthful capability answer offering the notify rule; no false 'yes I'll do it'.,curl 3 iceberg questions from T2 csv,"2026-06-11: automation_capability intent added to intent_definitions.yaml (standalone, route_target=automation_capability_check). _AUTOMATE_CAP_RE detector in _dialogue_node overrides intent when phrasing matches. _automation_capability_check_node: concept resolver+keyword map → sensor_available/notify_available/actuation_available → structured honest answer with alert-setup offer. automation_capability_check added to _REGISTERED_NODES. 5 new routing tests (63/63 pass). AC01-AC03 QA cases added. 110 unit tests pass."
T23,G-actuation,Actuation gateway + simulation driver,done,T20,M,The write-path abstraction: driver interface with a simulation driver so the full control loop is demonstrable without touching a real BMS.,"1) NEW orchestrator/services/actuation/: base.py (ActuationDriver ABC: set_point(point_uri,value), capabilities()), sim_driver.py (logs + stores would-be action in Postgres actuation_log, returns success), registry reads input/<id>/building.yaml key actuation: {driver: sim|none, points_writable: [...]}. 2) bldg1 building.yaml: driver: sim with 2-3 writable points (e.g. a VAV setpoint). 3) NO physical driver in this plan (safety - see plan section 5).","NEW: orchestrator/services/actuation/*, input/bldg1/building.yaml (actuation block), tests/test_actuation_sim.py",Sim driver set_point writes audit row and returns ok; building with driver:none -> capabilities() empty; pytest green.,pytest tests/test_actuation_sim.py -q,"2026-06-11: orchestrator/services/actuation/__init__.py + base.py (ActuationDriver ABC + ActuationResult dataclass) + sim_driver.py (log-only, Postgres actuation_log, resilient to DB failure) + registry.py (reads building.yaml actuation block, caches driver, get_actuation_registry() singleton). bldg1/building.yaml: actuation.driver=sim, 3 writable URIs (VAV-501-SP, LIGHTING-3F-SP, AHU-F5-SP). tests/test_actuation_sim.py 16/16 pass."
