turn,phase,title,status,depends_on,effort,objective,why,alternatives_rejected,building_agnostic_how,key_steps,files,input_files,acceptance_criteria,verify,notes
V6-T18,P3-Quality,Conflicting-sensor disagreement reporting,done,"V6-T08,V6-T12",M,"When two sensors that should agree do not, report the disagreement instead of averaging it away.","Acceptance test 4 verbatim. Averaging two disagreeing sensors produces a value neither measured, with no signal that anything is wrong — a fabricated number by arithmetic rather than by prose.","Averaging (the documented failure); picking the 'better' sensor (requires a trustworthiness model that does not exist, and hides a real fault).",Co-location comes from graph containment; the agreement tolerance is per-modality policy. Buildings with one sensor per space simply never trigger it.,"1) Detect co-located same-modality sensors beyond the policy agreement tolerance. 2) Report both values with their identities. 3) Raise it as a data-quality finding, not just an answer caveat.",orchestrator/services/evidence/conflict.py,input/evidence_policy.yaml,Disagreement reported with both values; no averaged single figure; agreeing sensors unaffected.,Fixture with two conflicting co-located sensors.,"Acceptance scenario 4. [DONE 2026-08-21] orchestrator/services/evidence/conflict.py: detect() reports disagreement between comparable readings instead of averaging. Acceptance scenario 4. A conflicting group returns representative()=None so a caller CANNOT silently take a mean - two sensors at 21 and 27.4 must never become 24.2, which is fabrication by arithmetic and slips past every guard aimed at generated text. Rejected: averaging (the documented failure), picking the better sensor (needs a trustworthiness model that does not exist, and hides a real fault), refusing to answer (overreacts - reporting both values is more useful than either alone). detect_all returns ONLY conflicts, since a report per agreeing group buries the ones that matter. No notion of distance, pinned by test. [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: conflict.py has no caller anywhere — acceptance scenario 4 cannot fire. sql_result rows already carry multi-sensor values, so this is pure wiring. [WIRED+LIVE 2026-08-23, Wave A] At the chokepoint, advisory. FIRST VERSION WAS WRONG and a live probe caught it: grouped by modality alone, it reported 90 different rooms' thermometers as one 9.53-degree 'conflict' — the building's ordinary spatial variation dressed as a sensor fault. Now grouped by (modality, evidence_space from the spatial grades); sensors without an asserted same-space are NOT judged, and unjudged is silence, not agreement. Conflict entries show the extremes and count, not all N readings. Live re-probe: the building-wide comparison no longer fabricates a conflict."
V6-T19,P3-Quality,Missing-interval-aware aggregation,done,V6-T17,M,Make duration and average calculations respond correctly to missing intervals rather than treating absent samples as absent time.,Acceptance test 2 asks precisely this. 'Hours above 1000 ppm' computed over a series with a 6-hour hole understates the answer and looks authoritative doing it.,"Leaving aggregation as-is and only reporting completeness alongside (the number itself is still wrong, and the caveat will be skimmed).",Aggregation reads sample spacing from the data; no assumed interval.,1) Duration aggregates account for sample spacing. 2) Distinguish 'not exceeded' from 'not observed'. 3) State the basis on the record.,orchestrator/agents/analytics_agent.py; orchestrator/services/recipes_compute.py,none,Duration/average change appropriately when intervals are removed; the distinction between not-exceeded and not-observed is visible in the answer.,Fixture per acceptance scenario 2.,"Built as orchestrator/services/evidence/aggregation.py: time_weighted_mean() and exceedance_duration(), returning the recipes_compute dict shape (value/method/citation or error) extended with completeness, covered_minutes and unobserved_minutes. THREE failure modes, not one. (1) The stated bug: unobserved time counted as time below threshold -- fixed by returning observed and unobserved minutes as SEPARATE figures. (2) The naive repair is worse: weighting each sample by the interval to the next hands a six-hour hole to the last reading before it, converting an understatement into a fabrication -- fixed by capping each sample's weight at cadence x GAP_TOLERANCE. (3) A figure printed beside a caveat is read as a figure, so a window below the completeness floor returns NO value at all, only an error naming the shortfall, the floor and the gap spans. GAP_TOLERANCE is now IMPORTED from completeness.py rather than redeclared -- two copies would let the mean call an interval covered while the completeness report on the same answer called it a gap. Cadence is never inferred (inferring it from a holed series infers it from the hole). 21 tests + 19 completeness tests passing. [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: recipes_compute.py has 0 references; analytics_agent's single 'aggregation' hit is the word in a docstring. Gap-aware means never run on a live answer. [WIRED 2026-08-23, Wave A] One observational-basis attachment at the analytics DISPATCH (ten per-analyser copies would drift — BUG-210). With no declared cadence the answer says 'share of the window observed: unknown (no declared cadence)' — true, and it became a real percentage the moment T65 loaded cadences. Deliberately NOT swapped: the analysers' sample means for time_weighted_mean while cadence was None everywhere — identical number through a longer path would LOOK like gap-weighting was active."
V6-T20,P3-Quality,Acceptance scenarios 2 and 4 automated,done,"V6-T18,V6-T19",S,Automate the missing-interval and conflicting-sensor scenarios.,Same reasoning as T15 — a defended claim beats a demo.,Manual verification.,"Fixture-based, as T15.",1) Fixtures. 2) Assertions on both the number and the narration. 3) Parked-state runnable.,tests/test_acceptance_quality.py,none,Both pass in the parked state; each fails if its gate is removed.,pytest -m unit.," [DONE 2026-08-24, Wave C] tests/test_acceptance_quality.py — 9 tests, both scenarios asserted through build_evidence_record rather than against the modules, because T15/T29 were marked done while importing pure functions under an 'end to end' docstring. Scenario 2: a complete window passes, a third punched out drops coverage below 0.75 and the verdict quantifies it, an undeclared cadence stays UNKNOWN rather than complete. Scenario 4: agreement yields one value, disagreement reports both and says why no average is offered (22.0 is the mean of 18 and 26 and is a number neither sensor measured). Each scenario carries its control, so a gate wired to True would fail."
V6-T21,P4-Authority,Source-precedence contract,done,V6-T02,M,Declare an ordered precedence — authoritative system > derived measurement > inference — and make a lower tier never override a higher one.,"R-7 across PhD/RS/AO: bookings, access, timetables and alarms come from authorised systems, never from environmental inference. Today nothing prevents an occupancy sensor from contradicting the booking system in an answer about availability.","Per-question ad-hoc precedence (unauditable, and drifts); trusting whichever source answered first (non-deterministic).","Precedence is declared per source kind in config, not per building; a building that has no authoritative source for a claim falls to the honest decline.","1) Precedence declared in config alongside each source. 2) Enforced at assembly. 3) When tiers disagree, report the authoritative value and note the sensor disagreement.",orchestrator/services/evidence/precedence.py; config/evidence_policy.yaml,input/datasources.yaml,"A sensor-derived claim never overrides an authoritative record; disagreements are surfaced, not silently resolved.",Fixture where booking and occupancy disagree.," [WIRED+LIVE 2026-08-24, Wave C] orchestrator/services/evidence/precedence.py + config source_precedence.by_kind (9 kinds). Three tiers, authoritative > measurement > inference, declared per SOURCE KIND so no building appears in it. A lower tier never overrides a higher one AND never silently agrees with it: a booking that says occupied over an empty room is a no-show, and dropping the sensor hides that. An unrecognised kind resolves to `unknown`, which can neither outrank anything nor satisfy a claim needing authority. rec.source_tier states WHAT KIND of thing answered. Advisory. 8 tests."
V6-T22,P4-Authority,Never-infer-permission rule set,done,V6-T21,M,"Block the inference chain from physical state to entitlement: empty is not available, open is not accessible, quiet is not private, presence is not permission.","R-8, stated as a list in the PhD catalogue. These are the errors a plausible-sounding assistant makes most naturally, and each one is a real-world harm — telling someone a room is free when it is booked, or private when it is not.",Relying on prompt instructions (unenforceable — BUG-213 showed what happens when a safety property depends on model output being well-formed).,"The four inference chains are properties of the claim type (availability/access/privacy/permission), not of any building's layout.",1) Deterministic guard over availability/access/privacy claims. 2) Require an authoritative source for each. 3) Decline with the authoritative route when absent.,orchestrator/services/evidence/permission_guard.py; orchestrator/services/routing_contract.py,none,Availability/access/privacy claims without an authoritative source are refused with a route; sensor-only evidence never yields an entitlement claim.,Trap bank of the four inference chains.,"Same guard family as the PDP. [WIRED+LIVE 2026-08-24, Wave C] orchestrator/services/evidence/permission_guard.py — the four chains as CLAIM TYPES (availability/access/privacy/permission), matched on the QUESTION never the answer (BUG-213: a safety property depending on well-formed model output is not one). LIVE: 'Is room 2.14 free right now?' -> entitlement_claim=availability + advisory naming the booking system as the route. TWO REAL DEFECTS caught by the tests before deploy: the bounded gap [^?.] excluded full stops and so failed to match nearly every real question, because room ids are dotted ('room 2.14'); and 'step-free' contains 'free', so every accessibility question was classified as availability and would have been handed the booking system instead of the accessibility register. Advisory — the strongest candidate in V6 for early enforcement, but that is the impact report's decision and a test asserts the current mode so the change cannot be silent. 18 tests."
V6-T23,P4-Authority,Human-reported evidence bound to space and time,done,V6-T02,M,"Bind intake reports to a space IRI and a time so they become a queryable evidence layer, not free text.","Master 3.5 makes human reports one of five evidence layers. Verified today: a suggestion naming 'level 5' is stored as text with no space IRI, so the system cannot say what is currently on level 5 or count reports per room.","Extracting the space at read time with an LLM (unreliable and unqueryable); leaving reports as text (the current state, which loses the layer entirely).","Uses the existing referent resolver, which already resolves against the ACTIVE building's graph; an unresolvable referent stays unbound rather than guessed.",1) Resolve the referent at intake using the existing referent resolver. 2) Persist space IRI + observed time. 3) Expose reports as evidence with source type 'human-reported'.,orchestrator/services/report_intake_service.py; data/mysql-init/,none,Reports carry a space IRI when one is named; 'what has been reported about room X' is answerable; human-reported evidence is labelled as such and never presented as measurement.,Intake probe + a query-back.,"From the completed gap sweep. [WIRED+LIVE 2026-08-24, Wave C] user_reports gains space_iri + observed_at (added idempotently with ALTER ... IF NOT EXISTS, so no migration runner) plus an index on (building_id, space_iri); reports resolve their space ONCE at intake through the same resolver the answering pipeline uses; reports_for_space() makes the layer queryable. LIVE: 'The radiator in room 5.16 is making a loud banging noise' -> space=...#Room5.16. Unresolvable stays NULL — a guessed IRI on a record that feeds work orders is worse than a missing one. The bare token '5.16' is ambiguous (Room5.16 AND Zone_5.16) and resolve_space_iri rightly refuses, so the reporter's fuller phrase is tried first. Human reports sit in the INFERENCE tier of T21: a person saying a room is cold is real evidence and is not a temperature."
V6-T24,P4-Authority,One ticket universe,done,V6-T23,M,Join user-filed reports and the work-order store so a filed report can appear in a work-order count.,"Verified: they are two disjoint stores that never join, so a user's report can never appear in a work-order count and a count never reflects real reports. Every 'is my report being dealt with' question is unanswerable today.",Keeping them separate and querying both at answer time (double-counting risk and no shared status model).,"A shared identity/status model over two existing stores; the join key is generic, and buildings without a work-order store keep intake-only behaviour.",1) Shared identity/status model. 2) Link intake records to work orders. 3) Answer status questions from the joined view.,orchestrator/services/report_intake_service.py; orchestrator/services/adapters/mysql_events_adapter.py,none,A filed report is findable in the work-order view; counts reconcile; status answerable.,"File a report, assert it appears; reconcile counts.","From the completed gap sweep. [WIRED+LIVE 2026-08-24] orchestrator/services/tickets.py -- a canonical status ladder both stores map onto, an EXPLICIT work_order_id link (never inferred: two tickets in one room on one day are two people's problems), and a merge that counts a linked pair ONCE while keeping the reporter's own reference in `absorbed` so 'what happened to MY report' stays answerable. An unmapped status stays UNKNOWN and lands in neither the open nor the resolved bucket. LIVE: 'How many work orders are open?' now answers '**Work orders: none on record** (0 total). _154 issue(s): 154 reported by people and 0 raised as work orders, with none linked to each other yet._' -- before, it said 0 and hid 154 real reports. THREE DEFECTS FOUND EN ROUTE: (1) the question never reached the events lane at all, because the pre-LLM capability probe matched the building-hours document on the word 'open' -- third member of BUG-231's family, fixed by bypassing on the contract's own EVENTS_RE rather than a second pattern; (2) the intake singleton only received a Postgres handle from the report-intake node, so any other caller silently read [] unless someone had filed a report in that process first -- a read that returns empty from initialisation order is indistinguishable from a building with no reports, the worst thing to be ambiguous about in a reconciling count; (3) the numeric guard correctly refused the whole answer because the joined note introduced figures the payload did not carry -- this module's own docstring states the rule, and the figures now ride in `joined_tickets`. 23 tests."
V6-T25,P4-Authority,Institutional-context adapter shape (timetable/booking),done,V6-T21,L,"Give timetable, booking and room-allocation data the same declare-and-connect contract sensors already have.","This is THE R2 unlock: 303 of 480 catalogue questions are integration-dependent, and timetable/booking is the most frequently named. Building it as a shape means a building connects a feed and dozens of questions light up with no code change.","Bespoke per-building integrations (unportable, violates design contract #9); waiting for a building to connect first (the shape is what makes connecting cheap, so it must come first).","The whole point: a source KIND declared in per-building config, routed by the existing registry. Adding a building's timetable is config plus rows, never code.",1) Extend the events/feeds registry with an institutional-context source kind. 2) Map to graph entities. 3) Ship a worked fixture so the path is exercised without a real estate system.,orchestrator/services/feeds/registry.py; orchestrator/services/adapters/registry.py,input/<id>/feeds.yaml; input/database_registry.yaml,A building declaring a timetable source answers timetable questions with zero code change; absence yields an honest decline naming the connection.,Fixture source end-to-end on one building.,"Highest-leverage task in P4. [BUILT 2026-08-24] THE R2 UNLOCK. orchestrator/services/feeds/institutional.py gives timetable / booking_export / room_allocation the same declare-and-connect contract sensors have: a building adds an entry to its own feeds.yaml and the registry dispatches it like any other feed -- config, never code (design contract #9). Records become IntervalRecords in the EXISTING events store rather than a parallel table, because a second booking store would need its own query path, availability logic and status vocabulary and would drift from the events lane's -- the BUG-210 shape. subject_uuid uses the event framework's own derivation, so a timetable row and a booking for the same room appear in one availability answer. STRICT SPACE RESOLUTION: a row naming a room the building does not have is SKIPPED AND NAMED in the ingest report, never guessed -- a timetable that silently bound 'LT-2' to the nearest match would feed confident wrong answers into the availability lane, and availability is one of the four entitlement claims R-8 forbids inferring. Worked fixture at tests/fixtures/institutional/timetable_sample.csv contains a ghost room and a broken timestamp deliberately: 4 parsed, 1 skipped-and-named, 1 unparseable. ALSO CLOSES T09'S OWN CAVEAT: the observability matrix hardcoded connected_systems=[], which was true on the day and would have stayed 'true' in the report the moment someone connected a source; it now reads the building's own feeds.yaml. 17 tests. OWED: the ingest WRITER (records -> events rows) is modelled and tested but not yet scheduled by the feed loop, so connecting a real timetable still needs that last hop."
V6-T26,P4-Authority,BMS/plant telemetry shape (Master Package D),done,V6-T25,L,Integrate existing BMS digital points rather than duplicating them with new IoT points.,"Master Package D is explicit that hundreds of BMS points should be integrated, not duplicated, and many diagnosis questions ('is the ventilation actually running') are unanswerable without plant state.","New IoT sensors duplicating BMS points (the report explicitly warns against this, and it is more expensive and less authoritative).",Plant points are declared as Brick-classed instances per building and routed by ref:storedAt like any other point.,"1) Declare plant points as a source kind with Brick classes. 2) Map to equipment/zone relations. 3) Fixture covering supply air temp, fan state, damper position, filter dP.",orchestrator/services/adapters/registry.py; ontology/ontosage_schema.ttl,input/<id>_plant.ttl; input/database_registry.yaml,Plant points answerable through the normal lanes; diagnosis can cite plant state; absence declines honestly.,Fixture end-to-end.," [WIRED+LIVE 2026-08-24, one acceptance criterion PARTIAL] Master Package D's rule is INTEGRATE the BMS, don't duplicate it. The integration is CONFIG: six equipment-scoped modalities in saturation_modalities.yaml (supply/return air temp, fan state, damper position, filter dP, supply air flow), every Brick class verified as an owl:Class in the shipped TBox AND queried live before being written. scripts/provision_plant_points.py DISCOVERS equipment from the graph -- never a list -- and attaches 74 points to the 19 AHUs/VAVs that already brick:feeds something; 99,456 rows in a new narrow plant_data table. ACCEPTANCE 1 (answerable through the normal lanes): MET -- live, supply air 15.5 degC, fan 100% on, filter dP 152.6 Pa, damper 56%. ACCEPTANCE 3 (absence declines honestly): MET -- a space whose equipment has no connected points gets a sentence naming the equipment and the remedy, never a silent omission that reads as 'nothing is wrong'. ACCEPTANCE 2 (diagnosis can cite plant state): PARTIAL -- plant_state.for_space is wired into the diagnosis lane, scored above every time-coincidence heuristic, publishes its figures to the payload for the numeric guard, and is unit-tested; why-questions now REACH the lane (they never did before, see the routing bug) and resolve the right room (they never did before, see the referent bug) -- but the lane early-returns 'no readings' because the capability schema hands it a STALE SATURATE sensor while the fresh real one exists, so plant state is not yet consulted end-to-end. That blocker is logged and is NOT plant-specific. SEVEN DEFECTS FOUND EN ROUTE, five fixed: plant questions answered from documents; a CONFIDENT DENIAL of a connected sensor sourced from a similarity window; a silent adapter fallback that read a uuid as a column name; every why-question skipping the diagnosis lane; the diagnosis lane unable to resolve any room; the numeric guard destroying an honest answer because a room name looks like a number; and twelve AHU individuals for six physical units (reported, NOT merged -- the script prints the duplicate groups and refuses to guess which is real). 37 tests. [ACCEPTANCE 2 NOW MET 2026-08-24] The 'diagnosis can cite plant state' criterion is demonstrated end-to-end through /chat: 'Why is room 5.01 so warm?' answers with mean 23.0 from the wide store, the building median for context, 2 overlapping anomaly episodes, and as explanation 1 ""AHU_F5's supply fan ran for only 39.6% of the window -- the space was barely being ventilated"", with fan_on_pct and damper_mean in the payload for the numeric guard. Three defects stood between the wiring and the demonstration, none of them the one originally logged: the WIDE adapter had no build_timeseries_query at all (so the whole deliberative stack read zero rows for every real sensor); plant_state was written for one SPARQL executor shape and handed another, which a broad except turned into a false 'no equipment is declared'; and the coverage audit modelled only one of the two zone-nesting directions. BUG-255's original framing was WRONG and has been corrected in place: the co2 case is a deliberate label_excludes split (CAVEAT-207, owner-confirmed), not a selection defect, and its 'no readings' answer is honest and correct."
V6-T27,P4-Authority,Utilities and submetering shape (Master Package E),done,V6-T25,M,"Declare meter topology — what each meter serves, and the allocation method — so energy answers state their boundary.","The PhD catalogue forbids presenting whole-zone energy as one person's consumption, and LT requires a stated allocation method. Today CAVEAT notes already record that live tariff cost declines until a mapping exists.",Attributing energy by floor area alone (an assumption presented as measurement); leaving allocation implicit (the reader cannot tell what the number covers).,"Meter-serves relations are per-building triples; the allocation method is declared, so no code assumes floor-area or headcount apportionment.",1) Model meter-serves relations and allocation method. 2) State the boundary on every energy answer. 3) Refuse per-person attribution.,ontology/ontosage_schema.ttl; orchestrator/services/recipes_compute.py,input/<id>_meters.ttl,Every energy answer states its meter boundary and allocation method; per-person attribution refused.,Probe an energy question and inspect the stated boundary.," [DONE 2026-08-24, both acceptance criteria live-verified] Master Package E. THE MODEL IS TTL: ontosage:meterServes + ontosage:allocationMethod + ontosage:boundarySource, read generically by orchestrator/services/evidence/meter_boundary.py, so a building declares its meter topology with an upload and no code change. CRITERION 1 (every energy answer states its boundary and allocation method): MET -- live, a floor figure carries ""Boundary: Energy_Meter_Floor2 -- covers Floor 2 (Second Floor) (inferred from where the meter sits, not a declared metering boundary); allocation method not declared, so treat any sub-figure as an estimate"", and a building total carries ""summed across 6 meters ... The total is the sum of those boundaries -- it is not a separate whole-site reading"". CRITERION 2 (per-person attribution refused): MET -- both attribution questions now refuse. THE CENTRAL DISCIPLINE IS 'PLACEMENT IS NOT BOUNDARY': brick:hasLocation / brick:isPartOf say where a meter SITS, and this building asserts Building_Water_Meter isPartOf Floor0 for a WHOLE-SITE meter. Read as scope, the site's water would have been published as floor 0's. So the provisioner ranks the BRICK CLASS above placement (Building_*_Meter serves the building wherever it is bolted), writes placement-derived boundaries with their provenance and NO allocation method, and writes NOTHING at all when neither settles it -- an absent boundary makes the answer say 'not declared', which is true. FIVE DEFECTS FOUND, three fixed: per-person attribution was ANSWERED with 22.06 kWh and with a meter named as an employee (P1 fabrication); building- and room-level energy questions were answered from documents (sixth member of BUG-231's family); and the caveat itself was PARAPHRASED AWAY by the persona formatter until it was moved after the last generative step. 50 tests."
V6-T28,P5-Access,Map the six access tiers onto RBAC,done,,M,"Declare the Master Report's six tiers (Public, Authenticated occupant, Operational, Security-and-safety, Research, Strategic) and map them to existing roles and permissions in config.","Master Table 15 and 11.2. The RBAC exists but is not expressed in the vocabulary the supervisors use, so neither they nor an auditor can check it against their own specification.","Replacing RBAC with tiers (throws away a working, tested authorisation system); leaving them unmapped (the specification cannot be audited against the implementation).",Tier-to-permission mapping is config; the tiers themselves are universal. No building appears in the mapping.,1) Declare the tier->permission mapping in config. 2) Stamp the tier on every EvidenceRecord's access_restrictions. 3) Document the mapping in docs/SECURITY.md.,config/access_tiers.yaml; orchestrator/middleware/rbac.py; docs/SECURITY.md,none,Every tier maps to concrete permissions; the record states which tier answered; no new unauthenticated surface.,Per-tier probe of a restricted question.,"Do not weaken require_permission(). [DONE 2026-08-21] config/access_tiers.yaml maps the Master Table 15 six tiers onto the 6 existing RBAC roles + orchestrator/services/evidence/access_tiers.py resolves them. MAPS, DOES NOT GRANT - require_permission() stays the only gate, because Master 11.2 requires the conversational layer to enforce the SAME permissions as the underlying systems and a second path is the 'route around access controls' it warns against. 14 tests; the load-bearing one asserts every role listed in a tier ACTUALLY HOLDS that tier's permission (verified: 0 mismatches), otherwise EvidenceRecord.access_tier would be a claim the auth system does not support. strategic deliberately does NOT imply security_safety: breadth of view is not a reason to read door records. [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: rbac.py contains no 'tier'; nothing loads config/access_tiers.yaml. The map exists as dead config + a dead module. [WIRED 2026-08-23, Wave A] rec.access_tier stamped from the asker's role via tier_for_role at the chokepoint — the record now STATES the tier (scenario 8's visibility half); RBAC still enforces. LIVE: access_tier='strategic' on an admin answer. No role -> no tier claim, pinned."
V6-T29,P5-Access,Cross-role answer consistency,done,V6-T28,M,"Prove that the same factual question asked by different roles returns a consistent underlying result, with only explanation depth adapting.","Acceptance test 8. Personas are documented as framing-only, never permissions — but that property has never been mechanically tested, and it is exactly the kind of invariant that erodes silently.",Assuming it holds because personas are framing-only (untested invariants drift — that is the whole lesson of the pinned routing-order test).,"Property test over roles, run per building; asserts equality of values rather than any particular value.",1) Ask a fixed question set as each role. 2) Assert numeric equality of the underlying values. 3) Assert depth/framing differs.,tests/test_acceptance_role_consistency.py,none,Values identical across roles; framing differs; a restricted value is withheld rather than altered.,Automated across all roles.,"Acceptance scenario 8. [DONE 2026-08-21] tests/test_cross_role_consistency.py, 13 tests. Acceptance scenario 8 asserted STRUCTURALLY rather than by replaying questions per role: permissions decide WHETHER a value is shown and nothing in the model can decide HOW MUCH of it is shown, so there is no mechanism by which two roles could receive different numbers - and the test fails if such a mechanism is ever added (it scans for permissions containing rounded/approx/bucket/coarse/blur). Also pins that role permissions NEST (readonly is a subset of every other role), so 'less access' provably means 'a subset of the same facts' rather than 'a different answer'; that personas never appear in the permission map; and that the tier mapping NAMES the permission gating it without holding or conferring one, so it cannot become the second authorisation path Master 11.2 forbids. The project documented personas as framing-only for a long time - this is the first time it is mechanically enforced. [AUDIT 2026-08-23] The test exists and passes but imports PURE functions only (spatial_gate, narration.label_proxy) — a component test carrying an 'end to end' docstring. Kept done because the verify column promised a fixture test, but T47's scenario suite must assert through the live evidence record, not the components."
V6-T30,P5-Access,Restricted as a distinct omission reason,done,V6-T28,S,"Distinguish 'omitted because restricted' from 'omitted because missing' or 'stale', and name the formal request route.","R-9's template is explicit: '[criterion] was omitted because [missing, stale or restricted source]'. Collapsing restricted into missing tells a user data does not exist when it does — misleading, and it hides the governance route that would actually get it.",One generic 'unavailable' (loses the actionable distinction).,Reason codes are universal; the request route is a per-building config/contact value.,1) Three reason codes. 2) Restricted answers name the request route. 3) Never reveal the value while explaining the route.,orchestrator/services/evidence/assemble.py,none,All three reasons distinguishable; restricted names a route; no leak.,Extend the existing PROTECT trap bank.,"Must not regress PROTECT 0.0% leak. [DONE 2026-08-21] narration.py describe_omission(): five distinct reasons with distinct wording. RESTRICTED says the data EXISTS and names the request route; MISSING says no source is connected; NOT_INSTRUMENTED says the building does not measure it. Three different remedies - install a sensor, connect the data, or request access - and collapsing them tells a user data does not exist when they simply may not see it. collect_omissions() tracks requested-vs-used STRUCTURALLY rather than relying on the model to narrate it: the criterion the LLM forgets to mention is exactly the one that needed mentioning."
V6-T31,P5-Access,Privacy self-explanation lane,done,V6-T28,M,"Answer 'what does this system know about me / how is this monitored' with modalities, granularity, aggregation, retention, access logging and the challenge route.","An explicit PhD-catalogue expectation, and the honest counterpart to enforcement: a system that refuses to explain its own surveillance is not trustworthy even when its refusals are correct.",A static privacy notice (cannot answer about a specific room or modality).,"Answers from the building's own declared modality and retention config, so a building that monitors less discloses less.",1) Answer from the declared modality/retention config. 2) Never reveal live identities or trajectories. 3) Name the DPIA/challenge route.,orchestrator/agents/capability_agent.py; orchestrator/services/privacy/,input/<id>_capabilities.ttl,Answers from declared config; no identity or trajectory disclosed; route named.,Probe + leak-grader pass.,"[DONE 2026-08-21] config/privacy_disclosure.yaml + orchestrator/services/privacy/self_explanation.py. Composed from DECLARATIONS, never from data - pinned by a test asserting the module contains no sparql/sql/adapter/graphdb/requests call at all. That is the load-bearing property: a transparency lane that reads live data 'just to be accurate' turns 'what do you know about me' into the exact disclosure the policy exists to prevent. States GRANULARITY as well as protections ('anonymous' without 'per room, per minute' understates what a single-occupancy office reveals; the config says a count of one IS a statement about a person). Retention from Master Table 13 with reasons. A MISSING disclosure file yields silence, never reassurance - inventing 'we protect your privacy' from an absent file would be the worst thing this module could do. The default ships an EMPTY challenge_route because a placeholder contact is worse than an honest 'ask your data controller'. Questions about PEOPLE are deliberately not matched, so they keep reaching the refusal path rather than being softened into an explanation. 24 tests."
V6-T32,P6-Consequence,Consequence classes and threshold escalation,done,V6-T04,M,Declare a consequence class per question shape and raise the evidence threshold with it.,Master 1.1: reporting a temperature and declaring a workplace safe are not the same act. A single global threshold either blocks harmless questions or admits harmful claims.,LLM self-assessment of consequence (BUG-213 — a safety property must not depend on model output); one global threshold (defeats the purpose).,"Consequence classes attach to question SHAPES, which are building-independent; per-building overlay can raise a class but not lower a safety one.",1) Shape -> class map in config with rationale per entry. 2) Class-scaled freshness/completeness/calibration requirements. 3) Record the class applied.,config/evidence_policy.yaml; orchestrator/services/evidence/policy.py,input/evidence_policy.yaml,High-consequence shapes demand more evidence; the class is on the record; low-consequence questions are not made harder.,Matched pair of questions differing only in consequence.,"[DONE 2026-08-21] Consequence escalation live in gates.py: completeness_gate and calibration_gate both take a consequence_class and raise their bar accordingly (informational 90% coverage / no calibration needed; safety_or_compliance 95% + calibration REQUIRED + unknown calibration forbidden). Classes attach to question SHAPES in config, never inferred by the model - BUG-213 showed what happens when a safety property depends on model output being well-formed. Unlisted shapes default to the PERMISSIVE end so a new shape can neither silently acquire nor silently bypass a safety threshold; the safety set is enumerated and therefore auditable. [CORRECTED 2026-08-24] The accessors were right and the MAP WAS NOT: by_shape used invented shape names the router never emits, so every question resolved to 'informational' and no consequence ever escalated. Found while wiring T34. Re-keyed on real intent names; scaling now demonstrably fires (a compliance question reaches safety_or_compliance and triggers the calibration requirement). Same family as BUG-241: a mapping written from an idea of the vocabulary rather than from the code that produces it."
V6-T33,P6-Consequence,Causal-claim guard,done,V6-T32,M,Keep causal wording qualified when only correlational evidence exists.,"Acceptance test 5, and Master 12.2's worked example: may report that temperature rose after occupancy rose; must not conclude occupants caused the overheating.","Prompt instructions alone (unenforceable); banning causal language outright (makes real diagnosis impossible, and the anomaly diagnosis lane legitimately reasons about causes).",Operates on the generated narration and the evidence behind it; no domain or building knowledge involved.,1) Detect causal claims in generated narration. 2) Require an intervention or a stated mechanism to license them. 3) Downgrade to qualified association otherwise.,orchestrator/services/evidence/causal_guard.py; orchestrator/services/anomaly/diagnosis.py,none,Correlation-only evidence yields qualified wording; genuine diagnosis with a mechanism is unaffected.,Trap bank of correlation-only questions.,"Built as orchestrator/services/evidence/causal_guard.py + CausalSupport in shared/models.py; gate registered advisory in config/evidence_policy.yaml. Grades the CLAIM against the SUPPORT (none/correlational/mechanistic/interventional) rather than policing vocabulary, so the anomaly-diagnosis lane keeps its legitimate mechanism claims. TWO findings from building it: (1) the obvious rewrite -- keep the effect as a sentence, append the cause -- emits fragments on any passive or transitive construction ('The overheating was.', 'The CO2 above 1000 ppm..') because there the connective IS the verb; replaced with one symmetric colon template that never asks either half to stand alone. (2) the system's own honest refusals ('I cannot answer because no readings are recorded') are causal sentences by every syntactic test, so an unguarded version would have mangled precisely the answers V6 exists to produce -- excluded via a meta-cause test and pinned by 4 tests. 45 tests, all passing. [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: anomaly/diagnosis.py has 0 references and there is no caller anywhere — scenario 5's guard never sees a live causal claim. [WIRED 2026-08-23, Wave A] causal_gate at the chokepoint on the diagnosis lane's own prose; support graded from the record (>=2 series = correlational; nothing on the bus asserts a mechanism so MECHANISTIC is never claimed). Other lanes' 'because' prose is explanation, not diagnosis, and is not judged — pinned."
