component,status,covered_by,mentions,rows_touched,pct_of_nonGK_rows,example_questions
report / document generation / export,EXISTING,already implemented,818,601,11.2,are there systems to ensure safe drinking water quality at all times? || how does the system identify and manage energy intensive equipment?
calendar / booking / events feed,PLANNED,T15,816,536,10.0,how does the building support water conservation during peak usage? || how does the system identify and manage energy intensive equipment?
long-tail feed playbook,PLANNED,T19,807,578,10.8,are there features that promote interaction with green or natural elements? || how dose the building manage waste during high occupancy events?
lighting sensing / control,PLANNED,T18,730,363,6.8,are adaptive lighting system used to support cricadian ehythms? || can the building detect and reduce unnecessary during daytime?
forecasting (ARIMA/ETS),EXISTING,already implemented,716,464,8.7,how does the system identify and manage energy intensive equipment? || can the building automatically optimize energy use during weekends or holidays?
live floor-5 streams (existing data),EXISTING,already implemented,615,545,10.2,how does the building respond to sudden increases in indoor pollutants? || how does the building plan upgrades to meet future sustainability standards?
agentic RAG fallback,EXISTING,already implemented,519,340,6.4,are there any accessibility issues reported in this zone? || are there any indoor pollutants coming from cleaning products or materials?
energy metering,PLANNED,T17,484,423,7.9,how does the system identify and manage energy intensive equipment? || can the system evaluate the efficient of green roofs or eco  feautures?
extended IAQ (PM/VOC/NO2),PLANNED,T18,466,315,5.9,how does the building respond to sudden increases in indoor pollutants? || are there pollutant sources identified within indoor spaces?
maintenance / CMMS records,PLANNED,T36,392,266,5.0,are there systems to ensure safe drinking water quality at all times? || are any floors currently under maintenance?
recommendation engine,EXISTING,already implemented,370,261,4.9,how does the system identify and manage energy intensive equipment? || can the system suggest improvements for better recycling habits?
metadata enrichment (capacity/function/tenant),PLANNED,T07,355,234,4.4,can the building identify underutilized space to improve efficiency? || are there any patterns of overcrowding at this time of day?
noise / acoustic sensing,PLANNED,T18,294,192,3.6,are there any areas where noise levels suddenly increased? || can i find a workspace that matches my preferred noise and lighting levels?
carbon / ESG accounting,PLANNED,T17,260,144,2.7,how does the building plan upgrades to meet future sustainability standards? || Could the building calculate the Carbon Emissions saved every time a floor successfully us
water metering / leak,PLANNED,T18,256,177,3.3,how does the building support water conservation during peak usage? || can water usage patterns help identify inefficiencies in specific areas?
general LLM knowledge (excluded scope),EXISTING,already implemented,226,226,4.2,is the lighting level appropriate for presentations or screen viewing? || is the lighting too harsh or too dim in any workspace?
verifier / grounding,EXISTING,already implemented,205,202,3.8,can the building detect and reduce unnecessary during daytime? || auto window close if electricity goes?
access / security systems,PLANNED,T19,202,147,2.7,are there any unusual access activities detected late at night? || Does the Smoke/Fire Suppression status log exactly who was in the room (via Access Logs) w
fire / life-safety feed,PLANNED,T19,136,100,1.9,which areas are safest in case of an emergency evacuation? || Do the pressure differential sensors confirm that the stairwell is pressurized enough to p
tariff / cost data,PLANNED,T15,133,92,1.7,"Can the system predict a ""Peak Demand"" event based on the afternoon weather forecast and s || If we shift heavy HVAC tasks to 4:00 AM, how much cheaper is that electricity compared to "
equipment condition / predictive maintenance,PLANNED,T36,97,87,1.6,is any equipment behaving inconsistently compared to normal operation? || What is the specific Standby Load of the elevator system when no one has entered the lobby
personalised preferences,NEEDED,EXTEND TRACKER,86,68,1.3,can the building suggest a workspace based on my past preferences? || can i find a workspace that matches my preferred noise and lighting levels?
benchmarking vs peers/standards,NEEDED,EXTEND TRACKER,79,58,1.1,how does the building plan upgrades to meet future sustainability standards? || are the solar panels producing optimal energy today?
goal decomposition / autonomy,PLANNED,T26-T27,60,53,1.0,"Can the building detect a ""productivity dip"" by correlating high CO2 with low Motion (PIR) || how does the building ensure green technologies remain effective over time?"
occupant surveys / subjective feedback,PLANNED,T19,57,50,0.9,can the building measure how greenery impact occupant satisfaction? || is heating causing discomfort in any specific areas?
notification / comms dispatch,NEEDED,EXTEND TRACKER,38,36,0.7,how does the building ensure green technologies remain effective over time? || can the system notify me if a desk becomes available nearby?
wayfinding / route guidance,NEEDED,EXTEND TRACKER,34,31,0.6,can i find a workspace that matches my preferred noise and lighting levels? || can you guide me to a workspace with plug points available?
directory / contacts,PLANNED,T08,34,25,0.5,Who is looking for a desk but can't find one? || Make person in charge aware of groceries needed?
personas,EXISTING,already implemented,34,20,0.4,Can I see usage patterns to adjust my own habits? || Do you have a name?
what-if / scenario simulation,NEEDED,EXTEND TRACKER,26,21,0.4,how can the building reduce varbon emission this month? || How we reduce energy?
response cache,EXISTING,already implemented,16,15,0.3,can the building automatically optimize energy use during weekends or holidays? || Have you ever had a human try to make you screw up or behave in a way that you felt they s
HBCO concept layer / lay-term mapping,PLANNED,T01-T06,3,3,0.1,Should the building's target temperature shift slightly based on what people are wearing ( || how comfortable is the office temperature for everyone right now?
multilingual handling,EXISTING,already implemented,1,1,0.0,"Does this place have any appeal to tourists, especially foreign tourists?"
