source,source_id,title,source_state,disposition,v12_rows,reason
REVIEW,REV-B09,"future conditions with only observations: a limitation, not invented certainty",case,scheduled,V12-25,
REVIEW,REV-B10,"clarification exhausted, ambiguity remains: narrow or abstain, never guess",case,scheduled,V12-25,
REVIEW,REV-B11,unauthorised room or derived sensitive output: policy applies before disclosure,case,scheduled,V12-17,
REVIEW,REV-B12,cache cannot bypass the current authorisation and provenance policy,case,scheduled,V12-16,
REVIEW,REV-B13,irrelevant keyword-sharing document rejected; a contradicting one surfaces the conflict,case,scheduled,V12-18,
REVIEW,REV-B14,"observations-plus-procedure: both subclaims sourced, or the unsupported part stated",case,scheduled,V12-06,
REVIEW,REV-B15,"timeout, outage and delayed completion: explicit partial outcome, retry distinguishable",case,scheduled,V12-19,
REVIEW,REV-B16,generated execution asked to do something disallowed: limits hold (conditional case),case,conditional_closed,,"Disallowed-execution injection. Settled by the Phase 0 inspection: 35 LLM call sites, three lanes generating executable artifacts, every one already guarded, and the Python sandbox verified LIVE to have no network egress at all. The review makes B16 explicitly conditional on that inventory. Re-open if an execution path is added."
REVIEW,REV-T01,"establish baseline: capability matrix, revision snapshot, LLM inventory, intent manifest",ticket,scheduled,V12-26,
REVIEW,REV-T02,lock in incidents: exact historical failure set and minimal fixtures,ticket,scheduled,V12-01,
REVIEW,REV-T03,enforce publication: claim-level verification and authorised final-response policy,ticket,scheduled,V12-03,
REVIEW,REV-T04,make data failures explicit: typed retrieval outcomes and reference validation,ticket,scheduled,V12-05,
REVIEW,REV-T05,"preserve semantics: normalized request, time resolver, count and aggregation contracts",ticket,scheduled,V12-08,
REVIEW,REV-T06,govern simulation: provenance labels and operational admissibility,ticket,scheduled,V12-04,
REVIEW,REV-T07,"finish routing contracts: precedence, answer collection, bounded mixed-source behaviour",ticket,scheduled,V12-06,
REVIEW,REV-T08,"prove ARBITER: criterion registry, eligibility/coverage rules, reproducible dossiers",ticket,scheduled,V12-25,
REVIEW,REV-T09,"evaluate and release: held-out results, repeated runs, limitation register, Gate decision",ticket,scheduled,V12-29,
REVIEW,REV-T10,test portability: second-building readiness and intervention log,ticket,scheduled,V12-30,
V10,W2-1,BuildingLexicon: derive routing vocabulary from the active graph,todo,scheduled,V12-21,
V10,W2-5,Generate the SPARQL few-shot from the live graph; inject ontosage: and hbco:,todo,scheduled,V12-22,
V10,W3-2,Register scaffolder,todo,deferred,,Same item as V11-D1.
V10,W3-3,Templates for the 24 TTLs with no template and no generator,todo,deferred,,Same item as V11-D2.
V10,W3-5,"Deployment truth, then the cold start on bldg4",todo,scheduled,V12-27,
V10,W4-4,"The seven W0 questions become permanent regression cases, plus a bldg3 leg",todo,scheduled,V12-01,
V11,V11-1,"The seven W0 questions become permanent probe cases, with final-output assertions",superseded_by_v12,scheduled,V12-01,
V11,V11-10,Deterministic aggregates for common analytics questions,superseded_by_v12,scheduled,V12-28,
V11,V11-2,Publication enforcement — a failed verification must withhold the claim,superseded_by_v12,scheduled,V12-03,
V11,V11-3,Simulation governance — simulated evidence must not win an operational answer,superseded_by_v12,scheduled,V12-04,
V11,V11-4,Typed retrieval outcomes — four kinds of nothing stop collapsing into one,superseded_by_v12,scheduled,V12-05,
V11,V11-4b,A request whose second half went unserved must say so (bounded composition),superseded_by_v12,scheduled,V12-06,
V11,V11-5,Manifest-to-renderer contract test (no repair — the defect is already fixed),superseded_by_v12,scheduled,V12-07,
V11,V11-6,"BuildingLexicon into routing, plus BUG-489 claim authority",superseded_by_v12,scheduled,V12-21,
V11,V11-7,Generate the SPARQL few-shot from the live graph,superseded_by_v12,scheduled,V12-22,
V11,V11-8,Resolve the requested interval once; forbid downstream re-derivation,superseded_by_v12,scheduled,V12-08,
V11,V11-9,A held-out evaluation set that is not consulted while fixing anything,superseded_by_v12,scheduled,V12-29,
V11,V11-D1,DEFERRED: register scaffolder (W3-2),superseded_by_v12,deferred,,Register scaffolder (W3-2). The review independently reaches the same conclusion: defer generalised scaffolding until V12-30's manual second onboarding shows which work actually repeats.
V11,V11-D2,DEFERRED: templates for 24 TTL files (W3-3),superseded_by_v12,deferred,,Templates for the 24 TTLs with no template (W3-3). Same reason as V11-D1; V12-30 produces the evidence that would justify it.
V11,V11-D3,DEFERRED: packaging and container naming (W3-5 remainder),superseded_by_v12,deferred,,"Packaging and container naming (W3-5 remainder). The .env.example and deployment-truth half IS scheduled, as V12-27; only the packaging half is deferred."
