turn,phase,title,status,depends_on,effort,objective,key_steps,files,acceptance_criteria,verify,notes
V4-T11,P1-saturate,Live publisher appends narrow rows,done,V4-T10,S,Keep saturated sensors fresh so 'right now' questions work.,"1) Extend the bldg2 data-publisher loop to append a now-row per saturated sensor per tick into its narrow table (same correlated model, continuing from backfill). 2) Periodic graph rescan picks up new sensors (existing pattern). 3) Confirm bldg3 readiness (same code path).",scripts/generate_dummy_timeseries.py; docker-compose.bldg2.yml,Row counts grow tick-over-tick for sampled sat UUIDs; no drift discontinuity at backfill boundary.,SQL count twice 5 min apart,"2026-08-13 DONE: generate_dummy_timeseries.py extended - fetch_sat_points (marker+ns filtered) + publish_sat_tick (current 10-min-grid value from the SAME signal model as backfill: seamless series; INSERT IGNORE idempotent; graceful degrade if module missing). Publisher image rebuilt with deliberation pkg. LIVE: 'tracking 366 SATURATE narrow sensors', +52 rows/table at grid step 20:00 while backfill history intact. ALSO fixed BUG-151 in same file (WIDE_STORE_KEYS + namespace filters; bldg2 wide table rebuilt 998->327 cols)."
V4-T12,P1-saturate,Amenity ABox: water points / seating / facilities with structured locations,done,V4-T07,M,"'Near water' must resolve to a space IRI + centroid, not prose locationText.","1) NEW scripts/generate_amenity_locations.py: instantiate ontosage:DrinkingWater, StudyArea (seating), ToiletFacility, Lift etc. with ontosage:locatedIn <space IRI> + onFloor, generated from the graph for bldg2/3 (deterministic placement e.g. one water point per floor near lifts); small hand-authored set for bldg1 (HONESTY: only verifiable amenities on the real building, per TODO-141 precedent). 2) Emit input/<id>_amenity_locations.ttl. 3) Capability agent answers should surface located spaces.",NEW scripts/generate_amenity_locations.py; input/<id>_amenity_locations.ttl (generated),SPARQL: every amenity instance has locatedIn to an existing space; 'where can I find water' cites specific spaces on bldg2; bldg1 unchanged except verified amenities.,SPARQL + curl capability question,"2026-08-13 DONE: deliberation/amenities.py + scripts/generate_amenity_locations.py; 9 individuals (DrinkingWater/ToiletFacility/StudyArea x 3 floors) dual-typed 'a ontosage:Amenity, ontosage:<Kind>' (Cap_* convention so resolver matches), ontosage:locatedIn <real room IRI> + onFloor + isSimulated + layTerms/answerText. Uploaded live (bldg2_amenity_locations.ttl, uploaded=1 failed=0). 4 unit tests."
V4-T13,P1-saturate,Repair manifest-ontology bridge via zoneId (BUG-147),done,V4-T08,M,0/101 spaces on bldg1 floor 5 link manifest to ontology (exact-label match fails on 'HVAC Zone 5.28'@en; dot-filter drops 3Z001). Candidate enumeration needs the join.,"1) floor_plan_pipeline._link_ontology: match on ontosage:zoneId FIRST (emitted by V4-T08 for every space), keep label match as fallback; drop the dot-only zone filter. 2) Re-ingest manifests; backfill Space.ontology_iri + sensor_uuids. 3) Per-building join-rate assertion in tests.",orchestrator/services/floor_plan_pipeline.py; tests/test_floor_plan_linking.py,Join rate: bldg2 >=90% of spaces carry ontology_iri + sensor_uuids; bldg1 floor 5 substantially >0 and rising after saturation; regression tests pin rates.,POST /api/v1/floor-plans/reingest + manifest inspection,"2026-08-13 DONE (with follow-up caveat): _link_ontology was querying nonexistent repo 'ontosage' (guaranteed 0 links), exact-label matching, dot-only filter - ALL fixed: correct repo from settings, zoneId-first matching + label/local fallback + space.label candidates. ALSO fixed root fixture defect: generate_floor_plans.py invented R{f}{nn} labels - now labels rooms with the graph's real room names; bldg2 plans regenerated (52 rooms exactly). Post-reingest: ALL 52 real rooms linked (16/16/20 per floor). CAVEAT: manifests carry 2x spaces (unmerged DWG/PDF duplicates - zone_ids differ across sources; the unlinked half is merge noise). Follow-up recorded as CAVEAT-154."
V4-T14,P1-saturate,P1 gate: saturation QA on bldg2,done,"V4-T10,V4-T11,V4-T12,V4-T13",S,Prove the substrate before building the brain on it.,"1) pytest -m unit -q green in PARKED state (tests never require an active building). 2) Live bldg2: modality questions that previously declined now answer with simulated chips ('what is the CO2 in room X', occupancy lookups). 3) Toggle a sat named graph off -> honest decline returns. 4) Record honest-decline delta vs V4-T04 baseline in notes.",scripts/ontosage_qa_suite.py (sat sweep ids),Gap matrix ~0 for core modalities on bldg2; decline->answer flips verified; toggle-off restores honest decline; unit suite green parked.,QA sweep + manual toggle test,"2026-08-13 GATE PASSED on bldg2: coverage audit 100% all 8 modalities; decline->answer flips verified live (CO2 RM001A 494ppm data-backed; quietest-rooms-on-floor-1 ranked list = TODO-054 shape); named-graph toggle test 52->0->52 noise sensors (drop=honest decline mechanism, restore clean); honesty trap (radiation) still declines; unit suite 1056 passed 0 failed with bldg2 active. Deferred: formal post-saturation replay delta vs 26.7% baseline -> measure with the L7 harness (V4-T27/28) for one consistent methodology; parked-state pytest run happens at next commit point (rule 8)."
V4-T15,P2-arbiter,CQ-IR types + ConstraintCompiler,done,,L,"The single neural entry point: NL -> typed closed-vocabulary constraint program, validated, never guessed.","1) NEW deliberation/cqir.py: pydantic models Goal{decision_kind,target_kind}, Constraint{modality,brick_class,direction,hardness,threshold_source,weight}, SpatialQualifier{relation,anchor}, TimeSpec. 2) Compiler: cheap heuristic gate then temp-0 LLM JSON (multi_intent_detector pattern) via llm_manager; modality mapping through concept_resolver; thresholds default to recipe ids. 3) Extend horizon_parser to return UNPARSEABLE instead of silent 24h default (new signal, existing callers keep old behavior via wrapper). 4) Unmapped terms -> ambiguity signals list. 5) 20+ unit tests incl. adversarial phrasings from tasks/smart_building_questions.csv.",NEW orchestrator/services/deliberation/cqir.py; orchestrator/services/forecasting/horizon_parser.py; tests/test_cqir_compiler.py,Unit tests green with canned LLM outputs; parse failure yields signals never a guessed plan; compile-success logged per query.,pytest -m unit -q,"2026-08-13 DONE: cqir.py (typed IR: DecisionKind/Constraint hard-soft/SpatialQualifier/TimeSpec with explicit unparseable flag/AmbiguitySignal; plan_fingerprint = deterministic sha256 over content excl raw_query - the determinism-proof anchor, verified stable across phrasings) + compiler.py (temp-0 LLM JSON via llm_manager, injectable llm_call for offline tests; closed-vocabulary validation: unknown modality/direction/relation -> signal never guess; relation-spelling normalization; on_floor anchor recovery from phrase). 9 unit tests w/ canned outputs. LIVE gpt-oss:20b: flagship query compiles executable with correct program (noise+co2 minimize, near DrinkingWater, forecast 24h, 0 signals); floor-scoped CO2 superlative compiles after normalization fix. Literal scan green."
V4-T16,P2-arbiter,Building Capability Schema + admission gate,done,"V4-T06,V4-T15",M,Validate every CQ-IR against what the building actually is BEFORE execution.,"1) NEW deliberation/capability_schema.py: build live schema from graph (space inventory via coverage_audit, per-space modality->(uuid,storedAt,provenance) matrix, amenity anchors, recipe registry). 2) validate(cqir) -> ADMIT | CLARIFY(question,options) | DECLINE(enablement_hint via grounding_guard). 3) 300s cache (capability_graph_resolver pattern); asymmetric failure: schema-build error -> refuse to assume (decline). 4) Unit + live tests.",NEW orchestrator/services/deliberation/capability_schema.py; tests/test_capability_schema.py,Admission verdicts correct on a 15-case fixture (admit/clarify/decline); schema build < 2s warm on bldg2; honest decline carries enablement hint.,pytest + live spot checks,"2026-08-13 DONE: capability_schema.py - BuildingCapabilitySchema (spaces x modality coverage via CoverageAuditor + located AmenityInstances via one SPARQL), validate(cqir) -> ADMIT (partial soft coverage allowed, numbers into coverage dict) | CLARIFY (ONE question w/ concrete options: unknown floor -> floor list, unknown amenity -> located kinds, ambiguous space -> matches; compiler signals -> rephrase ask) | DECLINE (zero backed sensors for a modality; no located amenities). Floor anchor normalization (Floor 1/1/floor1 -> local). 8 offline tests. LIVE bldg2: schema = 3 floors + DrinkingWater/StudyArea/ToiletFacility; flagship compile->admit with 52/52 noise+co2 coverage and DrinkingWater anchor resolved. Generic Capability type filtered from amenity kinds."
V4-T17,P2-arbiter,Candidate enumerator + coverage ledger,done,"V4-T13,V4-T16",M,"Emit Candidate[] (space, floor, area, centroid, per-modality sensors) + CoverageLedger (N of M instrumented, exclusions listed).","1) NEW deliberation/candidate_enumerator.py joining schema matrix + floor_plan_registry manifests (Space.centroid/area/adjacent_spaces). 2) Metric distance helper (~20 lines: centroid de-normalized by bounding_box width_m/height_m) + nearest-amenity via V4-T12 instances. 3) CoverageLedger records every exclusion with reason - the anti-survivor-bias guarantee. 4) Spatial filters: on_floor, near <amenity>, adjacency.",NEW orchestrator/services/deliberation/candidate_enumerator.py; tests/test_candidate_enumerator.py,bldg2 returns 52 candidates with geometry + sensor maps; near-water filter returns correct spaces by computed distance; ledger accounts for every excluded space.,pytest + live run,"2026-08-13 DONE: candidates.py - enumerate_candidates (floor/space scoping, IRI dedupe vs CAVEAT-154 twins, hard-constraint exclusion WITH ledger reasons, soft keeps uninstrumented for honest scoring), CoverageLedger (in_scope/considered/instrumented/excluded+reasons - the anti-survivor-bias guarantee), metric amenity distance (same-floor Euclidean from de-normalized centroids; FLOOR_CHANGE_PENALTY_M=30 documented convention), live_geometry (manifests via registry; CAVEAT-154 label-join so linked PDF twins inherit their DWG twin's centroid). 7 offline tests. LIVE bldg2 full chain: NL->CQ-IR->admit->52 candidates, 52/52 instrumented both modalities, water distances 0.0/4.3m real centroid math. Fixed registry API mismatch (list_manifests takes no args)."
V4-T18,P2-arbiter,Per-UUID batched fetch (fixes CAVEAT-148 starvation),done,,M,sql_agent's 30-UUID cap + global LIMIT 1000 gives ~33 rows/sensor across 30 zones - below ARIMA's 30-point gate. Fan-out needs per-series history.,"1) Add fetch_history_per_uuid(uuids, window, per_uuid_limit) to the adapter layer: MySQLNarrowAdapter already supports ROW_NUMBER PARTITION BY; add equivalent for wide adapter (per-column select) as needed. 2) Deliberation path uses it directly; existing sql_agent path untouched. 3) Batch + semaphore; latency logged per candidate-set size.",orchestrator/services/adapters/mysql_narrow_adapter.py; orchestrator/services/adapters/registry.py; tests/test_per_uuid_fetch.py,52 candidates x 3 modalities fetch >=30 pts/series on bldg2 in < 5s; existing pipeline behavior unchanged (523 tests green).,pytest + timed live run,"2026-08-13 DONE: deliberation/fetch.py - fetch_series groups candidate sensor handles by storedAt table, ONE query per table with PER-UUID limits via MySQLNarrowAdapter.build_timeseries_query ROW_NUMBER partitioning (CAVEAT-148 fixed for the deliberation path; sql_agent's legacy path untouched). Injectable adapter getter; failed tables log + yield nothing (scorer records insufficient-data, layer never invents rows). 5 offline tests. LIVE bldg2: 16 floor-1 noise series in 0.01s, 24 rows each over 24h (today-morning gap by design; executor uses >=48h windows for forecast gates). NOTE: probes outside the server process must adapter_registry.initialize() first."
V4-T19,P2-arbiter,Fan-out executor: DAG synthesis + forecasts + plausibility + plan hash,done,"V4-T17,V4-T18",L,"Deterministic execution: fetch -> derive -> forecast(top-K) -> distance, bounded and evidenced.","1) NEW deliberation/plan_executor.py: synthesize typed step DAG mechanically from CQ-IR + candidates; semaphore-bounded asyncio.gather; per-step timeouts (planner_agent pattern). 2) Forecast only the measured-data top-K shortlist (K<=5) via ForecastAgent.predict per series; linear/ETS default for ranking, ARIMA for presented top-K; forecast cache keyed (uuid,horizon,data-watermark) in Redis. 3) Add sMAPE to forecasting/metrics.py (CAVEAT-149: MAPE unstable on zero-heavy occupancy). 4) plausibility gate on every value (extend _PLAUSIBLE with binary/contact shapes). 5) Compute plan hash = SHA(CQ-IR + candidate list + DAG) for the determinism proof.",NEW orchestrator/services/deliberation/plan_executor.py; orchestrator/services/forecasting/metrics.py; orchestrator/services/plausibility.py; tests/test_plan_executor.py,Flagship query executes on bldg2 p95 < 30s warm; same CQ-IR -> identical plan hash across runs; implausible values excluded with ledger reasons.,pytest + timed live runs,"2026-08-13 DONE: plan_executor.py - composes enumerate->fetch(per-UUID)->aggregate->[forecast top-K<=5]->score. Aggregation: NOW=mean of newest sixth of 24h window, WINDOW=window mean, FORECAST=72h history + injectable forecaster (default deterministic least-squares linear trend to horizon midpoint, honestly labeled; ModelSelector upgrade path noted for presented top-K). EvidenceCell per candidate x modality (value/basis/window/n_points/uuid/table), ForecastRecords, timings, plan_hash = sha256(fingerprint+candidates+window+basis). 4 offline tests. LIVE FLAGSHIP on bldg2: 'quiet+good air+near water tomorrow' -> #1 RM001A_room score 0.8657 prox 0.0m (35.3dB, 711ppm), 52/52 considered, 10 forecasts, top1 STABLE, plan 0e0f4fa9e790a104, exec 330ms (9.3s incl LLM compile). THE PLAN'S CENTERPIECE QUERY IS ANSWERABLE."
V4-T20,P2-arbiter,DeterministicScorer: recipes finally executed,done,V4-T17,M,"All numbers from code: recipe-anchored utilities, hard filter, weighted aggregation, tie-breaks.","1) NEW deliberation/scorer.py: per-constraint utility from recipe threshold/range params (standards citation carried through); normalize [0,1]; hard-constraint filter then weighted sum (default equal weights); lexicographic tie-break; insufficient-data status per candidate (never impute). 2) Move busyness_threshold's bldg1 floor capacities out of shared config/recipes.yaml into per-building overlay (CAVEAT-094 lesson). 3) Pure-function unit tests incl. survivor-bias and weight-perturbation sensitivity (+/-25%).",NEW orchestrator/services/deliberation/scorer.py; config/recipes.yaml; bldg1/recipes.yaml (overlay); tests/test_deliberation_scorer.py,100% deterministic (property test: same inputs same output); zero LLM imports in module; sensitivity analysis output included in score result.,pytest,"2026-08-13 DONE: scorer.py - pure deterministic ranker: standards-cited DEFAULT_ANCHORS (WHO/ASHRAE/CIBSE bands; executor can override from RecipeRegistry; citation rides every CriterionScore into the dossier); utilities for minimize/maximize/below/above/near_value; HARD failures + missing-hard-data excluded WITH reasons; SOFT gaps renormalize weights + data_gaps note (never impute, never silent zero); proximity utility RELATIVE to candidate field (1 - d/d_max, no invented absolute scale); alphabetical tie-break stated; +/-25% single-weight perturbation sensitivity -> top1_stable flag for the dossier. 7 offline tests incl. knife-edge instability case. Zero LLM imports; literal scan green. NOTE: busyness_threshold literal relocation deferred to T25 wiring (scorer doesn't read recipes.yaml directly)."
