Stage,Roles,Question
3,Guests/Visitors,Could people become trapped in stairwells if the building was hacked?
1,Guests/Visitors,1
3,Guests/Visitors,What is the backup plan for when cooling fails?
3,Student/Researchers/Academics,is the rooftop terrace open for use?
2,Student/Researchers/Academics,Can energy meter track daily usage?
4,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,light wadting
2,Occupants/Tenants/Employees,What is the supply air temperature?
1,Occupants/Tenants/Employees; Guests/Visitors,Is there an elevator and if so how can I contact for emergency help if needed?
3,Student/Researchers/Academics,what is the occupancy level in the open plan office currently?
1,Guests/Visitors,is there a separate mailroom for large packages
3,Facility Managers / Building Maintenance Teams,server room not  important
2,Occupants/Tenants/Employees,Is there too much glare?
2,Occupants/Tenants/Employees,Can you adjust the AC automatically?
4,Student/Researchers/Academics,solar active?
1,Guests/Visitors,Who owns the building?
1,Guests/Visitors,How do i get to suite 202?
2,Guests/Visitors,ar eyou able to dampen noises?
4,Guests/Visitors,are visitors allowed?
4,Facility Managers / Building Maintenance Teams,IS AIR QUALITY INDEX OKAY ?
2,Guests/Visitors,"different people like different temps. for example, i get cold easily and like it warmer and often find offices too cold. can you accomodate different preferences and accomodate me?"
1,Student/Researchers/Academics,security cameras?
1,Guests/Visitors; Vendors/Service Providers; Student/Researchers/Academics; Facility Managers / Building Maintenance Teams; Occupants/Tenants/Employees; Sustainability and Energy Management Teams,How warm is it in here?
4,Guests/Visitors,Can the building show realtime sound levels for different floors so people can choose their environment?
4,Guests/Visitors,What temp is the basement?
1,Student/Researchers/Academics,which areas of the building are currently the quietest for focused work?
1,Guests/Visitors,21
4,IT/Data Scientists; Building Owners/Property Managers,Does the light color change during the afternoon?
2,Guests/Visitors,has your building had any problems with the backup generator and frequency?
4,Building Owners/Property Managers; IT/Data Scientists; Real Estate Developers,Could escalators switch to standby when corridors are empty?
3,Occupants/Tenants/Employees; Student/Researchers/Academics,is air quality good?
2,Guests/Visitors; Occupants/Tenants/Employees,What is the temperature of the boiler?
4,Student/Researchers/Academics,How can you reduce water usage in this building?
1,Occupants/Tenants/Employees; Sustainability and Energy Management Teams,Are the current tenants happy with the building?
2,Health and Safety Officers,Does maintenance automatically schedule for repairs?
3,Occupants/Tenants/Employees,what do the wayfinding displays look like?
4,Facility Managers / Building Maintenance Teams,peak
2,Building Owners/Property Managers; IT/Data Scientists; Real Estate Developers,What is causing the VOC levels to increase in this area?
1,Occupants/Tenants/Employees,how often do you check for safety issues ?
3,Building Owners/Property Managers; IT/Data Scientists; Real Estate Developers,why does this area feel warmer than others
2,IT/Data Scientists,how aqi is measured
1,Guests/Visitors,Is it possible for a smart feature to malfunction and what do I do if this happens?
1,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,how many people are currentky inside the building
1,Student/Researchers/Academics,Are you eco-friendly?
4,Building Owners/Property Managers,How we reduce energy?
1,Building Owners/Property Managers; Facility Managers / Building Maintenance Teams,What are peak hours?
4,Occupants/Tenants/Employees; Student/Researchers/Academics,any standby load waste?
2,Guests/Visitors,What is the average barometric pressure?
1,Student/Researchers/Academics,which entrances are currently in use and which are free?
4,IT/Data Scientists,What percentage of the current Power (kW) load is being supplied by on-site renewable sources?
4,Occupants/Tenants/Employees; Student/Researchers/Academics,temperature comfortable now?
1,Guests/Visitors,Do I need to be tech-savvy to use the smart features?
2,Guests/Visitors,"Would this sensor also detect loud human noises, like coughing attacks?"
2,Guests/Visitors,What is the standard Humidity Level that this Building is set for?
1,IT/Data Scientists; Building Owners/Property Managers,Are there smart sensors inside to control lighting and temperature?
2,IT/Data Scientists,Can the thermostat be changed at any time?
1,Guests/Visitors,on one picture of you you are holding a microphone? why? are you explaining something?
1,Guests/Visitors,Are you able to play music to a specific room?
1,Building Owners/Property Managers,DO YOU LOVE YOUR PARENTS?>
3,Building Owners/Property Managers; Occupants/Tenants/Employees; Facility Managers / Building Maintenance Teams,How much CO2 is in the meeting room?
2,Occupants/Tenants/Employees,Are there any batteries in the wireless sensors in this room that have become low enough for replacement?
2,Sustainability and Energy Management Teams; Guests/Visitors,How do you manage standby load?
1,Guests/Visitors,Are the smart functions able to be upgraded over time as technologies change and improve?
2,Facility Managers / Building Maintenance Teams,ARE THERE ANY PROBLEMS WITH THE HEARTING SYSTEM?
1,Guests/Visitors,"How much energy does it take to run the building, with and without the smart systems in place?"
2,Occupants/Tenants/Employees,What happens if it's too dark?
2,Occupants/Tenants/Employees; Student/Researchers/Academics,Have motion sensors detected activity in empty rooms?
4,Occupants/Tenants/Employees,is pm2.5 affecting health ?
4,Facility Managers / Building Maintenance Teams,IS WATER DRAINAGE SYSTEM OKAY ?
4,Student/Researchers/Academics,Efficiency improved?
2,Facility Managers / Building Maintenance Teams,no2 is unnessary or not
3,Guests/Visitors,Can the system figure out how much exercise people are getting with stairwells?
1,Guests/Visitors,15
1,Occupants/Tenants/Employees,"I like your thumbs up. A job to me is a salary, good office space, and talented co-workers. What else should I consider regarding a place where I spend so much time, even overtime, early mornings and late evenings?"
2,IT/Data Scientists,Is the radar technology safe?
2,Guests/Visitors,Does this take into account pollen count?
1,Guests/Visitors,Do you have goals for the future? I assume energy saving and doing good things that benefit the environment are a high priority.
1,Guests/Visitors,Are there other buildings you admire for their beauty?
1,Occupants/Tenants/Employees,How do you handle lighting? I hate any type of glare or insufficient lighting.
4,Guests/Visitors,do you only manage windows and such or devices as well when it comes to glare?
3,Student/Researchers/Academics,Charger available?
1,IT/Data Scientists; Building Owners/Property Managers,What is the primary purpose of this building space?
3,Guests/Visitors,How naturally can you understand and talk to people who need to get somewhere? Can you guide them through the whole way?
1,Building Owners/Property Managers; Occupants/Tenants/Employees; Facility Managers / Building Maintenance Teams,Do you know if the locks have been rekeyed?
1,Occupants/Tenants/Employees; Student/Researchers/Academics,how much energy are you useing today ?
4,IT/Data Scientists,how  does buildings collect feedback?
4,Student/Researchers/Academics,are there automated system to reduce water waste in bathrooms?
2,Guests/Visitors,How many people are allowed on the ground floor? I notice occupancy sensors may be used to keep track of this.
2,Building Owners/Property Managers,do you keep rooms quite
1,Health and Safety Officers,What is your mind right now
1,Guests/Visitors,What does it feel like under the foundation?
4,Guests/Visitors,Aim to reduce waste by minimizing thermostat use -- keep it locked.
3,Student/Researchers/Academics,Is this area safe to walk?
4,Guests/Visitors,"How many banks of elevators are in use in your building? I hope there are enough to support many large groups of people, especially those with disabilities who may not be able to use the stairs."
4,Student/Researchers/Academics,good
2,Occupants/Tenants/Employees,Would the employees/occupants be given suggestions or warnings that use is above averaage?
2,Building Owners/Property Managers,Is the lighting sufficient for work?
2,Guests/Visitors,can you do your own repairs?
3,Guests/Visitors,hi
3,Facility Managers / Building Maintenance Teams,is there a dedicated feature wall for the company logo or building name
4,Student/Researchers/Academics,how do you improve lighting effciency?
3,Guests/Visitors,Can the building monitor lighting and increase it overnight or if it detects a low amount of people?
3,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,air quality good
2,IT/Data Scientists,What consider the optimal  building occupance?
1,Guests/Visitors,6
1,Student/Researchers/Academics,how do you track occupancy?
1,IT/Data Scientists,What is Data Analysis
1,Occupants/Tenants/Employees,The bottom line is always in focus. What savings will you be producing?
1,Facility Managers / Building Maintenance Teams,does the building help me outside my work schedule?
4,Guests/Visitors,do you reimburse residents if they buy blackout curtains
1,Guests/Visitors,How many floors do you have?
3,Student/Researchers/Academics,is the air conditioning system operating efficiently in this zone?
1,Occupants/Tenants/Employees,Which rooms do people use the most?
3,Occupants/Tenants/Employees; Student/Researchers/Academics,is the temperature safe?
1,Sustainability and Energy Management Teams; Guests/Visitors,Do you have a name?
1,Facility Managers / Building Maintenance Teams,hello building
2,Occupants/Tenants/Employees; Sustainability and Energy Management Teams,What is a safe level for the VOC system?
3,Guests/Visitors,how are emergencies responded to?
1,Guests/Visitors,what is your favorite sports
3,Building Owners/Property Managers,Which car is best for riding?
1,Facility Managers / Building Maintenance Teams,what is the being done to lower carbon emission
1,Building Owners/Property Managers,What is your favourite food?
2,Building Owners/Property Managers,WHST IS THE IDEAL CO2 LEVEL FOR COMFORT ?
4,Guests/Visitors,What kind of insulation does the building have? Consider upgrading.
2,Student/Researchers/Academics,what is the current PM2.5 level ?
1,Occupants/Tenants/Employees,How close is the nearest hospital from this building?
2,Occupants/Tenants/Employees,When was the door last opened?
2,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,is occupancy at maximum
2,Facility Managers / Building Maintenance Teams,AIR ANDSPONGE
2,Building Owners/Property Managers,do you save more energy
4,IT/Data Scientists,in the indoor pollution or not
3,Student/Researchers/Academics,safe here?
2,Health and Safety Officers,what does current measure
4,Guests/Visitors,Can the building monitor sound decibel level?
1,IT/Data Scientists,How AI Read Texts From Images
2,Guests/Visitors,Is the model information collected somehow for all items in the building?
1,Guests/Visitors,hi
2,Guests/Visitors,how many unexpected noise events have you had today?
1,Building Owners/Property Managers; Facility Managers / Building Maintenance Teams,Any free meeting rooms?
3,Occupants/Tenants/Employees,Is any EV charger available?
4,Occupants/Tenants/Employees,"can you, the building direct me to the quickest elevator based on use and time etc rather than me just choosing one at random?"
2,Facility Managers / Building Maintenance Teams,total people count
3,Guests/Visitors,our projector isn't working. can you get another one in here pronto?
1,Occupants/Tenants/Employees; Sustainability and Energy Management Teams,How does the building differ from other similar buildings?
3,Guests/Visitors,"Do you have multiple redundant lighting systems to make sure that even if there are several failures, it's safe for people to navigate the lot?"
4,IT/Data Scientists,how does the building maximise natural light?
2,Occupants/Tenants/Employees; Guests/Visitors,Is there a way to pause the sound level sensor if I am purposely having a loud sound playing?
2,Facility Managers / Building Maintenance Teams,PRESSURE DEPENDENCE
4,IT/Data Scientists; Building Owners/Property Managers,Can I see live CO2 levels on displays?
