PID,Stage,Question,machine_domain_l1,machine_query_type_l2,machine_intent,machine_temporal,machine_spatial,machine_complexity,domain_l1,query_type_l2,intent,temporal,spatial,complexity,coder_notes
P87,4,Can the blue light filter be adjusted for daytime and nighttime hours?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P73,3,wayfinding available?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P88,3,can I customize lighting preferences for my workspace?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P03,1,1,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P96,3,how does the building use  internal  environment?,SUSTAINABILITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P92,2,Is voltage stable?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P65,1,WHAT FISHERMAN DO INOUR SOCIETY ?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P84,2,HOW IS THIS DIFFERENT FROM WHAT PEOPLE USED BEFOR?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P60,4,How is humidity managed to prevent dry air?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P91,1,how does the building acpert,OTHER,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P54,3,Is the HVAC equipment on the roof properly shaded to improve their efficiency in summer? does their shading negatively impact the solar panels?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P57,2,How does the system determine what the ideal temp is when people have different preferences?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P64,2,Is the door open or closed?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P61,4,How much water is being used daily?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P96,2,How many  Temperature sensors in this buildings?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P28,2,Are the smart plugs moveable or are they located on fixed power outlets?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P86,2,How much current required to run a motor/,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,AGGREGATION,,,,,,,
P76,1,How do Occupants communicate with the Smart Functions of this Building?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P26,3,"How does the look of the lobby reflect inclusivity, being welcome to all cultures, for instance at holidays?",WAYFINDING,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P71,4,how much energy is used by lighting in each zon?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P64,4,Are there any safety concerns detected?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P67,1,how often do you check for safety issues ?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P79,3,What is the procedure for food deliveries?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P64,2,I,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P62,1,WHICH ZONES ARE CURRENTLY BEING COOLED OR HEATED DESPITE HAVING ZERO OCCUPANCY?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P80,2,Can the information on the amount of energy usage be inputted with information on energy prices to get an idea of how much each device costs in energy?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P97,2,What is the temperature right now?,THERMAL,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P45,1,Is there cafeter crowded at the moment?,OCCUPANCY,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P87,3,Are there any areas of this room hotter than others?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P92,2,What is the humidity level?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P23,4,how often are the filters cleaned and maintained?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P81,1,water safe?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P88,1,How is the air quality right now,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P91,3,light optimal here,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P52,4,can you reduce waste in the building?,WASTE,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P34,2,What is your ambient light amount?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P74,2,Is HVAC running?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P43,3,Are there currently active motion detectors in the secure bicycle storage area for additional protection?,SECURITY,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P83,1,147,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P35,4,How can we help reduce energy usage?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P66,1,How do you protect the building?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P16,1,20,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P63,4,how do you save energy daily?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P33,2,What is your occupancy sensor used for?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P87,4,"If it's a sunny day, can you lower blinds to save glare and keep temps low?",LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P38,1,As a tenant am I able to adjust the theromstat or do I need to ask the landlord to do so?,CONTROL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P42,2,Do the temp sensors warm empty rooms?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P70,4,carbon low?,SUSTAINABILITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P43,2,How fast is the fan currently running for the ventilation system in your room? It is louder than it used to be.,ENERGY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,,,,,,,
P77,2,I worked in an office where the air conditioning didn't kick in until it got really hot. I nearly passed out once. How will you prevent this from happening?,THERMAL,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P60,4,How is visual comfort measured by the building?,THERMAL,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P60,4,Can I see live CO2 levels on displays?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P96,2,What is the acceptable threshold for carbondioxide level?,SUSTAINABILITY,ANOMALY,DIAGNOSTIC,STATIC,UNSPECIFIED,MULTI_STEP,,,,,,,
P52,2,can glare affect visibility?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P85,1,how is natural light maximixed here,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P76,4,What type of internal lights are used and could altering the light colors slightly help with glare and visibility?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P49,2,can you track water usage daily?,WATER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P40,4,is the site a brownfield,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P24,4,"Is there a way to understand when one area of the building is heated up, how it effects other areas? That is, does a temperature change in one area allow for slight lowered adjustments in other areas to save on energy costs?",ENERGY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P60,1,How does the ventilation system work to ensure fresh air?,AIR_QUALITY,DIAGNOSTIC,DIAGNOSTIC,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P26,3,Who is given access to this space? What kind of security does the space have?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P52,3,can you guide me to the nearest exit?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P64,1,What is the energy usage today?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P35,1,When was the roof last replaced?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P82,3,Why does this system interest me? what does the open plan systems actually offer for me to change?,WAYFINDING,DIAGNOSTIC,DIAGNOSTIC,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P79,4,Are you attempting to get employees in trouble by monitoring their water usage?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P15,4,Is it possible to have different temperatures in the same room?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P42,2,Do the lights turn on for 1 person?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P87,1,How warm is it in here?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P33,4,How can temps be managed in an open office setting?,WAYFINDING,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P94,1,how would be a safety measures in the building,SAFETY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P53,4,Could the building alert a room if pollution levels have risen too high and ventilate until safe to return?,SAFETY,ANOMALY,DIAGNOSTIC,STATIC,BUILDING,MULTI_STEP,,,,,,,
P91,4,lightting optaial,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P53,4,Can the building monitor energy use and alert humans to spikes and possible problems?,ENERGY,ANOMALY,DIAGNOSTIC,STATIC,BUILDING,MULTI_STEP,,,,,,,
P41,1,is there an elevator or only stairs,ACCESSIBILITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P39,1,Does the building actually talk back to me,OTHER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P98,2,HEALTH CARE,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P69,4,Can you automatically adjust temperature based on occupancy?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P48,2,What kind of microphone is used in the sound level sensor?,WELLBEING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P85,4,acoustic,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P73,2,lights on?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P73,3,cooling okey?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P29,1,Are you able to process payments?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P63,2,can glare affect visibility?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P37,2,Can the frequency sensor detect abnormal EMF polution?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P80,3,What are the complications with dealing effectively with implementing sensors properly when dealing with a shared workspace?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P66,1,Can you show available parking?,TRANSPORT,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P88,2,What is the current temperature in this room,ENERGY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,,,,,,,
P78,3,system safe?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P96,1,Is there any parking area near with it?,TRANSPORT,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P23,2,does the laundry room have sensors that can alert residents when their laundry is done?,OTHER,ANOMALY,DIAGNOSTIC,STATIC,ROOM,MULTI_STEP,,,,,,,
P63,1,how do you maintain air quality?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P68,2,Is there any windows open?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P33,2,What do you use motion sensors for?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P51,2,How much power do all of the lamps in my bedroom use? I want to determine if my energy use is too high or not.,ENERGY,ANOMALY,DIAGNOSTIC,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P33,3,What features are available to guests in the lobby?,WAYFINDING,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P60,4,Can the building shift loads to greener hours?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P67,3,is there bad smell in air ?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P26,2,What if users of the space have different preferences for humidity level?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P27,1,Who owns this building?,INFO_REQUEST,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P91,1,can you reduce the least croweded right now,OTHER,COMPARISON,INFORMATIONAL,REALTIME,UNSPECIFIED,AGGREGATION,,,,,,,
P91,4,water carbon,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P40,4,are we maintaining relative humidity between 40 to 60,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P62,4,IS WATER SUPPLY OKAY ?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P53,3,Are people allowed access to the roof? How does the building control and verify credentials?,CONTROL,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P23,2,are there CO2 detectors in all apartments?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P22,2,has your building had any problems with the backup generator and frequency?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P20,2,How many batteries could be totally offline before the system becomes unusable?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P16,1,54,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P66,2,How does people count wpork?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P62,1,CAN YOU SHOW A HEATMAP OF ENERGY CONSUMPTION VS. ACTUAL FLOR USAGE FOR THE LAST 30 DAYS?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P95,2,What is the purity of the drinking water?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P96,3,how can i adjust environment?,SUSTAINABILITY,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P89,1,What type of building ?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P78,4,healthy space?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P36,1,can you smell?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P87,4,Would the humidity in the office support plant growth without damaging equipment?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P29,3,what happens if a charger fails?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P68,3,Is the rooftop clear?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P44,2,Do occupancy sensord use camers,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P51,4,"I assume that on hot days, some people won't get cool enough. And on cold days, some will complain that the building isn't warm enough. How is the balance between energy efficiency and thermal comfort controlled?",ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P77,1,How do you handle lighting? I hate any type of glare or insufficient lighting.,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P81,1,doors locked?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P70,2,room occupied?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P41,4,is there a cutoff time for activities in the meeting and outdoor spaces,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P83,1,7,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P63,4,how can you reduce water usage in this building?,WATER,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P51,4,Tell me more about your energy efficiency plans. Is the connected electric grid able to support load during peak demand? I'd also be curious to know the baseload and general energy consumption on a typical day when the building is mostly occupied.,ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P63,4,how do you support green building standards?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P95,4,Are there shared spaces to work?,WAYFINDING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P61,2,What is current temperature in this room?,ENERGY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,,,,,,,
P29,1,Can you automate yourself,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P61,3,Is there any movement detected here?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P71,1,is the HVAC system running at optimal efficiency?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P77,4,Thermal comfort was manually closing the shades or putting on a sweater. What will be built into the building so we can join the modern world?,THERMAL,STATUS,PREDICTIVE,PREDICTIVE,BUILDING,MULTI_STEP,,,,,,,
P63,2,what is the current lightlevel?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P43,2,Do any of the smart plugs in the breakroom still have a standby power draw while nothing is plugged into them?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P33,3,Can anyone use the EV chargers?,TRANSPORT,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P16,2,2,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P03,3,ergtg,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P15,2,How soon can I be alerted if a sensor replacement is necessary?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P23,1,Are there any cats inside this building (very allergic)?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P25,2,Are my windows leaking heat right now?,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P96,2,how does the building communicate with is owner?,INFO_REQUEST,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P90,1,If we drop a chicken from the roof will it survive,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P45,4,Is the Focus Zone Currently at its maximum occupancy limits,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P15,2,Are there any health risks involved with the occupancy sensors?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P26,3,How does the system manage flow if everyone leaves and arrives at the same time?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P28,3,"Where does the background noise from the Building come from, is it overhead and can it be directed?",WELLBEING,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P65,1,HAVE YOU WATCHED AVENGER MOVIE /,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P45,4,how to make energy more efficient,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P21,1,Is the building a green building?,SUSTAINABILITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P11,1,2,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P66,1,Can you improve lighting conditions?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P69,3,Are lighting and temperature optimal?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P61,2,When was the door last used?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P87,3,Which desk areas are louder than others?,WELLBEING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P76,2,"Does this Building have any visible panels that display information or must everything be accessed through apps or terminals, such as in the case of outside weather or security threats?",SECURITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P59,3,Can you alert maintenance issues quickly?,MAINTENANCE,ANOMALY,DIAGNOSTIC,STATIC,UNSPECIFIED,MULTI_STEP,,,,,,,
P16,1,12,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P88,3,is this room actually occupied or just booked?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P46,1,why,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P69,2,What is the current light intensity (lux) in this room?,ENERGY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,,,,,,,
P33,4,What days of the week use the most energy?,ENERGY,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P79,2,How many people do you hold at a maximum?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P97,1,Where is the nearest restroom?,WAYFINDING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P85,3,humidy right,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P94,2,the ac how would reduce the co2,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P93,3,Imagine the noise levels around you — what could the building do to help you concentrate?,WELLBEING,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P94,2,what does sensor measures how would be feel,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P61,4,Is the room temperature comfortable for eneryone?,THERMAL,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
