Username,Personas,Scenarios,Scenarios_Words,Interaction,Interaction_Words,Trust,Trust_Words,Success,Success_Words,PainPoints,PainPoints_Words,UpdatedAt,CreatedAt
P30,Student/Researchers/Academics,"one day, the meeting room was too cold, and i wished i could ask the building to adjust temperature and make it comfortable quickly",24,"i prefer speaking to the building using voice, getting quick responses as simple text or alerts on my phone without opening complicated dashboards",23,"i would trust it if data stayed private and answers were reliable, but i would stop using it if security risk or errors appered",24,"it would be useful if it automated routine task, improved response time, and i  would measure success by reduced workload and faster issye resolution",24,"the most frustrating part is digging through multiple tabs to find basic information, which wastes time and makes quick decision making really difficult",23,2026-04-11 21:51:47,2026-04-09 01:11:59
P87,Student/Researchers/Academics,"During a fire alarm, I was confused about the nearest exit and wished I could ask the building which route was safest.",22,"I would like to interact through voice or chat, receiving clear answers as text and quick alerts, without needing to check complex dashboards.",23,"I would trust it if it clearly explained data usage and stayed secure, but  I'D avoid it if information felt inaccurate or privacy seemed compromised.",25,"This system would be useful if it saved time, gave accurate insights, and I'D measure success by efficiency improvements and fewer manual checks needed daily.",25,"The hardest part of switching between multiple dashboards to find simple information, Which takes time and make it frustrating during urgent situations at work. ",24,2026-04-11 21:47:09,2026-04-09 11:40:52
P49,Student/Researchers/Academics,"yesterday, i got lost in the office lobby. i wished the building could tell me which room my meeting was in",21,"i would talk to the smart building with voice commands, receiving clear spoken answers and simple visual alerts on my phone",21,"i would trust the system if it protected my data and gave accurate answer, i would avoid it if privacy felt unsafe",22,"the system would be useful if it predicted issues before they happened, saved time, and provided insights no current tools can offer",22,current dashboards are cluttered and slow. i waste time searching for simple data and wish insights were easier to access instantly,21,2026-04-11 19:07:43,2026-04-09 14:01:15
P50,Occupants/Tenants/Employees,"During a hot afternoon, I wanted to find the coolest room. The system should suggest less crowded, comfortable spaces quickly.

",20,"I prefer fast, simple responses with clear suggestions. The system should support voice and text, providing real-time updates and easy guidance.

",21,"I want strong privacy protection. The system should avoid storing personal data, be transparent, and clearly explain how information is collected.

",21,"The system should deliver accurate, quick answers, improve comfort, reduce energy usage, and help users make smarter, more efficient decisions.

",20,"Currently, it is difficult to find building information quickly. Lack of centralized system causes confusion, delays, and inconvenience for users daily.

",21,2026-04-11 17:58:31,2026-04-09 13:40:00
P84,Occupants/Tenants/Employees,"I couldn’t find a free meeting room even though the system said they were available, and I wished I could ask which rooms were actually empty right now.

Suggests energy-saving or eco-friendly actions for occupants.
Sends alerts about maintenance, safety, or crowded areas.",43,"Alerts would be better because they grab my attention immediately when something urgent or important happens. For example, a notification about a crowded elevator, a fire alarm, or poor air quality lets me take action right away. I’d like these alerts to be **context-sensitive**, showing only what matters to me at that moment, and delivered via **text, app notification, or voice** depending on where I am and what I’m doing.
",70,"I would be hesitant to use it if my personal data, location, or activity were tracked without clear consent. I’d also worry if the information it gave was inaccurate or outdated. Additionally, I wouldn’t use it if the system could be hacked, putting my safety or privacy at risk.
",49,"A smart building chatbot should provide fast, accurate, and personalized answers that integrate all building systems in one place, so I don’t have to check multiple apps or dashboards. It should understand my location, preferences, and schedule to give context-aware responses—for example, suggesting a free meeting room nearby, adjusting the temperature to my comfort, or alerting me to a maintenance issue in my area. Ideally, it would present information in the most useful format, whether that’s plain text, charts, voice, or push notifications, making it effortless to get the right answer at the right time.
",95,"The most frustrating part is usually that information is scattered, inconsistent, or hard to interpret quickly. I often have to check multiple apps or systems just to find a simple answer. This makes it time-consuming and stressful, especially when I need information immediately.
",43,2026-04-11 16:11:22,2026-04-11 16:11:22
P83,IT/Data Scientists,In the building feel me pure  positive vibes should be a manage to handle it and it can be a good one,22,it will be a great interaction and the responses are be great and and humble needs are be able to done,21,trust will be natural one of the life would be a manageable to trust and safe and secure and the data,21,success is the most important that can be handle it is the most success ful on my carrier to solve,20,tools are may be calculate the meanable should be handle the tools are mange the tools it must be able ,20,2026-04-11 16:11:09,2026-04-11 16:11:09
P77,Building Owners/Property Managers; IT/Data Scientists; Real Estate Developers,"was in a long meeting where the room became stuffy and uncomfortable, but no one knew why. I would have asked the building: why does the air feel bad, and can you improve it? A helpful answer would explain high CO₂ levels and automatically increase ventilation.",46,"t should provide optional visuals like charts or dashboards showing trends in temperature, air quality, and occupancy. Alerts should be minimal and only for urgent issues. Voice interaction would be helpful for quick hands-free queries in busy situations.",38,I would also want transparency about how sensor data is collected and used. My main concerns would be privacy tracking occupancy or movement too closely data security,27,"This system would be useful if it improves comfort, reduces wasted energy, and helps people find the right spaces quickly without confusion.",22,"the most frustrating part is that information is often scattered across different dashboards and systems, making it hard to get a quick and clear answer",25,2026-04-11 14:43:57,2026-04-11 14:43:57
P76,Guests/Visitors; Vendors/Service Providers; Student/Researchers/Academics; Facility Managers / Building Maintenance Teams; Occupants/Tenants/Employees; Sustainability and Energy Management Teams,"I would have asked which windows I could leave open, and which needed to be shut during an upcoming storm.",20,"I'd like to type into an interface, and then receive charts or alerts on a screen. Ideally I'd be able to activate and then talk to the interface, also.",29,I'd want to see data to back up the system's answers and how it received its logic. I wouldn't want any data to be stored on the internet or outsourced out of the building. I wouldn't want private information saved.,40,"Over time, I'd see if the system saved money and increased worker satisfaction that justified it's overall implementation and maintenance costs.",21,Right now there aren't enough data inputs and smart appliances to give wholesome reports and requires a lot of manual input. ,21,2026-04-11 14:36:13,2026-04-11 14:36:13
P74,Facility Managers / Building Maintenance Teams,"A simple, conversational interface providing real-time data on comfort, safety, and sustainability. It empowers every occupant to optimize their environment through intuitive, jargon-free building insights.

",25,"I prefer voice and text interactions for quick answers, paired with simple, color-coded charts for visual data. Immediate alerts should trigger only for safety.
",24,"The ideal system uses natural language to bridge the gap between complex sensors and daily comfort. It should offer instant, actionable advice for everyone, regardless of technical skill, ensuring the building feels responsive, safe, and transparently sustainable.",37,"The system must act as a translator. It takes complex, ""noisy"" sensor data and turns it into human-centric information. It shouldn't just say ""CO2 is 900ppm""; it should say, ""The air is getting a bit stale; I’ve increased the ventilation for you.""",42,"The system should feel like a knowledgeable concierge rather than a technical manual. It must translate complex sensor data into human-centric advice, such as suggesting a quieter floor for focused work or explaining air quality in simple terms.",38,2026-04-11 14:30:26,2026-04-11 14:30:26
P73,Building Owners/Property Managers; Health and Safety Officers,"yes it can more intersting to finishing the stages.it can very useful to creating the oun words ect.  un mets needs
",21,dashboard overloaded plsin thr checks are more different to us can be used in the some satages afterts finishing the stages,21,"i would be save one one ponints are very needed one to unde3rstaning the points if can under stsnd easy to usee
",22,"thankyou to showing th eimportant to deleved to me an givingf the system knowledge and the basisc roal
builtding and made ",21,its good to dashboard or building management system are using current use its is more frustrating part t find it ,20,2026-04-11 14:03:50,2026-04-11 14:03:50
P68,Health and Safety Officers,basic Why is it getting hotter or colder? Who pops in to keep track of all the systems over time. What needs the most attention over time?,27,A simple text box a lot like this would probably do nicely with a chat window as long as its easy to use,23,I think it would come down to me simply getting used to the systems over time to learn to trust them,21,If it has any way of making my job easier overall i would find that useful. Everything else is bells and whistles,22,There really is nothing like this i am currently using so this system would be an upgrade for me if it turned out to be useful,26,2026-04-11 10:05:43,2026-04-11 10:05:43
P37,Guests/Visitors,There are plenty of times especially in poorly designed large parking lots where I wish I could've just asked where there was an open space that was either nearest to where I currently am or nearest to the entrance I need. Just telling me where to go so I get there as fast as possible instead of aimlessly driving around for a while would be nice.,66,"I think usually, I would want to send messages to the system in text, and what I want to receive would depend on the situation but generally, just text answers with whatever relevant graphics and such I ask for.",39,"If there are laws in place that regulate how the data is stored, who has access, etc., then I'd trust it more. If it's just company policy or unstated or anything like that I just assume everything is probably being sold/leaked.",41,"I guess just the satisfaction of the people in the building, like some way to prove (through surveys I guess) that before so and so change, people felt this or that way about things, and after a change the system made, they responded positively.",44,"I don't use any such tools, I'm just a layman imagining I was a curious guest in a building like this and not like an actual professional whose job this is.",31,2026-04-11 08:55:17,2026-04-09 09:31:54
P29,Guests/Visitors,"When the sink breaks, it would be nice if the house tells you what went wrong and how to fix it.



",21,"Voice interaction would be most convenient, in other words, I want to talk to the building, and I want the building to talk to me.",25,"I would want to know how the building had been programmed, and what software had been used, so I could evaluate the building's reliability.",24,"I'm studying to be an IT professional, so an automated report on the buildings data usage would be interesting, as would a report on data accuracy.",26,"I don't have any experience with building management systems, but my experience with tech in general is that devices can be frustrating to use if it is not obvious how they work.",32,2026-04-11 06:04:36,2026-04-11 06:04:36
P31,Guests/Visitors,"I was in a scary situation where my windows wouldn't open, and the fire alarm was activated. My door felt hot, so my normal escape was blocked off. Having immediate safety information would have been extremely helpful.",37,I want to use apps to keep track of my dashboard. This is familiar territory for me as person with a smartphone.,22,I have a worry that my private information could be stolen. What safeguards are in place to prevent data theft?,20,Success can be defined in many ways. The system would be useful by monitoring problem areas and quickly informing users of repeat issues.,23,There needs to be central location of safety information and who to contact in case of an emergency. Not knowing who is responsible is frustrating as a person who works in an office building.,34,2026-04-11 00:15:54,2026-04-09 03:56:06
P58,Guests/Visitors,"When I was stuck in an elevator, I would have asked what was wrong with the elevator. i would want to know how the problem would be fixed.",28,I would want to talk directly to the smart building but text would be fine also.. Anything that is the most practical.,22,I would want to know the statistics on how accurate the data is and how to protect privacy. I would hope is would be secure from hackers.,27,It would have to do more than is currently done and be very efficient and accurate and user-friendly. It should be a comprehensive system that takes everything into account.,29,I don't deal with building management systems but I would think they can be quite complicated sometimes. They should be as user-friendly as possible for everyone.,26,2026-04-10 09:41:25,2026-04-10 09:41:25
P57,Student/Researchers/Academics,"During a time when I had allergy problems, I wanted to know if there were increased allergens in the building. It would help me to know that and to know why they hadn’t been filtered out.",36,I would like to interact with a chat agent like Gemini or Claude or GPT. I would like it to have a sense of humor.,25,"With all of the errors I have seen in my own experience with AI, I doubt I would trust the data given to me unless I could independently verify it, at lest at first, to make sure the building was not hallucinating.",42,It would be useful mainly if I could adjust controls in my own area for my ideal comfort and well-being.,20,The most frustrating part is that the interfaces are too complicated and finding the thing I need to click or type into is difficult and annoying.,26,2026-04-09 22:41:07,2026-04-09 22:41:07
P54,Guests/Visitors,I wanted to know how crowded the Dining Area currently is so that I can quickly get food without delay.  I would ask about current traffic and if there is data about a common slow period I can get my food.,41,I would like to use voice commands through an app or at my workstation but also have text input capabilities.  I want basic questions answered but also have the ability to view more extensive content if requested and authorized.,39,"I would not want any General User to have specific data about known Individuals, that should only be available to Security Personnel.  I do not personally want to be tracked in any way, so Occupants should have randomly generated codes assigned to them when they enter the Building.",48,If my personal time could be maximized and my comfort was consistent to the point where I do not notice uneven temperatures or unpleasant physical situations.  I would like to interact with the System only when needed without constant reminders unless I request them.,44,I want clear differentiation of Categories so that I do not need to search sub sections constantly to find simple information.  Also a major overview of current basic data would be helpful and possibly allow me to set what that Overview Screen contains for my personal needs.,47,2026-04-09 20:20:20,2026-04-09 20:20:20
P55,Occupants/Tenants/Employees,During work hours fire alarms were going off. We were nervous as we waled to the staircase. What systems were guarding our safety?,23,"I prefer plain text, like speaking to a regular person.  It is informal and comfortable.  It could be a chatbot.",20,"I feel I might be constantly monitored. Therefore, I have privacy concerns. There will be a lot of data about me.",21,"An understandable and accurate report, successful stories from other people in the building, and professional recommendations that the results are reliable.",21,I would have to ask someone more knowledgeable than I am on how to work the system. It has to be made easier for all to understand.,27,2026-04-09 19:05:59,2026-04-09 19:05:59
P28,IT/Data Scientists,"I was lost in a massive, circular hospital wing while running late for an appointment. I would have asked the building for the fastest shortcut to my specific room. The most helpful answer would have been a direct instruction to turn around and use a hidden service corridor, saving me a stressful ten-minute walk in the wrong direction.",58,"I would prefer voice interaction for hands-free navigation and augmented reality overlays for visual directions. Answers should arrive as short, natural voice prompts for immediate guidance, supplemented by a clean dashboard on my phone for technical details like room temperature or occupancy. Real-time alerts should only trigger for urgent safety updates or schedule changes.
",54,"I would trust the system only if it provided verifiable, real-time data and had clear end-to-end encryption for my location history. My main concerns are data breaches and constant surveillance. I would stop using it immediately if it started sharing my movements with third-party advertisers or if the directions became consistently inaccurate.
",52,"I would measure success by the reduction in transit time between points and the frequency of successful first-time arrivals without manual intervention. Unlike existing tools, it would need to integrate live occupancy data and temporary hazard alerts (like a wet floor or broken elevator) into its routing logic.
",48,"The most frustrating part is dealing with fragmented data silos where information is buried under multiple menus. Current dashboards often feel like digital labyrinths with outdated maps, forcing me to cross-reference several screens just to find a single status update. It’s the lack of unified, real-time context that makes simple data retrieval a chore.
",54,2026-04-09 16:41:34,2026-04-08 22:50:28
P52,Occupants/Tenants/Employees,"During a hot day, I felt uncomfortable and wanted to know the coolest room and adjust temperature quickly inside building.",20,"I prefer quick, simple answers with clear suggestions, like adjusting temperature or guiding me to a more comfortable space nearby.
",20,"I want my data to stay private, not tracked personally, and used only to improve comfort, safety, and building performance overall.
",21,"The system should give accurate, fast answers and improve comfort, safety, and energy efficiency for everyone using the building daily.
",20,"Current systems are confusing and slow, and I cannot easily find information about temperature, energy usage, or room availability quickly.
",20,2026-04-09 14:52:50,2026-04-09 14:52:50
P47,Occupants/Tenants/Employees; Student/Researchers/Academics,"During rush hours, I wanted to know crowd levels and fastest routes inside the building so I could avoid congestion and move efficiently.",23,"I prefer quick, simple, and clear answers with real-time updates, along with helpful suggestions that are easy for everyone to understand.",21,"I want my personal data to be secure, private, and never shared without permission, with full transparency and control over how data is used.",24,"The system should improve comfort, safety, and efficiency by providing accurate real-time information, insights, and helpful suggestions for better decision making.",21,"Current systems are slow, confusing, and not well integrated, so I want one simple platform for all building related information.",20,2026-04-09 13:59:33,2026-04-09 13:59:33
P45,Occupants/Tenants/Employees,"during a long meeting, the room felt stuffy and uncomfortable. i wanted to know air quality and ask the system to increase ventilation automatically.",24,"I prefer simple, fast responses in clear language with real time updates. the system should understand natural questions and give direct, easy to follow answers.",25,"I want my data to stay private and not be shared. the system should be transparent, secure, and only use necessary information for helpful responses .

",26,"The system is successful if it improves comfort, saves energy, and gives quick accurate answers. it should make building interaction easy for everyone.",23,"Current systems are confusing, slow, and not user friendly. it is hard to find information quickly and control settings, which makes daily building interaction frustrating.",25,2026-04-09 13:23:23,2026-04-09 13:23:23
P46,Guests/Visitors; Occupants/Tenants/Employees,When locked out of the building without my access credential I would have liked to know how to get in! ,20,Please text. I would like to be able to visually see the response and have time to process the interaction.,20,I would trust the answers because I would assume the building's responses have been set by a human. I don't really have any concerns about privacy but I wouldn't give it private information. ,33,The system would need to be respond quickly and have an option to bypass the building and speak with a human if it couldn't answer your questions.,27,Dashboard's aren't customizable to display the information you care to see quickly. My dashboard or system does go offline and won't display data.,23,2026-04-09 13:04:39,2026-04-09 13:04:39
P44,Student/Researchers/Academics,"Office became too hot during work, I wished building could adjust temperature automatically and inform cooling system status and expected fix time.",22,"I prefer simple chat with voice alerts and dashboard charts showing temperature, energy, air quality, and quick notifications for any issues or changes.",23,"I trust accurate real-time data, secure privacy protection, transparent reports, and reliable alerts; incorrect data or privacy risks would prevent me from using it.",24,"Real-time monitoring, fast alerts, energy savings, accurate data, easy control, and predictive maintenance would make it useful and better than existing tools.",22,"Dashboards are complex, slow to update, hard to navigate, and lack clear real-time alerts, making information difficult to find quickly.",20,2026-04-09 12:10:25,2026-04-09 12:10:25
P42,Occupants/Tenants/Employees,"During a hot day, I wanted to know the coolest room and if the AC could adjust auWhen the room felt stuffy, I wanted to ask about air quality and how to improve ventiDuring a meeting, I wanted to know if the room was overcrowded and if airflow could be increased.lation quickly.tomatically.",52,"When the room felt stuffy, I wanted to ask about air quality and how to improve ventilation quickly.During a meeting, I wanted to know if the room was overcrowded and if airflow could be increased.",35,“The meeting room felt too hot; I wanted to know if AC could adjust automatically and why temperature wasn’t balanced.”,20,"“It saves time by giving quick insights; I’d measure fewer complaints and faster issue resolution.”
“Auto-generating reports and alerts would help; success means improved comfort and reduced energy use.”
“If it predicts issues early and reduces manual work, I’d track time saved and system efficiency.”
“Real-time recommendations would be useful; I’d measure accuracy, response speed, and user satisfaction.”",58,"“Dashboards are too complex; it takes many clicks to find simple information.”
“Data is scattered across systems, making it hard to get a clear overall view.”
“Interfaces are not user-friendly; I struggle to quickly understand key insights.”
“Reports are static and outdated; I need real-time, interactive information.”
“Too many manual steps are required; it wastes time and reduces efficiency.”",59,2026-04-09 11:47:10,2026-04-09 11:47:10
P40,IT/Data Scientists; Building Owners/Property Managers,The office was freezing during my presentation. I ask the building to raise the temperature to help me focus better.,20,I perfer voice commands with quick alerts and visual dashboads to track real- time efficiency and air quality updates easily.,20,"transparency in data handling and verified accuracy build trust, While privacy leaks or frequent system errors would prevent my usage.",20,"Precise data integration and real- time sensor feedback would validate my annotations, ensuring high accuracy through transparent, verifiable, and consistent metrics.",21,"The most frustrating part is navigating cluttered interfaces and fragmented ata sources, which makes finding specfic, realtime insights incredibly slow.",20,2026-04-09 11:44:39,2026-04-09 11:44:39
P38,Occupants/Tenants/Employees; Student/Researchers/Academics,"During work, the room felt too hot and uncomfortable, and I wanted to know the temperature, reason, and quickly adjust cooling.",21,"I prefer a simple chat interface with fast responses, clear explanations, and easy controls that do not require any technical knowledge.",21,"I expect strong data privacy, secure access, no misuse of personal or behavioral data, and full transparency about how data is collected and used.",24,"The system should improve comfort, reduce energy consumption, solve issues quickly, and create a smarter, more efficient, and user-friendly building experience.",21,"Current building systems are often slow, complex, and difficult to use, and they fail to provide clear, real-time, and useful information.",21,2026-04-09 11:33:40,2026-04-09 11:33:40
P43,Building Owners/Property Managers,"During a long meeting near a window, the sunlight became very bright and caused glare on my laptop screen, making it difficult to work. I had to manually adjust my position, but it didn’t fully solve the problem.

I would have asked: “Can you reduce glare and adjust lighting for better screen visibility?”

The ideal answer would be: “Glare detected from sunlight. Adjusting blinds and balancing artificial lighting for optimal comfort.”",71,"I would prefer to communicate with a smart building through a simple chat or voice interface, similar to a virtual assistant, so it feels natural and quick. For responses, I prefer clear plain text for simple queries, while charts or dashboards should be used for trends and data insights. For urgent situations like safety or system failures, real-time alerts and notifications are essential. Ideally, the system should also allow quick actions (like adjusting lighting or temperature) directly within the interface and provide personalized responses based on my preferences.",88,"I would trust the system if it provides accurate, real-time data and clearly explains how the information is generated, including which sensors are used. Transparency, consistency, and reliability would be key factors in building trust. I would also expect the system to show confidence levels or explanations when making recommendations.

I do have concerns about privacy and security. I would not want personal data such as identity, location history, or behavior patterns to be tracked without consent. Strong encryption, data anonymization, and user control over data collection are essential.

What would prevent me from using it is inaccurate or misleading information, lack of transparency, or any misuse of personal data. If the system feels intrusive, unreliable, or insecure, I would avoid using it.",123,"
Card 4 of 5
0/20 words
Success Criteria & Impact
For your role, what would make this system genuinely useful? How would you measure whether it's working well? What would it need to do that existing tools cannot?

",38,"The most frustrating issue is that data is spread across multiple dashboards, making it difficult and time-consuming to find relevant information. The data is often not updated in real time, and the interfaces can be complex and hard to interpret. It usually requires manual analysis instead of providing clear, actionable insights quickly.",52,2026-04-09 11:29:13,2026-04-09 11:29:13
P41,Student/Researchers/Academics,"During a hot day, I wanted to know which room was cooler and if the AC could adjust automatically. A quick response would help me stay comfortable.",27,"I prefer simple text answers with quick alerts, along with optional charts and dashboards for better understanding and easy interaction.",20,"I would trust accurate real-time data, but I worry about privacy, data misuse, and security risks affecting my personal information.",20,"It should provide fast, accurate insights, improve comfort and efficiency, and solve problems automatically better than existing systems with minimal user effort.",22,"Current systems are slow, complex, and hard to navigate, making it difficult to quickly find clear and useful information when needed.",21,2026-04-09 11:18:53,2026-04-09 11:18:53
