canonical_key,occurrences,kept_question,dropped_question,dropped_username,dropped_qnum
"during peak pricing hours, which non-critical loads could be delayed",7,"during peak pricing hours, which non-critical loads could be delayed?","during peak pricing hours, which non-critical loads could be delayed?",P95,
"during peak pricing hours, which non-critical loads could be delayed",7,"during peak pricing hours, which non-critical loads could be delayed?","during peak pricing hours, which non-critical loads could be delayed?",P66,
"during peak pricing hours, which non-critical loads could be delayed",7,"during peak pricing hours, which non-critical loads could be delayed?","during peak pricing hours, which non-critical loads could be delayed?",P02,
"during peak pricing hours, which non-critical loads could be delayed",7,"during peak pricing hours, which non-critical loads could be delayed?","during peak pricing hours, which non-critical loads could be delayed?",P60,
can the system identify the top five energy-saving opportunities ranked by roi,7,can the system identify the top five energy-saving opportunities ranked by ROI?,can the system identify the top five energy-saving opportunities ranked by roi?,P64,
can the system identify the top five energy-saving opportunities ranked by roi,7,can the system identify the top five energy-saving opportunities ranked by ROI?,can the system identify the top five energy-saving opportunities ranked by roi?,P95,
can the system identify the top five energy-saving opportunities ranked by roi,7,can the system identify the top five energy-saving opportunities ranked by ROI?,can the system identify the top five energy-saving opportunities ranked by roi?,P66,
can the system identify the top five energy-saving opportunities ranked by roi,7,can the system identify the top five energy-saving opportunities ranked by ROI?,can the system identify the top five energy-saving opportunities ranked by roi,P02,
can the system identify the top five energy-saving opportunities ranked by roi,7,can the system identify the top five energy-saving opportunities ranked by ROI?,can the system identify the top five energy-saving opportunities ranked by roi,P61,
can the system identify the top five energy-saving opportunities ranked by roi,7,can the system identify the top five energy-saving opportunities ranked by ROI?,can the system identify the top five energy-saving opportunities ranked by roi?,P60,
"during a heatwave, how do we keep working temperatures safe in this zone",7,"during a heatwave, how do we keep working temperatures safe in this zone?","during a heatwave, how do we keep working temperatures safe in this zone",P72,
"during a heatwave, how do we keep working temperatures safe in this zone",7,"during a heatwave, how do we keep working temperatures safe in this zone?","during a heatwave, how do we keep working temperatures safe in this zone?",P63,
"during a heatwave, how do we keep working temperatures safe in this zone",7,"during a heatwave, how do we keep working temperatures safe in this zone?","during a heatwave, how do we keep working temperatures safe in this zone?",P94,
"during a heatwave, how do we keep working temperatures safe in this zone",7,"during a heatwave, how do we keep working temperatures safe in this zone?","during a heatwave, how do we keep working temperatures safe in this zone?",P03,
"during a heatwave, how do we keep working temperatures safe in this zone",7,"during a heatwave, how do we keep working temperatures safe in this zone?","during a heatwave, how do we keep working temperatures safe in this zone?",P62,
"during a heatwave, how do we keep working temperatures safe in this zone",7,"during a heatwave, how do we keep working temperatures safe in this zone?","during a heatwave, how do we keep working temperatures safe in this zone?",P59,
"if a vulnerable visitor needs help, how is that flagged to first aiders",7,"if a vulnerable visitor needs help, how is that flagged to first aiders?","if a vulnerable visitor needs help, how is that flagged to first aiders?",P72,
"if a vulnerable visitor needs help, how is that flagged to first aiders",7,"if a vulnerable visitor needs help, how is that flagged to first aiders?","if a vulnerable visitor needs help, how is that flagged to first aiders",P63,
"if a vulnerable visitor needs help, how is that flagged to first aiders",7,"if a vulnerable visitor needs help, how is that flagged to first aiders?","if a vulnerable visitor needs help, how is that flagged to first aiders?",P65,
"if a vulnerable visitor needs help, how is that flagged to first aiders",7,"if a vulnerable visitor needs help, how is that flagged to first aiders?","if a vulnerable visitor needs help, how is that flagged to first aiders?",P03,
"if a vulnerable visitor needs help, how is that flagged to first aiders",7,"if a vulnerable visitor needs help, how is that flagged to first aiders?","if a vulnerable visitor needs help, how is that flagged to first aiders",P62,
"if a vulnerable visitor needs help, how is that flagged to first aiders",7,"if a vulnerable visitor needs help, how is that flagged to first aiders?","if a vulnerable visitor needs help, how is that flagged to first aiders",P59,
how can we verify emergency lighting is tested on schedule everywhere,7,how can we verify emergency lighting is tested on schedule everywhere?,how can we verify emergency lighting is tested on schedule everywhere?,P72,
how can we verify emergency lighting is tested on schedule everywhere,7,how can we verify emergency lighting is tested on schedule everywhere?,how can we verify emergency lighting is tested on schedule everywhere?,P63,
how can we verify emergency lighting is tested on schedule everywhere,7,how can we verify emergency lighting is tested on schedule everywhere?,how can we verify emergency lighting is tested on schedule everywhere?,P94,
how can we verify emergency lighting is tested on schedule everywhere,7,how can we verify emergency lighting is tested on schedule everywhere?,how can we verify emergency lighting is tested on schedule everywhere?,P65,
how can we verify emergency lighting is tested on schedule everywhere,7,how can we verify emergency lighting is tested on schedule everywhere?,how can we verify emergency lighting is tested on schedule everywhere?,P03,
how can we verify emergency lighting is tested on schedule everywhere,7,how can we verify emergency lighting is tested on schedule everywhere?,how can we verify emergency lighting is tested on schedule everywhere?,P59,
air clean,6,air clean?,air clean?,P48,
air clean,6,air clean?,air clean?,P48,
air clean,6,air clean?,air clean?,P56,
air clean,6,air clean?,air clean?,P51,
air clean,6,air clean?,air clean?,P51,
how does occupancy affect our energy demand,6,how does occupancy affect our energy demand,how does occupancy affect our energy demand,P71,
how does occupancy affect our energy demand,6,how does occupancy affect our energy demand,how does occupancy affect our energy demand,P64,
how does occupancy affect our energy demand,6,how does occupancy affect our energy demand,how does occupancy affect our energy demand?,P66,
how does occupancy affect our energy demand,6,how does occupancy affect our energy demand,how does occupancy affect our energy demand?,P02,
how does occupancy affect our energy demand,6,how does occupancy affect our energy demand,how does occupancy affect our energy demand?,P60,
what is the kw draw of the lifts during the morning peak,6,what is the kW draw of the lifts during the morning peak?,what is the kw draw of the lifts during the morning peak?,P71,
what is the kw draw of the lifts during the morning peak,6,what is the kW draw of the lifts during the morning peak?,what is the kw draw of the lifts during the morning peak?,P95,
what is the kw draw of the lifts during the morning peak,6,what is the kW draw of the lifts during the morning peak?,what is the kw draw of the lifts during the morning peak,P02,
what is the kw draw of the lifts during the morning peak,6,what is the kW draw of the lifts during the morning peak?,what is the kw draw of the lifts during the morning peak,P61,
what is the kw draw of the lifts during the morning peak,6,what is the kW draw of the lifts during the morning peak?,what is the kW draw of the lifts during the morning peak?,P60,
why does the power factor reading matter for our electricity bill,6,why does the power factor reading matter for our electricity bill?,why does the power factor reading matter for our electricity bill?,P71,
why does the power factor reading matter for our electricity bill,6,why does the power factor reading matter for our electricity bill?,why does the power factor reading matter for our electricity bill?,P64,
why does the power factor reading matter for our electricity bill,6,why does the power factor reading matter for our electricity bill?,why does the power factor reading matter for our electricity bill?,P95,
why does the power factor reading matter for our electricity bill,6,why does the power factor reading matter for our electricity bill?,why does the power factor reading matter for our electricity bill?,P66,
why does the power factor reading matter for our electricity bill,6,why does the power factor reading matter for our electricity bill?,why does the power factor reading matter for our electricity bill?,P02,
"when the sun is on the south facade, are the blinds cutting cooling load",6,"when the sun is on the south facade, are the blinds cutting cooling load","when the sun is on the south facade, are the blinds cutting cooling load",P71,
"when the sun is on the south facade, are the blinds cutting cooling load",6,"when the sun is on the south facade, are the blinds cutting cooling load","when the sun is on the south facade, are the blinds cutting cooling load?",P95,
"when the sun is on the south facade, are the blinds cutting cooling load",6,"when the sun is on the south facade, are the blinds cutting cooling load","when the sun is on the south facade, are the blinds cutting cooling load?",P66,
"when the sun is on the south facade, are the blinds cutting cooling load",6,"when the sun is on the south facade, are the blinds cutting cooling load","when the sun is on the south facade, are the blinds cutting cooling load?",P02,
"when the sun is on the south facade, are the blinds cutting cooling load",6,"when the sun is on the south facade, are the blinds cutting cooling load","when the sun is on the south facade, are the blinds cutting cooling load?",P60,
what kpis best track our progress on sustainability,6,what kpis best track our progress on sustainability?,what KPIs best track our progress on sustainability,P71,
what kpis best track our progress on sustainability,6,what kpis best track our progress on sustainability?,what kpis best track our progress on sustainability?,P95,
what kpis best track our progress on sustainability,6,what kpis best track our progress on sustainability?,what KPIs best track our progress on sustainability?,P66,
what kpis best track our progress on sustainability,6,what kpis best track our progress on sustainability?,what KPIs best track our progress on sustainability?,P02,
what kpis best track our progress on sustainability,6,what kpis best track our progress on sustainability?,what kpis best track our progress on sustainability?,P60,
can the building produce a monthly carbon emissions report automatically,6,can the building produce a monthly carbon emissions report automatically?,can the building produce a monthly carbon emissions report automatically,P71,
can the building produce a monthly carbon emissions report automatically,6,can the building produce a monthly carbon emissions report automatically?,can the building produce a monthly carbon emissions report automatically,P66,
can the building produce a monthly carbon emissions report automatically,6,can the building produce a monthly carbon emissions report automatically?,can the building produce a monthly carbon emissions report automatically?,P02,
can the building produce a monthly carbon emissions report automatically,6,can the building produce a monthly carbon emissions report automatically?,can the building produce a monthly carbon emissions report automatically?,P61,
can the building produce a monthly carbon emissions report automatically,6,can the building produce a monthly carbon emissions report automatically?,can the building produce a monthly carbon emissions report automatically?,P60,
can the system model the impact of raising cooling setpoints by 1 degree,6,can the system model the impact of raising cooling setpoints by 1 degree?,can the system model the impact of raising cooling setpoints by 1 degree?,P64,
can the system model the impact of raising cooling setpoints by 1 degree,6,can the system model the impact of raising cooling setpoints by 1 degree?,can the system model the impact of raising cooling setpoints by 1 degree,P66,
can the system model the impact of raising cooling setpoints by 1 degree,6,can the system model the impact of raising cooling setpoints by 1 degree?,can the system model the impact of raising cooling setpoints by 1 degree?,P02,
can the system model the impact of raising cooling setpoints by 1 degree,6,can the system model the impact of raising cooling setpoints by 1 degree?,can the system model the impact of raising cooling setpoints by 1 degree?,P61,
can the system model the impact of raising cooling setpoints by 1 degree,6,can the system model the impact of raising cooling setpoints by 1 degree?,can the system model the impact of raising cooling setpoints by 1 degree?,P60,
how can the building optimise energy use during weekends and holidays,6,how can the building optimise energy use during weekends and holidays?,how can the building optimise energy use during weekends and holidays,P64,
how can the building optimise energy use during weekends and holidays,6,how can the building optimise energy use during weekends and holidays?,how can the building optimise energy use during weekends and holidays,P95,
how can the building optimise energy use during weekends and holidays,6,how can the building optimise energy use during weekends and holidays?,how can the building optimise energy use during weekends and holidays?,P66,
how can the building optimise energy use during weekends and holidays,6,how can the building optimise energy use during weekends and holidays?,how can the building optimise energy use during weekends and holidays?,P02,
how can the building optimise energy use during weekends and holidays,6,how can the building optimise energy use during weekends and holidays?,how can the building optimise energy use during weekends and holidays?,P60,
can the building generate an esg dashboard for management,6,can the building generate an ESG dashboard for management?,can the building generate an ESG dashboard for management?,P64,
can the building generate an esg dashboard for management,6,can the building generate an ESG dashboard for management?,can the building generate an ESG dashboard for management,P95,
can the building generate an esg dashboard for management,6,can the building generate an ESG dashboard for management?,can the building generate an ESG dashboard for management?,P66,
can the building generate an esg dashboard for management,6,can the building generate an ESG dashboard for management?,can the building generate an esg dashboard for management,P61,
can the building generate an esg dashboard for management,6,can the building generate an ESG dashboard for management?,can the building generate an esg dashboard for management?,P60,
where is the nearest first aid point,6,where is the nearest first aid point?,where is the nearest first aid point?,P72,
where is the nearest first aid point,6,where is the nearest first aid point?,where is the nearest first aid point?,P94,
where is the nearest first aid point,6,where is the nearest first aid point?,where is the nearest first aid point,P65,
where is the nearest first aid point,6,where is the nearest first aid point?,where is the nearest first aid point,P03,
where is the nearest first aid point,6,where is the nearest first aid point?,where is the nearest first aid point?,P62,
how do we make sure walkways are not blocked,6,how do we make sure walkways are not blocked,how do we make sure walkways are not blocked?,P72,
how do we make sure walkways are not blocked,6,how do we make sure walkways are not blocked,how do we make sure walkways are not blocked?,P63,
how do we make sure walkways are not blocked,6,how do we make sure walkways are not blocked,how do we make sure walkways are not blocked?,P94,
how do we make sure walkways are not blocked,6,how do we make sure walkways are not blocked,how do we make sure walkways are not blocked?,P65,
how do we make sure walkways are not blocked,6,how do we make sure walkways are not blocked,how do we make sure walkways are not blocked?,P59,
is there asbestos or any known hazard in this building,6,is there asbestos or any known hazard in this building?,is there asbestos or any known hazard in this building?,P72,
is there asbestos or any known hazard in this building,6,is there asbestos or any known hazard in this building?,is there asbestos or any known hazard in this building?,P63,
is there asbestos or any known hazard in this building,6,is there asbestos or any known hazard in this building?,is there asbestos or any known hazard in this building?,P65,
is there asbestos or any known hazard in this building,6,is there asbestos or any known hazard in this building?,is there asbestos or any known hazard in this building,P03,
is there asbestos or any known hazard in this building,6,is there asbestos or any known hazard in this building?,is there asbestos or any known hazard in this building?,P59,
which fire doors do the contact sensors show as held open,6,which fire doors do the contact sensors show as held open,which fire doors do the contact sensors show as held open?,P72,
which fire doors do the contact sensors show as held open,6,which fire doors do the contact sensors show as held open,which fire doors do the contact sensors show as held open?,P94,
which fire doors do the contact sensors show as held open,6,which fire doors do the contact sensors show as held open,which fire doors do the contact sensors show as held open?,P03,
which fire doors do the contact sensors show as held open,6,which fire doors do the contact sensors show as held open,which fire doors do the contact sensors show as held open,P62,
which fire doors do the contact sensors show as held open,6,which fire doors do the contact sensors show as held open,which fire doors do the contact sensors show as held open,P59,
are any motion sensors showing movement in a zone that should be empty,6,are any motion sensors showing movement in a zone that should be empty?,are any motion sensors showing movement in a zone that should be empty?,P72,
are any motion sensors showing movement in a zone that should be empty,6,are any motion sensors showing movement in a zone that should be empty?,are any motion sensors showing movement in a zone that should be empty?,P94,
are any motion sensors showing movement in a zone that should be empty,6,are any motion sensors showing movement in a zone that should be empty?,are any motion sensors showing movement in a zone that should be empty?,P03,
are any motion sensors showing movement in a zone that should be empty,6,are any motion sensors showing movement in a zone that should be empty?,are any motion sensors showing movement in a zone that should be empty?,P62,
are any motion sensors showing movement in a zone that should be empty,6,are any motion sensors showing movement in a zone that should be empty?,are any motion sensors showing movement in a zone that should be empty,P59,
do air quality sensors show any pollutant spike on this floor,6,do air quality sensors show any pollutant spike on this floor?,do air quality sensors show any pollutant spike on this floor?,P72,
do air quality sensors show any pollutant spike on this floor,6,do air quality sensors show any pollutant spike on this floor?,do air quality sensors show any pollutant spike on this floor?,P63,
do air quality sensors show any pollutant spike on this floor,6,do air quality sensors show any pollutant spike on this floor?,do air quality sensors show any pollutant spike on this floor,P94,
do air quality sensors show any pollutant spike on this floor,6,do air quality sensors show any pollutant spike on this floor?,do air quality sensors show any pollutant spike on this floor?,P65,
do air quality sensors show any pollutant spike on this floor,6,do air quality sensors show any pollutant spike on this floor?,do air quality sensors show any pollutant spike on this floor?,P03,
how can we make sure 100% of fire doors stay compliant,6,how can we make sure 100% of fire doors stay compliant?,how can we make sure 100% of fire doors stay compliant?,P72,
how can we make sure 100% of fire doors stay compliant,6,how can we make sure 100% of fire doors stay compliant?,how can we make sure 100% of fire doors stay compliant?,P94,
how can we make sure 100% of fire doors stay compliant,6,how can we make sure 100% of fire doors stay compliant?,how can we make sure 100% of fire doors stay compliant?,P65,
how can we make sure 100% of fire doors stay compliant,6,how can we make sure 100% of fire doors stay compliant?,how can we make sure 100% of fire doors stay compliant?,P62,
how can we make sure 100% of fire doors stay compliant,6,how can we make sure 100% of fire doors stay compliant?,how can we make sure 100% of fire doors stay compliant?,P59,
can the building generate an automatic fire drill performance report,6,can the building generate an automatic fire drill performance report?,can the building generate an automatic fire drill performance report,P72,
can the building generate an automatic fire drill performance report,6,can the building generate an automatic fire drill performance report?,can the building generate an automatic fire drill performance report?,P63,
can the building generate an automatic fire drill performance report,6,can the building generate an automatic fire drill performance report?,can the building generate an automatic fire drill performance report?,P03,
can the building generate an automatic fire drill performance report,6,can the building generate an automatic fire drill performance report?,can the building generate an automatic fire drill performance report?,P62,
can the building generate an automatic fire drill performance report,6,can the building generate an automatic fire drill performance report?,can the building generate an automatic fire drill performance report,P59,
can the system identify the highest-risk areas to focus safety spend,6,can the system identify the highest-risk areas to focus safety spend?,can the system identify the highest-risk areas to focus safety spend?,P72,
can the system identify the highest-risk areas to focus safety spend,6,can the system identify the highest-risk areas to focus safety spend?,can the system identify the highest-risk areas to focus safety spend?,P94,
can the system identify the highest-risk areas to focus safety spend,6,can the system identify the highest-risk areas to focus safety spend?,can the system identify the highest-risk areas to focus safety spend?,P65,
can the system identify the highest-risk areas to focus safety spend,6,can the system identify the highest-risk areas to focus safety spend?,can the system identify the highest-risk areas to focus safety spend?,P03,
can the system identify the highest-risk areas to focus safety spend,6,can the system identify the highest-risk areas to focus safety spend?,can the system identify the highest-risk areas to focus safety spend?,P62,
are any fire panel zones currently in fault or disabled,6,are any fire panel zones currently in fault or disabled?,are any fire panel zones currently in fault or disabled,P63,
are any fire panel zones currently in fault or disabled,6,are any fire panel zones currently in fault or disabled?,are any fire panel zones currently in fault or disabled?,P94,
are any fire panel zones currently in fault or disabled,6,are any fire panel zones currently in fault or disabled?,are any fire panel zones currently in fault or disabled?,P03,
are any fire panel zones currently in fault or disabled,6,are any fire panel zones currently in fault or disabled?,are any fire panel zones currently in fault or disabled?,P62,
are any fire panel zones currently in fault or disabled,6,are any fire panel zones currently in fault or disabled?,are any fire panel zones currently in fault or disabled?,P59,
is humidity high enough to raise a mould or slip risk anywhere,6,is humidity high enough to raise a mould or slip risk anywhere?,is humidity high enough to raise a mould or slip risk anywhere?,P63,
is humidity high enough to raise a mould or slip risk anywhere,6,is humidity high enough to raise a mould or slip risk anywhere?,is humidity high enough to raise a mould or slip risk anywhere?,P94,
is humidity high enough to raise a mould or slip risk anywhere,6,is humidity high enough to raise a mould or slip risk anywhere?,is humidity high enough to raise a mould or slip risk anywhere?,P03,
is humidity high enough to raise a mould or slip risk anywhere,6,is humidity high enough to raise a mould or slip risk anywhere?,is humidity high enough to raise a mould or slip risk anywhere?,P62,
is humidity high enough to raise a mould or slip risk anywhere,6,is humidity high enough to raise a mould or slip risk anywhere?,is humidity high enough to raise a mould or slip risk anywhere,P59,
"if a contractor is working at height, how is their safety monitored",6,"if a contractor is working at height, how is their safety monitored?","if a contractor is working at height, how is their safety monitored",P63,
"if a contractor is working at height, how is their safety monitored",6,"if a contractor is working at height, how is their safety monitored?","if a contractor is working at height, how is their safety monitored",P94,
"if a contractor is working at height, how is their safety monitored",6,"if a contractor is working at height, how is their safety monitored?","if a contractor is working at height, how is their safety monitored?",P03,
"if a contractor is working at height, how is their safety monitored",6,"if a contractor is working at height, how is their safety monitored?","if a contractor is working at height, how is their safety monitored?",P62,
"if a contractor is working at height, how is their safety monitored",6,"if a contractor is working at height, how is their safety monitored?","if a contractor is working at height, how is their safety monitored?",P59,
can the building automate a monthly health and safety dashboard,6,can the building automate a monthly health and safety dashboard,can the building automate a monthly health and safety dashboard?,P63,
can the building automate a monthly health and safety dashboard,6,can the building automate a monthly health and safety dashboard,can the building automate a monthly health and safety dashboard?,P94,
can the building automate a monthly health and safety dashboard,6,can the building automate a monthly health and safety dashboard,can the building automate a monthly health and safety dashboard,P03,
can the building automate a monthly health and safety dashboard,6,can the building automate a monthly health and safety dashboard,can the building automate a monthly health and safety dashboard?,P62,
can the building automate a monthly health and safety dashboard,6,can the building automate a monthly health and safety dashboard,can the building automate a monthly health and safety dashboard,P59,
who do i contact about a health and safety concern,6,who do i contact about a health and safety concern?,who do I contact about a health and safety concern?,P94,
who do i contact about a health and safety concern,6,who do i contact about a health and safety concern?,who do i contact about a health and safety concern?,P65,
who do i contact about a health and safety concern,6,who do i contact about a health and safety concern?,who do I contact about a health and safety concern?,P03,
who do i contact about a health and safety concern,6,who do i contact about a health and safety concern?,who do i contact about a health and safety concern?,P62,
who do i contact about a health and safety concern,6,who do i contact about a health and safety concern?,who do I contact about a health and safety concern,P59,
where are the nearest fire exits from here,6,where are the nearest fire exits from here,where are the nearest fire exits from here?,P94,
where are the nearest fire exits from here,6,where are the nearest fire exits from here,where are the nearest fire exits from here,P65,
where are the nearest fire exits from here,6,where are the nearest fire exits from here,where are the nearest fire exits from here?,P03,
where are the nearest fire exits from here,6,where are the nearest fire exits from here,where are the nearest fire exits from here?,P62,
where are the nearest fire exits from here,6,where are the nearest fire exits from here,where are the nearest fire exits from here,P59,
are there any smoke detectors with low battery flagged by the system,6,are there any smoke detectors with low battery flagged by the system,are there any smoke detectors with low battery flagged by the system,P94,
are there any smoke detectors with low battery flagged by the system,6,are there any smoke detectors with low battery flagged by the system,are there any smoke detectors with low battery flagged by the system?,P65,
are there any smoke detectors with low battery flagged by the system,6,are there any smoke detectors with low battery flagged by the system,are there any smoke detectors with low battery flagged by the system?,P03,
are there any smoke detectors with low battery flagged by the system,6,are there any smoke detectors with low battery flagged by the system,are there any smoke detectors with low battery flagged by the system,P62,
are there any smoke detectors with low battery flagged by the system,6,are there any smoke detectors with low battery flagged by the system,are there any smoke detectors with low battery flagged by the system?,P59,
"if a slip hazard appears in the lobby, how quickly is it flagged and signed",6,"if a slip hazard appears in the lobby, how quickly is it flagged and signed?","if a slip hazard appears in the lobby, how quickly is it flagged and signed?",P94,
"if a slip hazard appears in the lobby, how quickly is it flagged and signed",6,"if a slip hazard appears in the lobby, how quickly is it flagged and signed?","if a slip hazard appears in the lobby, how quickly is it flagged and signed?",P65,
"if a slip hazard appears in the lobby, how quickly is it flagged and signed",6,"if a slip hazard appears in the lobby, how quickly is it flagged and signed?","if a slip hazard appears in the lobby, how quickly is it flagged and signed?",P03,
"if a slip hazard appears in the lobby, how quickly is it flagged and signed",6,"if a slip hazard appears in the lobby, how quickly is it flagged and signed?","if a slip hazard appears in the lobby, how quickly is it flagged and signed?",P62,
"if a slip hazard appears in the lobby, how quickly is it flagged and signed",6,"if a slip hazard appears in the lobby, how quickly is it flagged and signed?","if a slip hazard appears in the lobby, how quickly is it flagged and signed?",P59,
how do we evidence compliance with health and safety law from building data,6,how do we evidence compliance with health and safety law from building data,how do we evidence compliance with health and safety law from building data,P94,
how do we evidence compliance with health and safety law from building data,6,how do we evidence compliance with health and safety law from building data,how do we evidence compliance with health and safety law from building data,P65,
how do we evidence compliance with health and safety law from building data,6,how do we evidence compliance with health and safety law from building data,how do we evidence compliance with health and safety law from building data?,P03,
how do we evidence compliance with health and safety law from building data,6,how do we evidence compliance with health and safety law from building data,how do we evidence compliance with health and safety law from building data?,P62,
how do we evidence compliance with health and safety law from building data,6,how do we evidence compliance with health and safety law from building data,how do we evidence compliance with health and safety law from building data,P59,
motion detected,5,motion detected?,motion detected?,P48,
motion detected,5,motion detected?,motion detected?,P56,
motion detected,5,motion detected?,Motion detected?,P49,
motion detected,5,motion detected?,motion detected,P74,
lights on,5,lights on?,lights on?,P56,
lights on,5,lights on?,lights on?,P56,
lights on,5,lights on?,lights on?,P51,
lights on,5,lights on?,Lights on?,P49,
energy usage,5,energy usage?,energy usage?,P51,
energy usage,5,energy usage?,energy usage?,P51,
energy usage,5,energy usage?,Energy usage?,P49,
energy usage,5,energy usage?,Energy usage?,P49,
room temperature,5,room temperature?,room temperature?,P51,
room temperature,5,room temperature?,Room temperature?,P49,
room temperature,5,room temperature?,room temperature?,P49,
room temperature,5,room temperature?,Room temperature?,P49,
how many people are here,5,How many people are here?,How many people are here?,P86,
how many people are here,5,How many people are here?,How many people are here?,P52,
how many people are here,5,How many people are here?,How many people are here?,P52,
how many people are here,5,How many people are here?,how many people are here?,P38,
how many people do you hold at a maximum,5,How many people do you hold at a maximum?,How many people do you hold at a maximum?,P57,
how many people do you hold at a maximum,5,How many people do you hold at a maximum?,How many people do you hold at a maximum?,P57,
how many people do you hold at a maximum,5,How many people do you hold at a maximum?,How many people do you hold at a maximum?,P57,
how many people do you hold at a maximum,5,How many people do you hold at a maximum?,How many people do you hold at a maximum?,P57,
how many floors does this building have,5,How many floors does this Building have?,How many floors does this Building have?,P13,
how many floors does this building have,5,How many floors does this Building have?,How many floors does this Building have?,P13,
how many floors does this building have,5,How many floors does this Building have?,How many floors does this building have?,P40,
how many floors does this building have,5,How many floors does this Building have?,How many floors does this building have?,P15,
are the co2 sensors forcing extra ventilaton and raising energy use,5,are the co2 sensors forcing extra ventilaton and raising energy use?,are the CO2 sensors forcing extra ventilaton and raising energy use,P71,
are the co2 sensors forcing extra ventilaton and raising energy use,5,are the co2 sensors forcing extra ventilaton and raising energy use?,are the CO2 sensors forcing extra ventilaton and raising energy use?,P64,
are the co2 sensors forcing extra ventilaton and raising energy use,5,are the co2 sensors forcing extra ventilaton and raising energy use?,are the CO2 sensors forcing extra ventilaton and raising energy use?,P95,
are the co2 sensors forcing extra ventilaton and raising energy use,5,are the co2 sensors forcing extra ventilaton and raising energy use?,are the co2 sensors forcing extra ventilaton and raising energy use?,P60,
what is the kwh per square metre for floor 5 from the meters,5,what is the kwh per square metre for floor 5 from the meters?,what is the kwh per square metre for floor 5 from the meters?,P71,
what is the kwh per square metre for floor 5 from the meters,5,what is the kwh per square metre for floor 5 from the meters?,what is the kwh per square metre for floor 5 from the meters?,P64,
what is the kwh per square metre for floor 5 from the meters,5,what is the kwh per square metre for floor 5 from the meters?,what is the kWh per square metre for floor 5 from the meters?,P61,
what is the kwh per square metre for floor 5 from the meters,5,what is the kwh per square metre for floor 5 from the meters?,what is the kWh per square metre for floor 5 from the meters,P60,
how does the gas meter trend compare with the heating degree days,5,how does the gas meter trend compare with the heating degree days?,how does the gas meter trend compare with the heating degree days?,P71,
how does the gas meter trend compare with the heating degree days,5,how does the gas meter trend compare with the heating degree days?,how does the gas meter trend compare with the heating degree days,P95,
how does the gas meter trend compare with the heating degree days,5,how does the gas meter trend compare with the heating degree days?,how does the gas meter trend compare with the heating degree days?,P61,
how does the gas meter trend compare with the heating degree days,5,how does the gas meter trend compare with the heating degree days?,how does the gas meter trend compare with the heating degree days?,P60,
"during a grid demand-response event, what loads could we shed here",5,"during a grid demand-response event, what loads could we shed here?","during a grid demand-response event, what loads could we shed here?",P71,
