qid,personas,stage,question,level,level_name,latent_level,latent_level_name,gap_score,n_new,difficulty,answer_basis,answerability,why,latent_why,architecture,pipeline_stages,data_sources,new_items_str
qa172c7f83042,Sustainability and Energy Management Teams,4,how should we schedule plant to minimise both cost and carbon?,5,Systemic Synthesis,6,Meta / Strategic Reasoning,1,7,24,hybrid,requires_extension,"Multi-objective plant schedule balances cost, carbon and comfort; synthesised with high uncertainty.","Needs tariffs, carbon, plant states, forecasts and BMS schedule control; essential feeds absent.",LangGraph planner; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; control intent/RBAC; visualisation/reporting; LLM synthesis; [NEW] plant status/control feed and BMS write-back (new data source + actuator interface); [NEW] energy submetering feed (new sensor feed); [NEW] tariff API (external API); [NEW] grid carbon-intensity API (external API); [NEW] weather API (external API); [NEW] occupancy/calendar feed (external API); [NEW] live temp/CO2/humidity streams for floors 0-4 (new sensor feed),dialogue -> planner -> ontology query for plant/zones -> [NEW] plant/load/tariff/carbon/weather/occupancy retrieval -> forecasting -> multi-objective optimisation -> RBAC approval -> control loop/write schedule -> monitor feedback -> response,general LLM knowledge for optimisation trade-offs; building ontology; floor/zone topology; [NEW] plant status/control points (new data source + actuator interface); [NEW] energy meter time-series (new sensor feed); [NEW] energy tariff feed (external API); [NEW] carbon-intensity forecast (external AP,BMS actuation / write-back; Carbon / ESG data; Energy metering; Live streams floors 0-4; Occupancy sensing; Tariff / cost data; Weather feed
q849b8e75d921,Sustainability and Energy Management Teams,1,how green is this buidling really?,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,8,24,hybrid,requires_extension,Open green-claims audit; highly ambiguous criteria and very high uncertainty.,"Requires cross-domain sustainability meters, docs, benchmarks, normalisation and ESG-style report.",LangGraph; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; Agentic RAG; floor-plan/spatial reasoning; report generation; visualisation; [NEW] energy metering feed (new data source); [NEW] water metering feed (new data source); [NEW] waste data feed (new data source); [NEW] grid carbon-factor API (external API); [NEW] occupancy sensing/API (new data source); [NEW] weather API (external API); [NEW] sustainability certification/ESG documents (inputs/ files); [NEW] biodiversity/ecology records (add to ontology+KB),"dialogue -> define assessment rubric -> ontology/capability/RAG retrieval -> [NEW] meter/API/document ingestion -> analytics(normalisation, benchmarking, carbon accounting) -> report/visualisation -> response",building ontology; capability KB; floor plans; general sustainability benchmarks; [NEW] energy meter time-series; [NEW] water meter time-series; [NEW] waste records; [NEW] grid carbon-factor API; [NEW] occupancy feed; [NEW] weather API; [NEW] ESG/certification documents; [NEW] biodiversity/ecology r,Carbon / ESG data; Energy metering; Occupancy sensing; Other / niche; Policy / document KB; Waste / recycling; Water metering; Weather feed
qb29b447a4c89,IT/Data Scientists,4,how can be manage,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,building-data,requires_extension,Open 'manage' request with no object or goal; open answer and high ambiguity require strategy/clarification.,"Needs cross-system orchestration, KPI policies, analytics and control; key whole-building feeds/control missing.",LangGraph planner; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; anomaly detection; report generation; RBAC; [NEW] BMS write-back/control API (new data source/control API); [NEW] live streams floors 0-4 (new data source); [NEW] energy/occupancy/weather feeds (new data source/external API),dialogue -> clarification -> goal/KPI selection -> ontology/capability lookup -> telemetry retrieval -> analytics/forecasting/anomaly detection -> policy planning -> control loop/report -> response,building ontology; floor plans; capability KB; floor-5 temperature/CO2/humidity streams; [NEW] floors0-4 live streams; [NEW] energy meters; [NEW] occupancy feed; [NEW] weather API; [NEW] BMS control API,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Weather feed
q06abca03fdf2,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,4,emissions mimi,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,building-data,requires_extension,Likely emissions minimisation; open strategic/control goal with highly ambiguous wording.,"Requires carbon-aware optimisation, forecasting and actuation; core emissions, occupancy, weather and control feeds are missing.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation/reporting; RBAC/control intent; [NEW] energy/submetering feed (new sensor feed; add to ontology); [NEW] grid carbon intensity API (external API); [NEW] weather API (external API); [NEW] occupancy/calendar API (external API/new data source); [NEW] HVAC/equipment status and BMS write-back API (new data source/API; add to ontology); [NEW] carbon-factor dataset in capability KB/inputs file,dialogue -> clarify emissions objective -> ontology query -> retrieve [NEW] energy/equipment/occupancy/weather/grid-carbon data -> forecast load and carbon intensity -> optimise schedule/setpoints -> approval/RBAC -> [NEW] BMS write-back/control loop -> monitor/report -> response,building ontology; floor plans; [NEW] electricity/gas/submeter time-series; [NEW] grid carbon intensity feed; [NEW] weather feed; [NEW] occupancy/calendar data; [NEW] HVAC/equipment telemetry and control API; [NEW] carbon factors,BMS actuation / write-back; Carbon / ESG data; Energy metering; Occupancy sensing; Weather feed
q9f4c57de4cbc,Sustainability and Energy Management Teams,4,"to reach net zero by 2030, what does the building need to chagne first?",6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,hybrid,requires_extension,"2030 net-zero prioritisation is open strategic planning with uncertain baselines, costs and constraints.","Needs emissions baseline, asset/cost data, external factors and scenario planning across domains.","LLM synthesis; LangGraph orchestrator; ontology/knowledge graph; capability KB; time-series store; analytics sandbox; forecasting/scenario modelling; report generation; visualisation; [NEW] energy/fuel metering history (new data source); [NEW] grid carbon-factor API (new data source); [NEW] asset audit/cost data (new inputs file, add to ontology+KB); [NEW] occupancy/weather feeds (new data sources); [NEW] water/waste/refrigerant data (new data sources)",dialogue -> strategic planning intent -> ontology/capability retrieval -> [NEW] energy/carbon/cost/audit ingestion -> baseline and benchmark analytics -> abatement scenario modelling -> prioritised roadmap/report -> response,"general net-zero knowledge; building ontology; capability KB; [NEW] energy/fuel meter history (new data source); [NEW] grid carbon factors (new data source); [NEW] asset audit and cost data (new inputs file, add to ontology+KB); [NEW] occupancy/weather feeds (new data sources); [NEW] water/waste/ref",Carbon / ESG data; Energy metering; Occupancy sensing; Tariff / cost data; Water metering
qd557c6a914f3,Sustainability and Energy Management Teams,4,what mix of measures gets us the fastest rouet to net zero?,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,building-data,requires_extension,Open strategic portfolio choice; route to net zero has very high uncertainty and ambiguity.,"Needs emissions/energy data, retrofit portfolio, costs and scenario optimisation across domains.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation/report generation; [NEW] whole-building energy/submetering feed (new data source; add meters to ontology); [NEW] emissions inventory/carbon factors (new data source/API); [NEW] asset audit + ECM cost/MACC library (add to ontology+KB or inputs/ file); [NEW] weather/occupancy feeds (new data sources); [NEW] net-zero scenario optimisation model,dialogue -> intent classification/planning -> ontology asset/topology query -> [NEW] energy/emissions/weather/occupancy/cost ingestion -> baseline carbon model -> scenario + portfolio optimisation -> roadmap report/visuals -> response,building ontology; capability KB/floor area; [NEW] energy/submeter time-series; [NEW] emissions inventory/carbon factors; [NEW] asset audit and ECM cost library; [NEW] weather API; [NEW] occupancy feed,Carbon / ESG data; Energy metering; Occupancy sensing; Other / niche; Weather feed
q4b1465c1d062,Sustainability and Energy Management Teams,4,"to reach net zero by 2030, what does the building need to change first",6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,hybrid,requires_extension,"Open strategic pathway to net zero with uncertain constraints, priorities and feasibility.","Needs carbon baseline, scenario planning, retrofit ranking and roadmap across energy, costs, assets and policy.",LangGraph strategic planner; LLM for net-zero framing; ontology/knowledge graph; analytics sandbox; forecasting; report generation; visualisation; [NEW] energy metering/utility-bill data (new data source/files); [NEW] carbon-factor API (new external API); [NEW] weather API (new external API); [NEW] occupancy feed (new sensor/API); [NEW] retrofit/cost/abatement library (add to ontology + capability KB); [NEW] asset condition and fabric data (add to ontology + inputs files),dialogue -> strategic intent classification -> ontology asset query -> [NEW] energy/carbon/weather/occupancy retrieval -> baseline carbon model -> scenario and retrofit modelling -> priority decision analysis -> roadmap/report -> response,building ontology; floor plans; capability KB; [NEW] energy meter and utility-bill data; [NEW] carbon-factor feed; [NEW] weather feed; [NEW] occupancy data; [NEW] retrofit cost/abatement library; [NEW] asset condition/fabric records,Carbon / ESG data; Energy metering; Occupancy sensing; Other / niche; Weather feed
qcac93594f583,Sustainability and Energy Management Teams,4,what mix of meaasures gets us the fastest route to net zero?,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,hybrid,requires_extension,"Open net-zero pathway optimisation over measures, timing and constraints; very high ambiguity/uncertainty.","Needs cross-domain energy/carbon/cost data, scenario optimisation and roadmap planning; core feeds are missing.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation; report/export; [NEW] energy metering feed (new data source); [NEW] carbon-factor API (external API); [NEW] retrofit/measure cost library (add to ontology+KB or inputs YAML); [NEW] weather API (external API); [NEW] occupancy/calendar API (new data source),dialogue -> intent classification -> define net-zero scope/target -> ontology retrieval -> [NEW] energy/weather/occupancy/carbon ingestion -> baseline model -> scenario optimisation -> roadmap/report+visuals -> response,building ontology; capability KB; [NEW] energy meter time-series; [NEW] carbon-factor feed; [NEW] retrofit measures/cost-performance library; [NEW] weather feed; [NEW] occupancy/calendar feed,Carbon / ESG data; Energy metering; Occupancy sensing; Other / niche; Weather feed
q8497f37fd2ed,Sustainability and Energy Management Teams,4,"to reach net zero by 2030, what does the buidling need to change first?",6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,hybrid,requires_extension,Strategic first-move decision for a 2030 net-zero target; open answer with many constraints.,"Requires emissions baseline, intervention ranking, constraints and scenario planning to 2030; missing energy/carbon/cost data.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation; report generation; [NEW] energy metering feed (new data source); [NEW] carbon-factor API (external API); [NEW] retrofit/action library with costs and lead times (add to ontology+KB or inputs YAML); [NEW] weather API (external API); [NEW] occupancy/calendar API (new data source),dialogue -> intent classification -> set 2030 target/scope -> ontology retrieval -> [NEW] energy/carbon/weather/occupancy ingestion -> baseline emissions model -> intervention ranking -> first-change recommendation/report -> response,building ontology; capability KB; [NEW] energy meter time-series; [NEW] carbon-factor feed; [NEW] retrofit/action library; [NEW] weather feed; [NEW] occupancy/calendar feed,Carbon / ESG data; Energy metering; Occupancy sensing; Other / niche; Weather feed
q081a2552e93f,IT/Data Scientists,4,"Should the building's target temperature shift slightly based on what people are wearing (e.g., higher in summer, lower in winter) to save energy?",5,Systemic Synthesis,6,Meta / Strategic Reasoning,1,6,23,hybrid,requires_extension,"Synthesised policy decision across comfort, clothing and energy; high uncertainty and ambiguity.","Needs apparel/comfort, energy, occupancy/weather and control optimisation; most feeds/control points are missing.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation/reporting; control loop; [NEW] live temperature/humidity streams for floors 0-4 (new sensor feed); [NEW] energy metering feed (new data source); [NEW] occupancy feed (new data source); [NEW] clothing/attire survey or CV feed (new data source; add ClothingInsulation to ontology); [NEW] weather API (external API); [NEW] HVAC setpoint/control-point telemetry and BMS write-back (new data source/control API; add to ontology),"dialogue -> planner -> ontology query for zones/control points -> retrieve existing floor-5 temp/humidity -> [NEW] ingest floors0-4, energy, occupancy, clothing, weather and setpoint data -> comfort modelling -> energy/comfort optimisation -> forecast/simulation -> recommendation/report -> control-l",building ontology; floor-5 temperature/humidity time-series; [NEW] floors0-4 temperature/humidity streams; [NEW] energy meter time-series; [NEW] occupancy time-series; [NEW] clothing/attire survey or CV data; [NEW] weather feed; [NEW] HVAC setpoint/control telemetry,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Occupant surveys / feedback; Weather feed
q2e108c052af5,IT/Data Scientists,4,What is the building’s real-time strategy for flushing out VOCs after a deep cleaning?,5,Systemic Synthesis,6,Meta / Strategic Reasoning,1,6,23,hybrid,requires_extension,"Strategy synthesises VOC risk, cleaning events, occupancy and ventilation constraints; answer is a policy, not a single fact.",Needs VOC/cleaning/occupancy fusion plus real-time ventilation planning and BMS control loop.,LangGraph planner/control route; ontology/knowledge graph; time-series store; analytics sandbox; LLM for IAQ/VOC guidance; visualisation; [NEW] VOC/TVOC sensor feed (new sensor feed + add VOC classes to ontology); [NEW] cleaning/CMMS event feed (new data source); [NEW] occupancy/calendar feed (external API/new data source); [NEW] BMS ventilation write-back (control feed + add actuator points to ontology),dialogue -> planner -> ontology query zones/AHUs -> apply general VOC flushing guidance -> [NEW] cleaning event retrieval -> [NEW] VOC/occupancy retrieval -> generate flush strategy -> BMS control loop -> monitor VOC decay -> response,"building ontology/HVAC topology; general IAQ/VOC guidance; [NEW] VOC/TVOC time-series (new sensor feed, add to ontology); [NEW] cleaning/CMMS events (new data source); [NEW] occupancy/calendar feed (external API/new data source); [NEW] ventilation actuator write-back (control feed)",BMS actuation / write-back; Calendar / room-booking API; Extended IAQ (PM/VOC/NO2 etc.); Maintenance / CMMS records; Occupancy sensing; Other / niche
q7b2a8bf26603,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,4,energy optimizwd now,5,Systemic Synthesis,6,Meta / Strategic Reasoning,1,6,23,building-data,requires_extension,"Immediate energy optimisation must balance comfort, equipment state, constraints and actions.","Needs cross-domain planning plus control loop; key energy, occupancy, external and write-back feeds are missing.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; control loop; visualisation; RBAC; [NEW] energy submetering feed (new sensor feed); [NEW] occupancy sensing/calendar feed (new data source/API); [NEW] weather API; [NEW] tariff API; [NEW] live temp/CO2/humidity streams for floors 0-4 (new sensor feed); [NEW] physical BMS write-back/control API,dialogue -> intent classification -> RBAC check -> ontology query -> live telemetry retrieval -> [NEW] energy/occupancy/weather/tariff retrieval -> optimisation planning -> safety/comfort constraint check -> control action proposal -> [NEW] BMS write-back -> monitoring -> response,building ontology; floor 5 temp/CO2/humidity time-series; [NEW] energy meter time-series; [NEW] occupancy/calendar data; [NEW] weather feed; [NEW] tariff feed; [NEW] floors 0-4 live environmental streams; [NEW] BMS control endpoint,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Tariff / cost data; Weather feed
