qid,personas,stage,question,level,level_name,latent_level,latent_level_name,gap_score,n_new,difficulty,answer_basis,answerability,why,latent_why,architecture,pipeline_stages,data_sources
q838b9f4340cc,Facility Managers / Building Maintenance Teams,1,Will this type of building allow me to earn more income?,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,3,19,hybrid,requires_extension,"Strategic income prediction; open answer, highly ambiguous income source, very high uncertainty.","Needs market, revenue, OPEX, occupancy and ROI forecasting; key financial feeds absent.",LangGraph; ontology/knowledge graph; capability KB; analytics sandbox; forecasting; visualisation; report generation; [NEW] property financial data source (new data source); [NEW] market rental benchmark API (external API); [NEW] energy submetering feed (new data source); [NEW] occupancy sensing (new data source),dialogue -> intent classification -> planner -> ontology/capability lookup -> [NEW] finance/market/energy/occupancy ingestion -> ROI and forecast analytics -> visualisation/report -> response,building ontology; capability KB; [NEW] property revenue/cost records (new data source); [NEW] rental/market benchmarks (external API); [NEW] energy meter time-series; [NEW] occupancy time-series
qe8d8b16fe74a,Occupants/Tenants/Employees,1,What would you change about yourself if you could?,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,4,20,building-data,requires_extension,"Open self-reflection asks for strategic priorities; answer is subjective and highly ambiguous, not a fixed fact.","Needs cross-domain audit of comfort, energy, feedback and condition; key feeds/surveys are absent.","LangGraph orchestrator; ontology/knowledge graph; capability KB; time-series store; analytics sandbox; floor-plan/spatial reasoning; report generation/visualisation; [NEW] live streams for floors 0-4 (new sensor feed); [NEW] energy/utility metering feed (new data source, add meters to ontology); [NEW] occupancy sensing (new data source, add points to ontology); [NEW] occupant feedback/satisfaction surveys (new data source + inputs/ file); [NEW] maintenance/asset condition records (new data source/add to KB)",dialogue -> strategic-improvement intent -> ontology/capability inventory -> time-series retrieval -> [NEW] energy/occupancy/feedback/maintenance ingestion -> analytics + gap analysis -> synthesis report -> response,building ontology; capability KB; floor plans; live floor-5 temperature/CO2/humidity; [NEW] floor 0-4 live environmental streams; [NEW] energy meter time-series; [NEW] occupancy time-series; [NEW] occupant survey store; [NEW] maintenance/asset records
q711e1631b50f,IT/Data Scientists,3,how does building prevent this space?,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,0,12,building-data,full,"Missing object of 'prevent' and unresolved space make the answer open, highly ambiguous and very uncertain.","Requires clarification/co-reference, then linked space capability lookups; current data suffice for documented safety/HVAC facts.",LangGraph orchestrator + conversation memory; ontology/knowledge graph; capability KB; floor-plan/spatial reasoning; response formatting,dialogue -> intent routing -> clarification/co-reference -> ontology/capability/spatial lookup -> response,conversation context; building ontology; capability KB; floor plans
qf115d506839a,IT/Data Scientists,4,how may be a engage in the situation,6,Meta / Strategic Reasoning,1,Factual Recall,-5,0,8,general-knowledge,full,Open engagement advice with undefined situation; answer is strategic and highly ambiguous.,No building facts required; a single LLM response can give generic engagement guidance.,LLM (general knowledge),dialogue -> LLM answer -> response,general LLM knowledge
qb29b447a4c89,IT/Data Scientists,4,how can be manage,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,building-data,requires_extension,Open 'manage' request with no object or goal; open answer and high ambiguity require strategy/clarification.,"Needs cross-system orchestration, KPI policies, analytics and control; key whole-building feeds/control missing.",LangGraph planner; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; anomaly detection; report generation; RBAC; [NEW] BMS write-back/control API (new data source/control API); [NEW] live streams floors 0-4 (new data source); [NEW] energy/occupancy/weather feeds (new data source/external API),dialogue -> clarification -> goal/KPI selection -> ontology/capability lookup -> telemetry retrieval -> analytics/forecasting/anomaly detection -> policy planning -> control loop/report -> response,building ontology; floor plans; capability KB; floor-5 temperature/CO2/humidity streams; [NEW] floors0-4 live streams; [NEW] energy meters; [NEW] occupancy feed; [NEW] weather API; [NEW] BMS control API
q5aa68f1581ac,IT/Data Scientists,3,it should be manageable one,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,2,18,building-data,requires_extension,Unresolved 'it/one' and undefined manageability make the answer open and highly ambiguous.,"Needs candidate generation and scoring from spaces, capacity, booking and occupancy; several feeds are missing.",LangGraph planner; ontology/knowledge graph; capability KB; floor-plan/spatial reasoning; analytics/recommendation; visualisation; [NEW] room capacity and booking/calendar API (new data source; add to ontology+KB); [NEW] live occupancy feed (new sensor feed),dialogue -> clarify goal/manageability criteria -> candidate discovery -> [NEW] capacity/booking/occupancy retrieval -> scoring/synthesis -> response,building ontology; capability KB; floor plans; [NEW] room capacity and booking/calendar feed (new data source; add to ontology+KB); [NEW] live occupancy feed (new sensor feed)
q430455f4989a,IT/Data Scientists,2,in power off days how can be handle it,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,2,20,building-data,requires_extension,Extended-outage handling is an open strategic continuity plan with high uncertainty and vague scope.,"Needs outage detection, backup-power/load data, optimisation and control-loop orchestration across systems.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; control intent/control loop; alert/report generation; RBAC; [NEW] utility outage/power-quality feed (new data source); [NEW] UPS/generator/battery telemetry (new data source); [NEW] electrical submeter/load feed (new data source); [NEW] emergency/business-continuity plan file in inputs/,dialogue -> intent classification -> continuity planner -> ontology query -> [NEW] outage/backup/load retrieval -> runtime forecast -> load-shedding optimisation -> control loop -> alerts/report -> response,building ontology; capability KB; [NEW] utility outage/power-quality feed; [NEW] UPS/generator/battery telemetry; [NEW] electrical submeter/load time-series; [NEW] emergency/business-continuity plan file in inputs/
qa8474d5f73cc,IT/Data Scientists,2,how will flexible the electric  changes,6,Meta / Strategic Reasoning,1,Factual Recall,-5,0,8,general-knowledge,full,Very ambiguous request about electrical flexibility/changes; likely needs an open strategic explanation.,A generic explanation of electrical flexibility can be produced by the LLM alone.,LLM (general knowledge),dialogue -> LLM answer -> response,general LLM knowledge
q06abca03fdf2,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,4,emissions mimi,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,5,23,building-data,requires_extension,Likely emissions minimisation; open strategic/control goal with highly ambiguous wording.,"Requires carbon-aware optimisation, forecasting and actuation; core emissions, occupancy, weather and control feeds are missing.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation/reporting; RBAC/control intent; [NEW] energy/submetering feed (new sensor feed; add to ontology); [NEW] grid carbon intensity API (external API); [NEW] weather API (external API); [NEW] occupancy/calendar API (external API/new data source); [NEW] HVAC/equipment status and BMS write-back API (new data source/API; add to ontology); [NEW] carbon-factor dataset in capability KB/inputs file,dialogue -> clarify emissions objective -> ontology query -> retrieve [NEW] energy/equipment/occupancy/weather/grid-carbon data -> forecast load and carbon intensity -> optimise schedule/setpoints -> approval/RBAC -> [NEW] BMS write-back/control loop -> monitor/report -> response,building ontology; floor plans; [NEW] electricity/gas/submeter time-series; [NEW] grid carbon intensity feed; [NEW] weather feed; [NEW] occupancy/calendar data; [NEW] HVAC/equipment telemetry and control API; [NEW] carbon factors
q6cdcbae015da,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,3,goo,6,Meta / Strategic Reasoning,1,Factual Recall,-5,0,8,general-knowledge,full,"Single unclear token has no actionable intent or entity, so the human response is clarification.",No building data needed; system can ask for clarification with one LLM response.,LLM (general knowledge),dialogue -> LLM answer -> response,general LLM knowledge
qe266eda64c29,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,1,what imporvement,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,4,20,building-data,requires_extension,Fragmentary improvement request is open and highly ambiguous; likely asks for strategic building recommendations.,"Good answer needs multi-system building performance fusion, prioritisation, and report-style recommendations.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; Agentic RAG; capability KB; visualisation; report generation; [NEW] energy submetering feed via new data source; [NEW] occupancy sensing via new sensor feed; [NEW] occupant satisfaction survey pipeline via new data source; [NEW] maintenance/CMMS records via new data source; [NEW] weather API via external API,dialogue -> clarify improvement scope -> intent classification -> ontology query -> telemetry retrieval -> [NEW] energy/occupancy/CMMS/survey/weather ingestion -> analytics/forecasting -> prioritisation -> visualisation/report -> response,building ontology; floor-5 temperature/CO2/humidity streams; capability KB; floor plans; [NEW] energy meter time-series; [NEW] occupancy time-series; [NEW] occupant satisfaction survey store; [NEW] maintenance/CMMS records; [NEW] weather feed
q1342e0d887e9,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,1,can you optimize,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,6,24,building-data,requires_extension,"Optimization target, scope, constraints, and acceptable trade-offs are unspecified.","Real optimisation requires objectives, forecasting, cross-domain data, planning, and closed-loop control.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; control intent; visualisation; RBAC; [NEW] live streams for floors 0-4 via new sensor feed; [NEW] energy submetering feed via new data source; [NEW] occupancy sensing via new sensor feed; [NEW] weather API via external API; [NEW] BMS actuator write-back/control API via new external API,dialogue -> clarify objective and constraints -> intent classification -> ontology query -> telemetry retrieval -> [NEW] missing streams/API ingestion -> forecasting -> optimisation/planning -> RBAC approval -> control loop/write-back -> monitoring -> response,building ontology; floor-5 temperature/CO2/humidity streams; capability KB; [NEW] floors 0-4 live temperature/CO2/humidity streams; [NEW] energy meter time-series; [NEW] occupancy time-series; [NEW] weather feed; [NEW] BMS actuator/control endpoint
q9f61380b2307,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,1,how does the building acpert,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,0,12,building-data,partial,Unknown/misspelled verb makes the intended building explanation unclear.,"Needs typo repair/clarification, then multi-hop lookup across building KB and ontology; no analytics required.",LangGraph orchestrator; conversation memory; LLM typo/intent repair; ontology/knowledge graph; capability KB; Agentic RAG fallback; response formatting,dialogue -> typo/intent repair -> ask clarification if needed -> ontology/capability KB lookup -> Agentic RAG fallback -> response,building ontology; capability KB facts; floor plans if spatial explanation is intended; conversation context
q95d88cb0fd6a,Building Owners/Property Managers,4,Which country weather is best?,6,Meta / Strategic Reasoning,1,Factual Recall,-5,0,8,general-knowledge,full,'Best weather' is subjective and criteria-dependent; no single determinate country.,"Can give a general, criteria-based answer from LLM knowledge only.",LLM (general knowledge),dialogue -> LLM answer -> response,general LLM knowledge
q4987877608a8,Building Owners/Property Managers,4,Is land good for factory?,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,3,21,hybrid,requires_extension,"Strategic site-suitability decision; site, factory type and criteria are unspecified, making it open and highly ambiguous.","Requires cross-domain GIS, zoning, utilities, logistics, environmental/geotech and multi-criteria planning.",LangGraph planner; LLM; analytics sandbox; report generation; [NEW] GIS/parcel data feed (new data source); [NEW] zoning/planning API (new data source); [NEW] utilities-capacity API (new data source); [NEW] transport/logistics data API (new data source); [NEW] environmental/flood/geotech survey files in inputs/; [NEW] site/factory classes added to ontology+KB; [NEW] geospatial site-suitability model,dialogue -> clarify parcel and factory requirements -> [NEW] GIS/zoning/utility/environmental ingestion -> ontology/KB enrichment -> geospatial and multi-criteria analysis -> risk/ROI report -> response,general planning criteria; [NEW] parcel/GIS data; [NEW] zoning/planning records; [NEW] utility capacity data; [NEW] transport/logistics data; [NEW] environmental/flood/geotech survey files; [NEW] factory requirements file
q6f4f533900e6,Building Owners/Property Managers,4,is robitc transport good?,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,3,19,hybrid,requires_extension,"Adoption question with undefined use case and success criteria; answer is strategic, open and highly ambiguous.","Needs floor routing, workflow demand, traffic, safety and ROI/vendor synthesis; several operational feeds are missing.",LangGraph orchestrator; ontology/knowledge graph; floor-plan + spatial reasoning; analytics sandbox; forecasting; report/visualisation; [NEW] material/delivery workflow data source; [NEW] pedestrian/occupancy/traffic sensing or logs (new data source); [NEW] robot vendor specs/cost files in inputs/; [NEW] robotic-transport asset classes added to ontology+KB; [NEW] site safety/risk criteria added to KB,"dialogue -> clarify use case and success criteria -> ontology/floor-plan query -> [NEW] workflow/traffic/vendor ingestion -> routing, safety and ROI analysis -> report/visuals -> response",building ontology; floor plans; capability KB lift/access facts; [NEW] workflow/logistics data; [NEW] occupancy/traffic data; [NEW] robot vendor specifications and costs; [NEW] safety/risk criteria
q0352e1b01a35,Building Owners/Property Managers,4,Is Tabla a Good equipment?,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,3,19,hybrid,requires_extension,"Named item and meaning of good are unclear; suitability, asset type and criteria are open and highly ambiguous.","Needs entity disambiguation plus specs, maintenance/cost data and KPI/ROI synthesis; no Tabla asset data loaded.",LangGraph orchestrator; ontology/knowledge graph; capability KB/RAG; analytics sandbox; report generation; [NEW] Tabla asset metadata/specs added to ontology+KB; [NEW] maintenance/performance logs (new data source); [NEW] procurement/cost/vendor data (new data source); [NEW] acceptance criteria/use-case file in inputs/,"dialogue -> entity disambiguation/clarify use case -> ontology/KB lookup -> [NEW] asset/spec/log/cost ingestion -> KPI, reliability and ROI comparison -> response",building ontology; capability KB; general equipment evaluation criteria; [NEW] Tabla asset/specification data; [NEW] maintenance/performance logs; [NEW] procurement/cost/vendor data; [NEW] acceptance criteria/use-case file
q639c3c023bb0,Building Owners/Property Managers,3,what is the perfect area of a biscuits factory?,6,Meta / Strategic Reasoning,1,Factual Recall,-5,0,8,general-knowledge,full,"Factory area is open and depends on capacity, process, storage, codes, and budget.",General planning guidance can be produced by the LLM without site data.,LLM (general knowledge),dialogue -> LLM answer -> response,general LLM knowledge
q0802d1eb3142,Building Owners/Property Managers,3,How many people is good to do run a farm?,6,Meta / Strategic Reasoning,1,Factual Recall,-5,0,8,general-knowledge,full,"Farm staffing is open; it depends on farm size, type, mechanisation, season, and budget.",LLM can give generic staffing ranges and caveats without building data.,LLM (general knowledge),dialogue -> LLM answer -> response,general LLM knowledge
q38eef6ab58a4,Building Owners/Property Managers,1,Who is the most beautiful lady in the world at the moment?,6,Meta / Strategic Reasoning,1,Factual Recall,-5,0,8,general-knowledge,full,"Subjective global beauty superlative is open, highly ambiguous, and not objectively determinate.",LLM can answer by explaining subjectivity; no building-specific data needed.,LLM (general knowledge),dialogue -> LLM answer -> response,general LLM knowledge
qc3262ebffab7,Facility Managers / Building Maintenance Teams,4,resilience,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,5,21,hybrid,requires_extension,"One-word FM topic; scope, metric and desired output are open and highly ambiguous.","Whole-building resilience needs cross-system telemetry, hazards and risk synthesis; key feeds absent.",LangGraph planner; LLM framing; ontology/knowledge graph; capability KB; floor-plan/spatial reasoning; time-series store; analytics sandbox; forecasting; visualisation/reporting; [NEW] floors0-4 environmental streams (new sensor feed); [NEW] asset/fault/maintenance logs (new data source); [NEW] energy/backup-power telemetry (new sensor feed + add to ontology); [NEW] weather/hazard API (external API); [NEW] occupancy feed (new data source),dialogue -> clarify resilience scope -> retrieve ontology/KB/floor plans -> [NEW] ingest asset/fault/energy/weather/occupancy data -> analytics/forecast/risk scoring -> report+visuals -> response,building ontology; capability KB; floor plans; floor-5 temp/CO2/humidity time-series; [NEW] floors0-4 environmental time-series (new sensor feed); [NEW] asset/fault/maintenance logs (new data source); [NEW] energy/backup-power telemetry (new sensor feed + add to ontology); [NEW] weather/hazard API; 
q776fe453bbe3,Facility Managers / Building Maintenance Teams,4,acoustic,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,2,18,hybrid,requires_extension,"One-word FM topic; acoustic scope, metric and output are open and highly ambiguous.","Needs acoustic sensors/surveys, spatial analysis and report visuals; no noise modality is loaded.",LangGraph planner; LLM standards framing; ontology/knowledge graph; floor-plan/spatial reasoning; time-series store; analytics sandbox; report intake; visualisation/reporting; [NEW] sound-level/noise sensor feed (new sensor feed + add to ontology); [NEW] RT60/acoustic survey data (new data source); [NEW] room material/acoustic treatment metadata (add to ontology+KB),dialogue -> clarify acoustic scope -> ontology/spatial retrieval -> [NEW] ingest noise/survey/material data -> analytics for levels/hotspots/RT60 -> standards comparison -> report+visuals -> response,building ontology; floor plans; report-intake complaint records; [NEW] sound-level/noise time-series (new sensor feed + add Acoustic/Noise points to ontology); [NEW] RT60/acoustic survey data (new data source); [NEW] room material metadata (add to ontology+KB)
qdcef234a574f,Facility Managers / Building Maintenance Teams,4,transit,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,2,14,building-data,requires_extension,"One-word topic; intent, metric and time scope are absent, so the answer is open and highly ambiguous.",Needs building location plus external transit/access data; no complex analytics unless live status is requested.,LangGraph; ontology/knowledge graph; capability KB; floor-plan/spatial reasoning; [NEW] transit/maps/GTFS API (new data source); [NEW] transit access facts added to ontology+KB or inputs/ YAML,dialogue -> clarify transit intent/scope -> ontology/capability lookup -> [NEW] transit/maps API retrieval -> spatial aggregation -> response,building ontology; capability KB; floor plans; [NEW] local transit/maps/GTFS feed; [NEW] transit access facts in ontology+KB/inputs file
