qid,key,username,roles,qnum,stage,timestamp,question,cognitive_operation,reasoning_load,answer_determinacy,uncertainty,ambiguity,level,level_name,why,latent_level,latent_level_name,latent_why,answer_basis,architecture,parameters,pipeline_stages,data_sources,answerability,provider,model,classified_at
qca430d47b947,P96|11|qca430d47b947,P96,Student/Researchers/Academics,11,4,13/04/2026 03:11,how does the building plan upgrades to meet future sustainability standards?,meta_reasoning,very_high,open,very_high,highly_ambiguous,6,Meta / Strategic Reasoning,Future sustainability upgrades require open strategic planning under ambiguous standards.,5,Systemic Synthesis,"Needs multi-domain baselines, standards, forecasts and retrofit roadmap synthesis.",hybrid,"LangGraph orchestrator; ontology/knowledge graph; capability KB; time-series store; analytics sandbox; forecasting; compliance/report generation; visualisation; [NEW] sustainability standards corpus (new inputs/ files or external feed); [NEW] energy/carbon, water and waste meter feeds (new data sources, add to ontology); [NEW] capital-works/retrofit roadmap (add to capability KB/ontology)","entities: Abacws, sustainability upgrades, HVAC/envelope/lighting/plant; time range: current baseline to future target dates; thresholds: BREEAM/LEED/net-zero/carbon targets; units: kWh/m2, kgCO2e/m2, m3 water, kg waste; aggregation: monthly/annual baselines and forecast scenarios; filters: floor/system/measure",dialogue -> intent classification -> planner -> ontology/capability query -> retrieve available IEQ data -> [NEW] standards/roadmap ingestion -> [NEW] sustainability meter retrieval -> benchmarking -> forecasting/scenario modelling -> report/visuals -> response,"building ontology; capability KB; live floor-5 temperature/CO2/humidity streams; [NEW] sustainability standards corpus; [NEW] energy/carbon, water and waste time-series; [NEW] capital-works/retrofit roadmap",requires_extension,openai,gpt-5.5,2026-06-07 16:20:10
q1dde96bae0b4,P96|12|q1dde96bae0b4,P96,Student/Researchers/Academics,12,4,13/04/2026 03:10,are there performance indicators for overall building sustainability?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no KPI concept check; clear and deterministic.,1,Factual Recall,Satisfactory conceptual KPI answer is a single LLM call; no site data needed.,general-knowledge,LLM (general knowledge),"entities: building sustainability KPIs; time range: n/a; thresholds: common KPI/ESG concepts; units: kWh/m2, kgCO2e, water use, waste, IEQ where relevant; aggregation: n/a; filters: none",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 16:20:10
qa278b117f83c,P96|13|qa278b117f83c,P96,Student/Researchers/Academics,13,4,13/04/2026 03:09,can real time feedback form occupannts improve environmental settings?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,Assesses a general feedback-to-control effect; derived with moderate uncertainty.,1,Factual Recall,Single LLM call explains occupant-feedback control concepts; no building data needed.,general-knowledge,LLM (general knowledge),"entities: occupant feedback, environmental settings, adaptive controls; time range: n/a; thresholds: comfort/preference concepts; units: n/a; aggregation: n/a; filters: none",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 16:20:10
q575a4b9b7c8b,P96|14|q575a4b9b7c8b,P96,Student/Researchers/Academics,14,4,13/04/2026 03:09,how does the building maintain consistent comfort during weather changes?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Explains weather-to-comfort control mechanisms; derived, not a specific fault diagnosis.",4,Causal Diagnosis,Needs weather-linked IEQ time-series and HVAC/control analytics; whole-building streams are missing.,hybrid,"LangGraph orchestrator; ontology/knowledge graph; capability KB; time-series store; analytics sandbox; visualisation; [NEW] external weather API (new data source); [NEW] HVAC control-sequence/setpoint/status feed (new data source, add to ontology+KB); [NEW] live temperature/CO2/humidity streams for floors 0-4 (new sensor feed)","entities: Abacws zones, HVAC systems, temperature/CO2/humidity sensors; time range: periods with weather changes; thresholds: comfort bands, e.g. 20-24°C, 40-60%RH, CO2 <1000ppm; units: °C, %RH, ppm; aggregation: hourly/daily by zone; filters: floor, zone, business hours",dialogue -> intent classification -> ontology query for zones/sensors/HVAC -> retrieve IEQ time-series -> [NEW] weather and HVAC control/status retrieval -> stability/correlation/anomaly analytics -> visualisation -> response,building ontology; capability KB HVAC zoning facts; floor-5 temperature/CO2/humidity time-series; [NEW] floors 0-4 IEQ streams; [NEW] weather API; [NEW] HVAC setpoint/control/status logs,requires_extension,openai,gpt-5.5,2026-06-07 16:20:10
q067f36943f6e,P96|15|q067f36943f6e,P96,Student/Researchers/Academics,15,4,13/04/2026 03:08,are there systems to reduce echo or sound disturbances in open offices?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no existence of acoustic-system types; clear factual recall.,1,Factual Recall,Single LLM call can name acoustic treatments and sound-masking systems; no site data needed.,general-knowledge,LLM (general knowledge),"entities: open offices, echo reduction, sound disturbances, acoustic systems; time range: n/a; thresholds: general acoustic comfort concepts; units: dBA and reverberation time where relevant; aggregation: n/a; filters: none",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 16:20:10
q168602550291,P96|16|q168602550291,P96,Student/Researchers/Academics,16,4,13/04/2026 03:07,can the building identify underutilized space to improve efficiency?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no capability check; human only recalls whether utilization analysis is available.,4,Causal Diagnosis,Needs occupancy time-series joined to spaces/capacity and utilization analytics; occupancy/capacity data absent.,building-data,LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; floor-plan/spatial reasoning; visualisation; [NEW] occupancy sensor/booking feed (new data source; add to ontology); [NEW] room capacity/desk-count metadata (add to ontology+KB via inputs file),"entities: rooms, zones, desks/seats, occupancy points; time range: selected study period, e.g. weeks/months; thresholds: utilization % cutoff; units: people, seats, %, m²; aggregation: hourly/daily per room/zone; filters: selected spaces/floors",dialogue -> intent classification -> ontology query -> [NEW] occupancy/capacity ingestion -> time-series retrieval -> utilization analytics -> floor-plan heatmap/report -> response,building ontology; floor plans; [NEW] occupancy time-series feed (new data source); [NEW] booking/calendar feed if used (external API); [NEW] room capacity metadata (add to ontology+KB),requires_extension,openai,gpt-5.5,2026-06-07 16:23:33
qd9820da2368e,P96|17|qd9820da2368e,P96,Student/Researchers/Academics,17,4,13/04/2026 03:07,how does the building prevent cold or hot spot in larg areas?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,Explains the HVAC mechanism for avoiding hot/cold spots; answer is derived from zoning and sensors.,3,Inferential Reasoning,"Requires multi-hop lookup of HVAC zones, large rooms and temp sensors plus KB explanation; no new telemetry needed.",hybrid,LangGraph orchestrator; ontology/knowledge graph; capability knowledge base; floor-plan/spatial reasoning; LLM for HVAC explanation,"entities: large rooms/open areas, HVAC zones, temperature sensors, AHUs/VAVs if modelled; time range: design/current configuration; thresholds: comfort setpoints/deadbands if configured; units: °C; aggregation: per HVAC zone; filters: large spaces",dialogue -> intent classification -> ontology query -> capability KB lookup -> spatial/zone mapping -> LLM explanation -> response,building ontology; floor plans; capability KB HVAC zoning facts; general HVAC control knowledge,full,openai,gpt-5.5,2026-06-07 16:23:33
q4de467e1dcc1,P96|18|q4de467e1dcc1,P96,Student/Researchers/Academics,18,4,13/04/2026 03:06,are adaptive lighting system used to support cricadian ehythms?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no capability check about whether circadian adaptive lighting is present.,3,Inferential Reasoning,Needs lighting inventory/control schedules checked against circadian intent; lighting data is absent.,hybrid,ontology/knowledge graph; capability knowledge base; LLM for circadian-lighting criteria; [NEW] lighting inventory and tunable fixture metadata (add to ontology+KB via inputs file); [NEW] lighting control schedules/CCT-dimming feed (new data source),"entities: adaptive lighting fixtures, lighting zones, control schedules; time range: design/current schedule; thresholds: circadian/CCT/illuminance criteria; units: lux, CCT K, dimming %; aggregation: per zone; filters: occupied learning/work areas",dialogue -> intent classification -> ontology/capability lookup -> [NEW] lighting metadata retrieval -> compare with circadian criteria -> response,general circadian-lighting knowledge; [NEW] lighting system metadata/specs (add to ontology+KB); [NEW] lighting control schedule or BMS lighting feed (new data source),requires_extension,openai,gpt-5.5,2026-06-07 16:23:33
q90e12c552770,P96|19|q90e12c552770,P96,Student/Researchers/Academics,19,4,13/04/2026 03:05,can the system suggest improvements for better recycling habits?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no capability check on whether recommendation support exists.,5,Systemic Synthesis,"Tailored recycling advice needs waste metrics, bin locations and behaviour/occupancy context; waste data absent.",building-data,LangGraph orchestrator; ontology/knowledge graph; floor-plan/spatial reasoning; analytics sandbox; recommend intent; visualisation/reporting; [NEW] recycling/waste bin inventory and streams (add to ontology+KB); [NEW] bin fill/contamination/audit feed (new data source); [NEW] occupancy or event context feed (external API/new data source),"entities: recycling bins, waste streams, floors/zones, user groups; time range: recent audit period/months; thresholds: contamination, fill, diversion targets; units: kg, fill %, contamination %, diversion %; aggregation: by bin/floor/stream/event; filters: public/student areas",dialogue -> intent classification -> ontology/spatial query -> [NEW] waste and occupancy retrieval -> analytics on contamination/fill/diversion -> recommendation synthesis -> visual/report response,building ontology; floor plans; [NEW] waste/recycling collection logs or bin sensor feed (new data source); [NEW] contamination audit records (new data source); [NEW] occupancy/event feed (external API/new data source),requires_extension,openai,gpt-5.5,2026-06-07 16:23:33
qda19571cc62e,P96|20|qda19571cc62e,P96,Student/Researchers/Academics,20,4,13/04/2026 03:05,how dose the building manage waste during high occupancy events?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Asks for an operational explanation across events, occupancy and waste handling, not a single fact.",5,Systemic Synthesis,"Needs event/occupancy context fused with waste procedures, bin data and spatial reporting; key feeds absent.",building-data,LangGraph orchestrator; ontology/knowledge graph; capability KB; floor-plan/spatial reasoning; analytics sandbox; alert/reporting; [NEW] waste-management procedures for events (add to KB via inputs file); [NEW] event/calendar and occupancy feed (external API/new data source); [NEW] waste bin fill/collection feed (new data source; add waste assets to ontology),"entities: waste bins, collection routes, event spaces, high-occupancy events; time range: event setup/during/after; thresholds: high-occupancy count, bin-fill alert %, collection frequency; units: people, kg, fill %; aggregation: by event/zone/time block; filters: scheduled high-occupancy events",dialogue -> intent classification -> capability/ontology lookup -> [NEW] event and occupancy retrieval -> [NEW] waste procedure/bin data retrieval -> analytics/spatial summary -> operational explanation/report -> response,building ontology; floor plans; [NEW] event calendar/booking API (external API); [NEW] occupancy feed (new data source); [NEW] waste-management procedure file (inputs/KB); [NEW] bin fill and collection logs (new data source),requires_extension,openai,gpt-5.5,2026-06-07 16:23:33
q38363faeee73,P96|21|q38363faeee73,P96,Student/Researchers/Academics,21,4,13/04/2026 03:04,are there insights on how indoor plants contribute to air purification?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Explains mechanisms and likely IAQ effects, a derived general relationship with moderate uncertainty.",1,Factual Recall,LLM can answer from general plant/IAQ knowledge; no building data needed.,general-knowledge,LLM (general knowledge),"entities: indoor plants, air purification; time range: n/a; thresholds: n/a; units: n/a; aggregation: n/a; filters: general explanation",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 16:24:34
q6e68d10b7037,P96|22|q6e68d10b7037,P96,Student/Researchers/Academics,22,4,13/04/2026 03:03,can the system evaluate the efficient of green roofs or eco  feautures?,recall,trivial,single-fact,none,clear,1,Factual Recall,Capability yes/no check; single-fact answer despite unclear wording.,5,Systemic Synthesis,"Real efficiency evaluation needs eco-feature metadata plus weather, energy/water data, modelling and reporting.",building-data,ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation; report generation; [NEW] green-roof/eco-feature inventory added to ontology+KB; [NEW] energy submetering feed; [NEW] water/stormwater flow feed; [NEW] weather API,"entities: green roofs, eco features, relevant zones/meters; time range: user-specified or historical baseline; thresholds: efficiency KPIs to define; units: kWh, m3, °C, %, CO2e if available; aggregation: daily/monthly/seasonal; filters: feature type, floor/zone, weather-normalized",dialogue -> capability check -> ontology query -> [NEW] eco-feature inventory retrieval -> [NEW] energy/water/weather retrieval -> analytics/modelling -> visualisation/report -> response,building ontology; existing temp/CO2/humidity streams where relevant; [NEW] eco-feature inventory via ontology+KB/input file; [NEW] energy meter time-series; [NEW] water/stormwater time-series; [NEW] weather API,requires_extension,openai,gpt-5.5,2026-06-07 16:24:34
qfac1a96bc01c,P96|23|qfac1a96bc01c,P96,Student/Researchers/Academics,23,4,13/04/2026 03:02,how are outdoor environmental conditions used to optimize indoor comfort?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Explains how outdoor variables inform indoor comfort control, a derived process-level answer.",1,Factual Recall,Generic HVAC/control explanation is answerable by one LLM call; no building-specific data required.,general-knowledge,LLM (general knowledge),"entities: outdoor conditions, indoor comfort, HVAC/control; time range: n/a; thresholds: generic comfort ranges; units: °C, RH %, CO2 ppm where discussed; aggregation: n/a; filters: conceptual explanation",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 16:24:34
q8f6fd120ff00,P96|24|q8f6fd120ff00,P96,Student/Researchers/Academics,24,4,13/04/2026 03:01,can the building track daily water wastage during cleaning processes?,recall,trivial,single-fact,none,clear,1,Factual Recall,Capability yes/no question about daily water-wastage tracking; single-fact status answer.,4,Causal Diagnosis,"Needs water time-series, cleaning logs, baselines and anomaly/wastage analytics; water is not instrumented.",building-data,ontology/knowledge graph; time-series store; analytics sandbox; visualisation; report generation; [NEW] water flow/submetering feed; [NEW] cleaning schedule/work-order feed; [NEW] water-use baseline/threshold classes added to ontology+KB,"entities: cleaning processes, water meters, cleaning zones; time range: daily; thresholds: wastage baseline/expected litres per task or area; units: L, m3, L/m2; aggregation: daily by zone/task; filters: cleaning periods, floor/room, contractor/task type",dialogue -> capability check -> ontology query -> [NEW] water meter retrieval -> [NEW] cleaning-log retrieval -> daily aggregation -> anomaly/wastage analytics -> visualisation/report -> response,building ontology; [NEW] water meter time-series; [NEW] cleaning schedule/work-order logs; [NEW] wastage baselines added to ontology+KB,requires_extension,openai,gpt-5.5,2026-06-07 16:24:34
q85f179c0206d,P96|25|q85f179c0206d,P96,Student/Researchers/Academics,25,4,12/04/2026 18:58,are there pollutant sources identified within indoor spaces?,recall,trivial,single-fact,none,clear,1,Factual Recall,Status/capability check asking whether pollutant sources are identified in indoor spaces.,4,Causal Diagnosis,"Source identification requires IAQ pollutant sensing, spatial/time analytics and likely source inventories beyond current data.",building-data,ontology/knowledge graph; time-series store; analytics sandbox; floor-plan/spatial reasoning; visualisation; [NEW] IAQ pollutant sensor feeds for VOC/PM/NO2/CO etc.; [NEW] live streams for floors 0-4 if all spaces are required; [NEW] materials/cleaning/emission-source inventory added to ontology+KB,"entities: indoor spaces, pollutant sources, IAQ sensors; time range: current and recent history; thresholds: pollutant-specific limits to define; units: ppm, ppb, µg/m3; aggregation: by room/zone and time window; filters: floor, room, pollutant type, suspected source category",dialogue -> intent classification -> ontology/spatial query -> IAQ time-series retrieval -> anomaly/source-attribution analytics -> floor-plan visualisation -> response,building ontology; existing CO2/temp/humidity streams on floor 5; [NEW] VOC/PM/NO2/CO pollutant time-series; [NEW] live streams for floors 0-4; [NEW] source inventory in ontology+KB,requires_extension,openai,gpt-5.5,2026-06-07 16:24:34
q51a169274246,P96|26|q51a169274246,P96,Student/Researchers/Academics,26,4,12/04/2026 18:57,how are pollutant sources identified within indoor spaces?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Explains general identification methods; derived process, moderate uncertainty, not one building fact.",1,Factual Recall,"Textbook IAQ explanation; one LLM call, no building data.",general-knowledge,LLM (general knowledge),entities: indoor pollutant sources; time range: n/a; thresholds: n/a; units: n/a; aggregation: n/a; filters: general indoor spaces,dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 16:27:14
q2e1ab7e788b4,P96|27|q2e1ab7e788b4,P96,Student/Researchers/Academics,27,4,12/04/2026 18:57,can the building warm about dealing indoor air quality before it becomes unsafe?,recall,trivial,single-fact,none,clear,1,Factual Recall,Capability yes/no about proactive IAQ warning; surface answer is a single building fact.,4,Causal Diagnosis,"Needs live IAQ streams, thresholds and forecasting/alerting; current telemetry is partial.",hybrid,LangGraph orchestrator; ontology/knowledge graph; time-series store; forecasting; analytics sandbox; alerting; visualisation; [NEW] pollutant IAQ sensor feed for PM2.5/VOC/NO2 (new data source + add to ontology); [NEW] live streams for floors 0-4 (new sensor feed),"entities: rooms/zones, temperature, CO2, humidity, PM2.5, VOC, NO2; time range: live + forecast horizon; thresholds: IAQ safety limits; units: °C, ppm, %, µg/m3, ppb; aggregation: rolling averages; filters: floor/room",dialogue -> intent classification -> ontology query -> time-series retrieval -> [NEW] IAQ stream retrieval -> forecasting/anomaly detection vs thresholds -> alert generation -> response,building ontology; floor-5 temperature/CO2/humidity streams; general IAQ thresholds; [NEW] pollutant IAQ time-series; [NEW] live streams for floors 0-4,requires_extension,openai,gpt-5.5,2026-06-07 16:27:14
