Username,Roles,QuestionNumber,Stage,Timestamp,Question
P96,Student/Researchers/Academics,75,2,12/04/2026 18:17,are cooling systems evenly distributing air across all zones?
P96,Student/Researchers/Academics,76,2,12/04/2026 18:17,is the building experiencing any electrical ineffciencies?
P96,Student/Researchers/Academics,77,2,12/04/2026 18:16,are there systems that could be optimized to reduce energy use right now?
P96,Student/Researchers/Academics,78,2,12/04/2026 18:16,is rnergy consumption peaking earlier than usual today?
P96,Student/Researchers/Academics,79,2,12/04/2026 18:15,are some areas quieter than expected right now?
P96,Student/Researchers/Academics,80,2,12/04/2026 18:15,have there been repeated noise alerts in the same location?
P96,Student/Researchers/Academics,81,2,12/04/2026 18:14,are lighting systems responding well to changing daylight conditions?
P96,Student/Researchers/Academics,82,2,12/04/2026 18:13,is the lighting too harsh or too dim in any workspace?
P96,Student/Researchers/Academics,83,2,12/04/2026 18:13,are access points being used more frequently during certain hours?
P96,Student/Researchers/Academics,84,2,12/04/2026 18:12,are there any unusual patterns in movement throughout the building?
P96,Student/Researchers/Academics,85,2,12/04/2026 18:12,which spaces are becoming croweded faster than expected?
P96,Student/Researchers/Academics,86,2,12/04/2026 18:11,how has air quality changed since the building opened today?
P96,Student/Researchers/Academics,87,2,12/04/2026 18:11,are there any indoor pollutants coming from cleaning products or materials?
P96,Student/Researchers/Academics,88,2,12/04/2026 18:10,is the air feeling fresh enough for a productive day?
P96,Student/Researchers/Academics,89,2,12/04/2026 18:09,are there noticeable temperature differences between floors?
P96,Student/Researchers/Academics,90,2,12/04/2026 18:09,is the current environment suitable for group discussions?
P96,Student/Researchers/Academics,91,1,12/04/2026 18:06,are there any systems currently running in backup mode?
P96,Student/Researchers/Academics,92,1,12/04/2026 18:05,can you guide me to a workspace with minimal noise and good lighting?
P96,Student/Researchers/Academics,93,1,12/04/2026 18:05,are there any recent complaints reported about this floor?
P96,Student/Researchers/Academics,94,1,12/04/2026 18:04,which areas are currently maintaining the most stable temperature?
P96,Student/Researchers/Academics,95,1,12/04/2026 18:03,can you notify me if this room becomes too crowded?
P96,Student/Researchers/Academics,96,1,12/04/2026 18:03,are there any lights that are flickering or not working properly?
P96,Student/Researchers/Academics,97,1,12/04/2026 18:02,can you suggest a workspace where i won't be interrupted often?
P96,Student/Researchers/Academics,98,1,12/04/2026 18:02,which rooms are currently closest to their maximum capacity?
P96,Student/Researchers/Academics,99,1,12/04/2026 18:01,are there any parts of the building where airflow is restricted?
P96,Student/Researchers/Academics,100,1,12/04/2026 18:00,can you tell me which areas feel the most comfortable right now overall?
P96,Student/Researchers/Academics,101,1,12/04/2026 17:51,which areas are safest in case of an emergency evacuation?
P96,Student/Researchers/Academics,102,1,12/04/2026 17:51,can you summarize environmental conditions across all floors?
P96,Student/Researchers/Academics,103,1,12/04/2026 17:50,are there any conference rooms that can be reserved for an hour?
P96,Student/Researchers/Academics,104,1,12/04/2026 17:50,can you help me find a workspace with a view of the outside?
P96,Student/Researchers/Academics,105,1,12/04/2026 17:49,are there any areas where windows have been left open unintentionally?
P96,Student/Researchers/Academics,106,1,12/04/2026 17:49,can you alert me if noise levels spike in theopen workspace?
P96,Student/Researchers/Academics,107,1,12/04/2026 17:48,which parts of the building are most energy efficient today?
P96,Student/Researchers/Academics,108,1,12/04/2026 17:47,can you track how long specific areas have been occupied?
P96,Student/Researchers/Academics,109,1,12/04/2026 17:47,are there any devices currently malfunctioning in this room?
P96,Student/Researchers/Academics,110,1,12/04/2026 17:46,can you recommend a place for collaborative brainstorming?
P96,Student/Researchers/Academics,111,1,12/04/2026 17:46,are there any rooms with poor ventilation that should be avoided?
P96,Student/Researchers/Academics,112,1,12/04/2026 17:45,can you notify me if indoorair becomes too dry or humid?
P96,Student/Researchers/Academics,113,1,12/04/2026 17:45,which areas are using the least electricity at this moment?
P96,Student/Researchers/Academics,114,1,12/04/2026 17:44,are any floors currently under maintenance?
P96,Student/Researchers/Academics,115,1,12/04/2026 17:44,can you suggest a workspace close to the building entrance?
P96,Student/Researchers/Academics,116,1,12/04/2026 17:43,are there any areas experiencing irregular patterns?
P96,Student/Researchers/Academics,117,1,12/04/2026 17:43,can you alert me if occupancy in a room exceeds safe limits?
P96,Student/Researchers/Academics,118,1,12/04/2026 17:42,which spaces are most suitable for quiet study at this hour?
P96,Student/Researchers/Academics,119,1,12/04/2026 17:42,are any rooms currently warmer than their set temperature?
P96,Student/Researchers/Academics,120,1,12/04/2026 17:41,can you tell me which areas have the most natural airflow right now?
P78,IT/Data Scientists,1,4,12/04/2026 15:34,"Could a real-time Air Quality map on the lobby screen encourage people to take the ""fresher"" route through the atrium?"
P78,IT/Data Scientists,2,4,12/04/2026 15:34,"How much does ""Material Off-Gassing"" decrease after the first six months of a building's operation?"
P78,IT/Data Scientists,3,4,12/04/2026 15:34,Can the Biological Contaminant sensors detect if the humidity is high enough to risk mold growth in the stairwells?
P78,IT/Data Scientists,4,4,12/04/2026 15:34,"If Radon levels fluctuate, does the building pull more fresh air from the rooftop rather than the basement?"
P78,IT/Data Scientists,5,4,12/04/2026 15:34,"Does the building detect Formaldehyde spikes after new furniture is installed, and how long does it take to flush the air?"
P78,IT/Data Scientists,6,4,12/04/2026 15:34,Can we set different Thermostat Setpoints for the gym versus the quiet library zone to match human metabolic rates?
P78,IT/Data Scientists,7,4,12/04/2026 15:34,"Does the building track ""Visual Comfort"" by measuring how often people manually override the automatic Lux settings?"
P78,IT/Data Scientists,8,4,12/04/2026 15:34,"If the Glare Index is too high, can the building suggest a different desk to the user rather than just closing the blinds?"
P78,IT/Data Scientists,9,4,12/04/2026 15:34,"Is there a ""Cold Spot"" near the north windows that indicates a seal might be broken or a window is ajar?"
P78,IT/Data Scientists,10,4,12/04/2026 15:34,Could the PMV (Predicted Mean Vote) index be used to automatically adjust the temperature based on how many people are wearing coats?
P78,IT/Data Scientists,11,4,12/04/2026 15:34,"Can the system predict a ""Peak Demand"" event based on the afternoon weather forecast and start pre-cooling the building?"
P78,IT/Data Scientists,12,4,12/04/2026 15:34,What is the specific Standby Load of the elevator system when no one has entered the lobby for over 30 minutes?
P78,IT/Data Scientists,13,4,12/04/2026 15:34,"Could the building calculate the Carbon Emissions saved every time a floor successfully uses ""Daylight Harvesting"" instead of LEDs?"
P78,IT/Data Scientists,14,4,12/04/2026 15:34,"If we shift heavy HVAC tasks to 4:00 AM, how much cheaper is that electricity compared to the Peak Demand at noon?"
P78,IT/Data Scientists,15,4,12/04/2026 15:34,"Can the building identify a ""Baseload"" spike that only happens on Tuesday nights to find a specific machine left on?"
P78,IT/Data Scientists,16,3,12/04/2026 15:32,"In the car park, does the NO2 sensor trigger the exhaust fans only when a car is actually moving (detected by Motion)?"
P78,IT/Data Scientists,17,3,12/04/2026 15:32,How much Standby Load do the vending machines draw when the building is closed on weekends?
P78,IT/Data Scientists,18,3,12/04/2026 15:32,Can the People Count data be sent to a mobile app so I can see if there’s a line at the microwave?
P78,IT/Data Scientists,19,3,12/04/2026 15:32,Is the Refrigerator Temperature logged to ensure food safety compliance 24/7?
P78,IT/Data Scientists,20,3,12/04/2026 15:32,"Does the VOC sensor differentiate between ""cooking odors"" and dangerous gas leaks in the kitchen?"
P78,IT/Data Scientists,21,3,12/04/2026 15:32,Can the Water Meter detect if a coffee machine or dishwasher has been left running or is leaking?
P78,IT/Data Scientists,22,3,12/04/2026 15:32,Does the Smoke/Fire Suppression status log exactly who was in the room (via Access Logs) when an alert triggered?
P78,IT/Data Scientists,23,3,12/04/2026 15:32,"If the Voltage fluctuates slightly, does the building automatically switch to the Battery Level backup?"
P78,IT/Data Scientists,24,3,12/04/2026 15:32,"Can the Energy Meter (kWh) calculate the ""PUE"" (Power Usage Effectiveness) of the servers in real-time?"
P78,IT/Data Scientists,25,3,12/04/2026 15:32,What is the threshold for Relative Humidity before the building warns about static electricity risks to the hardware?
P78,IT/Data Scientists,26,3,12/04/2026 15:32,Does the Vibration sensor monitor the server racks to detect cooling fan failures before they overheat?
P78,IT/Data Scientists,27,3,12/04/2026 15:32,"If VOC levels spike during the morning cleaning shift, does the Fan Speed increase automatically to clear the air?"
P78,IT/Data Scientists,28,3,12/04/2026 15:32,"How does the Occupancy sensor handle a ""Ghost Meeting"" (where a room is booked but the door sensor never opened)?"
P78,IT/Data Scientists,29,3,12/04/2026 15:32,"Could the Noise Events sensor identify which desk clusters are too loud for ""Deep Work"" zones?"
P78,IT/Data Scientists,30,3,12/04/2026 15:32,"If the Lux level is high near the windows, can the desks in the center of the room stay dimmer to save energy?"
P78,IT/Data Scientists,31,3,12/04/2026 15:32,"Can the building detect a ""productivity dip"" by correlating high CO2 with low Motion (PIR) in the afternoon?"
P78,IT/Data Scientists,32,2,12/04/2026 15:30,"Can ""Vibration"" sensors tell if a pump is starting to wear out?"
P78,IT/Data Scientists,33,2,12/04/2026 15:30,"How does ""Barometric Pressure"" help predict incoming storms?"
P78,IT/Data Scientists,34,2,12/04/2026 15:30,"What happens to the ""Boiler Status"" during the summer months?"
P78,IT/Data Scientists,35,2,12/04/2026 15:29,"Does ""Fan Speed"" increase automatically when the air feels stuffy?"
P78,IT/Data Scientists,36,2,12/04/2026 15:29,"Why is ""Supply Air Temp"" different from the actual room temperature?"
P78,IT/Data Scientists,37,2,12/04/2026 15:29,"What is the ideal ""Thermostat Setpoint"" for maximum productivity?"
P78,IT/Data Scientists,38,2,12/04/2026 15:29,"Can a ""Water Meter"" detect a tiny leak behind a wall?"
P78,IT/Data Scientists,39,2,12/04/2026 15:29,"Why does the ""Power Factor"" matter for the building’s electricity bill?"
P78,IT/Data Scientists,40,2,12/04/2026 15:29,"What ""Noise Events"" trigger a notification to the building manager?"
P78,IT/Data Scientists,41,2,12/04/2026 15:29,"Can the ""Glare Index"" tell if the sun is reflecting off my computer screen?"
P78,IT/Data Scientists,42,2,12/04/2026 15:29,"Does ""Lux"" level change automatically based on the time of day?"
P78,IT/Data Scientists,43,2,12/04/2026 15:29,"Will a ""Door Sensor"" alert security if a fire exit is propped open?"
P78,IT/Data Scientists,44,2,12/04/2026 15:29,How does the building distinguish between one person and five people without a camera?
P78,IT/Data Scientists,45,2,12/04/2026 15:29,"Does ""Motion (PIR)"" sensing work if I’m sitting perfectly still at my desk?"
P78,IT/Data Scientists,46,2,12/04/2026 15:29,"Can ""Occupancy"" sensors help me find a quiet place to work?"
P78,IT/Data Scientists,47,2,12/04/2026 15:29,"How does ""Ozone"" get inside a building if it’s usually in the atmosphere?"
P78,IT/Data Scientists,48,2,12/04/2026 15:29,"Is ""PM2.5"" more dangerous than ""PM10"" for people with asthma?"
P78,IT/Data Scientists,49,2,12/04/2026 15:29,"What specific items in an office usually release ""VOC"" gases?"
P78,IT/Data Scientists,50,2,12/04/2026 15:29,"Can the ""CO2"" sensor detect if a meeting room is getting too crowded?"
P78,IT/Data Scientists,51,2,12/04/2026 15:29,"How does ""Relative Humidity"" affect how warm the room feels to me?"
P78,IT/Data Scientists,52,1,12/04/2026 15:28,Can we dim the south-side lights by 20% without anyone noticing?
P78,IT/Data Scientists,53,1,12/04/2026 15:27,Which HVAC unit is vibrating slightly out of rhythm?
P78,IT/Data Scientists,54,1,12/04/2026 15:27,Who is looking for a desk but can't find one?
P78,IT/Data Scientists,55,1,12/04/2026 15:27,Is the air quality dipping in Meeting Room B before people start feeling sluggish?
P78,IT/Data Scientists,56,1,12/04/2026 15:27,Where is the 'ghost' energy being pulled from right now
P78,IT/Data Scientists,57,4,11/04/2026 14:23,Could escalators switch to standby when corridors are empty?
P78,IT/Data Scientists,58,4,11/04/2026 14:23,How could real-time occupancy data reduce lift wait times during peak hours?
P78,IT/Data Scientists,59,4,11/04/2026 14:23,What cross-system correlations could reveal hidden inefficiencies or comfort issues?
P78,IT/Data Scientists,60,4,11/04/2026 14:23,"Think about seasonal changes — pollen in spring, dry air in winter. How could the building respond?"
P78,IT/Data Scientists,61,4,11/04/2026 14:23,"If CO₂ rises in a meeting room, what should the building do automatically?"
P78,IT/Data Scientists,62,4,11/04/2026 14:22,What information would help reduce glare for people working on screens near windows?
P78,IT/Data Scientists,63,4,11/04/2026 14:22,How could daylight be balanced with artificial lighting to save energy while keeping comfort?
P78,IT/Data Scientists,64,4,11/04/2026 14:22,Think about how personal comfort varies — could zones adapt to individual preferences?
P78,IT/Data Scientists,65,4,11/04/2026 14:22,Set smart alerts when standby loads exceed a threshold so action can be taken early.
P78,IT/Data Scientists,66,4,11/04/2026 14:22,How could sensors track biodiversity indicators like bird or insect activity on green roofs?
P78,IT/Data Scientists,67,3,11/04/2026 14:21,What could unusual vibration pattern indicate
P78,IT/Data Scientists,68,3,11/04/2026 14:21,Consider that the roof collects rainwater — what would you want to know about water levels or usage?
P78,IT/Data Scientists,69,3,11/04/2026 14:21,WHy Structural Vibration Needs
P78,IT/Data Scientists,70,3,11/04/2026 14:21,What HVAC does
P78,IT/Data Scientists,71,3,11/04/2026 14:21,is electric cars better than petrol/disel/octane
P78,IT/Data Scientists,72,3,11/04/2026 14:19,do they produce oxygens
P78,IT/Data Scientists,73,3,11/04/2026 14:19,is indoor plants good
P78,IT/Data Scientists,74,3,11/04/2026 14:19,Will it do something bad to our health that not supposed to be happen
P78,IT/Data Scientists,75,3,11/04/2026 14:19,What it Can do to Health
P78,IT/Data Scientists,76,3,11/04/2026 14:19,Is Cafe Break Essential
P78,IT/Data Scientists,77,3,11/04/2026 14:18,How to find security bottlenecks
P78,IT/Data Scientists,78,3,11/04/2026 14:18,How to keep server room cool
P78,IT/Data Scientists,79,3,11/04/2026 14:18,why meeting room need to be speerate
P78,IT/Data Scientists,80,3,11/04/2026 14:18,why open place is preffered over locked
P78,IT/Data Scientists,81,3,11/04/2026 14:17,What height should a stairs be
P78,IT/Data Scientists,82,2,11/04/2026 14:15,does it Contains VitD
P78,IT/Data Scientists,83,2,11/04/2026 14:15,is ambident light goood
P78,IT/Data Scientists,84,2,11/04/2026 14:15,What is Short Circuit
P78,IT/Data Scientists,85,2,11/04/2026 14:15,What Is Voltage Drop
P78,IT/Data Scientists,86,2,11/04/2026 14:15,What High VOltage does
P78,IT/Data Scientists,87,2,11/04/2026 14:14,how aqi is measured
P78,IT/Data Scientists,88,2,11/04/2026 14:14,How Fan Speed Works
P78,IT/Data Scientists,89,2,11/04/2026 14:14,Why Flow Rate Is Measured
P78,IT/Data Scientists,90,2,11/04/2026 14:14,Is High DB harmful
P78,IT/Data Scientists,91,2,11/04/2026 14:13,Why I need to measure light or dim Place
P78,IT/Data Scientists,92,2,11/04/2026 14:13,auto window close if electricity goes?
P78,IT/Data Scientists,93,2,11/04/2026 14:13,How People Counter Works Theres no camera
P78,IT/Data Scientists,94,2,11/04/2026 14:13,Is NO2 Dangeorous For Humans
P78,IT/Data Scientists,95,2,11/04/2026 14:12,What if ozone layer vanished
P78,IT/Data Scientists,96,2,11/04/2026 14:12,What PM10 causes
P78,IT/Data Scientists,97,2,11/04/2026 14:12,what PM2.5 can cuase
P78,IT/Data Scientists,98,2,11/04/2026 14:12,What VOC gases do to our everydays life
P78,IT/Data Scientists,99,2,11/04/2026 14:11,Is CO2 Harmful
P78,IT/Data Scientists,100,2,11/04/2026 14:11,How Relative Humidity Is Measured
P78,IT/Data Scientists,101,2,11/04/2026 14:10,How The Temperature Sensor measures
P78,IT/Data Scientists,102,1,11/04/2026 14:10,How AI Read Texts From Images
P78,IT/Data Scientists,103,1,11/04/2026 14:10,What is Data Analysis
P78,IT/Data Scientists,104,1,11/04/2026 14:09,If we drop a chicken from the roof will it survive
P78,IT/Data Scientists,105,1,11/04/2026 14:09,How Potato Chips Are Made
P78,IT/Data Scientists,106,1,11/04/2026 14:08,How to Purify Air
P78,IT/Data Scientists,107,1,11/04/2026 14:08,Is Eye And Camera mechanism same
P78,IT/Data Scientists,108,1,11/04/2026 14:08,How AC cools the room
P78,IT/Data Scientists,109,1,11/04/2026 14:08,How to fix a phone microphone after dropping to water
P78,IT/Data Scientists,110,1,11/04/2026 14:07,How to make a juice
P78,IT/Data Scientists,111,1,11/04/2026 14:07,How AI training is done
P78,IT/Data Scientists,112,1,11/04/2026 14:07,Why Ram Price is increasing
P78,IT/Data Scientists,113,1,11/04/2026 14:07,how weather app predicts weather
P78,IT/Data Scientists,114,1,11/04/2026 14:06,What is the Unit of resistance
P78,IT/Data Scientists,115,1,11/04/2026 14:06,How Mobile Phone works
P78,IT/Data Scientists,116,1,11/04/2026 14:06,what is a AI
P82,IT/Data Scientists,1,4,12/04/2026 15:21,"Would showing a ""Health Score"" (Air + Light + Noise) on a screen in the lobby make people feel more comfortable coming into the office?"
P82,IT/Data Scientists,2,4,12/04/2026 15:21,"If an occupant hits a ""Too Cold"" button, how quickly does the system respond, and does it learn that person's preference for next time?"
P82,IT/Data Scientists,3,4,12/04/2026 15:20,Is the garden being watered even when the forecast predicts heavy rain in two hours?
P82,IT/Data Scientists,4,4,12/04/2026 15:20,"How many degrees cooler is the air near the ""Green Roof"" compared to the asphalt parking lot?"
P82,IT/Data Scientists,5,4,12/04/2026 15:20,What data do we need to prove that recycled greywater is treated well enough for toilet flushing?
P82,IT/Data Scientists,6,4,12/04/2026 15:20,"If water flow is detected for 2 hours straight in a bathroom at night, can the system automatically shut off that valve?"
P82,IT/Data Scientists,7,4,12/04/2026 15:20,"Could sensors detect ""flat spots"" or friction in escalators to reduce the energy needed to move the belt?"
P82,IT/Data Scientists,8,4,12/04/2026 15:20,"Can the lifts ""learn"" that the cafeteria floor is the priority destination at exactly 12:05 PM?"
P82,IT/Data Scientists,9,4,12/04/2026 15:20,"In open-plan offices, could ""pink noise"" be automatically adjusted based on how loud the ambient chatter is?"
P82,IT/Data Scientists,10,4,12/04/2026 15:20,"Can pressure sensors tell us exactly when an air filter is clogged, rather than just changing it every six months regardless of need?"
P82,IT/Data Scientists,11,4,12/04/2026 15:19,Do VOC levels spike specifically after the night-shift cleaning crew uses certain products?
P82,IT/Data Scientists,12,4,12/04/2026 15:19,"Does CO2 spike in meeting rooms at 2:00 PM, and is that why everyone feels tired?"
P82,IT/Data Scientists,13,4,12/04/2026 15:19,"When automated blinds close to stop glare, how do we ensure occupants don't feel ""boxed in"" from the outdoors?"
P82,IT/Data Scientists,14,4,12/04/2026 15:19,Could internal lights mimic the color temperature of the sun to improve staff focus and sleep quality?
P82,IT/Data Scientists,15,4,12/04/2026 15:19,"Should the building's target temperature shift slightly based on what people are wearing (e.g., higher in summer, lower in winter) to save energy?"
P82,IT/Data Scientists,16,4,12/04/2026 15:19,"How can we use heat maps to identify if ""cold spots"" are caused by poor window insulation versus HVAC imbalances?"
P82,IT/Data Scientists,17,4,12/04/2026 15:19,Can we use vibration data from fans to predict a motor failure before it spikes energy use?
P82,IT/Data Scientists,18,4,12/04/2026 15:19,"Which specific appliances or server racks are contributing most to the ""standby"" energy drain?"
P82,IT/Data Scientists,19,4,12/04/2026 15:19,"Does energy consumption actually drop when occupancy sensors show the building is 80% empty, or is the HVAC ""blind"" to real-time usage?3"
P82,IT/Data Scientists,20,4,12/04/2026 15:19,"What is the absolute minimum energy the building uses at 3:00 AM, and why isn't it lower?"
P82,IT/Data Scientists,21,3,12/04/2026 15:16,How many liters of water are saved annually by the building promoting stair usage over lift usage for travel between just two floors?
P82,IT/Data Scientists,22,3,12/04/2026 15:16,Do the pressure differential sensors confirm that the stairwell is pressurized enough to prevent smoke entry during a fire test?
P82,IT/Data Scientists,23,3,12/04/2026 15:16,"Can the motion sensors ""predict"" your path and illuminate the next 3 lights in the corridor before you actually reach them?"
P82,IT/Data Scientists,24,3,12/04/2026 15:16,"What is the correlation between ""morning exit traffic"" and the ramp-up time required for the basement exhaust fans?"
P82,IT/Data Scientists,25,3,12/04/2026 15:15,Can the occupancy sensors identify a vehicle that has been parked for more than 48 hours without a prior authorization?
P82,IT/Data Scientists,26,3,12/04/2026 15:15,"If 10 EVs plug in at once, does the system throttle charging speeds to protect the building’s main transformer?"
P82,IT/Data Scientists,27,3,12/04/2026 15:15,Does the green roof moisture sensor override the watering schedule if the weather forecast predicts rain within 6 hours?
P82,IT/Data Scientists,28,3,12/04/2026 15:15,Do the rooftop vents automatically seal themselves if the external wind speed exceeds a specific safety rating?
P82,IT/Data Scientists,29,3,12/04/2026 15:15,"On cloudy days, what is the exact percentage drop in solar efficiency compared to the building's peak demand?"
