PID,Roles,Stage,Timestamp,Question,domain_l1,query_type_l2,intent,temporal,spatial,complexity
P81,Student/Researchers/Academics,4,13/04/2026 03:05,can the system suggest improvements for better recycling habits?,WASTE,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:05,how dose the building manage waste during high occupancy events?,WASTE,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:04,are there insights on how indoor plants contribute to air purification?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:03,can the system evaluate the efficient of green roofs or eco  feautures?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:02,how are outdoor environmental conditions used to optimize indoor comfort?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:01,can the building track daily water wastage during cleaning processes?,WATER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,12/04/2026 18:58,are there pollutant sources identified within indoor spaces?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,12/04/2026 18:57,how are pollutant sources identified within indoor spaces?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,12/04/2026 18:57,can the building warm about dealing indoor air quality before it becomes unsafe?,SECURITY,ANOMALY,DIAGNOSTIC,STATIC,BUILDING,MULTI_STEP
P81,Student/Researchers/Academics,4,12/04/2026 18:55,are there smart schedules for heating and cooling based on occupancy patterns?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,12/04/2026 18:54,"how is energy distributed across different systems like HVAC, lighting, and equipment?",ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,12/04/2026 18:53,can the building detect and reduce unnecessary during daytime?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:49,are there any areas where noise levels suddenly increased?,WELLBEING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:49,can the building detect and adapt to changing weather conditions?,WEATHER_OUTDOOR,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:48,can i compare comfort levels between different workspaces?,THERMAL,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,MULTI_STEP
P81,Student/Researchers/Academics,3,12/04/2026 18:47,is there any energy being wasted due to unused spaces?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:47,are there any patterns of overcrowding at this time of day?,OCCUPANCY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:46,can i check if fresh air intake is sufficient in this area?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:45,are there any sections of the building currently underutilized?,ENERGY,CAPABILITY,INFORMATIONAL,REALTIME,BUILDING,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:45,is there any delay in response when adjusting room settings?,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:44,can the building suggest a workspace based on my past preferences?,CONTROL,RECOMMENDATION,PRESCRIPTIVE,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:44,are there any zones where lighting is too dim for work right now?,LIGHTING,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:42,are there any opportunities to reduce energy consumption in this space?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:42,can i check how responsive the building systems are to user inputs?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:41,are there any warnings related to equipment overheating nearby?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:40,can i locate a workspacewith the most stable temperature conditions?,THERMAL,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION
P81,Student/Researchers/Academics,3,12/04/2026 18:40,are there any sensors detecting excessive humidity in certain areas?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:39,can i monitor how lighting adapts throughout the day in this building?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:38,is there any imbalance in airflow between different sections?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:38,can the system recommend a break area that is less crowded?,OCCUPANCY,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:37,are there any environmental conditions that might affect health here?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:36,can i check if this area supports collaborative work effectively?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:35,are there any accessibility issues reported in this zone?,MAINTENANCE,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:34,what is the current energy demand compared to typical usage?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:34,can the building adjust settings automatically based on occupancy changes?,OCCUPANCY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:33,are there any signs of overcrowding in shared spaces right now?,OCCUPANCY,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:32,can i find a workspace that matches my preferred noise and lighting levels?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:31,how efficiently is the ventilation system removing indoor pollutants?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:31,is there any unusual odor detected in this area?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:30,can the system guide me to a workspace with minimal glare on screens?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:30,are there any hotspots in the building where cooling is insufficient?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,3,12/04/2026 18:29,can iknow how evenly temperature is distributed across this floor?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,FLOOR,MULTI_STEP
P81,Student/Researchers/Academics,2,12/04/2026 18:27,have there been any continuous noise disturbances recently?,WELLBEING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:26,is the lighting level appropriate for presentations or screen viewing?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:25,are entry and exit patterns normal for this time of day?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:25,are there any unusual access activities detected late at night?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:24,which zones are becoming overcrowded more frequently?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:24,how consistent has air quality been throughout the entire day?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:23,are there hidden sources of indoor pollution affecting air quality?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:23,is the indoor air dry enough to cause discomfort?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:22,are there any areas where temperature control is not working properly?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:22,is this environment comfortable for extended meeting or sessions?,THERMAL,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:20,is the building maintaining a healthy and safe environment overall?,SAFETY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:19,is any equipment behaving inconsistently compared to normal operation?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:18,are there sudden spikes in water usage that need attention?,WATER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:18,is heating causing discomfort in any specific areas?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:17,are cooling systems evenly distributing air across all zones?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:17,is the building experiencing any electrical ineffciencies?,ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:16,are there systems that could be optimized to reduce energy use right now?,ENERGY,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:16,is rnergy consumption peaking earlier than usual today?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:15,are some areas quieter than expected right now?,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:15,have there been repeated noise alerts in the same location?,WELLBEING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:14,are lighting systems responding well to changing daylight conditions?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:13,is the lighting too harsh or too dim in any workspace?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:13,are access points being used more frequently during certain hours?,WAYFINDING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:12,are there any unusual patterns in movement throughout the building?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:12,which spaces are becoming croweded faster than expected?,SUSTAINABILITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:11,how has air quality changed since the building opened today?,AIR_QUALITY,HISTORICAL,INFORMATIONAL,HISTORICAL,BUILDING,AGGREGATION
P81,Student/Researchers/Academics,2,12/04/2026 18:11,are there any indoor pollutants coming from cleaning products or materials?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:10,is the air feeling fresh enough for a productive day?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:09,are there noticeable temperature differences between floors?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,2,12/04/2026 18:09,is the current environment suitable for group discussions?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:06,are there any systems currently running in backup mode?,ENERGY,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:05,can you guide me to a workspace with minimal noise and good lighting?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:05,are there any recent complaints reported about this floor?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,FLOOR,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:04,which areas are currently maintaining the most stable temperature?,ENERGY,COMPARISON,INFORMATIONAL,REALTIME,UNSPECIFIED,AGGREGATION
P81,Student/Researchers/Academics,1,12/04/2026 18:03,can you notify me if this room becomes too crowded?,OCCUPANCY,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:03,are there any lights that are flickering or not working properly?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:02,can you suggest a workspace where i won't be interrupted often?,OTHER,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:02,which rooms are currently closest to their maximum capacity?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:01,are there any parts of the building where airflow is restricted?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 18:00,can you tell me which areas feel the most comfortable right now overall?,THERMAL,COMPARISON,INFORMATIONAL,REALTIME,UNSPECIFIED,AGGREGATION
P81,Student/Researchers/Academics,1,12/04/2026 17:51,which areas are safest in case of an emergency evacuation?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:51,can you summarize environmental conditions across all floors?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,MULTI_STEP
P81,Student/Researchers/Academics,1,12/04/2026 17:50,are there any conference rooms that can be reserved for an hour?,WAYFINDING,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:50,can you help me find a workspace with a view of the outside?,WEATHER_OUTDOOR,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:49,are there any areas where windows have been left open unintentionally?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:49,can you alert me if noise levels spike in theopen workspace?,WELLBEING,ANOMALY,DIAGNOSTIC,STATIC,UNSPECIFIED,MULTI_STEP
P81,Student/Researchers/Academics,1,12/04/2026 17:48,which parts of the building are most energy efficient today?,ENERGY,COMPARISON,INFORMATIONAL,STATIC,BUILDING,AGGREGATION
P81,Student/Researchers/Academics,1,12/04/2026 17:47,can you track how long specific areas have been occupied?,OCCUPANCY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:47,are there any devices currently malfunctioning in this room?,ENERGY,CAPABILITY,INFORMATIONAL,REALTIME,ROOM,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:46,can you recommend a place for collaborative brainstorming?,SUSTAINABILITY,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:46,are there any rooms with poor ventilation that should be avoided?,AIR_QUALITY,CAPABILITY,PRESCRIPTIVE,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:45,can you notify me if indoorair becomes too dry or humid?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:45,which areas are using the least electricity at this moment?,ENERGY,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION
P81,Student/Researchers/Academics,1,12/04/2026 17:44,are any floors currently under maintenance?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:44,can you suggest a workspace close to the building entrance?,OTHER,RECOMMENDATION,PRESCRIPTIVE,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:43,are there any areas experiencing irregular patterns?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:43,can you alert me if occupancy in a room exceeds safe limits?,SAFETY,ANOMALY,DIAGNOSTIC,STATIC,ROOM,MULTI_STEP
P81,Student/Researchers/Academics,1,12/04/2026 17:42,which spaces are most suitable for quiet study at this hour?,OTHER,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION
P81,Student/Researchers/Academics,1,12/04/2026 17:42,are any rooms currently warmer than their set temperature?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,1,12/04/2026 17:41,can you tell me which areas have the most natural airflow right now?,OTHER,COMPARISON,INFORMATIONAL,REALTIME,UNSPECIFIED,AGGREGATION
P64,IT/Data Scientists,4,12/04/2026 15:34,"Could a real-time Air Quality map on the lobby screen encourage people to take the ""fresher"" route through the atrium?",AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,"How much does ""Material Off-Gassing"" decrease after the first six months of a building's operation?",OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION
P64,IT/Data Scientists,4,12/04/2026 15:34,Can the Biological Contaminant sensors detect if the humidity is high enough to risk mold growth in the stairwells?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,"If Radon levels fluctuate, does the building pull more fresh air from the rooftop rather than the basement?",AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,"Does the building detect Formaldehyde spikes after new furniture is installed, and how long does it take to flush the air?",OTHER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,Can we set different Thermostat Setpoints for the gym versus the quiet library zone to match human metabolic rates?,THERMAL,COMPARISON,INFORMATIONAL,STATIC,ROOM,MULTI_STEP
P64,IT/Data Scientists,4,12/04/2026 15:34,"Does the building track ""Visual Comfort"" by measuring how often people manually override the automatic Lux settings?",THERMAL,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,"If the Glare Index is too high, can the building suggest a different desk to the user rather than just closing the blinds?",LIGHTING,ANOMALY,PRESCRIPTIVE,STATIC,BUILDING,MULTI_STEP
P64,IT/Data Scientists,4,12/04/2026 15:34,"Is there a ""Cold Spot"" near the north windows that indicates a seal might be broken or a window is ajar?",AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,Could the PMV (Predicted Mean Vote) index be used to automatically adjust the temperature based on how many people are wearing coats?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION
P64,IT/Data Scientists,4,12/04/2026 15:34,"Can the system predict a ""Peak Demand"" event based on the afternoon weather forecast and start pre-cooling the building?",ENERGY,CAPABILITY,PREDICTIVE,PREDICTIVE,BUILDING,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,What is the specific Standby Load of the elevator system when no one has entered the lobby for over 30 minutes?,ENERGY,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,"Could the building calculate the Carbon Emissions saved every time a floor successfully uses ""Daylight Harvesting"" instead of LEDs?",LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P64,IT/Data Scientists,4,12/04/2026 15:34,"If we shift heavy HVAC tasks to 4:00 AM, how much cheaper is that electricity compared to the Peak Demand at noon?",ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION
P64,IT/Data Scientists,4,12/04/2026 15:34,"Can the building identify a ""Baseload"" spike that only happens on Tuesday nights to find a specific machine left on?",ENERGY,ANOMALY,DIAGNOSTIC,STATIC,BUILDING,MULTI_STEP
P64,IT/Data Scientists,3,12/04/2026 15:32,"In the car park, does the NO2 sensor trigger the exhaust fans only when a car is actually moving (detected by Motion)?",AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P64,IT/Data Scientists,3,12/04/2026 15:32,How much Standby Load do the vending machines draw when the building is closed on weekends?,ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,AGGREGATION
P64,IT/Data Scientists,3,12/04/2026 15:32,Can the People Count data be sent to a mobile app so I can see if there’s a line at the microwave?,PRIVACY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION
P64,IT/Data Scientists,3,12/04/2026 15:32,Is the Refrigerator Temperature logged to ensure food safety compliance 24/7?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P64,IT/Data Scientists,3,12/04/2026 15:32,"Does the VOC sensor differentiate between ""cooking odors"" and dangerous gas leaks in the kitchen?",AIR_QUALITY,ANOMALY,DIAGNOSTIC,STATIC,ROOM,MULTI_STEP
P64,IT/Data Scientists,3,12/04/2026 15:32,Can the Water Meter detect if a coffee machine or dishwasher has been left running or is leaking?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P64,IT/Data Scientists,3,12/04/2026 15:32,Does the Smoke/Fire Suppression status log exactly who was in the room (via Access Logs) when an alert triggered?,SAFETY,ANOMALY,DIAGNOSTIC,STATIC,ROOM,MULTI_STEP
P64,IT/Data Scientists,3,12/04/2026 15:32,"If the Voltage fluctuates slightly, does the building automatically switch to the Battery Level backup?",ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P64,IT/Data Scientists,3,12/04/2026 15:32,"Can the Energy Meter (kWh) calculate the ""PUE"" (Power Usage Effectiveness) of the servers in real-time?",ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P64,IT/Data Scientists,3,12/04/2026 15:32,What is the threshold for Relative Humidity before the building warns about static electricity risks to the hardware?,SAFETY,ANOMALY,DIAGNOSTIC,STATIC,BUILDING,MULTI_STEP
