ID,Stakeholder_Role,Question,source_systems,n_systems,Complexity_L,Readiness_R
PGT-001,Taught postgraduate students,"I have a 3 p.m. seminar in Abacws on Thursday and want two hours beforehand for dissertation writing. Where am I most likely to find a quiet, lightly used student space with power and working Wi-Fi, while still leaving enough time to reach the seminar?",booking|it_network|permit_control|sensor_telemetry|space_inventory,5,L3,R2
PGT-002,Taught postgraduate students,"Tomorrow I have classes on different floors, a short online meeting and two gaps for reading. Can you plan a practical sequence of spaces that keeps unnecessary movement to a minimum?",booking|it_network|sensor_telemetry|timetable,4,L4,R2
PGT-003,Taught postgraduate students,Which day this week gives me the best chance of finding four hours for focused study followed by a one-hour project-group meeting?,booking|permit_control|sensor_telemetry|timetable|weather_external,5,L3,R2
PGT-004,Taught postgraduate students,"During next week's assessment peak, when should I arrive for the best chance of finding a suitable three-hour study space?",booking|sensor_telemetry|timetable,3,L3,R2
PGT-005,Taught postgraduate students,"When I come to campus, are mornings or evenings usually better for low noise, reliable access, working network services and stable room conditions?",it_network|sensor_telemetry|timetable,3,L2,R2
PGT-006,Taught postgraduate students,"Across the remaining teaching weeks, which recurring two-hour period is most dependable for my weekly module reading?",booking|sensor_telemetry|timetable,3,L3,R2
PGT-007,Taught postgraduate students,I have only 45 minutes between sessions. Which nearby space would give me useful study time without putting the next class at risk?,booking,1,L2,R1
PGT-008,Taught postgraduate students,"My train is delayed. Given my new arrival time, where could I work briefly before class without being late?",booking|sensor_telemetry,2,L3,R2
PGT-009,Taught postgraduate students,I need a quiet lunch break and then 30 minutes to review slides before an evening seminar. Which sequence of spaces would work best?,booking|permit_control|sensor_telemetry,3,L3,R2
PGT-010,Taught postgraduate students,"During this teaching block, when is Abacws usually busiest, and which scheduled activities seem to explain the peaks?",booking|sensor_telemetry|timetable,3,L4,R2
PGT-011,Taught postgraduate students,Our seminar lasts three hours and about 30 people are expected. Are the room's temperature and CO2 likely to remain reasonably stable throughout?,bms_plant|booking|sensor_telemetry|weather_external,4,L3,R3
PGT-012,Taught postgraduate students,"If the seminar is full, is there a broad part of the room that usually has lower background noise and a slower rise in CO2?",accessibility|bms_plant|sensor_telemetry,3,L2,R3
PGT-013,Taught postgraduate students,"I present in 40 minutes. Is the booked room ready to use, and are the display, network and room power reporting normally? What backup should I use if something is unavailable?",access_control|accessibility|asset_register|booking|it_network|permit_control|sensor_telemetry,7,L2,R2
PGT-014,Taught postgraduate students,"Were last week's workshop conditions unusually warm, poorly ventilated or noisy compared with other sessions of the same module?",sensor_telemetry|timetable|weather_external,3,L2,R2
PGT-015,Taught postgraduate students,"The workshop became much warmer after the break, when everyone returned and opened laptops. What evidence best explains the change?",asset_register|bms_plant|meter_energy|policy_governance|sensor_telemetry|user_reports,6,L4,R3
PGT-016,Taught postgraduate students,"Our seminar has to move. Which available room and time best fit the group size, step-free access, presentation equipment and likely room conditions?",accessibility|booking|permit_control|sensor_telemetry|timetable,5,L3,R2
PGT-017,Taught postgraduate students,"During our three-hour class, when are CO2 or temperature most likely to worsen enough for the lecturer to consider a short break?",booking|policy_governance|sensor_telemetry|timetable,4,L3,R3
PGT-018,Taught postgraduate students,"I have an assessed in-class test. Are there any current room or service issues I should know about, and where can I check approved adjustment details?",it_network|sensor_telemetry,2,L2,R2
PGT-019,Taught postgraduate students,"Do queues near the room regularly delay this seminar, and how early should I arrive on similar days?",timetable,1,L4,R2
PGT-020,Taught postgraduate students,"Is today's room ready for a hybrid seminar, based on the room booking, AV and network status, access and background-noise evidence?",access_control|accessibility|asset_register|booking|it_network|sensor_telemetry,6,L2,R2
PGT-021,Taught postgraduate students,"When and where can I complete a four-hour dissertation-writing session with low noise, stable room conditions, power and working network service?",booking|it_network|sensor_telemetry|timetable|weather_external,5,L3,R2
PGT-022,Taught postgraduate students,Where can I work this afternoon with useful daylight but a low risk of distracting screen glare?,booking|sensor_telemetry,2,L3,R3
PGT-023,Taught postgraduate students,"I need five hours for coding and data analysis. Which student space is most likely to offer stable power, working network service, low crowding and manageable heat?",access_control|booking|it_network|sensor_telemetry,4,L3,R2
PGT-024,Taught postgraduate students,"My dissertation deadline is next week. On the busiest days, how early should I arrive for a reasonable chance of finding a suitable study space?",booking|sensor_telemetry|timetable,3,L3,R2
PGT-025,Taught postgraduate students,"How do crowding, background noise and measured room conditions during this deadline week differ from ordinary teaching weeks?",booking|sensor_telemetry|timetable,3,L2,R2
PGT-026,Taught postgraduate students,"I am struggling to concentrate in this room. Are any measured conditions unusual, and is there a nearby student space that may suit focused work better?",booking|permit_control|sensor_telemetry,3,L4,R3
PGT-027,Taught postgraduate students,"Where nearby can I take a short, relatively quiet break before returning to dissertation work?",booking|permit_control|sensor_telemetry,3,L2,R2
PGT-028,Taught postgraduate students,"Which student spaces are open for dissertation work this weekend, and are any lifts, entrances or essential services unavailable?",booking,1,L1,R2
PGT-029,Taught postgraduate students,"If I leave for lunch for 45 minutes, what is the chance of finding a comparable study space when I return, and what backup should I use?",booking|permit_control|timetable,3,L3,R2
PGT-030,Taught postgraduate students,"Why did you recommend this dissertation workspace? Please separate what you observed, looked up, calculated, estimated and forecast.",booking|it_network|sensor_telemetry,3,L4,R1
PGT-031,Taught postgraduate students,"After 3 p.m., which computer lab am I allowed to use, and where am I most likely to find a workstation with the software I need?",access_control|booking|it_network|sensor_telemetry,4,L3,R2
PGT-032,Taught postgraduate students,Where can I do a three-hour data-processing session with reliable power and network service?,access_control|asset_register|booking|it_network|permit_control|sensor_telemetry,6,L3,R3
PGT-033,Taught postgraduate students,"I need to test a small hardware or sensing prototype for a module. Which specialist space is appropriate for the activity and its supervision, extraction, particulate-control and power needs?",asset_register|booking|policy_governance|sensor_telemetry|training_competency,5,L4,R3
PGT-034,Taught postgraduate students,Which computer or project room is least likely to become too warm during a high-compute practical?,asset_register|booking|meter_energy|sensor_telemetry,4,L3,R3
PGT-035,Taught postgraduate students,Why was the computer lab hotter than usual during yesterday's practical?,bms_plant|sensor_telemetry|weather_external,3,L4,R3
PGT-036,Taught postgraduate students,"Can I use this specialist room today, and what booking, induction, supervision or risk-assessment conditions apply?",access_control|booking|sensor_telemetry|space_inventory|training_competency,5,L1,R2
PGT-037,Taught postgraduate students,"I need to monitor a long remote GPU or cloud job. Where can I work with reliable room power and network service, low background noise and enough access time before closing?",access_control|asset_register|booking|it_network|permit_control|sensor_telemetry,6,L3,R2
PGT-038,Taught postgraduate students,"Where should we test our project demonstration if we need a display, power, network service, low background noise and space for equipment?",access_control|booking|it_network|permit_control|sensor_telemetry,5,L2,R2
PGT-039,Taught postgraduate students,"Power or network service failed during my lab session. Does the evidence point to a room-level fault, a wider building incident or an external service problem?",access_control|asset_register|cmms_work|it_network|sensor_telemetry|space_inventory,6,L4,R3
PGT-040,Taught postgraduate students,"When is the specialist lab usually least busy, and which available slot this week is realistic for my work?",access_control|booking|permit_control|sensor_telemetry|timetable|training_competency,6,L3,R2
PGT-041,Taught postgraduate students,"Six of us need two hours for a group project. Where can we talk, use a display and power, and avoid excessive crowding or poor ventilation?",access_control|accessibility|booking|permit_control|sensor_telemetry,5,L3,R2
PGT-042,Taught postgraduate students,"We need a room for eight people and one remote participant. Which available option best meets step-free access, hybrid-equipment and room-condition needs?",accessibility|booking|it_network|sensor_telemetry,4,L3,R2
PGT-043,Taught postgraduate students,"Where can we rehearse our presentation for 90 minutes with a working display, controllable lighting, low background noise and reliable network service?",access_control|accessibility|booking|it_network|permit_control|sensor_telemetry,6,L3,R2
PGT-044,Taught postgraduate students,"During group-project deadline week, which time windows are most likely to offer a suitable meeting space for our team?",booking|permit_control|timetable,3,L3,R2
PGT-045,Taught postgraduate students,"Which of these two rooms is the better choice for an assessed presentation when capacity, accessibility, acoustics, lighting, network service and room conditions are considered together?",access_control|accessibility|asset_register|booking|it_network|sensor_telemetry,6,L4,R2
PGT-046,Taught postgraduate students,Our group has two meetings and a seminar on the same day. Can you plan an accessible sequence of rooms with enough transfer time and less exposure to peak corridor congestion?,accessibility|booking,2,L4,R2
PGT-047,Taught postgraduate students,"Our group room is getting warm and stuffy. Should we ask for a break, move to another suitable space, or report a facilities problem?",booking|sensor_telemetry,2,L3,R3
PGT-048,Taught postgraduate students,"While our group was meeting, were sound levels in the nearby designated quiet-study areas unusually high compared with their normal pattern?",booking|permit_control|sensor_telemetry,3,L2,R3
PGT-049,Taught postgraduate students,We need a room for a 12-person project workshop. Which available option has enough capacity and the lowest predicted risk of ventilation or noise problems?,accessibility|booking|it_network|sensor_telemetry,4,L3,R3
PGT-050,Taught postgraduate students,"We used a different room for our meeting last week. Did background noise, crowding or ventilation indicators improve under comparable conditions?",booking|permit_control|sensor_telemetry,3,L4,R2
PGT-051,Taught postgraduate students,"Before I set off on a long commute, can you check whether my session, room access, lift and essential services are still available, and suggest somewhere to study beforehand?",it_network|sensor_telemetry,2,L2,R2
PGT-052,Taught postgraduate students,"My train is delayed. What is the fastest open route to the seminar, and where can I check the official late-arrival procedure?",accessibility|policy_governance|sensor_telemetry,3,L2,R2
PGT-053,Taught postgraduate students,"Which evening or weekend study times are most dependable for access, network service, low crowding and stable measured conditions?",booking|cmms_work|it_network|sensor_telemetry,4,L3,R2
PGT-054,Taught postgraduate students,"I am on campus for only one day this week. Can you plan a practical sequence for study, an online call, printing and a group meeting around my classes?",booking|it_network|sensor_telemetry|timetable,4,L4,R2
PGT-055,Taught postgraduate students,"From the arrival point I provide, which open entrance and step-free route should I use to reach my room?",accessibility|sensor_telemetry,2,L2,R2
PGT-056,Taught postgraduate students,I am new to Abacws. Can you explain how the floors and room numbers work and guide me to my seminar using clear landmarks?,accessibility|sensor_telemetry,2,L1,R1
PGT-057,Taught postgraduate students,I would rather walk a little farther than use a very crowded corridor. Which open route should I take now?,accessibility,1,L3,R2
PGT-058,Taught postgraduate students,"Where can I join a 30-minute online call before my evening class, while still being able to reach the class and leave the building afterwards?",accessibility|booking|it_network|sensor_telemetry,4,L2,R2
PGT-059,Taught postgraduate students,"Is it worth travelling to Abacws for an optional study day tomorrow? What study spaces, services and likely conditions are available, so I can compare them with working remotely?",booking|it_network|sensor_telemetry|timetable|weather_external,5,L4,R3
PGT-060,Taught postgraduate students,"Can I opt in to an alert if a room change, lift problem, entrance closure, network incident or other confirmed service issue affects my planned visit?",access_control|it_network|timetable,3,L2,R2
PGT-061,Taught postgraduate students,What is the best step-free route to my seminar if I also prefer lower crowding and lower background noise?,accessibility,1,L3,R2
PGT-062,Taught postgraduate students,"Is the lift I need working now, and what step-free alternative should I use if it is not?",access_control|policy_governance|sensor_telemetry,3,L1,R2
PGT-063,Taught postgraduate students,"Which accessible student space is likely to be quieter and less crowded, with steady lighting and reasonable temperature and ventilation indicators?",accessibility|booking|permit_control|sensor_telemetry,4,L3,R2
PGT-064,Taught postgraduate students,I have two intensive sessions back to back. Where can I take a ten-minute quiet break without making the next room difficult to reach?,accessibility|permit_control|sensor_telemetry,3,L2,R2
PGT-065,Taught postgraduate students,"This room feels warm and stuffy. Are the room-level measurements unusual, and what nearby student space could I use for the rest of my study session?",booking|sensor_telemetry,2,L3,R2
PGT-066,Taught postgraduate students,"Is this study area likely to develop distracting glare later this afternoon, and which alternative has a lower predicted risk?",booking|sensor_telemetry|weather_external,3,L3,R3
PGT-067,Taught postgraduate students,Which open route is likely to avoid the busiest stairs during the next class change?,accessibility|timetable,2,L3,R2
PGT-068,Taught postgraduate students,I have a temporary mobility limitation. Which suitable room and step-free route would make our group meeting least likely to be disrupted?,accessibility|sensor_telemetry,2,L3,R2
PGT-069,Taught postgraduate students,Why can you not currently tell me whether this room is comfortable or has good air quality?,sensor_telemetry,1,L4,R1
PGT-070,Taught postgraduate students,"There is an alarm or possible emergency. What official instruction should I follow, and where can I find authoritative route information?",fire_life_safety|sensor_telemetry,2,L1,R3
PGT-071,Taught postgraduate students,"For our four-person project meeting, which room is the right size and likely to avoid unnecessary energy use without giving us poorer measured conditions?",accessibility|booking|meter_energy|permit_control|sensor_telemetry,5,L3,R3
PGT-072,Taught postgraduate students,"During deadline week, which empty areas appear to be lit, heated, cooled or ventilated when they may not need to be?",asset_register|bms_plant|booking|cleaning_waste|meter_energy|sensor_telemetry|timetable,7,L4,R3
PGT-073,Taught postgraduate students,"After the ventilation controls were changed, did energy use fall without worsening CO2 or temperature during similar classes?",bms_plant|meter_energy|sensor_telemetry|timetable|weather_external,5,L4,R3
PGT-074,Taught postgraduate students,Roughly how much building energy can reasonably be associated with our late-evening study session compared with a similar daytime session?,finance_cost|meter_energy|sensor_telemetry|sustainability|weather_external,5,L4,R3
PGT-075,Taught postgraduate students,"I have found a leak, overflowing waste point or damaged fitting. What is the official reporting route, and can I see a privacy-safe acknowledgement status?",cleaning_waste|sensor_telemetry,2,L1,R2
PGT-076,Taught postgraduate students,"The room display and the talking-building answer show different temperature or CO2 values. Which one should I rely on, and how will the conflict be resolved?",policy_governance|sensor_telemetry,2,L4,R2
PGT-077,Taught postgraduate students,"How confident is this room recommendation, which evidence is weakest, and when should I recheck it?",,0,L4,R1
PGT-078,Taught postgraduate students,A recurring temperature or ventilation problem was marked as fixed. Do comparable occupied periods show that conditions have returned to their normal range?,bms_plant|meter_energy|sensor_telemetry|timetable|user_reports|weather_external,6,L4,R2
PGT-079,Taught postgraduate students,"What sensors, building systems and official data sources support this answer, where are they located, and how recent and reliable are they?",access_control|bms_plant|cmms_work|policy_governance|sensor_telemetry,5,L2,R1
PGT-080,Taught postgraduate students,"Can you tell me whether this room is safe or compliant to use, or do I need to specify the particular hazard or requirement?",cmms_work|sensor_telemetry,2,L4,R3
PHD-001,PhD students,"Over the next four weeks, I need several four-hour thesis-writing blocks. When and where am I most likely to find a quiet, comfortable workspace that I am permitted to use?",booking|permit_control|sensor_telemetry|space_inventory|timetable,5,L3,R2
PHD-002,PhD students,My supervision meeting has just finished. Where can I work quietly for the next three hours without travelling far from this floor?,booking|it_network|sensor_telemetry|space_inventory,4,L2,R2
PHD-003,PhD students,"Over this term, which monitored PhD workspaces have been the most consistently quiet, comfortable and well ventilated after accounting for occupancy and weather?",bms_plant|sensor_telemetry|timetable,3,L4,R3
PHD-004,PhD students,My chapter deadline is next Friday. What arrival time gives me the best chance of finding a suitable long-stay workspace?,booking|sensor_telemetry|timetable,3,L3,R2
PHD-005,PhD students,"I have six hours on campus for thesis writing, data analysis and two short breaks. Can you plan a realistic sequence of spaces with independent backups?",accessibility|booking|it_network|permit_control|sensor_telemetry|space_inventory,6,L4,R2
PHD-006,PhD students,"Can one permitted workspace support both close reading and computational work today, or should I plan to use two different spaces?",it_network|permit_control|sensor_telemetry|space_inventory,4,L3,R2
PHD-007,PhD students,"This room feels warmer and noisier than usual. Is today an isolated episode, or part of a recurring pattern worth reporting?",sensor_telemetry|weather_external,2,L4,R3
PHD-008,PhD students,"Each week, when am I most likely to get two quiet hours for difficult reading before my regular seminar?",booking|sensor_telemetry|timetable,3,L3,R2
PHD-009,PhD students,"I can travel to campus on only two days next week. Which two days would make best use of the journey for writing, supervision and authorised specialist computing?",booking|cmms_work|it_network|weather_external,4,L4,R2
PHD-010,PhD students,"Has the environment in my usual workspace changed since term began, and can you separate genuine change from altered sensing, room use or schedules?",bms_plant|sensor_telemetry|timetable,3,L4,R3
PHD-011,PhD students,"I need a confidential supervision meeting tomorrow. Which available room is officially suitable, quiet and step-free if I need it?",access_control|accessibility|booking|sensor_telemetry,4,L2,R2
PHD-012,PhD students,My supervisor will join remotely. Which bookable room is most likely to support a reliable call without disturbing other students?,booking|it_network|permit_control|sensor_telemetry,4,L3,R2
PHD-013,PhD students,"Which room should I request for my annual progress review if I need four seats, a working display, low background noise and step-free access?",booking|it_network|sensor_telemetry,3,L3,R2
PHD-014,PhD students,"On my progress-review day, I need an hour to rehearse, a quiet place to wait and the review itself. Can you plan the sequence with realistic transition time?",accessibility|booking|it_network|permit_control|sensor_telemetry|space_inventory,6,L4,R2
PHD-015,PhD students,"My milestone presentation begins in 30 minutes. What do official room and service feeds and current room sensors confirm, and what must I still test myself?",access_control|asset_register|booking|it_network|sensor_telemetry,5,L2,R2
