qid,group,proposed_bucket,why_unanswered,proposed_action,question,routed_intent,answer_status,category,stakeholder_role,complexity_l,source,elapsed_s,answer,fixed,notes
Q072,DECLINE,DATA-COST,financial data is not modelled in this building at all,out of scope until a cost/contract source is onboarded -- or decline honestly,Is our energy contract still the right one given our load shape?,capability,observed,Cost & finance,,,v5_synthetic_bank,6.3,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.**Boundary: not declared.** I can't say what this figure covers — the meter behind it has no `ontosage:meterServes` in the ontology. Declaring the meter's boundary and allocation method would let every energy answer state it.",,
Q076,DECLINE,ROUTING-SELF,asks what the system itself knows or how fresh it is,self-description / coverage lane -- answerable from the graph and the registry,What don't you have data on in this building?,capability,observed,System self-knowledge & explainability,,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q077,DECLINE,ROUTING-SELF,asks what the system itself knows or how fresh it is,self-description / coverage lane -- answerable from the graph and the registry,When was this data last updated?,capability,observed,System self-knowledge & explainability,,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q091,DECLINE,ROUTING-FORECAST,a forecast lane exists; the question is forward-looking,route to trend/forecast; confirm the modality is forecastable,It's meant to be hot next week - will we cope?,capability,observed,Weather coupling,,,v5_synthetic_bank,10.2,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q093,DECLINE,MEMORY,refers to an earlier turn or a previous session,conversation memory / co-reference: resolve the referent before classifying,"Same as last time, but for the second floor.",capability,observed,"Personalisation, memory & follow-up",,,v5_synthetic_bank,11.0,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q095,DECLINE,CONTROL-SUBSCRIPTION,"asks the system to ACT or keep sending, not to answer",control lane: decline honestly and name what it can do instead,Send me this report every Monday morning.,capability,observed,"Personalisation, memory & follow-up",,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q096,DECLINE,CLARIFY,"too vague to route -- no referent, no modality",clarification lane: ask what they mean rather than declining,Is everything okay?,capability,observed,"Ambiguous, underspecified & out-of-scope",,,v5_synthetic_bank,7.8,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q102,DECLINE,ANALYTICS-COMPARATIVE,LIKELY ANSWERABLE from sensor history -- a comparison over time or space,"confirm the modality exists, then route to analytics/compare instead of capability",Which side of the building is warmer in the morning?,capability,observed,Comfort & place-finding,Occupant,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q121,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,Where's the nearest water refill station to Room 3.18?,spatial_query,observed,Wayfinding & entity resolution,Occupant,,v5_synthetic_bank,9.1,I encountered an error analysing the spatial data. Please try again.,,
Q125,DECLINE,ANALYTICS-COMPARATIVE,LIKELY ANSWERABLE from sensor history -- a comparison over time or space,"confirm the modality exists, then route to analytics/compare instead of capability",Is it just me or has the building been colder since Monday?,capability,observed,Retrospective analysis & reporting,Occupant,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q128,DECLINE,AUTHORING,a knowledge topic or amenity would answer this,author ontosage:KnowledgeTopic / Amenity triples via the admin GUI,"Do the plants in the atrium actually improve the air, or is that a myth here?",capability,observed,Cross-domain / open-ended reasoning,Occupant,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q133,DECLINE,ROOM-EQUIPMENT,asks what equipment a room contains -- not modelled per room,"author room equipment (whiteboard, AV, HDMI, projector) as Brick equipment triples",Is there a room with a whiteboard AND video conferencing free at 10?,capability,observed,Events & scheduling,Occupant,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q141,DECLINE,AMENITY-INVENTORY,asks whether a facility exists -- an Amenity the building has not declared,"author ontosage:Amenity triples (first-aid, eyewash, microwave, ATM, charging, cloakroom)","Where's the wellness or first-aid room, and do I need a key?",capability,observed,Wayfinding & entity resolution,Occupant,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q142,DECLINE,ROOM-EQUIPMENT,asks what equipment a room contains -- not modelled per room,"author room equipment (whiteboard, AV, HDMI, projector) as Brick equipment triples",Which floors have height-adjustable desks?,capability,observed,Wayfinding & entity resolution,Occupant,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q144,DECLINE,AUTHORING,a knowledge topic or amenity would answer this,author ontosage:KnowledgeTopic / Amenity triples via the admin GUI,My package was delivered this morning - where do I collect it?,capability,observed,Wayfinding & entity resolution,Occupant,,v5_synthetic_bank,7.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q145,DECLINE,ANALYTICS-COMPARATIVE,LIKELY ANSWERABLE from sensor history -- a comparison over time or space,"confirm the modality exists, then route to analytics/compare instead of capability",What time does the building actually get warm on winter mornings?,capability,observed,Retrospective analysis & reporting,Occupant,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q161,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,I've just arrived at reception - how do I get to the seminar room on level 3?,spatial_query,observed,Wayfinding & entity resolution,Visitor,,v5_synthetic_bank,7.5,I encountered an error analysing the spatial data. Please try again.,,
Q163,DECLINE,DATA-SCHEDULE,"timetable, booking or event data is not sourced for this",onboard the institutional layer (timetable/bookings) -- V6-T57,Where can I wait comfortably? My meeting isn't for another 40 minutes.,capability,observed,Comfort & place-finding,Visitor,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q164,DECLINE,ACCESS-RULES,"asks about permission, access rights or what is allowed",author the rule as a KnowledgeTopic; check it is not a privacy/RBAC question first,"Do I need an escort to get to the fourth floor, or can I go up myself?",capability,observed,"Documents, compliance & institutional knowledge",Visitor,,v5_synthetic_bank,44.0,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q168,DECLINE,ROOM-EQUIPMENT,asks what equipment a room contains -- not modelled per room,"author room equipment (whiteboard, AV, HDMI, projector) as Brick equipment triples","I'm giving a talk at 2pm - which room is it, and does it have HDMI?",capability,observed,Events & scheduling,Visitor,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q175,DECLINE,ACCESS-RULES,"asks about permission, access rights or what is allowed",author the rule as a KnowledgeTopic; check it is not a privacy/RBAC question first,Are dogs allowed in the building? I have my assistance dog with me.,capability,observed,"Documents, compliance & institutional knowledge",Visitor,,v5_synthetic_bank,6.0,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q179,DECLINE,AMENITY-INVENTORY,asks whether a facility exists -- an Amenity the building has not declared,"author ontosage:Amenity triples (first-aid, eyewash, microwave, ATM, charging, cloakroom)","Is there a cash machine, or do the cafes take cards only?",capability,observed,"Documents, compliance & institutional knowledge",Visitor,,v5_synthetic_bank,7.3,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q182,DECLINE,ACCESS-RULES,"asks about permission, access rights or what is allowed",author the rule as a KnowledgeTopic; check it is not a privacy/RBAC question first,Can I take photos in the atrium for my blog?,capability,observed,"Documents, compliance & institutional knowledge",Visitor,,v5_synthetic_bank,7.2,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q183,DECLINE,AMENITY-INVENTORY,asks whether a facility exists -- an Amenity the building has not declared,"author ontosage:Amenity triples (first-aid, eyewash, microwave, ATM, charging, cloakroom)",Is there somewhere I can charge my phone while I wait?,capability,observed,Wayfinding & entity resolution,Visitor,,v5_synthetic_bank,5.8,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q184,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,The lift says out of service - how do I get to level 5 with my luggage?,spatial_query,observed,Accessibility,Visitor,,v5_synthetic_bank,10.7,I encountered an error analysing the spatial data. Please try again.,,
Q190,DECLINE,AMENITY-INVENTORY,asks whether a facility exists -- an Amenity the building has not declared,"author ontosage:Amenity triples (first-aid, eyewash, microwave, ATM, charging, cloakroom)","Are there microwaves students can use, and where?",capability,observed,Wayfinding & entity resolution,Student,,v5_synthetic_bank,6.2,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q220,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,What's the height limit on the service entrance?,capability,observed,"Documents, compliance & institutional knowledge",Delivery driver,,v5_synthetic_bank,5.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q221,DECLINE,AUTHORING,a knowledge topic or amenity would answer this,author ontosage:KnowledgeTopic / Amenity triples via the admin GUI,Who signs for deliveries after 6pm?,capability,observed,"Documents, compliance & institutional knowledge",Delivery driver,,v5_synthetic_bank,9.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q225,DECLINE,ACCESS-RULES,"asks about permission, access rights or what is allowed",author the rule as a KnowledgeTopic; check it is not a privacy/RBAC question first,Is there a permit-to-work requirement for hot works in the plant room?,capability,observed,"Documents, compliance & institutional knowledge",Contractor,,v5_synthetic_bank,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
