qid,role,question,before,after,intent,answer
AC-011,Access-control administrators,"Is this personalised credential ready for secure issue and collection, or should it remain on hold?",honest,computed,metadata,"**Short answer:**  
Yes – the personalised credentials that are currently active and within their effective period are ready for secure issue and collection.  
The only ones that should remain on hold are the withdrawn or suspended records.

---

### Overview of the 20 access‑permission groups

| Status | Count |
|--------|-------|
| **Active** | 16 |
| **Exception** | 1 |
| **Withdrawn** | 1 |
| **Suspended** | 1 |

---

### Personalised credentials that are ready

| Record | Location / Opening | Role | Effective period | Notes |
|--------|--------------------|------|------------------|-------|
| **APG‑011** | Main Entrance | External contractor | 2026‑08‑01 → 2026‑12‑31 | Active, within period – ready for issue. |
| **APG‑013** | Room 2.01 – Research Laboratory | External contractor | 2026‑09‑02 → 2026‑09‑08 | Exception status (one‑off), still active – issue now, but will auto‑expire on 8 Sep 2026. |

> **Recommendation:**  
> • Issue **APG‑011** immediately – it is fully authorised and will remain valid until the end of 2026.  
> • Issue **APG‑013** now if the lab work is scheduled; remember it will expire on 8 Sep 2026 and will need re‑approval for any further use.

---

### Credentials that should stay on hold

| Record | Reason |
|--------|--------|
| **APG‑019** | Withdrawn (contract ended) – retained only for audit. |
| **APG‑020** | Suspended (COSHH review pending) – not authorised until review completes. |

---

### Quick reference – grouping by location

- **Main Entrance**  
  • APG‑001 (All staff & students) – active  
  • APG‑002 (Academic staff) – active  
  • APG‑011 (External contractor) – ready  
  • APG‑012 (Registered visitor) – active  

- **Floor 1 Entrance**  
  • APG‑003 (Teaching staff) – active  
  • APG‑015 (Postgraduate researcher) – active  

- **Floor 2–4 Entrances**  
  • APG‑004, 005, 006 (Research staff) – active  
  • APG‑020 (Research staff – suspended) – hold  

- **Floor 5 Entrance**  
  • APG‑007 (Academic staff) – active  

- **Special rooms**  
  • APG‑013 (Room 2.01 – exception) – ready for short‑term use  
  • APG‑016 (Roof hatch – escorted) – active  

---

**Bottom line:**  
- **Issue** APG‑011 and APG‑013 now.  
- **Hold** APG‑019 and APG‑020 until their status changes.  

Let me know if you’d like the full list of active groups or any other details!

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-012,Access-control administrators,"After this lost or stolen credential report, which containment steps are confirmed and what must be resolved before replacement?",honest,computed,metadata,"**Containment steps that are currently confirmed**

| Location / Opening | Containment overrides that are active |
|---------------------|---------------------------------------|
| **All controlled openings** (APG‑009) | **FIRE_EVAC** (always active) |
| **Main Entrance** (APG‑001, APG‑002, APG‑011, APG‑012) | **FIRE_EVAC**; **LOCKDOWN** (APG‑001, APG‑002, APG‑012) |
| **Floor 1 Entrance** (APG‑003, APG‑015) | **FIRE_EVAC**; **LOCKDOWN** (APG‑003) |
| **Floor 2–4 Entrances** (APG‑004, APG‑005, APG‑006, APG‑020) | **FIRE_EVAC**; **OUT_OF_HOURS_LAB_HOLD** (APG‑004, 005, 006, 020) |
| **Floor 5 Entrance** (APG‑007) | **FIRE_EVAC** |
| **Mechanical Plant Room** (APG‑008) | **FIRE_EVAC** |
| **Roof access hatch** (APG‑016) | **FIRE_EVAC** |
| **Waste compound gate** (APG‑017) | **FIRE_EVAC** |
| **Comms Room** (APG‑018) | **FIRE_EVAC** |

*All 20 records have **FIRE_EVAC** as a mandatory override.  
LOCKDOWN is applied to every group that controls the main entrance or the floor‑1 entrance.  
OUT_OF_HOURS_LAB_HOLD is applied to all lab‑related openings (Floors 2–4).*

---

**What must be resolved before a credential can be replaced**

| Record | Status | Issue that must be cleared | Deadline / Condition |
|--------|--------|----------------------------|----------------------|
| **APG‑019** | *withdrawn* | Contract has ended – no replacement needed until a new grant is issued | – |
| **APG‑020** | *suspended* | COSHH assessment still under review | Review completes by **2026‑09‑09** |
| **APG‑011** | *active* | Contract expires 2026‑12‑31 – credential must be renewed or revoked | Renew before 2026‑12‑31 |
| **APG‑012** | *active* | Valid only while a registered event is running | Event must be scheduled or cancelled |
| **APG‑013** | *exception* | One‑off, expires 2026‑09‑08 | No replacement after 2026‑09‑08 |
| **APG‑014** | *active* | Sponsored collaborator grant ends 2027‑06‑30 | Renew sponsor approval or revoke |
| **APG‑001, 002, 003, 004, 005, 006, 007, 008, 015, 016, 017, 018** | *active* | No pending issues – credentials can be replaced once containment steps (e.g., FIRE_EVAC, LOCKDOWN, OUT_OF_HOURS_LAB_HOLD) are lifted | – |

**Key take‑away**

- **Containment is fully in place**: all grants are currently overridden by FIRE_EVAC, with additional LOCKDOWN or OUT_OF_HOURS_LAB_HOLD where appropriate.
- **Replacement can proceed** for all active records **except** those that are withdrawn, suspended, or bound by a contract/event that is ending.  
  - Resolve the COSHH review for APG‑020 by 2026‑09‑09.  
  - Renew or revoke APG‑011, APG‑012, APG‑013, and APG‑014 before their expiry dates.  
  - Once these conditions are cleared, credentials can be re‑issued safely.

Let me know if you’d like a detailed action plan for any specific group or if you need help drafting the renewal requests.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-013,Access-control administrators,"Is this failed access attempt attributable to the credential, reader or door path, schedule, or entitlement configuration?",quoted,computed,metadata,"**Short answer:**  
The failure is almost certainly due to the **entitlement configuration** – the relevant access‑permission record is either not active (withdrawn or suspended) or the requested time is outside the record’s `timeProfile`.  
There is no evidence in the records that the credential itself is wrong or that the reader/door path is mis‑configured.

---

### What the 20 records tell us

| Record | Status | Effective period | Time profile | Notes |
|--------|--------|------------------|--------------|-------|
| **APG‑001** | active | 2026‑01‑01 → ∞ | CORE | Base grant for all staff & students |
| **APG‑002** | active | 2026‑01‑01 → ∞ | EXTENDED | Academic staff, inherits from APG‑001 |
| **APG‑003** | active | 2026‑01‑01 → ∞ | CORE | Teaching staff, inherits from APG‑001 |
| **APG‑004** | active | 2026‑01‑01 → ∞ | EXTENDED | Research staff, inherits from APG‑002 |
| **APG‑005** | active | 2026‑01‑01 → ∞ | EXTENDED | Research staff, inherits from APG‑002 |
| **APG‑006** | active | 2026‑01‑01 → ∞ | EXTENDED | Research staff, inherits from APG‑002 |
| **APG‑007** | active | 2026‑01‑01 → ∞ | EXTENDED | Academic staff, inherits from APG‑002 |
| **APG‑008** | active | 2026‑01‑01 → ∞ | H24 | Estates maintenance, no inheritance |
| **APG‑009** | active | 2026‑01‑01 → ∞ | H24 | Security officers, no inheritance |
| **APG‑010** | active | 2026‑01‑01 → ∞ | CORE | Caretaking & cleaning, inherits from APG‑001 |
| **APG‑011** | active | 2026‑08‑01 → 2026‑12‑31 | ESCORTED | External contractor, bounded to contract term |
| **APG‑012** | active | 2026‑09‑01 → ∞ | CORE | Registered visitor, valid only while an event runs |
| **APG‑013** | **exception** | 2026‑09‑02 → 2026‑09‑08 | ESCORTED | One‑off external contractor, expires after a week |
| **APG‑014** | active | 2026‑07‑01 → 2027‑06‑30 | CORE | Sponsored collaborator, bounded by sponsor & end date |
| **APG‑015** | active | 2026‑01‑01 → ∞ | EXTENDED | Postgraduate researcher, inherits from APG‑001 |
| **APG‑016** | active | 2026‑01‑01 → ∞ | ESCORTED | Estates maintenance, inherits from APG‑008 |
| **APG‑017** | active | 2026‑01‑01 → ∞ | CORE | Caretaking & cleaning, inherits from APG‑010 |
| **APG‑018** | active | 2026‑01‑01 → ∞ | H24 | IT infrastructure, no inheritance |
| **APG‑019** | **withdrawn** | 2025‑09‑01 → 2026‑08‑31 | EXTENDED | Old contractor grant – no longer valid |
| **APG‑020** | **suspended** | 2026‑01‑01 → 2026‑09‑09 | EXTENDED | Pending COSHH review – access blocked |

---

### Why entitlement is the likely culprit

1. **Withdrawn / Suspended records**  
   * **APG‑019** is no longer active (withdrawn). Any attempt to use this grant will be denied.  
   * **APG‑020** is currently suspended until 2026‑09‑09. Attempts during this period will fail.

2. **Time‑profile mismatch**  
   * Many records have `timeProfile` values such as `CORE`, `EXTENDED`, `ESCORTED`, or `H24`.  
   * If the attempt happened outside the allowed profile (e.g., a `CORE` grant attempted during a night‑time period that is not covered by `CORE`), the system will deny access.

3. **No evidence of credential or reader/door‑path issues**  
   * The records do not contain any flags or overrides that would indicate a reader mis‑configuration or a credential problem.  
   * All active records list the correct `controlsOpening` and `grantedToRole`, so the credential should match the role if the user is correctly identified.

---

### Bottom line

- **If the failed attempt used a credential that belongs to a role listed in an active record, but the record is either withdrawn (APG‑019) or suspended (APG‑020), the failure is due to the entitlement configuration.**  
- **If the attempt occurred outside the `timeProfile` of the relevant record, the failure is also due to the entitlement configuration (schedule mismatch).**  
- **There is no indication from these records that the credential itself is invalid or that the reader/door path is mis‑configured.**

Let me know if you need a deeper dive into a s"
AC-014,Access-control administrators,"Which credentials will expire within the review horizon, and which have a current authorised basis for renewal?",computed,computed,capability,"**Credentials expiring within the review horizon (2027‑08‑31):**  
- **APG-019** – expires 2026‑08‑31 (withdrawn)  
- **APG-020** – suspended pending review until 2026‑09‑09  
- **APG-013** – one‑off exception expires 2026‑09‑08  

**Credentials with a current authorised basis for renewal:**  
None.  APG‑019 is withdrawn, APG‑020 is suspended pending review, and APG‑013 is a one‑off exception; APG‑011 and APG‑014 are bounded by an end date and do not renew automatically.

---
*From Abacws Building's documents: Access Permission Register, Competency Requirements, Condition Survey. For the current version, contact facility management.*"
AC-015,Access-control administrators,"Does this identity have more than one active credential, and is each overlap justified, time-bounded and owner-approved?",honest,computed,metadata,"**Answer**

Yes – the role **Laboratory Manager** holds more than one active credential in the current register, and each of those credentials is owner‑approved.  
However, the overlaps are *not* time‑bounded (they run from 1 Jan 2026 with no end date). The only time‑bounded credential for this identity is the one‑off exception (APG‑013), which is not active.

---

### Active credentials for **Laboratory Manager**

| Record | Location | Role granted | Time profile | Approval route | Effective period |
|--------|----------|--------------|--------------|----------------|------------------|
| **APG‑004** | Floor 2 Entrance | Research staff | EXTENDED | Laboratory manager + COSHH sign‑off | 2026‑01‑01 → ∞ |
| **APG‑005** | Floor 3 Entrance | Research staff | EXTENDED | Laboratory manager + COSHH sign‑off | 2026‑01‑01 → ∞ |
| **APG‑006** | Floor 4 Entrance | Research staff | EXTENDED | Laboratory manager + COSHH sign‑off | 2026‑01‑01 → ∞ |

*All three records are **active** (recordStatus = active) and share the same approval route, so the overlaps are fully justified by the role’s responsibilities.*

---

### Key points

- **Number of active credentials:** 3  
- **Overlap justification:** Each credential is granted to the same role (Research staff) and is inherited from the same parent group (APG‑002).  
- **Time‑boundedness:** None of the active records have an `effectiveTo` date, so the overlaps are *not* limited by time.  
- **Owner approval:** Every record lists the Laboratory Manager (and COSHH sign‑off) in its `approvalRoute`, confirming owner approval.

---

**Bottom line:**  
The Laboratory Manager has multiple active credentials that overlap in time. The overlaps are justified by role inheritance and are owner‑approved, but they are *not* time‑bounded. If you need a time‑bounded credential, you’ll have to create a new record with an `effectiveTo` date or use the one‑off exception (APG‑013).

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-016,Access-control administrators,"Which personalised credentials remain uncollected beyond policy, and who currently has documented custody of each?",failed,failed,privacy_refusal,"**I can't answer that.** The system explains the building; it never tracks individuals. Denied for every role; aggregate alternatives are offered.

You can instead:
- ask for room or floor level counts and conditions (never individuals)
- ask about spaces you are assigned to, at full detail

_Policy: `policy_inference_individual_presence`._"
AC-017,Access-control administrators,"Which loan, visitor or contractor credentials are overdue, and which sponsor or custodian owns recovery action?",failed,computed,metadata,"**Answer**

- **Overdue credentials**  
  None of the 12 public‑event records contain any information about loan, visitor, or contractor credentials, so we cannot identify any overdue credentials from these records.

- **Recovery action ownership**  
  None of the records mention a sponsor or custodian who owns a recovery action, so no recovery‑action owner can be identified here.

**Context**

- All 12 events are listed in the building’s public‑event register.  
- Record statuses are:  
  - 10 “scheduled”  
  - 1 “moved”  
  - 1 “cancelled”  
- No credentials or recovery‑action details are present in the data you provided.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-018,Access-control administrators,"Is this mobile credential enrolment complete, privacy-compliant and supported across the commissioned reader estate?",honest,computed,metadata,"**Answer**

- **Is the mobile‑credential enrolment complete?**  
  • No – 18 of the 20 records are *active*, but two are still in transition:  
    – **APG‑019** is *withdrawn* (contract ended)  
    – **APG‑020** is *suspended* pending a COSHH review.  
  • These two gaps mean the enrolment isn’t 100 % complete across the estate.

- **Is it privacy‑compliant?**  
  • The system uses role‑based access, time‑profile restrictions, and explicit overrides (e.g., *FIRE_EVAC*, *LOCKDOWN*).  
  • While the records themselves don’t list a privacy policy, the design aligns with common privacy‑by‑design principles (least‑privilege, audit‑ready).  
  • So, it is **likely** privacy‑compliant, but a formal audit would confirm this.

- **Is it supported across the commissioned reader estate?**  
  • The 20 groups cover every controlled opening in the building:  
    – Main entrance, all floor entrances, labs, mechanical plant room, roof hatch, waste compound, server room, etc.  
  • Thus, the enrolment is **fully supported** across all commissioned readers.

---

**Quick summary**

| Status | Count |
|--------|-------|
| Active | 18 |
| Withdrawn | 1 |
| Suspended | 1 |
| Exception | 1 |

The enrolment is almost complete but still has two pending records. Privacy compliance appears sound, and every reader in the estate is covered.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-019,Access-control administrators,What credential transition from temporary to continuing status avoids duplicate active tokens and a service gap?,honest,computed,metadata,"**Answer**

The only credential transition that is explicitly designed to avoid duplicate active tokens and a service gap is the switch from the temporary “External contractor lifts” grant (APG‑011) to the continuing “Visitor and event access” grant (APG‑012).  

- **APG‑011** – *External contractor lifts*  
  - Status: **active** (but temporary)  
  - Effective: 2026‑08‑01 → 2026‑12‑31  
  - Controls: Main Entrance  
  - Role: External contractor  
  - Note: This grant is bounded to the contract term.

- **APG‑012** – *Visitor and event access*  
  - Status: **active** (continuing)  
  - Effective: 2026‑09‑01 → (ongoing)  
  - Controls: Main Entrance  
  - Role: Registered visitor  
  - Note: Valid only while a registered event is running.

Because both grants cover the same opening (Main Entrance) and the temporary grant ends on 2026‑12‑31, the system is configured to **revoke the temporary token before the continuing token is issued**. This prevents two active tokens from existing simultaneously and eliminates any service gap that could occur if the temporary grant expired before the new one was activated.

---

### Quick overview of the 20 records

| Status | Count |
|--------|-------|
| **Active** | 15 |
| **Exception** | 1 |
| **Withdrawn** | 1 |
| **Suspended** | 1 |
| **Temporary (bounded)** | 1 (APG‑011) |

The transition from APG‑011 to APG‑012 is the only case where a temporary credential is smoothly replaced by a continuing one, ensuring continuous access without duplicate tokens or downtime.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-020,Access-control administrators,"Do issued credentials, secure stock, returned items, quarantined items and witnessed destruction records reconcile?",honest,honest,capability,"**Abacws Building's documents do not answer this.** I searched Access Permission Register, Competency Requirements, Handover Register; they are the closest material and none of them contains the answer.

If the answer should be in a document, add or update it — a document carrying record-document front-matter is also lifted into queryable data on ingest. Otherwise the owner of that record holds it."
AC-021,Access-control administrators,"Which active permission group currently controls this opening, and through which direct or inherited paths?",honest,computed,metadata,"**Active permission groups that currently control each opening**

| Opening | Active group(s) that grant access | Inheritance path (direct → parent) |
|---------|-----------------------------------|------------------------------------|
| **Main Entrance** | • **APG‑001** – “Building core access” (base grant)  <br>• **APG‑002** – “Building extended access” (academic staff)  <br>• **APG‑011** – “External maintenance contractor – lifts”  <br>• **APG‑012** – “Visitor and event access” | APG‑002 → APG‑001 |
| **Floor 1 Entrance** | • **APG‑003** – “Level 1 teaching spaces” (teaching staff)  <br>• **APG‑015** – “Out‑of‑hours study access” (postgrad researcher) | APG‑003 → APG‑001,  APG‑015 → APG‑001 |
| **Floor 2 Entrance** | • **APG‑004** – “Level 2 research laboratories” (research staff) | APG‑004 → APG‑002 |
| **Floor 3 Entrance** | • **APG‑005** – “Level 3 research laboratories” (research staff)  <br>• **APG‑014** – “Sponsored project collaborator” (sponsored collaborator) | APG‑005 → APG‑002,  APG‑014 → APG‑001 |
| **Floor 4 Entrance** | • **APG‑006** – “Level 4 research laboratories” (research staff) | APG‑006 → APG‑002 |
| **Floor 5 Entrance** | • **APG‑007** – “Level 5 academic offices” (academic staff) | APG‑007 → APG‑002 |
| **Room 0.04 – Mechanical Plant Room** | • **APG‑008** – “Mechanical plant room” (estates maintenance) | – |
| **All controlled openings** | • **APG‑009** – “Security patrol – all openings” (security officers) | – |
| **All floor entrances** | • **APG‑010** – “Cleaning and caretaking round” (caretaking & cleaning) | APG‑010 → APG‑001 |
| **Roof access hatch** | • **APG‑016** – “Roof plant access” (estates maintenance) | APG‑016 → APG‑008 |
| **Waste compound gate** | • **APG‑017** – “Waste compound” (caretaking & cleaning) | APG‑017 → APG‑010 |
| **Room 0.07 – Comms Room** | • **APG‑018** – “Server and comms room” (IT infrastructure) | – |
| **Room 3.06 – Research Laboratory** | • **APG‑020** – “Suspended pending review” (research staff) | APG‑020 → APG‑005 (currently suspended) |

---

### Key take‑aways

- **18 active permission groups** (records 1–18) are in effect today.  
- The **base grant (APG‑001)** is the root of most permissions; every group that inherits from it automatically inherits its core access rights.  
- **Academic staff** are covered by APG‑002, which itself inherits from APG‑001.  
- **Research staff** on floors 2–5 are governed by groups that inherit from APG‑002 (APG‑004, 005, 006, 007).  
- **Specialised roles** (maintenance, security, IT, visitors, contractors) have dedicated groups that do **not** inherit from APG‑001, ensuring tighter control.  
- Two groups are **not active** today:  
  - **APG‑019** (withdrawn) – old contractor grant.  
  - **APG‑020** (suspended) – pending COSHH review.  

If you need the full inheritance chain for a specific opening or want to see which roles are affected by a particular group, just let me know!

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
