kind,gap,roles_blocked,questions,questions_where_register_lane_selected_nothing,candidate_lay_terms,roles
VOCABULARY,register:AssetStatus,27,113,28,organiser;requests;arrangements;layout;person;accessibility;complete;owner;restricted;stated;check;currently,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; People with mobility, sensory, or other accessibility requirements; PhD students; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Teaching and audiovisual support team; Undergraduate students; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:WorkOrder,26,185,56,blocked;overrides;corrective;completion;overdue;defects;restoration;verification;actions;completed;fault;contractor,"Access-control administrators; Architects and building designers; Auditors and certification assessors; BMS-HVAC operators; Cleaning and caretaking teams; Emergency coordinators; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Mechanical and electrical engineers; PhD students; Regulatory and institutional compliance teams; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Taught postgraduate students; Teaching and audiovisual support team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:EventActivity,26,173,81,draft;timetable;cohort;preferences;classes;seminar;lecture;practical;peak;create;teaching;group,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Emergency responders; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Lecturers and tutors; People with mobility, sensory, or other accessibility requirements; Professional-services staff; Prospective students and family members; Research staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; Visitors and event attendees"
VOCABULARY,register:CostLine,26,158,65,lifecycle;contract;reuse;supplier;portfolio;replacement;intervention;performance;carbon;uncertainty;take;stream,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; Cleaning and caretaking teams; Emergency coordinators; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Mechanical and electrical engineers; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; School leadership, university leadership, and building owners; Space-planning teams; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:AVReadiness,26,152,50,signs;designated;anonymous;remote;seating;official;ready;movement;hybrid;alarm;events;doors,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; Fire-safety personnel; Health and safety officers; Lecturers and tutors; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Prospective students and family members; Research staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Visitors and event attendees; Waste-management teams"
DATA,quantity:lift_state,26,130,0,,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Emergency coordinators; Emergency responders; External maintenance contractors; Facilities managers; Fire-safety personnel; Health and safety officers; Lecturers and tutors; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Timetabling team; Undergraduate students; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:CompetencyRecord,25,165,62,experiment;escort;apply;permit;lone;isolation;exact;shift;other;controlled;must;test,"Access-control administrators; Architects and building designers; BMS-HVAC operators; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Mechanical and electrical engineers; PhD students; Professional-services staff; Regulatory and institutional compliance teams; Research staff; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:FireSafetyAsset,25,163,54,immediate;flow;apply;leak;interfaces;test;alarm;safety;escalation;exact;evidenced;critical,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Finance and procurement teams; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; Regulatory and institutional compliance teams; Researchers and data scientists; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Teaching and audiovisual support team; Timetabling team; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:IncidentRecord,25,129,43,reports;remote;hybrid;network;power;reliable;hour;long;fallback;first;abacws;class,"Academic office occupants; Access-control administrators; Architects and building designers; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Facilities managers; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; PhD students; Professional-services staff; Regulatory and institutional compliance teams; Research staff; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:PublicEvent,25,115,42,visiting;organiser;exit;booking;official;less;release;arrival;needs;confirmed;entrance;public,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Room-booking team; Security officers; Teaching and audiovisual support team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees"
VOCABULARY,register:CleaningTask,25,93,36,inspection;task;pattern;there;reported;need;zone;event;rooms;open;demand;next,"Academic office occupants; Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Emergency responders; Energy, carbon, and sustainability teams; Facilities managers; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; PhD students; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; Waste-management teams"
DATA,register:AlarmEvent,25,65,19,,"Access-control administrators; Architects and building designers; BMS-HVAC operators; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; Prospective students and family members; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; University estates and asset-management teams; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:TimetabledSession,24,211,89,chance;weeks;finding;ventilated;classes;days;cohort;peaks;term;class;week;sessions,"Academic office occupants; Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Energy, carbon, and sustainability teams; Facilities managers; Fire-safety personnel; Health and safety officers; Lecturers and tutors; PhD students; Professional-services staff; Prospective students and family members; Research staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:OperatingRegime,24,97,48,heating;cleaning;cooling;normal;much;comparable;energy;plant;ventilation;temperature;under;demand,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; BMS-HVAC operators; Cleaning and caretaking teams; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Research staff; Researchers and data scientists; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:Department,23,270,78,casualty;appliance;backlog;owns;correct;duty;defined;conflicting;completed;command;formal;site,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; Professional-services staff; Prospective students and family members; Regulatory and institutional compliance teams; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; University estates and asset-management teams; Waste-management teams"
DATA,"other:route_graph — PARTIAL: 16 AccessibleRoute records with routeFrom/routeTo/distance, 49 nearestVerticalRoute, 21 CirculationTime records, 260/354 spaces with adjacent_spaces; no whole-building traversable route graph",23,168,48,,"Academic office occupants; Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Lecturers and tutors; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Prospective students and family members; Research staff; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Timetabling team; Undergraduate students; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:HandoverRecord,23,97,29,handed;shift;decisions;agreed;physical;task;last;must;cleaning;changes;routes;controlled,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Mechanical and electrical engineers; Regulatory and institutional compliance teams; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:AccessibleRoute,23,81,27,floors;different;lift;communication;setup;lower;unavailable;quiet;accessible;another;entrance;points,"Academic office occupants; Accessibility, inclusion, and well-being teams; Architects and building designers; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; Fire-safety personnel; Lecturers and tutors; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Room-booking team; School leadership, university leadership, and building owners; Security officers; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees"
DATA,other:space_capacity — PARTIAL: 19/234 rooms carry hbco:roomCapacity; 0/354 floor-plan spaces carry capacity,22,52,17,,"Academic office occupants; Accessibility, inclusion, and well-being teams; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Prospective students and family members; Research staff; Researchers and data scientists; Room-booking team; Space-planning teams; Taught postgraduate students; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees"
VOCABULARY,register:WasteCollectionPoint,21,174,78,streams;uses;meter;unit;loads;carbon;target;context;sensor;impact;timetable;weather,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Insurers and risk assessors; Mechanical and electrical engineers; PhD students; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; Room-booking team; Space-planning teams; Teaching and audiovisual support team; Timetabling team; Visitors and event attendees; Waste-management teams"
DATA,register:AnomalyEvent,21,162,77,,"Academic office occupants; Architects and building designers; BMS-HVAC operators; Cleaning and caretaking teams; Emergency responders; Energy, carbon, and sustainability teams; Facilities managers; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students"
DATA,register:AccessEvent,20,68,15,,"Academic office occupants; Access-control administrators; Architects and building designers; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Regulatory and institutional compliance teams; Room-booking team; School leadership, university leadership, and building owners; Security officers; Undergraduate students; Waste-management teams"
VOCABULARY,register:DoorHardware,20,64,19,barriers;accessibility;temporary;step;free;route;each;change;access;must,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Emergency coordinators; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Regulatory and institutional compliance teams; Security officers; Space-planning teams; Teaching and audiovisual support team; Timetabling team; Undergraduate students"
VOCABULARY,register:CirculationTime,20,63,23,corridor;crowded;class;entrance;between;step;free;public;route;time;most;from,"Accessibility, inclusion, and well-being teams; Architects and building designers; BMS-HVAC operators; Emergency responders; Finance and procurement teams; Fire-safety personnel; Lecturers and tutors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Prospective students and family members; Research staff; Room-booking team; Security officers; Space-planning teams; Taught postgraduate students; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees"
DATA,quantity:damper_position,20,59,0,,"Academic office occupants; Accessibility, inclusion, and well-being teams; Architects and building designers; BMS-HVAC operators; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Lecturers and tutors; Mechanical and electrical engineers; PhD students; Professional-services staff; Researchers and data scientists; School leadership, university leadership, and building owners; Taught postgraduate students; Undergraduate students; University estates and asset-management teams"
DATA,"other:weather_forecast — PARTIAL: 3 Open-Meteo CURRENT-value feeds (temp, humidity, wind); no forecast horizon, so 'next Wednesday' questions have no weather input",19,46,25,,"Academic office occupants; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; BMS-HVAC operators; Emergency coordinators; Emergency responders; Insurers and risk assessors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; Professional-services staff; Research staff; Researchers and data scientists; School leadership, university leadership, and building owners; Space-planning teams; Taught postgraduate students; Undergraduate students; University estates and asset-management teams; Visitors and event attendees"
VOCABULARY,register:RiskAssessment,18,64,20,consequence;cover;supervision;safety;controlled;emergency;ventilation;specialist;water;competent;risk;controls,"Architects and building designers; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; External maintenance contractors; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Mechanical and electrical engineers; PhD students; Regulatory and institutional compliance teams; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Taught postgraduate students; Timetabling team; University estates and asset-management teams"
VOCABULARY,register:ClosurePeriod,17,32,10,approved,"Academic office occupants; Architects and building designers; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Fire-safety personnel; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; PhD students; Research staff; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; Waste-management teams"
VOCABULARY,register:Permit,14,142,66,terminal;hvac;mode;schedule;heating;alarms;occupied;sensors;their;shift;cooling;active,Academic office occupants; BMS-HVAC operators; Emergency coordinators; Emergency responders; External maintenance contractors; Facilities managers; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Mechanical and electrical engineers; Regulatory and institutional compliance teams; Space-planning teams; Undergraduate students; University estates and asset-management teams
VOCABULARY,register:StakeholderGroup,14,55,17,agreed;affected;cost;emergency;option;incident;building;accessible;required;remain;confirmed,"Accessibility, inclusion, and well-being teams; Architects and building designers; Emergency coordinators; Energy, carbon, and sustainability teams; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Mechanical and electrical engineers; Research staff; Researchers and data scientists; School leadership, university leadership, and building owners; Security officers; Space-planning teams"
VOCABULARY,register:ServiceSchedule,14,33,11,services;power;need;service,"Access-control administrators; Facilities managers; Fire-safety personnel; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; PhD students; Professional-services staff; Research staff; School leadership, university leadership, and building owners; Taught postgraduate students; Undergraduate students; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:Warranty,14,28,6,cost;with;what;evidence;service,"Access-control administrators; Architects and building designers; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Fire-safety personnel; Lecturers and tutors; Mechanical and electrical engineers; Prospective students and family members; Regulatory and institutional compliance teams; Security officers; Space-planning teams; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:ConditionSurvey,11,34,9,whole;life;replacement;carbon;cost;option;maintenance;risk;demand;asset;evidence;should,"Accessibility, inclusion, and well-being teams; Architects and building designers; Energy, carbon, and sustainability teams; Finance and procurement teams; Fire-safety personnel; Insurers and risk assessors; Mechanical and electrical engineers; Regulatory and institutional compliance teams; School leadership, university leadership, and building owners; University estates and asset-management teams; Waste-management teams"
DATA,"other:it_network_telemetry — ABSENT: no network, wifi or switch-port source is registered",11,25,10,,"Academic office occupants; Access-control administrators; Finance and procurement teams; IT, network, and server-infrastructure teams; Insurers and risk assessors; Lecturers and tutors; PhD students; Professional-services staff; Researchers and data scientists; Taught postgraduate students; Teaching and audiovisual support team"
DATA,"other:carbon_factor — PARTIAL: config/benchmarks.csv carries carbon_intensity in kgCO2e/m2/year, but its normalisation column is floor_area_m2 and the graph holds no area",11,20,13,,"Architects and building designers; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; School leadership, university leadership, and building owners; Space-planning teams; Taught postgraduate students; University estates and asset-management teams; Waste-management teams"
DATA,quantity:waste_fill,11,20,0,,"Cleaning and caretaking teams; Energy, carbon, and sustainability teams; Facilities managers; Fire-safety personnel; Health and safety officers; Regulatory and institutional compliance teams; Room-booking team; School leadership, university leadership, and building owners; Space-planning teams; Taught postgraduate students; Waste-management teams"
DATA,other:identity_directory — ABSENT BY DESIGN: 20 Department records (team level). Named individuals are excluded by the catalogues' own answer boundaries,9,64,18,,Access-control administrators; Emergency coordinators; Fire-safety personnel; Health and safety officers; Prospective students and family members; Regulatory and institutional compliance teams; Space-planning teams; Timetabling team; University estates and asset-management teams
VOCABULARY,register:Tariff,8,17,10,energy;service,"Architects and building designers; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Insurers and risk assessors; Mechanical and electrical engineers; School leadership, university leadership, and building owners; Taught postgraduate students"
VOCABULARY,register:EvacuationProvision,7,10,2,,"Architects and building designers; Auditors and certification assessors; Emergency coordinators; Fire-safety personnel; Health and safety officers; People with mobility, sensory, or other accessibility requirements; School leadership, university leadership, and building owners"
DATA,"other:space_area — PARTIAL: 266/354 floor-plan spaces carry area_m2, but the GRAPH holds none (brick:area count 0), so per-m2 benchmarks cannot join area to energy",6,10,5,,"Architects and building designers; Emergency coordinators; PhD students; School leadership, university leadership, and building owners; Taught postgraduate students; Waste-management teams"
VOCABULARY,register:HazardControl,5,9,2,,"Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Finance and procurement teams; Mechanical and electrical engineers"
VOCABULARY,register:SustainabilityTarget,5,5,3,,Insurers and risk assessors; Prospective students and family members; Space-planning teams; University estates and asset-management teams; Visitors and event attendees
