turn,phase,title,status,depends_on,effort,questions_unblocked,objective,why,alternatives_rejected,building_agnostic_how,key_steps,files,acceptance_criteria,verify,notes
V7-T16,P1-EvidenceGrammar,"Purpose-bound permission, not just role",todo,V7-T11,M,1012,Carry the declared purpose of a request through the PDP so person-level detail is released only for a verified purpose within an authorised case.,"The catalogues separate role from purpose everywhere: 'person-level detail is limited to the approved case', 'use person-level records only for a verified purpose and authorised role'. OntoSage gates on role alone, so a facility manager with a legitimate role has the same access for an idle question as for an investigation. 1,012 questions state a purpose constraint.",Adding more roles — purpose is orthogonal to role and multiplying roles to encode it produces a combinatorial matrix nobody can administer.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Purpose on the request; PDP consults it; default is the least-detail tier.,orchestrator/services/evidence/permission_guard.py; access_tiers.py,The same role gets aggregate detail without a declared purpose and case detail with one.,Probe the same question with and without a purpose.,
V7-T17,P1-EvidenceGrammar,Record version and transformation lineage on every source,done,V7-T11,S,3357,Carry record/version id and the transformation path on EvidenceSource.,"3,357 mentions of version and 1,372 of lineage. The catalogues require an answer to be reproducible against the exact record version it used, and to say what was done to the raw value. Without it a superseded record and its replacement are indistinguishable in the dossier.",Relying on retrieved_at as a proxy for version — two retrievals of different versions can share a timestamp window.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Fields on EvidenceSource; populate from ontosage:recordVersion; render.,shared/models.py; evidence/assemble.py,The dossier names the version of each authoritative record used.,Probe a policy question; assert the version appears.,DONE 2026-08-31. record_version on EvidenceSource.
V7-T18,P2-DocumentStandard,"The Record Document standard: front-matter plus typed tables, lifted to RDF",done,,L,703,"Define and implement a document convention — YAML front-matter declaring record_type, owner, authority, effective_from, version, review_due, source_system and simulated; body tables whose columns are declared — and lift both into the graph at ingest.","This is the difference between PROSE and DATA, and it caps 703 of the 2,960 questions today. bldg1 holds a permit register and a booking log as Markdown: the document lane can quote them and cannot compute over them. 'Which permits are open?' and 'which outlets are overdue?' need rows, not passages. Contract 2 says a fact that can be a triple belongs in the ontology — so the document must BECOME triples rather than remain a thing to search.","Extracting facts from free prose with the LLM at query time — it is the fabrication path this project guards against hardest, and it re-extracts on every question. Requiring a hand-written companion TTL per document — double authoring, and it drifts. Widening the retrieval lane to 'answer better' — it cannot aggregate, and CAVEAT-364 shows it currently pastes the passage instead of answering.","One mapping file per record_type ships with the ontology, not with the building. A second building drops a document of the same shape and gets the same triples with no code change — which is contract 8 applied to documents.",Define the front-matter schema; a lifting mapping per record_type; SHACL validate before insert; write into a per-document named graph so a re-ingest replaces cleanly; mark provenance as document-derived.,orchestrator/services/document_indexer.py; ontology/record_documents/*.yaml; ontology/ontosage_schema.ttl; docs/RECORD_DOCUMENT_STANDARD.md,"A permit register document produces queryable Permit instances; 'which permits are open' answers by SPARQL COUNT, not by quoting.",Re-ingest input/documents/permit_to_work_register.md; SPARQL the instances; probe the aggregate question.,"DONE 2026-08-31. record_documents.py + 9 mappings shipped with the ontology. 8 registers on bldg1, 82 instances. Failure is total, never partial; one named graph per document, replaced on re-ingest."
V7-T19,P2-DocumentStandard,Lifted facts carry their provenance and never outrank an authored source,done,V7-T18,M,703,"Mark every lifted triple with the document, its version and the mapping that produced it, and place document-derived facts below authored TTL in precedence.","A document is a statement about a system of record, not the record itself. Lifting makes it queryable; it must not make it authoritative. Without an explicit tier, a stale Markdown table would silently outrank a live register, which is the exact shadowing defect BUG-194 was.",Treating lifted facts as equal to authored triples — it removes the reader's ability to tell a register from a note about one.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Named graph per document; ontosage:derivedFromDocument; precedence tier.,services/document_indexer.py; evidence/precedence.py,"A conflict between a lifted fact and an authored triple reports both, authored leading.",Author a contradicting triple; probe; assert both appear.,"DONE 2026-08-31. document_derived tier at rank 25 — above measurement, below authoritative. A policy document stays authoritative."
V7-T20,P2-DocumentStandard,The document lane answers the question instead of pasting the passage,done,V7-T18,M,163,"Make the document lane compose an answer from the retrieved passage, attributed and bounded, rather than returning the passage.","MEASURED on the 111-question stakeholder probe, and far larger than CAVEAT-364 recorded: 38 of the 56 answers graded 'answered-with-data' (68%) are this lane pasting a passage, and reading them, they frequently do not address the question at all. 'Which plant can be installed, commissioned and replaced through a credible route' returned the ASBESTOS REGISTER. 'Which valves have accumulated questionable behaviour' returned the helpdesk phone number. 'Which cleaning defects keep recurring' returned the cleaning SCHEDULE. Fifteen stakeholder roles have their ENTIRE answered score made of such pastes. This is the single largest contributor to the apparent coverage figure and it is not coverage.","Raising the retrieval threshold — it reduces wrong passages without making a right passage into an answer, and the failure here is relevance, not confidence. Leaving it to V7-T18 — lifting registers removes the aggregate questions but not the prose ones.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.","Require the passage to ANSWER, not merely to match: compose from it and decline when it contains no answer. Cite the document and its effective date.",orchestrator/agents/capability_agent.py,A document-answered question reads as an answer and cites the document and date.,Probe five document questions from the worklist.,"DONE 2026-08-31. The lane composes from the passage with a NO_ANSWER escape, or declines naming the documents searched. Tri-state so an LLM outage falls back to the old behaviour rather than switching the lane off (BUG-371)."
V7-T21,P3-Answerability,"Answerability precheck: resolve referent, required sources and readiness before routing",in_progress,V7-T13,L,1097,"Before a lane is chosen, resolve (a) the referent, (b) the source systems the question requires, (c) whether this building holds them — then route to a lane that can succeed, or decline naming the missing system and the step that would supply it.","This is the replacement for keyword guessing, and it is what makes a decline useful. Today 180 declines share one sentence and all route to the catch-all, so 180 distinct gaps look like one problem. The readiness of a source system is a DECIDABLE fact — measured live by source_system_readiness.py — not a guess about the question's wording. A question needing a permit register can be answered, or declined with 'this building has no permit register as data; it holds one as a document', which is actionable.","More routing rules in routing_contract.py — 17 ordered rules already, and each new one trades one wrong lane for another without ever telling the user what is missing. Classifying questions with the LLM alone — it would guess a source system the building may not hold and produce a confident wrong route.","Readiness is probed from the active building's own graph, databases, feeds and documents. The same precheck yields different routes on bldg2 because bldg2 holds different systems.","Reuse source_system_readiness as a cached service; map question to required systems via the concept resolver and the ontology, not keywords; feed the verdict to V6-T70's specific decline.",orchestrator/services/answerability.py (new); services/routing_contract.py; scripts/source_system_readiness.py,"Two questions declining for different missing systems produce two different sentences, each naming its system and remedy.","Probe one question per ABSENT system; assert distinct, correct declines.","STATUS CORRECTED 2026-09-03: this was marked done while its own note read 'PART DONE ... REMAINING'. A task is not done because the half that was built works. || PART DONE 2026-08-31. A held class outranks a lay-term match; an absent class declines by name. Matching is asymmetric — head words may find data, never justify a decline (BUG-372). REMAINING: route to the lane that can answer, not only away from the wrong one."
V7-T22,P3-Answerability,"Declare the operation, and check the lane can perform it",todo,V7-T21,M,2960,Classify each question into the seven-member Operation taxonomy and refuse a lane that cannot perform the declared operation.,"The catalogues label every question with its operation — comparison 1,486, lookup 1,215, observation 1,153, recommendation 1,098, calculation 846, estimate 832, forecast 714, diagnosis 577 — so the bank carries 2,960 labelled examples. That is a supervised signal, not a heuristic, and a forecast question routed to a lookup lane returns a current value dressed as a prediction. It also exposes a gap: the Operation enum's docstring says its seven members came from 'all six catalogues' — six of thirty-seven — and the 31 unread ones make COMPARISON the most frequent operation in the corpus, with no member. It survives only as comparison_baseline, an attribute of a record rather than an act, so a comparison is currently labelled as whatever computed it, and the catalogues' 'compare like versions and like periods' boundary is checked by nothing.","Inferring operation from the answer after the fact — too late to route, and it lets the lane define what the question was. Mapping comparison onto CALCULATION — it is how the gap arose, and it erases the like-for-like constraint that makes a comparison valid.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Add COMPARISON to the Operation enum with its like-for-like check; extract the operation label from Analysis_Required into the bank; use it as the routing test set; assert lane capability.,orchestrator/services/routing_contract.py; tasks/smart_building_questions.csv,"Routing accuracy measured against 2,960 declared operations, reported per operation.",Offline scoring run over the bank.,
V7-T23,P3-Answerability,The spatial lane raises an error instead of answering or declining (V6-T71),todo,V7-T21,M,29,Make every spatial failure either an answer or a named decline.,29 measured questions end in an exception. An error hides which component failed and cannot be triaged by the person reading it.,Catching and returning the generic decline — it loses the diagnosis the exception carried.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Carried from V6-T71.,orchestrator/agents/spatial_agent.py,Zero SPATIAL_ERROR rows on re-ask.,Re-ask the 29.,
V7-T24,P3-Answerability,"Breadth questions cost more than the timeout allows (V6-T72, CAVEAT-363)",todo,V7-T21,M,16,"Aggregate in SQL before fetching, bound the candidate set, then raise the timeout and re-measure.","16 of 1,580 cannot finish in 150 s. Raising the timeout alone admits them while making the user wait minutes and moves the ceiling rather than the cost — the sql_agent currently coarsens AFTER fetching, which is the expensive half.",Dropping the 16 from the bank — 1.0% unanswerable by COST rather than by capability is a finding worth reporting.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Carried from V6-T72.,orchestrator/agents/sql_agent.py,All 16 answer within the new budget; p99 does not regress.,Re-ask the 16; compare p50/p99.,
V7-T30,P4-SourceOnboarding,"Bookings as data, not as a Markdown log",done,V7-T18,M,543,"Author ontosage:Booking instances (room, period, organiser role, status, effective/observed times) via the Record Document standard, and register the booking source.","The single largest blocker: 543 questions are capped at PROSE by bookings alone. The class already exists in the TBox with zero instances, and precedence.py already names bookings as the authoritative source for availability — the machinery is built and has nothing to read. 'A room with nobody in it is not an available room' is unenforceable while the booking register is prose.","Inferring occupancy from sensors — precedence.py exists specifically to forbid it, and the catalogues repeat that telemetry cannot override the booking system.",A booking record document with the declared shape; bldg2 supplies its own and needs no code.,Mapping for record_type: booking; convert input/documents/room_bookings.md; backdated and forward-dated entries so effective_at is exercised.,ontology/record_documents/booking.yaml; input/documents/room_bookings.md,"'Is 2.15 free at 14:00 Thursday' answers from the register; a sensor disagreement is reported, not resolved.","Probe availability, turnaround and no-show questions.","DONE 2026-08-31. 16 bookings, real rooms read from the graph, organisers as ROLES not people. The last PROSE-capped system."
V7-T31,P4-SourceOnboarding,"Contracts, warranties and service levels",done,V7-T18,M,413,"Add ontosage:Contract / Warranty / ServiceLevel with scope, dates, provider, obligations, and author bldg1's set as synthetic records.","413 questions blocked, and 23 of the 37 roles touch it — the second-largest gap. Warranty status changes the correct answer to a maintenance question ('is this chargeable?'), and no amount of routing recovers it.","Folding warranties into the asset register — they have their own owner, dates and precedence and are frequently in conflict with it, which is itself an answer the catalogues want reported.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",TBox terms; record document; synthetic backdated set with expiries either side of today.,ontology/ontosage_schema.ttl; input/documents/contracts_and_warranties.md,'Is the AHU still under warranty' answers with dates and provider.,Probe five contract questions.,"DONE 2026-08-31. 8 contracts + 7 warranties, kept as separate classes because they disagree."
V7-T32,P4-SourceOnboarding,"Project handover, as-built and O&M records",done,V7-T18,M,257,"Add ontosage:HandoverRecord and link commissioning records, as-built revisions and O&M manuals to the assets they describe.","257 questions. It is also the source the commissioning gate (V7-T13) reads from: 'commissioned' is a claim that must rest on a handover record, not on a flag somebody set.","A flat document folder — it cannot answer 'which assets have no handover record', which is the question actually asked.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",TBox; record document; link to brick:Equipment instances.,ontology/ontosage_schema.ttl; input/documents/handover_register.md,'Which plant has no O&M manual' returns a computed list.,SPARQL the complement; probe the question.,"DONE 2026-08-31. 9 handover records, 3 marked outstanding so 'which plant has no O&M manual' has an answer."
V7-T33,P4-SourceOnboarding,Permits to work as data,done,V7-T18,S,160,Lift the existing permit register document into ontosage:Permit instances.,"160 questions, and the document already exists — this is the cheapest PROSE-to-DATA conversion in the plan and the best test of the standard, because the register is already tabular.",Leaving it as prose — 'which permits are open in this zone' cannot be answered by retrieval.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",record_type: permit; map the existing table.,ontology/record_documents/permit.yaml; input/documents/permit_to_work_register.md,Open-permit counts by zone answer by SPARQL.,Probe; compare against the document by hand once.,"DONE 2026-08-31. 15 permits, 3 open / 1 suspended / 11 closed."
V7-T34,P4-SourceOnboarding,"Energy cost: a registered tariff source, never a constant",done,V7-T18,M,119,"Add ontosage:Tariff with rate, standing charge, validity window and authority; compute cost only when one is registered.","119 questions. Submeter data exists and money does not, so cost questions decline today — correctly. The danger is the obvious shortcut: an invented unit rate produces a confident wrong number, which is the failure mode this project guards against hardest.",A default tariff constant in config — a building literal AND a fabrication. Either a tariff is registered or the question declines naming it.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",TBox; record document; cost recipe reads the tariff or declines.,ontology/ontosage_schema.ttl; config/recipes.yaml,"With no tariff the answer declines naming it; with one it computes and cites rate, window and authority.",Probe both states.,"DONE 2026-08-31. 4 tariffs with unit rate, standing charge, currency and validity window."
V7-T35,P4-SourceOnboarding,"Identity and affiliation: the minimum that answers, and nothing more",in_progress,V7-T16,M,103,"Model roles, affiliations and entitlements at the level the questions actually need — never person records.","103 questions, and the most privacy-sensitive gap in the plan. The catalogues are emphatic in both directions: they ask about entitlements and prerequisites, and they forbid exposing protected person or credential records beyond an authorised case. The answerable form is 'this role requires these prerequisites', not 'this person holds this credential'.","Importing a person directory — it would create the exact disclosure surface the catalogues prohibit, for questions that do not need it.",Role and entitlement classes; no personal data in any building's TTL.,Entitlement and prerequisite classes; purpose-bound access from V7-T16.,ontology/ontosage_schema.ttl; evidence/permission_guard.py,Role-level questions answer; person-level questions decline citing the authorised-case rule.,Probe both shapes.,HELD by design. Modelled at role level only; person records are never imported. The catalogues ask about entitlements and forbid exposing who holds what.
V7-T36,P4-SourceOnboarding,Condition surveys and the built fabric,done,V7-T18,M,99,"Add ontosage:ConditionSurvey plus asset age, expected life and fabric attributes (U-values, ceiling heights, roof ages).","99 questions, and Brick models systems and spaces rather than asset age or fabric performance — no amount of routing reaches it. This is the clearest case in the corpus for extending the OntoSage schema rather than reusing Brick.",Forcing it into brick:Equipment properties — Brick has no vocabulary for condition grade or remaining life.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",TBox; record document; synthetic survey with mixed grades.,ontology/ontosage_schema.ttl; input/documents/condition_survey.md,'Which assets are beyond expected life' returns a computed list.,Probe.,DONE 2026-08-31. 10 condition-survey records. The expected-life boundary is stated in the TBox comment and read into the query context.
V7-T37,P4-SourceOnboarding,"Training, competency and authorisation records",done,V7-T18,S,79,"Add ontosage:CompetencyRecord at role level, linked to restricted areas and tasks.","79 questions, mostly prerequisites for access and permits — it is the missing half of both V7-T33 and V7-T35.","Person-level training records, for the reason in V7-T35.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",TBox; record document.,ontology/ontosage_schema.ttl,'What competency does this restricted area require' answers.,Probe.,"DONE 2026-08-31. 7 competency requirements, attached to areas and ROLES, never to people."
